Question,CorrectAnswer,GivenAnswer,Correct
"Die Studenten führen eine Übung zur Trennung von Pflanzenpigmenten durch, bei der sie eine geschlossene Chromatographiekammer mit einer kleinen Menge Aceton im Boden der Kammer verwenden müssen. Sicherheitswarnungen für Aceton enthalten die Aussage, dass es augen- und hautreizend ist und brennbare Dämpfe enthält. Welche Sicherheitsvorkehrungen sollten die Schülerinnen und Schüler bei der Durchführung der Übung treffen?
A.Anziehen von feuerhemmenden Handschuhen, um die Kammer zu einem Abzug zu tragen, wenn das Aceton Feuer fängt
B.Platzieren der Kammer in einem geschlossenen, abgedunkelten Schrank für die Dauer der Pigmenttrennung
C.Tragen von Lederhandschuhen und Bedecken von Nase und Mund mit einer Partikelmaske
D.Tragen Sie eine Schutzbrille und Nitrilhandschuhe und halten Sie alle Acetonbehälter geschlossen",d,d,true
"Identifiziere den Antezedenzfall der folgenden bedingten Aussage: Die Bienen gewinnen ihr erstes Spiel nur, wenn entweder die Erdferkel oder die Streifenhörnchen ihre ersten Spiele nicht gewinnen.
A.Die Erdferkel gewinnen ihr erstes Spiel nicht.
B.Die Bees gewinnen ihr erstes Spiel.
C.Die Chipmunks gewinnen ihr erstes Spiel nicht.
D.Entweder die Erdferkel oder die Streifenhörnchen gewinnen ihre ersten Spiele nicht.",b,b.,true
"In der xy-Ebene ist der Graph von x^(log y) = y^log x
A.Der offene erste Quadrant
B.eine geschlossene Kurve
C.Ein Strahl im offenen ersten Quadranten
D.Ein einziger Punkt",a,c.,false
"Warum ist Parfit gegen Gleichberechtigung?
A.Er argumentiert, dass eine ungleiche Gesellschaft unvermeidlich ist.
B.Er behauptet, dass wir die Gleichheit erhöhen können, wenn wir den Bedürfnissen der Armen Vorrang einräumen.
C.Er behauptet, dass jeder von uns für seine Armut verantwortlich ist.
D.Er lehnt die Idee der Gleichheit gänzlich ab.",b,b.,true
"Mutationen, die eine Achondroplasie verursachen, üben eine Wirkung aus, die wie folgt klassifiziert werden kann:
A.dominant negativ.
B.Gain-of-Function.
C.Haploinsuffizienz.
D.Funktionsverlust.",b,b.gain-of-function.,true
"Diese Frage bezieht sich auf die folgenden Informationen.
""Die Saat totalitärer Regime wird von Elend und Not genährt. Sie breiten sich aus und wachsen auf dem bösen Boden der Armut und des Streits. Sie erreichen ihr volles Wachstum, wenn die Hoffnung eines Volkes auf ein besseres Leben gestorben ist. Wir müssen diese Hoffnung am Leben erhalten. Die rasche Entwicklung der Ereignisse hat uns eine große Verantwortung auferlegt. Ich bin zuversichtlich, dass der Kongress sich dieser Verantwortung stellen wird.""
Präsident Harry S. Truman, 1947
Die Ideen, die in der obigen Passage zum Ausdruck kommen, spiegeln am direktesten wider, welche der folgenden Kontinuitäten in der US-Geschichte?
A.Debatten über das Verhältnis zwischen dem Kongress und dem Präsidenten.
B.Debatten über den Einsatz militärischer Gewalt in brisanten Situationen.
C.Debatten über die Rolle der Vereinigten Staaten im Weltgeschehen.
D.Debatten über die richtige Rolle der politischen Parteien.",c,c,true
"Bestimmung der H+(aq)-Konzentration in 1,0 M Phenol, C6H5OH, Lösung. (Das Ka für Phenol beträgt 1 × 10^-10.)
A.1 × 10^-10 m
B.1 × 10^-9 M
C.1 × 10^-3 m
D.1 × 10^-5 m",d,a.,false
"Was ist ein Replay-Angriff?
A.Wenn der Angreifer auf eine Nachricht antwortet, die ihm vom System gesendet wird
B.Ein Angriff, der sich ständig wiederholt und nach einer Schwachstelle sucht
C.Ein Angriff, der die eigenen Nachrichten des Systems verwendet und daher nicht abgewehrt werden kann
D.Der Angreifer sendet eine erfasste Nachricht erneut, und die Website akzeptiert sie und reagiert zu Gunsten des Angreifers",d,d,true
"Welcher dieser Horrorfilme hat die meisten Fortsetzungen hervorgebracht?
A.Schrei""
B.Der weiße Hai
C.Halloween'
D.Freitag der 13.",d,d,true
"Eine negative residuale Autokorrelation wird durch welche der folgenden Faktoren angezeigt?
A.Ein zyklisches Muster in den Residuen
B.Ein alternierendes Muster in den Residuen
C.Eine vollständige Zufälligkeit in den Residuen
D.Residuen, die alle nahe Null liegen",b,b.,true
"Wenn in einem Reihenstromkreis der Strom in einer Lampe 2 A beträgt, ist der Strom in der Lampe daneben
A.halb, 1 A
B.02:00 Uhr
C.Hängt davon ab, welche Lampe näher an der Batterie ist
D.Nicht genug Informationen, um etwas zu sagen",b,"a.halb, 1 a",false
"Der Trugschluss der lobenden Persönlichkeit ist eine besondere Art von
A.Der Trugschluss des Zufalls
B.Falsches Dilemma
C.Die Frage stellt sich
D.Zirkelschluss",a,d.zirkelschluss,false
"Was macht die Bestimmung der evolutionären Verwandtschaft verschiedener Spezies auf der Grundlage der Aminosäuresequenz homologer Proteine im Allgemeinen ungenauer als die Bestimmung der Verwandtschaft auf der Grundlage der Nukleotidsequenzen homologer Gene?
A.Stille Mutationen
B.Gen-Duplikationen
C.Translokationsereignisse, die Gensequenzen verändern
D.Überquerung",a,a.,true
"Diese Frage bezieht sich auf die folgenden Informationen.
Ich gehe an der Säule entlang und frage, was los ist.
Ein Soldat sagt einfach: ""Sie rufen jeden Tag mehr an.
""Einige von uns wurden im Alter von fünfzehn Jahren in den Norden an den Gelben Fluss geschickt.
Und jetzt, mit vierzig, gehen wir in die Garnisonen im Westen.
Bei unserer ersten Tour musste der Dorfvorsteher unsere Halstücher für uns binden.
Als wir zurückkamen, waren unsere Haare weiß, aber es gab immer noch mehr Unruhe.
Die Grenzgarnisonen fließen mit Blut, genug, um einen Ozean zu füllen,
Aber die territorialen Ambitionen des kriegerischen Kaisers haben noch nicht ihren Höhepunkt erreicht.
In den hundert Bezirken östlich der Berge, im ganzen Land Han,
Es müssen zehntausend Dörfer sein, die jetzt von Brombeersträuchern befallen werden.
Selbst wenn die Ehefrauen stark genug sind, um mit Hacke und Pflug umzugehen,
Die Feldfrüchte wachsen in alle Richtungen, die Felder sind ein einziges Chaos.
Am schwersten ist es für die Shanxi-Männer mit ihrem Ruf als Kämpfer:
Sie werden wie Hunde oder Hühner zusammengetrieben, jedes Männchen ist beeindruckt.
»Aber, mein Herr, obgleich es gut von Ihnen ist, zu fragen,
Sich zu beschweren gehört nicht zu den Aufgaben des Soldaten.
Da können wir nur den Kopf schütteln. Nehmen Sie diesen Winter:
Die Shanxi-Truppen wurden nie nach Hause geschickt.
Die Bezirksbeamten fordern die Grundsteuer,
Aber woher soll es kommen? Man kann keine Steine erweichen!
Ich glaube ehrlich gesagt, dass es Pech ist, jetzt einen Sohn zu gebären,
Es ist besser, eine Tochter zu haben: Wenigstens kann sie heiraten
Und mit den Nachbarn von nebenan wohnen.
Aber ein Sohn wird in einer fernen Prärie liegen.«
Du Fu, ""Ballade von den Armeekarren"", ca. 750 u. Z.
Das Gedicht liefert Belege für welche der folgenden Aussagen in Bezug auf die Geschlechterverhältnisse in der Tang-Gesellschaft?
A.Konfuzianische Beziehungen zwischen Mann und Frau waren in der Tang-Gesellschaft immer noch stark.
B.Kaiserliche Reskripte betonten die Geburt fähiger Söhne gegenüber Töchtern, um die Wehrpflichtquoten zu erfüllen.
C.Die landwirtschaftliche Arbeit könnte von Frauen und Männern gleichermaßen geteilt werden.
D.Die traditionellen chinesischen Geschlechterverhältnisse wurden während der Herrschaft von Kaiserin Wu Zetian umgekehrt.",c,c,true
"Ein Teil des Marswassers ist im Boden und in den Eiskappen gefroren und ein Teil ging durch das Abstreifen des Sonnenwindes verloren, aber es wird angenommen, dass ein Großteil des ursprünglichen Wassers durch einen anderen Mechanismus verloren gegangen ist. Was ist mit diesem ""verlorenen"" Wasser passiert?
A.Es wurde durch das Magnetfeld abgetragen, als es schnell an Stärke verlor
B.Es wurde durch ultraviolettes Licht in Wasserstoff und Sauerstoff zerbrochen und der Wasserstoff ging durch thermische Entweichung verloren
C.es wurde von einer Zivilisation durstiger Marsianer verzehrt
D.Es wurde während einer Periode intensiven Vulkanismus verdampft und ging durch thermische Flucht in den Weltraum verloren",b,b.,true
"Ein Patient erleidet einen Genickbruch mit Schädigung des Rückenmarks auf Höhe des sechsten Halswirbels.
A.Sie werden ohne lebenserhaltende Maßnahmen nicht mehr atmen können.
B.Sie werden nur ruhig atmen können.
C.Es ist unmöglich, einen Effekt auf die Atmung vorherzusagen.
D.Die Atmung wird nicht beeinträchtigt.",b,a.,false
"In welchem Zustand befindet sich der Film Magnolia aus dem Jahr 1999?
A.Kalifornien
B.South Carolina
C.Georgien
D.Texas",a,a.kalifornien,true
"Ein Programmierer hat das folgende Programm geschrieben. Das Programm verwendet eine Liste von Zahlen mit dem Namen numList. Das Programm ist dazu gedacht, die Summe der Zahlen in der Liste anzuzeigen.
 sum ← numList [1]
 FOR EACH value IN numList
 Summe ← Summe + Wert
 DISPLAY-Summe
 Um das Programm zu testen, initialisiert der Programmierer numList mit [0 , 1 , 4 , 5]. Das Programm zeigt 10 an, und der Programmierer kommt zu dem Schluss, dass das Programm wie beabsichtigt funktioniert. Welche der folgenden Aussagen trifft zu?
A.Die Schlussfolgerung ist richtig; Das Programm funktioniert wie vorgesehen.
B.Die Schlussfolgerung ist falsch; Das Programm zeigt nicht den korrekten Wert für den Testfall [0, 1, 4, 5] an.
C.Die Schlussfolgerung ist falsch; Die Verwendung des Testfalls [0, 1, 4, 5] reicht nicht aus, um zu dem Schluss zu kommen, dass das Programm korrekt ist.
D.Die Schlussfolgerung ist falsch; Die Verwendung des Testfalls [0, 1, 4, 5] bestätigt lediglich, dass das Programm für Listen in aufsteigender Reihenfolge arbeitet.",c,b.,false
"Was ist die Muttersprache des Schauspielers Antonio Banderas?
A.Spanisch
B.Russisch
C.Deutsch
D.Französisch",a,a.spanisch,true
"Welches dieser Gerichte wird aus Schweinedärmen hergestellt?
A.Haggis
B.Chitlins
C.Grütze
D.Chop Suey",b,b.,true
"Eine Zahl, auf die nächsten Tausend gerundet, ist 47.000. Welche Zahl könnte die Zahl sein, die gerundet wurde?
A.46,295
B.46,504
C.47,520
D.47,924",b,"a.46,295",false
"Die Energie, die durch den Abbau der energiereichen Phosphate ATP und Phosphokreatin freigesetzt wird, kann eine maximale Anstrengung für etwa aufrechterhalten:
A.1-2 Sekunden.
B.5-10 Sekunden.
C.30-40 Sekunden.
D.50-60 Sekunden.",b,b.5-10 sekunden.,true
"Ein Tank hat die Form eines dreieckigen Prismas. Wenn der dreieckige Sockel eine Fläche von 116 Quadratfuß hat und der Tank 30 Fuß hoch ist, wie viel Wasser würde der Tank enthalten, wenn er voll ist?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",c,c. 3480 ft^3,true
"Die K-fache Kreuzvalidierung ist
A.linear in K
B.quadratisch in K
C.kubisch in K
D.exponentiell in K",a,a.linear in k,true
"Welche der folgenden Merkmale stimmen im Allgemeinen mit einer Vergewaltigung überein?
A.Anwendung übermäßiger Gewalt
B.vorsätzlich
C.sexuell motiviert
D.den Einsatz einer Waffe beinhaltet",c,c.,true
"Erwachsene mittleren Alters scheinen mehr ____ zu sein als ältere oder jüngere Erwachsene
A.Generativ
B.Neurotisch
C.Angenehm
D.Bestimmt",a,a.generativ,true
"Was ist die Amtssprache der Niederlande?
A.Dänisch
B.Schwedisch
C.Deutsch
D.Holländisch",d,d.holländisch,true
"Ermitteln Sie die Länge der Kurve y = ln x zwischen den Punkten, an denen y = 1/2 und y = 1 ist.
A.0.53
B.0.86
C.1.18
D.1.36",c,d.1.36,false
"Diese Frage bezieht sich auf die folgenden Informationen.
""In der Tat, da sowohl die Fatwas angesehener [Gelehrter], die ihre Meinung auf Vernunft und Tradition gleichermaßen gründen, als auch der Konsens der sunnitischen Gemeinschaft darin übereinstimmen, dass die uralte Verpflichtung der Ausrottung, Ausrottung und Austreibung der bösen Innovation das Ziel unseres erhabenen Strebens sein muss, denn ""religiöser Eifer ist ein Sieg für den Glauben Gottes, des Wohltätigen""; dann, in Übereinstimmung mit den Worten des Propheten (Friede sei mit ihm!) ""Wer eine böse Neuerung in unsere Ordnung einführt, muss vertrieben werden"" und ""Wer etwas gegen unsere Ordnung tut, muss vertrieben werden"", ist Handeln notwendig und dringend geworden...""
Brief des osmanischen Sultans Selim I. an den Safawiden-Schah Ismail I., 1514
Die Safawiden zogen den Zorn islamischer Reiche wie des Osmanischen Reiches und des Mogulreiches auf sich, vor allem weil die Safawiden
A.waren ein expansionistisches Imperium, das sich geographisch zwischen zwei anderen Expansionisten befand
B.lehnte die zentralen Lehren des Islam ab
C.versklavte Christen und machten sie zu Safawiden-Kämpfern
D.Ismail erklärte sich selbst zum Kalifen",a,a,true
"Die Tatsache, dass die Infrarot-Absorptionsfrequenz von Deuteriumchlorid (DCl) von der von Chlorwasserstoff (HCl) verschoben ist, ist auf die Unterschiede in ihren
A.Elektronenverteilung
B.Dipolmoment
C.Kraft-Konstante
D.reduzierte Masse",d,d.reduzierte masse,true
"Welcher der folgenden Faktoren würde für Riva als ""Pull""-Faktor gelten, wenn ein Umzug von Indien in die Vereinigten Staaten in Betracht gezogen wird?
A.Erbärmliche Armut
B.Bessere Arbeit und höhere Löhne
C.Indiens Kastensystem
D.Gewalt in ihrer Nachbarschaft",b,b.,true
