Question,CorrectAnswer,GivenAnswer,Correct
"Mis on näitleja Antonio Banderase emakeel?
A.Hispaania
B.Vene
C.Saksa
D.Prantsuse",a,a. hispaania,true
"Mis on Hollandi riigikeel?
A.Taani
B.Rootsi
C.Saksa
D.Hollandi",d,d. hollandi,true
"Keskealisi täiskasvanuid näib olevat rohkem ____ kui vanemaid või nooremaid täiskasvanuid
A.Generatiivne
B.Neurootiline
C.Meeldiv
D.Teatavate",a,a. generatiivne,true
"Millises seisus on 1999. aasta filmi ""Magnoolia"" võtted?
A.California
B.Lõuna-Carolina
C.Gruusia
D.Texas",a,"1999. aasta filmi ""magnoolia"" võtted toimusid californias. seega on õige vastus a. california.",true
"Ettevõtted tegelevad _________ nõudmiste tõttu sotsiaalse arvepidamisega, et teha kindlaks ________, parandada ___________ ning julgustada _________ ja ___________
A.Sidusrühmad, riskid, sidusrühmade juhtimine, vastutus, läbipaistvus
B.Sidusrühmad, vastutus, läbipaistvus, riskid, sidusrühmade juhtimine
C.Sidusrühmad, vastutus, riskid, sidusrühmad, sidusrühmade juhtimine
D.Sidusrühmad, sidusrühmade juhtimine, läbipaistvus, riskid, vastutus",a,"a. sidusrühmad, riskid, sidusrühmade juhtimine, vastutus, läbipaistvus",true
"Mis on mõiste selle kohta, mil määral mõjutab konkurentsi ühes riigis konkurents teistes riikides?
A.Rahvusvaheline kaubandus
B.Globaalne majandus
C.Ülemaailmne konkurents
D.Üleilmastumine",d,"õige mõiste, mis kirjeldab seda, mil määral mõjutab konkurentsi ühes riigis konkurents teistes riikides, on c. ülemaailmne konkurents.",true
"Millised neist roogadest on valmistatud sigade soolestikust?
A.Haggis
B.Chitlins
C.terad
D.tükelda suey",b,"b. chitlins (või chitterlings) on roog, mis on valmistatud sigade soolestikust. see on traditsiooniline roog paljudes lõuna-ameerika köökides.",true
"Milliseid järgmistest teguritest peetakse Riva jaoks tõmbeteguriks, kui kaalutakse Indiast Ameerika Ühendriikidesse kolimist?
A.Armetu vaesus
B.Parem töökoht ja kõrgemad palgad
C.India kastisüsteem
D.Vägivald tema naabruses",b,"b. parem töökoht ja kõrgemad palgad

see tegur on tõmbetegur, kuna see pakub riva jaoks potentsiaalselt paremaid elutingimusi ja majanduslikku stabiilsust, mis võib olla peamine põhjus indiast ameerika ühendriikidesse kolimise kaalumisel.",true
"Leia $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"to solve the expression \( -\dfrac{1}{-3} \cdot \cfrac{1}{\frac{1}{-3}} \), we first simplify each part.

1. simplify \( -\dfrac{1}{-3} \):
   \[
   -\dfrac{1}{-3} = \dfrac{1}{3}
   \]

2. simplify \( \cfrac{1}{\frac{1}{-3}} \):
   \[
   \cfrac{1}{\frac{1}{-3}} = -3
   \]

now, multiply the simplified parts:
\[
\dfrac{1}{3} \cdot (-3) = -1
\]

thus, the value of the expression is \(\boxed{-1}\).",true
"Nimetage järgmise tingimusliku ettepaneku eelkäija: Mesilased võidavad oma esimese mängu ainult siis, kui kas Aardvarks või Chipmunks ei võida oma esimesi mänge.
A.Aardvarks ei võida oma esimest mängu.
B.Mesilased võidavad oma esimese mängu.
C.Chipmunks ei võida oma esimest mängu.
D.Kas Aardvarks või Chipmunks ei võida oma esimesi mänge.",b,"tingimusliku ettepaneku struktuur on tavaliselt ""kui p, siis q"", kus p on eelkäija (antecedent) ja q on järelkäija (consequent). antud lauses ""mesilased võidavad oma esimese mängu ainult siis, kui kas aardvarks või chipmunks ei võida oma esimesi mänge"" on järelkäijaks ""mesilased võidavad oma esimese mängu"" ja eelkäijaks ""kas aardvarks või chipmunks ei võida oma esimesi mänge"".

seega on õige vastus:
d. kas aardvarks või chipmunks ei võida oma esimesi mänge.",false
"Mis on kordusrünnak?
A.Kui ründaja vastab süsteemi poolt talle saadetud sõnumile
B.Rünnak, mis pidevalt kordub, proovides nõrkust
C.Rünnak, mis kasutab süsteemi enda sõnumeid ja mille eest ei saa seega kaitsta
D.Ründaja saadab jäädvustatud sõnumi uuesti ja sait aktsepteerib seda ning vastab ründaja kasuks",d,"d. ründaja saadab jäädvustatud sõnumi uuesti ja sait aktsepteerib seda ning vastab ründaja kasuks.

see vastus kirjeldab kordusrünnaku (replay attack) olemust, kus ründaja kordab või saadab uuesti varem jäädvustatud andmeid, et ekspluateerida süsteemi usaldust nendesse andmetesse. selline rünnak võib võimaldada ründajal saavutada autoriseerimata juurdepääsu või teostada volitamata toiminguid.",true
"Millised järgmistest riikidest paiskasid 2017. aastal elaniku kohta kõige rohkem CO2 õhku?
A.Jaapan
B.Kanada
C.Venemaa
D.Iraan",b,"2017. aasta andmete põhjal oli co2 heitkoguste poolest elaniku kohta kõige suurem heitkogus kanadas. kanada on tuntud oma suure energiatarbimise ja suurte naftaliivade tootmise poolest, mis mõlemad aitavad kaasa kõrgele co2 heitkogusele elaniku kohta. venemaa ja jaapan järgnevad tõenäoliselt kanadale, kuid nende heitkogused on siiski madalamad kui kanadas. iraan, kuigi suur naftatootja, on tavaliselt madalamate heitkogustega elaniku kohta võrreldes eelmainitud riikidega.",true
"Milline neist õudusfilmidest tekitas kõige rohkem järgesid?
A.Karje""
B.Lõuad""
C.Halloween""
D.Reede, 13.",d,"film ""halloween"" on tekitanud kõige rohkem järgesid. alates esimesest ""halloween"" filmist, mis ilmus 1978. aastal, on sellest frantsiisist välja kasvanud mitmeid järjefilme, uusversioone ja isegi otse videole välja antud filme. kokku on ""halloween"" seerias üle kümne filmi.",false
"Osa Marsi veest on külmunud pinnases ja jäämütsides ning osa läks kaduma päikesetuule eemaldamise tõttu, kuid arvatakse, et suur osa algsest veest on kadunud mõne muu mehhanismi kaudu. Mis juhtus selle ""kadunud"" veega?
A.magnetväli eemaldas selle, kui selle tugevus kiiresti vähenes
B.see purustati ultraviolettvalguse abil vesinikuks ja hapnikuks ning vesinik kadus termilise põgenemise tõttu
C.seda tarbis janunevate marslaste tsivilisatsioon
D.see aurustus intensiivse vulkaanilisuse perioodil ja kadus termilise põgenemise tõttu kosmosesse",b,"õige vastus on b: see purustati ultraviolettvalguse abil vesinikuks ja hapnikuks ning vesinik kadus termilise põgenemise tõttu. marsi atmosfääri õhuke olek ja nõrk magnetväli võimaldavad ultraviolettvalgusel lõhustada veemolekule vesinikuks ja hapnikuks. kuna vesinik on väga kerge element, on see võimeline marsi nõrga gravitatsiooni tõttu atmosfäärist põgenema, mis viib vee kadumiseni aja jooksul.",true
"Õpitud abitus on tõenäoliselt otseselt seotud
A.Barnumi efekt.
B.omakasupüüdlik eelarvamus.
C.väline kontrollikoht.
D.tingimusteta positiivne lugupidamine.",c,"õpitud abitus on tõenäoliselt otseselt seotud **c. väline kontrollikoht**.

õpitud abitus on psühholoogiline seisund, kus inimene on õppinud uskuma, et ta ei suuda mõjutada sündmusi enda ümber, mis viib passiivsuse ja motivatsiooni languseni. väline kontrollikoht tähendab uskumust, et inimese saatus või toimuvad sündmused ei sõltu tema enda tegevusest, vaid pigem välistest jõududest või õnnest. see seos on kooskõlas õpitud abituse kontseptsiooniga, kus inimesed tunnevad, et nad ei oma kontrolli oma olukorra üle ja seetõttu ei püüa nad oma olukorda parandada.",true
"Milline psühholoogiline perspektiiv oli kahekümnenda sajandi vahetusel Lääne-Euroopas kõige populaarsem?
A.neuroteadus
B.evolutsiooniline
C.biheivioristlik
D.Psühhoanalüütiline",d,"d. psühhoanalüütiline

kahekümnenda sajandi vahetusel oli lääne-euroopas kõige populaarsem psühholoogiline perspektiiv psühhoanalüütiline. sigmund freudi poolt välja töötatud psühhoanalüüs oli sel ajal väga mõjukas, keskendudes alateadvusele, unenägudele ja varajastele lapsepõlvekogemustele kui peamistele psüühika mõjutajatele.",true
"Induktiivpoolis indutseeritud pinge on kujutatud järgmiselt:
A.selle induktiivsuse ja selle kaudu kulgeva voolu toode.
B.selle induktiivsuse ja selle kaudu kulgeva voolu suhe.
C.voolu suhe läbi selle induktiivsuse.
D.selle induktiivsuse ja selle kaudu voolu muutumise kiiruse tulemus.",d,"õige vastus on:
d. selle induktiivsuse ja selle kaudu voolu muutumise kiiruse tulemus.

induktiivpoolis indutseeritud pinge (elektromotoorjõud) on võrdeline pooli induktiivsusega (l) ja voolu muutumise kiirusega ajas (di/dt). see seos on kirjeldatud faraday seadusega elektromagnetilise induktsiooni kohta ja väljendub valemiga:
\[ e = -l \frac{di}{dt} \]
kus:
e - indutseeritud pinge,
l - induktiivsus,
di/dt - voolu muutumise kiirus ajas.

miinusmärk valemis näitab, et indutseeritud pinge töötab voolu muutusele vastu (lenzi seadus).",true
