Question,CorrectAnswer,GivenAnswer,Correct
"Missä tilassa vuoden 1999 elokuva Magnolia sijoittuu?
A.Kalifornia
B.Etelä-Carolina
C.Georgia
D.Texas",a,a. kalifornia,true
"Mikä on näyttelijä Antonio Banderasin äidinkieli?
A.Espanja
B.Venäjä
C.Saksa
D.Ranska",a,a. espanja,true
"Mikä näistä ruokia on valmistettu sian suolistosta?
A.haggis
B.Chitlins
C.ryynit
D.chop suey",b,b. chitlins on valmistettu sian suolistosta.,true
"Mikä on Alankomaiden virallinen kieli?
A.Tanska
B.Ruotsi
C.Saksa
D.Hollanti",d,d.hollanti,true
"Yritykset harjoittavat sosiaalista kirjanpitoa _________ vaatimusten mukaisesti tunnistaakseen ________, parantaakseen ___________ ja kannustaakseen _________ ja ___________
A.Sidosryhmät, riskit, sidosryhmien hallinta, vastuullisuus, läpinäkyvyys
B.Sidosryhmät, vastuullisuus, avoimuus, riskit, sidosryhmien hallinta
C.Sidosryhmät, vastuullisuus, riskit, sidosryhmät, sidosryhmien hallinta
D.Sidosryhmät, sidosryhmien hallinta, avoimuus, riskit, vastuullisuus",a,"a. sidosryhmät, riskit, sidosryhmien hallinta, vastuullisuus, läpinäkyvyys",true
"Mikä näistä kauhuelokuvista synnytti eniten jatko-osia?
A.Huutaa""
B.Leuat'
C.Halloween""
D.Perjantai 13. päivä""",d,"d. ""perjantai 13. päivä"" (friday the 13th) -sarja on tunnettu siitä, että siitä on tehty useita jatko-osia. sarjaan kuuluu alkuperäisen elokuvan lisäksi 11 jatko-osaa, mukaan lukien uudelleenkäynnistys ja crossovereita, kuten ""freddy vs. jason"".",true
"Tunnista seuraavan ehdollisen väitteen edeltäjä: Mehiläiset voittavat ensimmäisen pelinsä vain, jos joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään.
A.Aardvarks ei voita ensimmäistä peliään.
B.Mehiläiset voittavat ensimmäisen pelinsä.
C.Maaoravat eivät voita ensimmäistä peliään.
D.Joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään.",b,"ehdollisessa väitteessä ""mehiläiset voittavat ensimmäisen pelinsä vain, jos joko aardvarks tai chipmunks eivät voita ensimmäisiä pelejään"" edeltäjä on se osa väitettä, joka ilmaisee ehdollisen tapahtuman. tässä tapauksessa edeltäjä on ""mehiläiset voittavat ensimmäisen pelinsä"". vastaus on siis:

b. mehiläiset voittavat ensimmäisen pelinsä.",true
"Mikä psykologinen näkökulma oli suosituin kahdennenkymmenennen vuosisadan vaihteessa Länsi-Euroopassa?
A.neurotiede
B.kehitysopillinen
C.behavioristi
D.psykoanalyyttinen",d,"d.psykoanalyyttinen

psykoanalyyttinen näkökulma, joka perustuu sigmund freudin teorioihin, oli erittäin suosittu ja vaikutusvaltainen psykologian suuntaus 1900-luvun alussa länsi-euroopassa. freudin teoriat mielen rakenteesta, alitajunnasta ja psykoseksuaalisesta kehityksestä vaikuttivat merkittävästi sekä psykologiaan että laajemmin kulttuuriin ja taiteeseen tuohon aikaan.",true
"Mikä on termi sille, missä määrin kilpailu yhdessä maassa vaikuttaa kilpailuun muissa maissa?
A.Kansainvälinen kauppa
B.Globaali talous
C.Maailmanlaajuinen kilpailu
D.Globalisaatio",d,"oikea termi, joka kuvaa sitä, missä määrin kilpailu yhdessä maassa vaikuttaa kilpailuun muissa maissa, on d. globalisaatio. globalisaatio tarkoittaa prosessia, jossa yritykset ja markkinat integroituvat yli kansallisten rajojen, mikä lisää kilpailua ja taloudellista riippuvuutta maiden välillä.",true
"Mitä seuraavista tekijöistä pidettäisiin Rivan ""vetovoimatekijänä"", kun harkitaan muuttoa Intiasta Yhdysvaltoihin?
A.Äärimmäinen köyhyys
B.Parempi työpaikka ja korkeammat palkat
C.Intian kastijärjestelmä
D.Väkivalta hänen naapurustossaan",b,"b. parempi työpaikka ja korkeammat palkat

tämä vaihtoehto kuvaa tyypillistä ""vetovoimatekijää"", joka houkuttelee ihmisiä muuttamaan maasta toiseen parempien taloudellisten mahdollisuuksien perässä.",true
