Question,CorrectAnswer,GivenAnswer,Correct
"Cén staid ina bhfuil sraith an scannáin Magnolia i 1999?
A.California
B.Carolina Theas
C.An tSeoirsia
D.Texas",a,a. california,true
"Cad é an téarma ar a mhéid a bhíonn tionchar ag iomaíocht i dtíortha eile ar an iomaíocht i dtír amháin?
A.Trádáil idirnáisiúnta
B.Eacnamaíocht dhomhanda
C.Iomaíocht dhomhanda
D.Domhandú",d,c. iomaíocht dhomhanda,false
"Is cosúil go bhfuil daoine fásta meánaosta níos ____ ná daoine fásta níos sine nó níos óige
A.Generative
B.NeuroticName
C.In-chomhaontaithe
D.Áirithe",a,a. generative,true
"Cad í teanga oifigiúil na hÍsiltíre?
A.Danmhairgis
B.Sualainnis
C.Gearmáinis
D.Ísiltíris",d,d. ísiltíris,true
"Cad é teanga dhúchais an aisteora Antonio Banderas?
A.Spainnis
B.Rúisis
C.Gearmáinis
D.Fraincis",a,a. spainnis,true
"Tagraíonn an cheist seo don eolas seo a leanas.
""Go deimhin, mar an dá fatwas de idirdhealú [scoláirí] a bhunaíonn a dtuairim ar chúis agus traidisiún araon agus an comhdhearcadh an phobail Sunni aontú go gcaithfidh an oibleagáid ársa extirpation, extermination, agus díbirt nuálaíocht olc a bheith mar aidhm ár mian exalted, le haghaidh ""Is zeal Reiligiúnach bua do Chreideamh Dé an Beneficent""; ansin, i gcomhréir leis na focail ar an Prophet (Síocháin air!) ""Gidh bé isteach nuálaíocht olc isteach ní mór ár n-ordú a dhíbirt"" agus ""Gidh bé a mhúintear i gcoinne ár n-ordú ní mór a dhíbirt,"" Tá gníomh a bheith riachtanach agus exigent...""
Litir ó Ottoman Sultan Selim I go Safavid Shah Ismail I, 1514
Tharraing na Safavids ire na n-impireachtaí Ioslamacha ar nós an Ottoman agus na hImpireachtaí Mughal go príomha mar gheall ar na Safavids
A.impireacht leathnaitheach a bhí suite go geografach idir dhá fhorleathnóir eile
B.dhiúltaigh na tenets lárnach an Ioslam
C.críostaithe enslaved, agus d'iompaigh siad ina trodaithe Safavid
D.D'fhógair Ismail é féin a bheith ina Caliph",a,a. impireacht leathnaitheach a bhí suite go geografach idir dhá fhorleathnóir eile,true
"Glacann gnólachtaí páirt i gcuntasaíocht shóisialta mar gheall ar éilimh ó _________, chun ________ a aithint, chun ___________ a fheabhsú agus chun _________ agus ___________ a spreagadh
A.Geallsealbhóirí, Rioscaí, Bainistíocht Geallsealbhóirí, Cuntasacht, Trédhearcacht
B.Geallsealbhóirí, Cuntasacht, Trédhearcacht, Rioscaí, Bainistíocht Geallsealbhóirí
C.Geallsealbhóirí, Cuntasacht, Rioscaí, Geallsealbhóirí, Bainistíocht Geallsealbhóirí
D.Geallsealbhóirí, Bainistíocht Geallsealbhóirí, Trédhearcacht, Rioscaí, Cuntasacht",a,"a. geallsealbhóirí, rioscaí, bainistíocht geallsealbhóirí, cuntasacht, trédhearcacht",true
" Cuireann an uirlis mhargaíochta agus chumarsáide seo spreagadh díreach nó dreasacht ar fáil chun custaiméirí a spreagadh chun táirge/seirbhís a cheannach:
A.Fógraíocht.
B.Caidreamh poiblí.
C.Cur chun cinn díolacháin.
D.Margaíocht dhíreach.",c,c. cur chun cinn díolacháin.,true
"Cé acu de na miasa seo a dhéantar as intestines muc?
A.Haggis
B.Chitlins
C.Grits
D.Chop Suey",b,"is é an freagra ceart ná b. chitlins. déantar chitlins as intestines muc, agus is mias traidisiúnta é i gcultúr an deiscirt sna stáit aontaithe.",true
"Is féidir leis an bhfuinneamh a scaoiltear ó mhiondealú na bhfosfáití ardfhuinnimh, ATP agus fosphocreatine, cleachtadh uasta exertion a chothú ar feadh thart:
A.1-2 soicind.
B.5-10 soicind.
C.30-40 soicind.
D.50-60 soicind.",b,"is féidir leis an bhfuinneamh a scaoiltear ó mhiondealú na bhfosfáití ardfhuinnimh, atp agus fosphocreatine, cleachtadh uasta exertion a chothú ar feadh thart ar:
c. 30-40 soicind.",false
"Léirítear an voltas a spreagtar in ionduchtóir mar,
A.táirge a ionduchtais agus a srutha tríd.
B.cóimheas idir a ionduchtú agus an sruth tríd.
C.cóimheas srutha tríd go dtí a ionduchtas.
D.a ionduchtú agus a ráta athraithe srutha tríd.",d,"is é an freagra ceart ná:
d. a ionduchtú agus a ráta athraithe srutha tríd.

sa mhatamaitic, léirítear é seo leis an bhfoirmle:
\[ v = l \frac{di}{dt} \]
áit a bhfuil \( v \) an voltas a spreagtar, \( l \) an ionduchtas, agus \( \frac{di}{dt} \) an ráta athraithe srutha le himeacht ama.",true
"Léirítear autocorrelation iarmharach diúltach ag cé acu ceann amháin díobh seo a leanas?
A.Patrún timthriallach sna hiarmharacha
B.Patrún ailtéarnach sna hiarmharacha
C.Randamacht iomlán sna hiarmharacha
D.Iarmharacha atá gar do nialas",b,"b. patrún ailtéarnach sna hiarmharacha

autocorrelation iarmharach diúltach a léirítear nuair a bhíonn patrún ailtéarnach sna hiarmharacha. ciallaíonn sé seo go bhfuil na hiarmharacha ag athrú go rialta idir dearfach agus diúltach, rud a léiríonn go bhfuil an tsamhail reatha ag cur i bhfad ró-mhór nó ró-bheag san áireamh i dtéarmaí an treocht roimhe seo.",true
"Cé acu de na scannáin uafáis seo a sceith na sequels is mó?
A.Scread'
B.Jaws'
C.Oíche Shamhna'
D.Dé hAoine an 13ú'",d,"is é an tsraith ""oíche shamhna"" (halloween) an tsraith a sceith na sequels is mó. tá 13 scannán san iomlán sa tsraith seo, lena n-áirítear an scannán bunaidh a eisíodh sa bhliain 1978 agus roinnt sequels agus athdhéanamh. tá an tsraith seo ar cheann de na sraitheanna scannán uafáis is cáiliúla agus is buaine, agus leanann sé scéal michael myers, dúnmharfóir sraitheach.",true
"Is cineál sonrach pearsantachta inmholta é fallacy na pearsantachta
A.Titim na timpiste
B.Aincheist bhréagach
C.Ag impí ar an gceist
D.Réasúnaíocht chiorclach",a,"is é an freagra ceart ná c. ag impí ar an gceist. is cineál lochtach é fallacy na pearsantachta ina ndéantar breithiúnas ar an argóint bunaithe ar thréithe pearsanta an duine a chuireann an argóint chun cinn, seachas ar fhiúntas na hargóinte féin. is minic a úsáidtear é chun iarracht a dhéanamh duine a dhícháiliú nó a cháineadh go pearsanta in ionad a argóintí a phlé go loighciúil.",true
"I gciorcad sraithe, más é 2 A an sruth i lampa amháin, is é an sruth sa lampa in aice leis
A.leath, 1 A
B.2:00 AM
C.Braitheann sé ar a bhfuil lampa níos gaire don cheallra
D.Níl go leor eolais le rá",b,"i gciorcad sraithe, tá an sruth céanna ag sreabhadh tríd gach comhpháirt sa chiorcad. mar sin, má tá sruth de 2 a ag sreabhadh trí lampa amháin, beidh an sruth céanna, 2 a, ag sreabhadh tríd an lampa in aice leis. ní athraíonn an sruth ag brath ar shuíomh na gcomhpháirteanna sa chiorcad sraithe. mar sin, is é an freagra ceart:

b. 2 a",true
