Question,CorrectAnswer,GivenAnswer,Correct
" Esta ferramenta de márketing e comunicación ofrece unha indución directa ou un incentivo para animar aos clientes a comprar un produto/servizo:
A.Publicidade.
B.Relacións públicas.
C.Promoción de vendas.
D.Mercadotecnia directa.",c,c. promoción de vendas.,true
"Cal é a lingua oficial dos Países Baixos?
A.Dinamarqués
B.Sueco
C.Alemán
D.Holanda",d,"a língua oficial dos países baixos é o holandês. portanto, a resposta correta seria:

d. holandês",true
"As empresas participan na contabilidade social debido ás demandas de _________, co fin de identificar ________, mellorar a ___________ e fomentar _________ e ___________
A.Partes interesadas, riscos, xestión das partes interesadas, rendición de contas, transparencia
B.Partes interesadas, rendición de contas, transparencia, riscos, xestión das partes interesadas
C.Partes interesadas, rendición de contas, riscos, partes interesadas, xestión das partes interesadas
D.Partes interesadas, xestión das partes interesadas, transparencia, riscos, rendición de contas",a,"a. partes interesadas, riscos, xestión das partes interesadas, rendición de contas, transparencia",true
"En que estado está a película Magnolia de 1999?
A.California
B.Carolina do Sur
C.Xeorxia
D.Texas",a,"a película ""magnolia"" de 1999 está ambientada en el estado de california, estados unidos. por lo tanto, la respuesta correcta es:

a. california",true
"Que é o actor Antonio Banderas lingua nativa?
A.Españois
B.Ruso
C.Alemán
D.Francés",a,"a. español

antonio banderas é um ator espanhol, nascido em málaga, espanha. portanto, sua língua nativa é o espanhol.",true
"Cal é o termo para ata que punto a competencia nun país está influenciada pola competencia noutros países?
A.Comercio internacional
B.Economía global
C.Competencia global
D.Globalización",d,"a resposta correcta é: c. competencia global

este termo refírese a como as empresas e industrias dun país en particular compiten con empresas e industrias de outros países, influenciando así a dinámica de mercado, estratexias empresariais e desenvolvemento económico a nivel global.",false
"A autocorrelación residual negativa indícase por cal é unha das seguintes?
A.Patrón cíclico nos residuais
B.Patrón alternante nos residuais
C.Unha aleatoriedade completa nos residuos
D.Residuos que están todos próximos a cero",b,"a autocorrelación residual negativa, tamén coñecida como autocorrelación inversa, ocorre cando os residuos dun modelo de regresión están correlacionados de tal maneira que un valor positivo é seguido frecuentemente por un valor negativo e viceversa. isto manifestase como un patrón alternante nos residuais. polo tanto, a resposta correcta é:

b. patrón alternante nos residuais",true
"Un imposto imposto a un provedor será máis probable que se transmita ao consumidor en forma de aumento de prezos se
A.A elasticidade de prezos da demanda é altamente elástica.
B.A elasticidade de prezos da demanda é altamente inelástica.
C.A elasticidade dos prezos da demanda é elástica unitaria.
D.A elasticidade salarial da demanda é altamente elástica.",b,"b. a elasticidade de prezos da demanda é altamente inelástica.

cando a demanda é altamente inelástica, significa que os consumidores seguirán comprando case a mesma cantidade do produto a pesar de aumentos nos prezos. isto dálle ao provedor máis capacidade para transmitir o custo adicional do imposto aos consumidores en forma de aumento de prezos, xa que a redución na cantidade demandada será relativamente pequena.",true
"Cal dos seguintes países emitiu máis CO2 per cápita en 2017?
A.Xapón
B.Canadá
C.Rusia
D.Irán",b,"en 2017, canadá emitiu máis co2 per cápita en comparación con xapón, rusia e irán. canadá é coñecido por ter unha alta emisión de co2 per cápita debido á súa dependencia de recursos enerxéticos intensivos en carbono e unha poboación relativamente pequena espallada por unha gran área xeográfica, o que aumenta o consumo de enerxía para transporte e calefacción.",true
"Que perspectiva psicolóxica foi máis popular a comezos do século XX en Europa Occidental?
A.Neurociencia
B.Evolución
C.Conductista
D.Psicanalíticos",d,"a perspectiva psicolóxica máis popular a comezos do século xx en europa occidental foi a **d. psicanalítica**. esta perspectiva foi desenvolvida por sigmund freud, quen enfocou moito do seu traballo na importancia do inconsciente, os soños, e a dinámica da personalidade. a teoría psicanalítica tivo un impacto profundo non só na psicoloxía, senón tamén na cultura, na arte e na literatura da época.",true
"Cal dos seguintes factores sería considerado un factor de ""tirón"" para Riva ao considerar un paso da India a Estados Unidos?
A.Pobreza abxecta
B.Mellor emprego e salarios máis altos
C.Sistema de castas da India
D.Violencia no seu barrio",b,"o factor que sería considerado un factor de ""tirón"" para riva ao considerar un paso da india a estados unidos é:

b. mellor emprego e salarios máis altos

este factor é un exemplo clásico de ""tirón"" porque representa unha atracción positiva cara a un novo destino, neste caso, estados unidos, ofrecendo oportunidades de mellora económica e profesional que poden ser máis atractivas que as condicións actuais na india.",true
