Question,CorrectAnswer,GivenAnswer,Correct
"નેધરલેન્ડ્સની સત્તાવાર ભાષા શું છે?
A.ડેનિશ
B.સ્વીડિશ
C.જર્મન
D.ડચ",D,D.ડચ,D
"અભિનેતા એન્ટોનિયો બંદેરાસ મૂળ ભાષા શું છે?
A.સ્પૅનિશ
B.રશિયન
C.જર્મન
D.ફ્રેન્ચ",A,"A.સ્પૅનિશ

એન્ટોનિયો બંદેરાસ મૂળ સ્પેનથી છે અને તેમની મૂળ ભાષા સ્પૅનિશ છે.",A
"વ્યવસાયો _________ માંગને કારણે સામાજિક એકાઉન્ટિંગમાં જોડાય છે, જેથી ________ ઓળખવા, ___________ સુધારવા અને _________ અને ___________
A.હિતધારકો, જોખમો, હિસ્સેદારોનું વ્યવસ્થાપન, જવાબદારી, પારદર્શકતા
B.હિતધારકો, જવાબદારી, પારદર્શકતા, જોખમો, હિસ્સેદારોનું વ્યવસ્થાપન
C.હિસ્સેદારો, જવાબદારી, જોખમો, હિસ્સેદારો, હિસ્સેદારોનું સંચાલન
D.હિસ્સેદારો, હિસ્સેદારોનું વ્યવસ્થાપન, પારદર્શકતા, જોખમો, જવાબદારી",A,"A. હિતધારકો, જોખમો, હિસ્સેદારોનું વ્યવસ્થાપન, જવાબદારી, પારદર્શકતા",A
"1999 માં આવેલી ફિલ્મ મેગ્નોલિયા' કયા રાજ્યમાં સેટ થઈ છે?
A.કેલિફોર્નિયા
B.દક્ષિણ કેરોલિનાusa. kgm
C.જ્યોર્જિયા
D.ટેક્સાસ",A,"A.કેલિફોર્નિયા

1999 માં આવેલી ફિલ્મ 'મેગ્નોલિયા' કેલિફોર્નિયા રાજ્યમાં સેટ થઈ છે.",A
"શું છે રિપ્લે એટેક?
A.જ્યારે હુમલાખોર સિસ્ટમ દ્વારા તેને મોકલેલા સંદેશાનો જવાબ આપે છે
B.એક હુમલો જે સતત પુનરાવર્તિત થાય છે, નબળાઇ માટે તપાસ કરે છે
C.એક હુમલો જે સિસ્ટમના પોતાના સંદેશાઓનો ઉપયોગ કરે છે અને તેથી તેની સામે બચાવ કરી શકાતો નથી
D.હુમલાખોરે કબજે કરેલા સંદેશને ફરીથી મોકલે છે, અને સાઇટ તેનો સ્વીકાર કરે છે અને હુમલાખોરની તરફેણમાં જવાબ આપે છે",D,"D.હુમલાખોરે કબજે કરેલા સંદેશને ફરીથી મોકલે છે, અને સાઇટ તેનો સ્વીકાર કરે છે અને હુમલાખોરની તરફેણમાં જવાબ આપે છે",D
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}$ શોધો.
A.1
B.-1
C.0
D.2",B,"To solve the expression $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}$, we can start by simplifying each part:

1. Simplify $-\dfrac{1}{-3}$:
   \[
   -\dfrac{1}{-3} = \dfrac{1}{3}
   \]

2. Simplify $\cfrac{1}{~\frac{1}{-3}~}$:
   \[
   \cfrac{1}{~\frac{1}{-3}~} = -3
   \]
   (since taking the reciprocal of $\frac{1}{-3}$ gives $-3$).

Now, multiply the two simplified parts together:
\[
\dfrac{1}{3} \cdot (-3) = -1
\]

Thus, the value of the expression $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}$ is \(\boxed{-1}\).

The correct answer is B. -1.",B
"શ્રેણી પરિપથમાં, જો એક લેમ્પમાં વિદ્યુતપ્રવાહ 2 A હોય, તો તેની બાજુના લેમ્પમાં વિદ્યુતપ્રવાહ હોય છે
A.અડધું, 1 A
B.2:00 PM
C.બેટરીની નજીક કયો લેમ્પ છે તેના પર આધાર રાખે છે
D.કહેવા માટે પૂરતી માહિતી નથી",B,"શ્રેણી પરિપથમાં, બધા ઘટકો એક જ વિદ્યુતપ્રવાહ પસાર કરે છે. આ માટે, જો એક લેમ્પમાં વિદ્યુતપ્રવાહ 2 A હોય, તો તેની બાજુના લેમ્પમાં પણ વિદ્યુતપ્રવાહ 2 A જ હોવો જોઈએ. આથી, યોગ્ય જવાબ છે:

B. 2 A",B
"એક દેશમાં સ્પર્ધા બીજા દેશોની સ્પર્ધાથી કેટલી હદે પ્રભાવિત થાય છે તે માટેનો શબ્દ શું છે?
A.આંતરરાષ્ટ્રીય વેપાર
B.વૈશ્વિક અર્થશાસ્ત્ર
C.વૈશ્વિક સ્પર્ધા
D.વૈશ્વિકરણ",D,"D. વૈશ્વિકરણ

વૈશ્વિકરણ એ એવી પ્રક્રિયા છે જેમાં દેશો અને તેમની અર્થવ્યવસ્થાઓ વધુ નિકટતાથી જોડાય છે અને એક બીજા પર પરસ્પર અવલંબિત થાય છે. આ પ્રક્રિયા વૈશ્વિક સ્પર્ધા, વેપાર, અને સહયોગને પ્રોત્સાહિત કરે છે.",D
"આમાંથી કઈ વાનગી ડુક્કરના આંતરડામાંથી બનાવવામાં આવે છે?
A.હાગીસ
B.ચિટલીન્સ
C.ગ્રિટ્સ
D.chop suey",B,"B. ચિટલીન્સ

ચિટલીન્સ એક પારંપારિક દક્ષિણી અમેરિકન વાનગી છે જે ડુક્કરના આંતરડાઓમાંથી બનાવવામાં આવે છે. આ વાનગીમાં આંતરડાઓને સાફ કરીને લાંબો સમય સુધી ઉકાળવામાં આવે છે, જેથી તે નરમ અને સ્વાદિષ્ટ બને છે.",B
"આમાંની કઈ હોરર ફિલ્મોએ સૌથી વધુ સિક્વલ બનાવી છે?
A.ચીસો'
B.જડબાં'
C.હેલોવીન'
D.13મીને શુક્રવાર'",D,"C. હેલોવીન'

હેલોવીન ફિલ્મ સિરીઝમાં મૂળ ફિલ્મની સાથે ઘણા બધા સિક્વલ અને રીબૂટ બન્યા છે, જેમાં મૂળ કથાને વધુ વિસ્તારથી અને વિવિધ દૃષ્ટિકોણોથી દર્શાવવામાં આવી છે. આ સિરીઝની પ્રથમ ફિલ્મ 1978માં આવી હતી અને તેની સફળતાએ અનેક સિક્વલ્સને જન્મ આપ્યો.",C
