Question,CorrectAnswer,GivenAnswer,Correct
" כלי שיווק ותקשורת זה מציע תמריץ ישיר או תמריץ לעודד לקוחות לקנות מוצר/שירות:
A.פרסום.
B.יחסי ציבור.
C.קידום מכירות.
D.שיווק ישיר.",c,c. קידום מכירות.,true
"מהי השפה הרשמית של הולנד?
A.דנית
B.שוודית
C.גרמנית
D.הולנדית",d,d. הולנדית,true
"באיזה מצב מתרחש הסרט ""מגנוליה"" מ-1999?
A.קליפורניה
B.דרום קרוליינה
C.גרוזיה
D.טקסס",a,a. קליפורניה,true
"איזה מהמאכלים האלה עשוי ממעיים של חזירים?
A.האגיס
B.צ'יטלינס
C.גריסים
D.צ'ופ סואי",b,המאכל שעשוי ממעיים של חזירים הוא b. צ'יטלינס.,true
"עסקים עוסקים בחשבונאות חברתית עקב דרישות _________, על מנת לזהות ________, לשפר ___________ ולעודד _________ ___________
A.בעלי עניין, סיכונים, ניהול בעלי עניין, אחריותיות, שקיפות
B.בעלי עניין, אחריותיות, שקיפות, סיכונים, ניהול בעלי עניין
C.בעלי עניין, אחריותיות, סיכונים, בעלי עניין, ניהול בעלי עניין
D.בעלי עניין, ניהול בעלי עניין, שקיפות, סיכונים, אחריות",a,"a. בעלי עניין, סיכונים, ניהול בעלי עניין, אחריותיות, שקיפות",true
"מהו המונח עד כמה התחרות במדינה אחת מושפעת מהתחרות במדינות אחרות?
A.סחר בינלאומי
B.כלכלה גלובלית
C.תחרות עולמית
D.גלובליזציה",d,המונח המתאים ביותר לתיאור עד כמה התחרות במדינה אחת מושפעת מהתחרות במדינות אחרות הוא c.תחרות עולמית.,false
"איזה מסרטי האימה האלה הוליד הכי הרבה סרטי המשך?
A.לצרוח'
B.מלתעות'
C.ליל כל הקדושים
D.יום שישי ה-13'",d,"הסדרה שהולידה הכי הרבה סרטי המשך מבין האפשרויות שהוצעו היא ""יום שישי ה-13"" (friday the 13th). הסדרה כוללת 12 סרטים, כולל סרט ההמשך ""פרדי נגד ג'ייסון"" וסרט הריבוט משנת 2009.",true
"מדוע פרפית מתנגדת לשוויון?
A.לטענתו, חברה לא שוויונית היא בלתי נמנעת.
B.הוא טוען שעל ידי מתן עדיפות לצרכי העניים, נוכל להגדיל את השוויון.
C.הוא טוען שכל אחד מאיתנו אחראי לעוני שלו.
D.הוא דוחה את רעיון השוויון מכל וכל.",b,"התשובה הנכונה היא d. פרפית דוחה את רעיון השוויון מכל וכל. הוא טוען שהשוויון הוא לא ערך מוסרי בפני עצמו ושאין צורך לשאוף לחברה שוויונית. לדעתו, חשוב יותר להתמקד בחירות האישית ובאחריות האישית, ולא בשוויון תוצאות.",false
"Find $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"first, simplify the expression inside the multiplication:

\[
-\frac{1}{-3} \cdot \frac{1}{\frac{1}{-3}}
\]

we start by simplifying \(-\frac{1}{-3}\). since the negatives cancel out, this simplifies to:

\[
\frac{1}{3}
\]

next, consider the term \(\frac{1}{\frac{1}{-3}}\). this can be rewritten as the reciprocal of \(\frac{1}{-3}\), which is \(-3\):

\[
\frac{1}{\frac{1}{-3}} = -3
\]

now, substitute these simplified values back into the original expression:

\[
\frac{1}{3} \cdot (-3)
\]

multiply the two values:

\[
\frac{1}{3} \cdot (-3) = -1
\]

thus, the value of the expression is \(\boxed{-1}\).",true
"נראה כי מבוגרים בגיל העמידה הם יותר ____ מאשר מבוגרים או צעירים
A.גנרטיבי
B.נוירוטי
C.נוח
D.מסוימים",a,"התשובה הנכונה היא: a.גנרטיבי

המונח ""גנרטיבי"" מתייחס לתקופה בחיי האדם שבה הוא מרגיש צורך להשפיע ולהותיר ירושה, לדאוג לדור הבא ולתרום לחברה. זהו מונח שהוצג על ידי הפסיכולוג אריק אריקסון בתיאורייתו על שמונה שלבי התפתחות האישיות. בגיל העמידה, אנשים נמצאים בשלב הגנרטיביות, שבו הם מעוניינים להשפיע ולתרום לדורות הבאים.",true
