Question,CorrectAnswer,GivenAnswer,Correct
"Koji je glumac Antonio Banderas materinji jezik?
A.Španjolski
B.Ruski
C.Njemački
D.Francuski",a,a. španjolski,true
" Ovaj marketinški i komunikacijski alat nudi izravan poticaj ili poticaj za poticanje kupaca na kupnju proizvoda / usluge:
A.Oglašavanje.
B.Odnosi s javnošću.
C.Unapređenje prodaje.
D.Izravni marketing.",c,c. unapređenje prodaje.,false
"Koji je službeni jezik Nizozemske?
A.Danski
B.Švedski
C.Njemački
D.Nizozemski",d,d.nizozemski,true
"Poduzeća se bave socijalnim računovodstvom zbog zahtjeva _________, kako bi ________ identificirala, poboljšala ___________ i potaknula _________ i ___________
A.Dionici, rizici, upravljanje dionicima, odgovornost, transparentnost
B.Dionici, odgovornost, transparentnost, rizici, upravljanje dionicima
C.Dionici, odgovornost, rizici, dionici, upravljanje dionicima
D.Dionici, upravljanje dionicima, transparentnost, rizici, odgovornost",a,"a. dionici, rizici, upravljanje dionicima, odgovornost, transparentnost",true
"U kojem je stanju smješten film Magnolia iz 1999.?
A.Kalifornija
B.Južna Karolina
C.Gruzija
D.Texas",a,"film ""magnolia"" iz 1999. godine smješten je u kaliforniji, sad. dakle, točan odgovor je:
a. kalifornija",true
"Koji je pojam u kojoj mjeri na tržišno natjecanje u jednoj zemlji utječe tržišno natjecanje u drugim zemljama?
A.Međunarodna trgovina
B.Globalna ekonomija
C.Globalna konkurencija
D.Globalizacija",d,"odgovor je d. globalizacija. globalizacija opisuje proces sve veće međusobne povezanosti i ovisnosti svjetskih tržišta i poslovnih operacija, što uključuje i povećanje tržišnog natjecanja između zemalja.",true
"Koji bi se od sljedećih čimbenika smatrao faktorom ""privlačenja"" za Rivu kada se razmatra prelazak iz Indije u Sjedinjene Države?
A.Bijedno siromaštvo
B.Bolji posao i veće plaće
C.Indijski kastinski sustav
D.Nasilje u njenom susjedstvu",b,"b. bolji posao i veće plaće

ovaj čimbenik se smatra faktorom ""privlačenja"" jer nudi pozitivne mogućnosti i potencijal za poboljšanje životnog standarda, što može motivirati osobu poput rive da se preseli iz indije u sjedinjene države.",true
"Koje je od ovih jela napravljeno od svinjskih crijeva?
A.Haggis
B.Chitlini
C.krupica
D.Chop Suey",b,"od navedenih jela, chitlini su napravljeni od svinjskih crijeva. chitlini su tradicionalno jelo u južnim dijelovima sjedinjenih američkih država i obično se pripremaju kuhanjem ili prženjem očišćenih svinjskih crijeva.",true
"Mutacije koje uzrokuju ahondroplaziju djeluju kao učinak koji se može klasificirati kao:
A.Dominantno negativno.
B.stjecanje funkcije.
C.haploinsufficiency.
D.gubitak funkcije.",b,"mutacije koje uzrokuju ahondroplaziju obično se klasificiraju kao mutacije koje dovode do ""stjecanja funkcije"" (eng. gain of function). to znači da mutacija u genu fgfr3 (fibroblast growth factor receptor 3) uzrokuje da protein fgfr3 postane preaktiviran, što dovodi do poremećaja u rastu kostiju i razvoju skeleta. dakle, pravilan odgovor je:

b. stjecanje funkcije.",true
"Koji je od ovih horor filmova iznjedrio najviše nastavaka?
A.Vrisak'
B.Čeljusti'
C.Noć vještica'
D.Petak, 13.",d,"od navedenih horor filmova, serijal ""petak, 13."" (friday the 13th) ima najviše nastavaka. originalni film je izdan 1980. godine, a do danas je iznjedrio brojne nastavke, uključujući i crossover filmove te remake. ukupno, serijal ""petak, 13."" obuhvaća 12 filmova.",true
"Zabluda hvalevrijedne osobnosti je specifična vrsta
A.Zabluda nesreće
B.Lažna dilema
C.Prosjačenje pitanja
D.Kružno rasuđivanje",a,"odgovor na ovo pitanje je c. prosjačenje pitanja. zabluda hvalevrijedne osobnosti (ili argumentum ad verecundiam) je logička zabluda u kojoj se tvrdnja smatra istinitom zato što ju je izrekla osoba koja se smatra autoritetom, iako ta osoba možda nije stručnjak u relevantnom području. ova zabluda pretpostavlja da je tvrdnja istinita bez pravog dokaza, osim autoriteta osobe koja ju iznosi.",false
"Što je napad ponavljanja?
A.Kada napadač odgovori na poruku koju mu je poslao sustav
B.Napad koji se neprestano ponavlja, tražeći slabost
C.Napad koji koristi vlastite poruke sustava i stoga se ne može obraniti od
D.Napadač ponovno šalje snimljenu poruku, a web mjesto prihvaća i odgovara u korist napadača",d,"d. napadač ponovno šalje snimljenu poruku, a web mjesto prihvaća i odgovara u korist napadača

napad ponavljanja (replay attack) je vrsta napada u kojem napadač snima poruku ili transakciju i kasnije je ponovno šalje kako bi izazvao neautorizirani učinak. na primjer, ako napadač snimi poruku u kojoj korisnik autorizira plaćanje, ponovnim slanjem te poruke može doći do neželjenog dodatnog plaćanja.",true
"Napon induciran u induktoru predstavljen je kao,
A.proizvod njegove induktivnosti i struje kroz njega.
B.omjer njegove induktivnosti i struje kroz njega.
C.omjer struje kroz nju i njezine induktivnosti.
D.proizvod njegove induktivnosti i brzine promjene struje kroz njega.",d,"pravilan odgovor je:
d. proizvod njegove induktivnosti i brzine promjene struje kroz njega.

napon induciran u induktoru može se izračunati pomoću faradayevog zakona elektromagnetske indukcije, koji kaže da je inducirani napon u induktoru jednak proizvodu induktivnosti induktora (l) i brzine promjene struje kroz induktor (di/dt). matematički, to se izražava kao:
\[ v = l \frac{di}{dt} \]
gdje je \( v \) inducirani napon, \( l \) induktivnost, a \( \frac{di}{dt} \) brzina promjene struje.",true
"U serijskom krugu, ako je struja u jednoj svjetiljki 2 A, struja u svjetiljki pored nje je
A.pola, 1 A
B.2:00 ujutro
C.Ovisi o tome koja je svjetiljka bliže bateriji
D.Nema dovoljno informacija za reći",b,"u serijskom krugu, struja koja teče kroz svaku komponentu je ista. to znači da ako je struja u jednoj svjetiljci 2 a, struja će biti ista (2 a) i u svim drugim komponentama u tom krugu, uključujući i svjetiljku pored nje. dakle, pravilan odgovor na postavljeno pitanje nije naveden među ponuđenim opcijama a, b, c ili d. pravilan odgovor bi bio da je struja u svjetiljki pored nje također 2 a.",false
"Negativna rezidualna autokorelacija označena je kojim od sljedećih?
A.Ciklički uzorak u ostacima
B.Naizmjenični uzorak u ostacima
C.Potpuna slučajnost u ostacima
D.Ostaci koji su svi blizu nule",b,"negativna rezidualna autokorelacija, koja se ponekad naziva i negativna serijska korelacija, odnosi se na situaciju u kojoj su ostaci (reziduali) modela povezani na način da su pozitivni i negativni ostaci skloni izmjenjivati se. to znači da ako je jedan rezidual pozitivan, sljedeći će vjerojatno biti negativan, i obrnuto. stoga je pravilan odgovor:

b. naizmjenični uzorak u ostacima",true
"Koja je od sljedećih zemalja emitirala najviše CO2 po stanovniku u 2017.?
A.Japan
B.Kanada
C.Rusija
D.Iran",b,"prema podacima iz 2017. godine, kanada je emitirala najviše co2 po stanovniku među navedenim zemljama. kanada je poznata po visokoj emisiji co2 po stanovniku zbog svoje velike ovisnosti o fosilnim gorivima, uključujući naftu i plin, te zbog relativno male gustoće naseljenosti koja povećava ovisnost o prijevozu.",true
"Koja je od sljedećih karakteristika općenito u skladu sa silovanjem?
A.uporaba prekomjerne sile
B.s predumišljajem
C.seksualno motivirani
D.uključuje upotrebu oružja",c,"a. uporaba prekomjerne sile

silovanje često uključuje uporabu prekomjerne sile, gdje počinitelj koristi fizičku moć kako bi nadvladao žrtvu i prisilio je na seksualni akt bez njezinog pristanka. seksualno nasilje može, ali ne mora uvijek uključivati upotrebu oružja ili biti seksualno motivirano u smislu počiniteljeve seksualne želje; često je motivirano željom za moći i kontrolom. preduzimanje silovanja s predumišljajem može se dogoditi, ali nije univerzalna karakteristika svih slučajeva silovanja.",false
"Dio Marsove vode zamrznut je u tlu i ledenim kapama, a neki su izgubljeni zbog sunčanog vjetra, ali smatra se da je velik dio izvorne vode izgubljen drugim mehanizmom. Što se dogodilo s tom ""izgubljenom"" vodom?
A.Ogolilo ga je magnetsko polje kada se brzo smanjilo u snazi
B.Ultraljubičastim svjetlom provaljeno je u vodik i kisik, a vodik je izgubljen toplinskim bijegom
C.progutala ga je civilizacija žednih Marsovaca
D.isparila je tijekom razdoblja intenzivnog vulkanizma i izgubljena je u svemiru toplinskim bijegom",b,"pravilan odgovor na pitanje što se dogodilo s ""izgubljenom"" vodom na marsu je opcija b: ultraljubičastim svjetlom provaljeno je u vodik i kisik, a vodik je izgubljen toplinskim bijegom. ovaj proces, poznat kao fotodisocijacija, uključuje razlaganje molekula vode (h2o) pod utjecajem ultraljubičastog zračenja na vodik (h) i kisik (o). budući da je vodik vrlo lagan, on može lako pobjeći iz marsove atmosfere u svemir, dok kisik ostaje i može reagirati s drugim elementima na marsu.",true
