Question,CorrectAnswer,GivenAnswer,Correct
"Mi Hollandia hivatalos nyelve?
A.Dán
B.Svéd
C.Német
D.Holland",D,D. Holland,D
"Mi Antonio Banderas színész anyanyelve?
A.Spanyol
B.Orosz
C.Német
D.Francia",A,A. Spanyol,A
"Úgy tűnik, hogy a középkorú felnőttek _____-ban vannak, mint az idősebb vagy fiatalabb felnőttek
A.Nemző
B.Neurotikus
C.Kellemes
D.Bizonyos",A,C. Kellemes,C
"Milyen állapotban játszódik az 1999-es Magnólia című film?
A.Kalifornia
B.Dél-Karolina
C.Grúzia
D.Texas",A,A. Kalifornia,A
"Melyik étel készül sertésbélből?
A.Haggis
B.kitlinek
C.Kukoricadara
D.Chop Suey",B,"A felsorolt ételek közül a ""B. kitlinek"" készül sertésbélből. A kitlinek egyfajta kolbász, amelyet sertésbélbe töltve készítenek.",B
"Az alábbiak közül melyik tényező tekinthető ""húzó"" tényezőnek a Riva számára, amikor Indiából az Egyesült Államokba költözik?
A.Nyomorúságos szegénység
B.Jobb munkahely és magasabb bérek
C.India kasztrendszere
D.Erőszak a szomszédságában",B,"B. Jobb munkahely és magasabb bérek

Ez a tényező tekinthető ""húzó"" tényezőnek, mivel vonzó lehetőséget kínál Riva számára, hogy jobb életkörülményeket és magasabb jövedelmet érjen el az Egyesült Államokban.",B
"Ezek közül a horrorfilmek közül melyik szülte a legtöbb folytatást?
A.Sikoly""
B.Pofák""
C.Halloween'
D.Péntek 13-án""",D,"A ""Péntek 13-án"" (Friday the 13th) sorozat szülte a legtöbb folytatást. Az eredeti film 1980-ban jelent meg, és azóta több mint 10 folytatást és egy rebootot (újraindítást) készítettek, beleértve a ""Freddy vs. Jason"" című keresztfilmeket is.",D
" Ez a marketing- és kommunikációs eszköz közvetlen ösztönzést vagy ösztönzést kínál arra, hogy ösztönözze az ügyfeleket egy termék / szolgáltatás megvásárlására:
A.Reklám.
B.Közönségkapcsolatok.
C.Reklámozás.
D.Direkt marketing.",C,"A helyes válasz: D. Direkt marketing.

A direkt marketing olyan marketing- és kommunikációs eszköz, amely közvetlen ösztönzést vagy ösztönzést kínál az ügyfeleknek egy termék vagy szolgáltatás megvásárlására. Ez magában foglalhatja a levelezési kampányokat, e-mail marketinget, SMS-üzeneteket és egyéb közvetlen kapcsolatot a fogyasztókkal.",D
"A vállalkozások a _________ igényei miatt társadalmi elszámolással foglalkoznak a ________ azonosítása, a ___________ javítása, valamint a _________ és ___________ ösztönzése érdekében
A.Érdekelt felek, kockázatok, érdekelt felek kezelése, elszámoltathatóság, átláthatóság
B.Érdekelt felek, elszámoltathatóság, átláthatóság, kockázatok, érdekelt felek kezelése
C.Érdekelt felek, elszámoltathatóság, kockázatok, érdekelt felek, érdekelt felek kezelése
D.Érdekelt felek, érdekelt felek kezelése, átláthatóság, kockázatok, elszámoltathatóság",A,"A vállalkozások a **érdekelt felek** igényei miatt társadalmi elszámolással foglalkoznak a **kockázatok** azonosítása, a **érdekelt felek kezelése**, valamint a **elszámoltathatóság** és **átláthatóság** ösztönzése érdekében.

Válasz: A. Érdekelt felek, kockázatok, érdekelt felek kezelése, elszámoltathatóság, átláthatóság",A
"Mi az a visszajátszásos támadás?
A.Amikor a támadó válaszol a rendszer által küldött üzenetre
B.Olyan támadás, amely folyamatosan ismétlődik, gyengeséget keresve
C.Olyan támadás, amely a rendszer saját üzeneteit használja, ezért nem védekezhető ellene
D.A támadó újra elküldi a rögzített üzenetet, a webhely pedig elfogadja azt, és a támadó javára válaszol",D,"A helyes válasz: D. A támadó újra elküldi a rögzített üzenetet, a webhely pedig elfogadja azt, és a támadó javára válaszol. Ez a visszajátszásos támadás (replay attack) lényege, amikor a támadó egy korábban rögzített adatcsomagot vagy üzenetet újrahasznál az eredeti feladó vagy címzett tudta nélkül, ezzel potenciálisan jogosultságokat szerezve vagy kárt okozva.",D
