Question,CorrectAnswer,GivenAnswer,Correct
"Kedu ihe bụ nkọwa nke Akaụntụ Akaụntụ na Netherlands?
A.Asụsụ Danish
B.Asụsụ Ndi Swedish
C.Asụụ German
D.Asụsụ Dutch",d,d. asụsụ dutch,true
,false
"Gịnị bụ okwu maka ókè asọmpi n'otu mba na-emetụta asọmpi na mba ndị ọzọ?
A.Ahịa mba ụwa
B.Akụ na ụba zuru ụwa ọnụ
C.Asọmpi zuru ụwa ọnụ
D.Ụwa zuru ụwa ọnụ",d,c. asọmpi zuru ụwa ọnụ,false
"Gị bụ onye na-eme ihe nkiri Antonio Banderas asụsụ obodo?
A.Asụsụ Spanish
B.Asụsụ Russia
C.Asụụ German
D.Asụsụ French",a,a. asụsụ spanish,true
" Ahịa a na ngwa nkwukọrịta a na-enye mkpali kpọmkwem ma ọ bụ mkpali iji gbaa ndị ahịa ume ịzụta ngwaahịa / ọrụ:
A.Mgbasa ozi.
B.Mmekọrịta ọha na eze.
C.Sales nkwalite.
D.Direct ahịa.",c,c. sales nkwalite.,true
"Na steeti dị aṅaa bụ ihe nkiri Magnolia nke 1999?
A.California
B.South Carolina
C.Georgia
D.Texas",a,a. california,true
"Azụmaahịa na-etinye aka na akaụntụ mmekọrịta mmadụ na ibe ya n'ihi ihe ndị _________ chọrọ, iji chọpụta ________, iji meziwanye ___________ na ịgba ume _________ na ___________
A.Ndị nwere mmasị, ihe ize ndụ, njikwa ndị nwere mmasị, ịza ajụjụ, Nghọta
B.Ndị nwere mmasị, ịza ajụjụ, nghọta, ihe ize ndụ, Njikwa Ndị Nwere Mmasị
C.Ndị nwere mmasị, ịza ajụjụ, ihe ize ndụ, ndị nwere mmasị, njikwa ndị nwere mmasị
D.Ndị nwere mmasị, Njikwa Stakeholder, Nghọta, Ihe Ize Ndụ, Ịza Ajụjụ",a,"a. ndị nwere mmasị, ihe ize ndụ, njikwa ndị nwere mmasị, ịza ajụjụ, nghọta",true
"Kedu n'ime mba ndị na-esonụ wepụtara CO2 kachasị kwa onye ọ bụla na 2017?
A.Japan
B.Canada
C.Russia
D.Iran",b,"n'afọ 2017, canada wepụtara co2 kachasị kwa onye ọ bụla n'ime mba ndị a kpọtụrụ aha. canada nwere ọkwa dị elu nke ikuku co2 kwa onye ọ bụla n'ihi ụlọ ọrụ ha dị arọ na mmanụ na gas, yana ojiji ha nke ụgbọ ala na ike ọkụ.",true
"The voltaji kpaliri na inductor na-anọchi anya dị ka,
A.Ngwaahịa nke inductance ya ma ugbu a site na ya.
B.A na-eji ya eme ihe na-eme ka ọ bụrụ
C.A na-eji ya eme ihe ugbu a site na ya na inductance ya.
D.Ngwaahịa nke inductance ya na ọnụego mgbanwe nke ugbu a site na ya.",d,"azịza ziri ezi bụ:
d. ngwaahịa nke inductance ya na ọnụego mgbanwe nke ugbu a site na ya.

nke a dabere na iwu lenz na faraday nke electromagnetic induction, nke na-ekwu na voltaji kpaliri na inductor (v) bụ ngwaahịa nke inductance nke inductor (l) na ọnụego mgbanwe nke ugbu a na-agafe na ya (di/dt). nke a na-edebe dị ka v = l(di/dt).",true
"Kedu n'ime ihe ndị a ga-ewere dị ka ihe ""ndọtị"" maka Riva mgbe ị na-atụle ịkwaga India gaa United States?
A.Abject ịda ogbenye
B.Ọrụ ka mma na ụgwọ ọrụ dị elu
C.India si caste usoro
D.Ime ihe ike n'ógbè ya",b,"n'ime nhọrọ ndị a, nhọrọ b, nke bụ ""ọrụ ka mma na ụgwọ ọrụ dị elu,"" ga-ewere dị ka ihe ""ndọtị"" maka riva mgbe ị na-atụle ịkwaga india gaa united states. nke a bụ n'ihi na ọ na-egosi ihe kpatara mmadụ ji achọ ịkwaga mba ọzọ iji chọta ohere ndị ka mma maka ọrụ na ego, nke bụ ihe a na-ahụkarị dị ka ihe na-adọta ndị mmadụ ịkwaga mba ọzọ.",true
"Olee n'ime ihe nkiri ndị a dị egwu kpatara usoro kachasị?
A.Mkpu'
B.Jaws '
C.Halloween '
D.Fraịdee 13'",d,"n'ime ihe nkiri ndị a dị egwu, ""halloween"" bụ nke kpatara usoro kachasị. ""halloween,"" nke e tọhapụrụ na 1978, bụ ihe nkiri dị egwu nke john carpenter dere ma duzie, nke malitere usoro ihe nkiri dị egwu nke gụnyere ọtụtụ ihe nkiri ndị ọzọ, usoro telivishọn, na ihe nkiri ndị ọzọ metụtara ya. usoro a na-eso michael myers, onye ogbu mmadụ, na ọtụtụ ihe nkiri na-egosi ya na-achụ ndị mmadụ n'obodo ya.",true
"Kedu n'ime efere ndị a ka a na-eme site na eriri afọ ezì?
A.haggis
B.chitlins
C.grits
D.bee suey",b,"n'ime nhọrọ ndị a, efere a na-eme site na eriri afọ ezì bụ ""chitlins."" chitlins, nke a makwaara dị ka chitterlings, bụ nri a na-emekarị na southern united states nke a na-esi n'ime eriri afọ ezì (pig intestines) mee. a na-asacha ha nke ọma, sie ya, ma na-erikarị ya dị ka akụkụ nke nri ndị ọzọ ma ọ bụ na mmemme pụrụ iche.",true
"Chọta $ - \ dfrac{1} {-3}\ cdot \ cfrac{1} {~ \ frac{1} {-3}~}.$
A.1
B.-1
C.0
D.2",b,"to solve the expression \( - \frac{1}{-3} \cdot \frac{1}{\frac{1}{-3}} \), we first simplify each part:

1. simplify \( - \frac{1}{-3} \):
   \[
   - \frac{1}{-3} = \frac{1}{3}
   \]

2. simplify \( \frac{1}{\frac{1}{-3}} \):
   \[
   \frac{1}{\frac{1}{-3}} = -3
   \]

now, substitute these simplified values back into the original expression:
\[
\frac{1}{3} \cdot (-3)
\]

multiply the two values:
\[
\frac{1}{3} \cdot (-3) = -1
\]

thus, the value of the expression is \(-1\).

the correct answer is:
\[
\boxed{-1}
\] (option b)",true
"The ụgha nke laudatory àgwà bụ a kpọmkwem ụdị nke
A.Ọdịda nke ihe mberede
B.Nsogbu ụgha
C.Na-arịọ ajụjụ ahụ
D.Okirikiri echiche",a,"b. nsogbu ụgha

nsogbu ụgha (fallacy) bụ echiche na-ezighi ezi nke a na-eji eme ihe n'ụzọ na-ezighị ezi n'ime mkparịta ụka ma ọ bụ arụmụka. ""ụgha nke laudatory àgwà"" (fallacy of laudatory qualities) na-ezo aka na mmejọ ebe a na-eji àgwà ọma nke onye ma ọ bụ ihe ọ bụla dị ka ihe akaebe na-akwado echiche ma ọ bụ arụmụka, n'agbanyeghị na àgwà ndị ahụ enweghị njikọ doro anya na isi okwu ahụ. nke a bụ ụdị nke nsogbu ụgha.",false
"A na-egosi autocorrelation na-adịghị mma nke otu n'ime ihe ndị a?
A.A cyclical ụkpụrụ na residuals
B.Usoro na-agbanwe agbanwe na residuals
C.A zuru ezu randomness na residuals
D.Ihe ndị fọdụrụnụ bụ ndị niile dị nso na efu",b,"a na-egosi autocorrelation na-adịghị mma nke otu n'ime ihe ndị a:

a. a cyclical ụkpụrụ na residuals

nke a pụtara na residuals nwere ụdị ụkpụrụ na-eme ugboro ugboro, nke nwere ike igosi na enwere autocorrelation na data ahụ. autocorrelation pụtara na residuals nke oge ugbu a nwere njikọ na residuals nke oge gara aga, nke nwere ike ime ka ụkpụrụ cyclical pụta. nke a nwere ike igosi na enwere ihe ndị na-emetụta data ahụ nke anaghị ekpuchi na nlereanya ahụ, ma ọ bụ na nlereanya ahụ enweghị ike ịkọwa ụfọdụ mgbanwe dị na data ahụ nke ọma.",false
"A tank bụ na udi nke a triangular prism. Ọ bụrụ na ntọala triangular nwere mpaghara nke 116 square ụkwụ, tank ahụ dịkwa mita 30 n'ogologo, mmiri ole ka tank ahụ ga-enwe mgbe ọ jupụtara?
A.1725 ft ^ 3
B.1740 ft ^ 3
C.3480 ft ^ 3
D.6960 ft ^ 3",c,"iji chọpụta olu mmiri nke tank ahụ ga-enwe mgbe ọ jupụtara, anyị ga-eji usoro maka ịchọpụta olu nke prism triangular. usoro ahụ bụ:

\[ \text{olu} = \text{mpaghara nke ntọala} \times \text{ogologo} \]

ebe a, mpaghara ntọala bụ 116 square feet, na ogologo nke tank ahụ bụ 30 feet (ọ bụghị mita, ebe ọ bụ na ajụjụ ahụ na-enye nha na square feet na feet maka ogologo).

ugbu a, anyị na-etinye ọnụọgụ ndị a n'ime usoro ahụ:

\[ \text{olu} = 116 \, \text{ft}^2 \times 30 \, \text{ft} = 3480 \, \text{ft}^3 \]

n'ihi ya, azịza ya bụ:
c. 3480 ft³",true
"Olee nke n'ime ndị na-esonụ set nke bit eriri na-apụghị ịkọwa na a mgbe nile okwu?
A.All bit eriri onye ọnụ ọgụgụ nke zeros bụ a otutu nke ise
B.All bit eriri na-amalite na a efu na-agwụ na otu
C.All bit eriri na ọbụna ọnụ ọgụgụ nke zeros
D.All bit eriri na ndị ọzọ karịa zeros",d,"n'ime nhọrọ ndị a, nhọrọ c (""all bit eriri na ọbụna ọnụ ọgụgụ nke zeros"") bụ nke na-apụghị ịkọwa na a mgbe nile okwu. nke a bụ n'ihi na ọ bụghị eriri bit niile ga-enwe ọbụna ọnụ ọgụgụ nke zeros. ọmụmaatụ, eriri bit dị ka ""101"" ma ọ bụ ""1101"" nwere ọnụ ọgụgụ zeros na-abụghị ọbụna (otu na otu zeros n'otu n'otu). n'ihi ya, ọ bụghị ihe niile bit eriri ga-emezu ọnọdụ a.",true
"Olee echiche uche kachasị ewu ewu na mmalite nke narị afọ nke iri abụọ na Western Europe?
A.neuroscience
B.evolushọn
C.onye na-eme omume
D.psychoanalytic",d,"n'oge mmalite nke narị afọ nke iri abụọ na western europe, echiche uche kachasị ewu ewu bụ ""psychoanalytic"" theory. nke a bụ echiche nke sigmund freud mepụtara, nke na-elekwasị anya na mkpa nke mmụọ mmadụ, nrọ, na mkpali zoro ezo. freud kwenyere na ọtụtụ n'ime omume mmadụ na-akpata site na ihe na-eme n'ime uche nke mmadụ na-amaghị ama. echiche a nwere mmetụta dị ukwuu na psychology, ọgwụgwọ ọgụgụ isi, na ọdịbendị n'ozuzu ya n'oge ahụ.",true
"Kedu n'ime ihe ndị na-esonụ nwere ike ịmepụta mmụba akụ na ụba siri ike ka oge na-aga?
A.More ngwa ngwa oriri nke eke akụ.
B.Ọnụ ọgụgụ ndị okenye na-amaghị akwụkwọ dị elu.
C.Ngwaahịa na-ada ada nke ngwongwo isi obodo.
D.Investment tax Credits.",d,"d. investment tax credits.

nke a bụ n'ihi na ụtụ isi itinye ego na-enye ndị ụlọ ọrụ na ndị na-etinye ego mkpali iji tinye ego ha n'ọrụ ọhụrụ ma ọ bụ mmepe nke akụrụngwa, nke nwere ike ịkwalite uto akụ na ụba. mgbe a na-etinye ego n'ime akụrụngwa, teknụzụ, ma ọ bụ ọzụzụ ndị ọrụ, ọ na-akwalite mmepụta ihe, arụmọrụ, na ike asọmpi nke akụ na ụba, si otú a na-akwalite uto akụ na ụba siri ike ka oge na-aga.",true
"Ụfọdụ n'ime mmiri Mars na-ekpo ọkụ n'ala na okpu ice na ụfọdụ furu efu n'ihi ifufe anyanwụ na-agbapụ ma a na-eche na ọtụtụ n'ime mmiri mbụ furu efu site na usoro ọzọ. Gịnị mere mmiri a ""furu efu""?
A.A na-ewepụ ya site na ndọta ndọta mgbe ọ na-ebelata ngwa ngwa na ike
B.Ọ na-agbajikwa n'ime hydrogen na oxygen site ultraviolet ìhè na hydrogen furu efu site thermal mgbapụ
C.A na-eri ya site na mmepeanya nke akpịrị ịkpọ nkụ Martians
D.Ọ na-vaporized n'oge a oge nke oké volcanism na furu efu ka ohere site thermal mgbapụ",b,"nzaghachi ziri ezi bụ b. mmiri na mars nwere ike ịgbaji n'ime hydrogen na oxygen site na mmetụta nke ìhè ultraviolet. hydrogen, nke dị fechaa, nwere ike ịgbapụ n'ikuku mars ma furu efu n'ime ohere. nke a bụ otu n'ime usoro ndị a na-akọwa otú mars si tufuo ọtụtụ n'ime mmiri ya n'oge gara aga. mars enweghị oyi akwa ozone siri ike iji chebe ya pụọ na radieshon ultraviolet, nke na-eme ka mmiri dị na elu ya dị mfe ịgbaji n'ime hydrogen na oxygen. hydrogen ahụ wee gbapụ n'ihi na ikuku mars adịghị ike zuru oke iji jigide ya.",true
"Na a usoro circuit, ma ọ bụrụ na ugbu a na otu oriọna bụ 2 A, ugbu a na oriọna n'akụkụ ya bụ
A.ọkara, 1 A
B.2:00 AM
C.Na-adabere na nke oriọna dị nso na batrị ahụ.
D.Enweghị ozi zuru ezu iji kwuo",b,"d. enweghị ozi zuru ezu iji kwuo

nke a bụ azịza ziri ezi n'ihi na enweghị ozi zuru ezu gbasara otu esi ejikọta oriọna ndị ahụ (n'usoro ma ọ bụ n'usoro) na ihe ndị ọzọ dị na sekit ahụ. ọ bụrụ na oriọna ndị ahụ jikọtara n'usoro, ha ga-enwe otu ugbu a na-agafe ha. ọ bụrụ na ha jikọtara n'usoro, voltaji na ugbu a nwere ike ịdị iche na oriọna ọ bụla dabere na nkọwa ha. n'ihi ya, anyị chọrọ ozi ndị ọzọ iji nye azịza ziri ezi.",false
"Onye ọrịa na-ata ahụhụ n'olu gbajiri agbaji na mmebi nke ọkpụkpụ azụ na ọkwa nke vertebra cervical nke isii.
A.Ha agaghị enwe ike iku ume n'enweghị nkwado ndụ.
B.Ha ga-enwe ike iku ume naanị n'ụzọ dị jụụ.
C.Ọ gaghị ekwe omume ịkọ mmetụta na iku ume.
D.Iku ume agaghị emetụta.",b,"d.iku ume agaghị emetụta.

mmebi nke ọkpụkpụ azụ na ọkwa nke vertebra cervical nke isii (c6) nwere ike imetụta ọrụ nke aka na ụfọdụ akụkụ nke ahụ, mana ọ na-abụkarị na ọ naghị emetụta iku ume n'ụzọ dị mkpa. nke a bụ n'ihi na akwara ndị na-achịkwa iku ume, dị ka phrenic nerve nke na-achịkwa diaphragm, si n'elu cervical vertebrae (c3-c5) pụta. ya mere, mmebi na c6 adịghị ejikarị emetụta iku ume n'ụzọ kpọmkwem.",false
"Ụmụ akwụkwọ na-eduzi mmega ahụ nkewa pigment osisi nke chọrọ ka ha jiri ụlọ chromatography mechiri emechi na obere acetone na ala nke ụlọ ahụ. Ịdọ aka ná ntị nchekwa maka acetone gụnyere nkwupụta ahụ na ọ bụ anya na akpụkpọ ahụ na-akpasu iwe ma nwee vapors na-ere ọkụ. N'ime ihe ndị a' olee nchebe nchebe ụmụ akwụkwọ kwesịrị ime mgbe ha na-eme mmega ahụ?
A.Na-etinye uwe ọkụ ọkụ iji buru ụlọ ahụ gaa na mkpuchi fume ma ọ bụrụ na acetone na-ejide ọkụ
B.Ịtụkwasị ụlọ ahụ n'ime kabinet mechiri emechi, nke gbara ọchịchịrị maka oge nkewa pigment
C.Na-eyi uwe akpụkpọ anụ ma na-ekpuchi imi na ọnụ na mkpuchi particle
D.Na-eyi goggles na nitrile-ụdị uwe na idebe niile acetone containers mechiri emechi",d,"d. na-eyi goggles na nitrile-ụdị uwe na idebe niile acetone containers mechiri emechi

nke a bụ nhọrọ kacha mma maka nchekwa n'oge a na-eji acetone na ụlọ chromatography. acetone nwere ike ịkpata nsogbu ma ọ bụrụ na ọ metụta akpụkpọ ahụ ma ọ bụ anya, yabụ ọ dị mkpa iji goggles iji chebe anya. ịdebe acetone n'ime containers mechiri emechi na-ebelata ohere nke vapors na-apụta, nke nwere ike ịbụ ihe ize ndụ ma ọ bụrụ na ha na-eku ume. nitrile gloves na-enyekwa nchebe pụrụ iche megide mmetụta acetone na akpụkpọ ahụ. nhọrọ ndị ọzọ adịghị ekpuchi ihe egwu ndị dị mkpa metụtara iji acetone n'ụzọ kwesịrị ekwesị.",true
"Ajụjụ a na-ezo aka na ozi na-esonụ.
""N'ezie, dịka ma fatwas nke [ndị ọkà mmụta] a ma ama bụ ndị na-adabere n'echiche ha banyere echiche na ọdịnala na nkwekọrịta nke ndị Sunni kwenyere na ọrụ oge ochie nke extirpation, ikpochapụ, na ịchụpụ ihe ọhụrụ ọjọọ ga-abụrịrị ebumnuche nke ọchịchọ anyị dị elu, n'ihi na ""ịnụ ọkụ n'obi okpukpe bụ mmeri maka Okwukwe nke Chineke Onye Na-asọpụrụ""; Mgbe ahụ, dị ka okwu nke onye amuma (salla Allahu alihi wa sallam) ""Onye ọ bụla nke na-ewebata ihe ọhụrụ ọjọọ n'ime usoro anyị aghaghị ịchụpụ"" na ""Onye ọ bụla nke jupụtara n'iwu anyị ga-achụpụ,"" omume aghọwo ihe dị mkpa ma na-akatọ ...""
Akwụkwọ ozi sitere n'aka Ottoman Sultan Selim I to Safavid Shah Ismail I, 1514
Ndị Safavids dọtara iwe nke alaeze ukwu Islam dịka Ottoman na Alaeze Ukwu Mughal bụ isi n'ihi na Safavids
A.Ọ bụ alaeze ukwu na-agbasa n'etiti ndị ọzọ abụọ expansionists.
B.Jụrụ Central ozizi nke Islam
C.Ndị Kraịst ohu, ma mee ka ha ghọọ ndị agha Safavid
D.Ismail kwupụtara onwe ya ka ọ bụrụ Caliph",a,"b. jụrụ central ozizi nke islam

nke a bụ azịza ziri ezi n'ihi na ndị safavids, n'okpuru nduzi nke shah ismail i, nabatara shi'ism dị ka okpukpe steeti ha, nke dị iche na sunni islam nke ndị ottoman na mughal alaeze ukwu na-akwado. nke a butere esemokwu okpukpe na nkewa dị n'etiti ndị safavids na ndị agbata obi ha ndị sunni, na-eme ka ha bụrụ ndị iro na mpaghara ahụ. nke a jụrụ ozizi etiti nke islam nke ndị ottoman na mughal na-akwado, na-ebute esemokwu siri ike n'etiti alaeze ukwu ndị a.",false
