Question,CorrectAnswer,GivenAnswer,Correct
"Qual è la lingua madre dell'attore Antonio Banderas?
A.Spagnolo
B.Russo
C.Tedesco
D.Francese",a,a. spagnolo,true
"Qual è la lingua ufficiale dei Paesi Bassi?
A.Danese
B.Svedese
C.Tedesco
D.Olandese",d,d.olandese,true
" Questo strumento di marketing e comunicazione offre un incentivo diretto o un incentivo per incoraggiare i clienti ad acquistare un prodotto/servizio:
A.Pubblicità.
B.Pubbliche relazioni.
C.Promozione delle vendite.
D.Marketing diretto.",c,c.promozione delle vendite.,true
"Qual è il termine per indicare la misura in cui la concorrenza in un paese è influenzata dalla concorrenza in altri paesi?
A.Commercio internazionale
B.Economia globale
C.Concorrenza globale
D.Globalizzazione",d,"il termine che indica la misura in cui la concorrenza in un paese è influenzata dalla concorrenza in altri paesi è:
d. globalizzazione",true
"Quale di questi piatti è fatto con l'intestino di maiale?
A.haggis
B.Chitline
C.Polenta
D.chop suey",b,"il piatto fatto con l'intestino di maiale è:
b. chitlins (o chitterlings)",true
"In che stato è ambientato il film del 1999 Magnolia?
A.California
B.Carolina del Sud
C.Georgia
D.Texas",a,"il film del 1999 ""magnolia"" è ambientato in california. quindi la risposta corretta è:
a. california",true
"Le imprese si impegnano nella contabilità sociale a causa delle richieste dei _________, al fine di identificare ________, migliorare ___________ e incoraggiare _________ e ___________
A.Stakeholder, Rischi, Gestione degli stakeholder, Accountability, Trasparenza
B.Stakeholder, Responsabilità, Trasparenza, Rischi, Gestione degli stakeholder
C.Parti interessate, Responsabilità, Rischi, Parti interessate, Gestione delle parti interessate
D.Stakeholder, Gestione degli stakeholder, Trasparenza, Rischi, Responsabilità",a,"a. stakeholder, rischi, gestione degli stakeholder, accountability, trasparenza",true
"Quale dei seguenti fattori potrebbe essere considerato un fattore di ""attrazione"" per Riva quando si considera un trasferimento dall'India agli Stati Uniti?
A.Povertà abietta
B.Lavoro migliore e salari più alti
C.Il sistema delle caste dell'India
D.Violenza nel suo quartiere",b,"b. lavoro migliore e salari più alti

questo fattore può essere considerato un fattore di ""attrazione"" perché offre opportunità migliori e incentivi economici che possono motivare una persona a trasferirsi negli stati uniti dalla propria nazione d'origine, in questo caso l'india.",true
"Quale di questi film horror ha generato il maggior numero di sequel?
A.Urlo'
B.Jaws'
C.Halloween'
D.Venerdì 13'",d,"la serie di film ""venerdì 13"" (friday the 13th) ha generato il maggior numero di sequel tra le opzioni elencate. originariamente rilasciato nel 1980, ""venerdì 13"" ha avuto numerosi sequel e spin-off, inclusi un crossover e un remake, portando il totale a circa 12 film.",true
"L'autocorrelazione residua negativa è indicata da quale dei seguenti fattori?
A.Un andamento ciclico nei residui
B.Un andamento alternato nei residui
C.Una completa casualità nei residui
D.Residui tutti prossimi allo zero",b,"l'autocorrelazione residua negativa è indicata da un andamento alternato nei residui. questo significa che i residui si alternano tra valori positivi e negativi in modo più frequente di quanto ci si aspetterebbe per una serie di residui completamente casuale. quindi, la risposta corretta è:

b. un andamento alternato nei residui",true
