Question,CorrectAnswer,GivenAnswer,Correct
"Актер Антонио Бандерастың ана тілі дегеніміз не?
A.Испанша
B.Орыс тілі
C.Неміс
D.Французша",a,a. испанша,true
"Бір елде бәсекелестік басқа елдердегі бәсекелестіктің қандай дәрежеде әсер ететіні туралы термин қандай?
A.Халықаралық сауда
B.Ғаламдық экономика
C.Жаһандық бәсекелестік
D.Жаһандану",d,c. жаһандық бәсекелестік,false
"Нидерландының ресми тілі дегеніміз не?
A.Дат тілі
B.Швед тілі
C.Неміс
D.Голланд тілі",d,d. голланд тілі,true
"1999 жылғы фильм Магнолияның жинағы қандай күйде?
A.Калифорния
B.Оңтүстік Каролина
C.Грузия
D.Техас",a,"1999 жылғы ""магнолия"" фильмінің жинағы a. калифорния штатында орналасқан.",true
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}}
A.1
B.-1
C.0
D.2",b,"to solve the expression \(-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}}\), we first simplify each part:

1. \(-\dfrac{1}{-3} = \dfrac{1}{3}\) because the negatives cancel out.

2. \(\cfrac{1}{~\frac{1}{-3}}\) involves taking the reciprocal of \(\frac{1}{-3}\), which is \(-3\).

now, substituting these values back into the expression, we have:
\[
\dfrac{1}{3} \cdot (-3)
\]

multiplying these together:
\[
\dfrac{1}{3} \cdot (-3) = -1
\]

thus, the answer is \(\boxed{-1}\), which corresponds to option b.",true
"Келесі сипаттамалардың қайсысы, әдетте, күні зорлау күніне сәйкес келеді?
A.шектен тыс күш қолдану
B.қасақана жасалған
C.жыныстық жағынан уәжді
D.қаруды қолдануды көздейді",c,"c.жыныстық жағынан уәжді

күні зорлау күні, әдетте, жыныстық жағынан уәжді әрекеттермен байланысты. бұл қылмыс жыныстық қатынасқа мәжбүрлеу немесе қарсыласуға қарамастан жыныстық қатынас жасау арқылы жүзеге асырылады.",true
"Бұл тағамдардың қайсысы шошқа ішегінен дайындалып жатыр?
A.хаггис
B.читлиндер
C.грит
D.шоп суэ",b,"b. читлиндер

читлиндер – бұл шошқа ішегінен дайындалатын тағам, ол американың оңтүстік аймақтарында өте танымал. шошқа ішектерін тазалап, ұзақ уақыт пісіріледі және дәмдеуіштермен дәмделеді.",true
" Бұл маркетингтік-коммуникациялық құрал клиенттерді тауарды/қызметті сатып алуға ынталандыратын тікелей индукцияны немесе ынталандыруды ұсынады:
A.Жарнама.
B.Қоғамдық қатынастар.
C.Сатылымдарды жылжыту.
D.Тікелей маркетинг.",c,"c. сатылымдарды жылжыту.

сатылымдарды жылжыту – бұл маркетингтік-коммуникациялық құрал, ол клиенттерді тауарды немесе қызметті сатып алуға тікелей ынталандыратын арнайы ұсыныстар мен акциялар арқылы жұмыс істейді. мысалы, жеңілдіктер, купондар, сыйлықтар, жарнамалық ойындар және т.б. болуы мүмкін.",true
"Үндістаннан АҚШ-қа көшу мәселесін қарастырғанда Рива үшін келесі факторлардың қайсысы «тартылыс» факторы болып саналады?
A.Кедейшілік
B.Жұмыс орындарын жақсарту және жалақыны көтеру
C.Үндістан касталық жүйесі
D.Оның шағын ауданындағы зорлық-зомбылық",b,"b. жұмыс орындарын жақсарту және жалақыны көтеру

бұл жауап рива үшін ақш-қа көшудің «тартылыс» факторы болып табылады, өйткені ол жақсы жұмыс мүмкіндіктері мен жоғары жалақы үшін ақш-қа көшуге ынталандырады. бұл факторлар әдетте миграцияның негізгі себептері болып табылады және адамдарды өз елдерінен басқа жерлерге көшуге итермелейді.",true
"Теріс қалдық автокорреляция мыналардың қайсысы арқылы көрсетіледі?
A.Қалдықтардағы циклдік әшекей
B.Қалдықтардағы кезектесу үлгісі
C.Қалдықтардағы толық кездейсоқтық
D.Барлығы нөлге жақын қалдықтар",b,"теріс қалдық автокорреляциясы, яғни қалдықтар арасындағы теріс байланыс, көбінесе қалдықтардағы кезектесу үлгісі арқылы көрсетіледі. бұл жағдайда, егер бір кезеңдегі қалдық оң болса, келесі кезеңдегі қалдық жиі теріс болады, және керісінше. бұл үлгі модельде белгілі бір динамикалық байланыстың ескерілмегенін көрсетуі мүмкін.

сондықтан, дұрыс жауап:
b. қалдықтардағы кезектесу үлгісі",true
