Question,CorrectAnswer,GivenAnswer,Correct
"ನೆದರ್ಲ್ಯಾಂಡ್ಸ್ನ ಅಧಿಕೃತ ಭಾಷೆ ಯಾವುದು?
A.ಡ್ಯಾನಿಶ್
B.ಸ್ವೀಡಿಷ್
C.ಜರ್ಮನ್
D.ಡಚ್",D,D.ಡಚ್,D
"ಮಧ್ಯವಯಸ್ಕ ವಯಸ್ಕರು ವಯಸ್ಸಾದ ಅಥವಾ ಕಿರಿಯ ವಯಸ್ಕರಿಗಿಂತ ಹೆಚ್ಚು ______ ಎಂದು ತೋರುತ್ತದೆ
A.ಜನರೇಟಿವ್
B.ನ್ಯೂರೋಟಿಕ್
C.ಒಪ್ಪಬಹುದು
D.ಖಚಿತ",A,A.ಜನರೇಟಿವ್,A
" ಈ ಮಾರ್ಕೆಟಿಂಗ್ ಮತ್ತು ಸಂವಹನ ಸಾಧನವು ಉತ್ಪನ್ನ / ಸೇವೆಯನ್ನು ಖರೀದಿಸಲು ಗ್ರಾಹಕರನ್ನು ಪ್ರೋತ್ಸಾಹಿಸಲು ನೇರ ಪ್ರಚೋದನೆ ಅಥವಾ ಪ್ರೋತ್ಸಾಹವನ್ನು ನೀಡುತ್ತದೆ:
A.ಜಾಹೀರಾತು.
B.ಸಾರ್ವಜನಿಕ ಸಂಪರ್ಕಗಳು.
C.ಮಾರಾಟ ಪ್ರಚಾರ.
D.ನೇರ ಮಾರ್ಕೆಟಿಂಗ್.",C,D.ನೇರ ಮಾರ್ಕೆಟಿಂಗ್.,D
"ಹೆಚ್ಚಿನ ಶಕ್ತಿಯ ಫಾಸ್ಫೇಟ್ಗಳಾದ ಎಟಿಪಿ ಮತ್ತು ಫಾಸ್ಫೋಕ್ರಿಟೈನ್ಗಳ ವಿಭಜನೆಯಿಂದ ಬಿಡುಗಡೆಯಾದ ಶಕ್ತಿಯು ಸುಮಾರು ಗರಿಷ್ಠ ಶ್ರಮದ ವ್ಯಾಯಾಮವನ್ನು ಉಳಿಸಿಕೊಳ್ಳಬಹುದು:
A.1-2 ಸೆಕೆಂಡುಗಳು.
B.5-10 ಸೆಕೆಂಡುಗಳು.
C.30-40 ಸೆಕೆಂಡುಗಳು.
D.50-60 ಸೆಕೆಂಡುಗಳು.",B,C.30-40 ಸೆಕೆಂಡುಗಳು.,C
"ನಟ ಆಂಟೋನಿಯೊ ಬಾಂಡೆರಾ ಅವರ ಸ್ಥಳೀಯ ಭಾಷೆ ಯಾವುದು?
A.ಸ್ಪ್ಯಾನಿಷ್
B.ರಷ್ಯನ್
C.ಜರ್ಮನ್
D.ಫ್ರೆಂಚ್",A,A.ಸ್ಪ್ಯಾನಿಷ್,A
"ಒಂದು ದೇಶದಲ್ಲಿನ ಸ್ಪರ್ಧೆಯು ಇತರ ದೇಶಗಳಲ್ಲಿನ ಸ್ಪರ್ಧೆಯಿಂದ ಎಷ್ಟರ ಮಟ್ಟಿಗೆ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ ಎಂಬ ಪದ ಯಾವುದು?
A.ಅಂತರರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರ
B.ಜಾಗತಿಕ ಅರ್ಥಶಾಸ್ತ್ರ
C.ಜಾಗತಿಕ ಸ್ಪರ್ಧೆ[ಬದಲಾಯಿಸಿ]
D.ಜಾಗತೀಕರಣ[ಬದಲಾಯಿಸಿ]",D,D.ಜಾಗತೀಕರಣ[ಬದಲಾಯಿಸಿ],D
"________ ಗುರುತಿಸಲು, ___________ ಸುಧಾರಿಸಲು ಮತ್ತು _________ ಮತ್ತು ___________ ಪ್ರೋತ್ಸಾಹಿಸಲು _________ ಬೇಡಿಕೆಗಳಿಂದಾಗಿ ವ್ಯವಹಾರಗಳು ಸಾಮಾಜಿಕ ಲೆಕ್ಕಪರಿಶೋಧನೆಯಲ್ಲಿ ತೊಡಗುತ್ತವೆ
A.ಮಧ್ಯಸ್ಥಗಾರರು, ಅಪಾಯಗಳು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ, ಉತ್ತರದಾಯಿತ್ವ, ಪಾರದರ್ಶಕತೆ
B.ಮಧ್ಯಸ್ಥಗಾರರು, ಉತ್ತರದಾಯಿತ್ವ, ಪಾರದರ್ಶಕತೆ, ಅಪಾಯಗಳು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ
C.ಮಧ್ಯಸ್ಥಗಾರರು, ಉತ್ತರದಾಯಿತ್ವ, ಅಪಾಯಗಳು, ಮಧ್ಯಸ್ಥಗಾರರು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ
D.ಮಧ್ಯಸ್ಥಗಾರರು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ, ಪಾರದರ್ಶಕತೆ, ಅಪಾಯಗಳು, ಉತ್ತರದಾಯಿತ್ವ",A,"A.ಮಧ್ಯಸ್ಥಗಾರರು, ಅಪಾಯಗಳು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ, ಉತ್ತರದಾಯಿತ್ವ, ಪಾರದರ್ಶಕತೆ",A
"1999 ರ ಚಲನಚಿತ್ರ ಮ್ಯಾಗ್ನೋಲಿಯಾ ಯಾವ ರಾಜ್ಯದಲ್ಲಿದೆ?
A.ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ
B.ದಕ್ಷಿಣ ಕೆರೊಲಿನಾ
C.ಜಾರ್ಜಿಯಾ
D.ಟೆಕ್ಸಾಸ್",A,"A.ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ

1999 ರ ಚಲನಚಿತ್ರ ಮ್ಯಾಗ್ನೋಲಿಯಾ ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ ರಾಜ್ಯದಲ್ಲಿದೆ.",A
"ರಿಪ್ಲೇ ಅಟ್ಯಾಕ್ ಎಂದರೇನು?
A.ಸಿಸ್ಟಮ್ ಕಳುಹಿಸಿದ ಸಂದೇಶಕ್ಕೆ ದಾಳಿಕೋರನು ಪ್ರತ್ಯುತ್ತರ ನೀಡಿದಾಗ
B.ದೌರ್ಬಲ್ಯವನ್ನು ಹುಡುಕುತ್ತಾ ನಿರಂತರವಾಗಿ ಪುನರಾವರ್ತಿಸುವ ದಾಳಿ
C.ಸಿಸ್ಟಮ್ ನ ಸ್ವಂತ ಸಂದೇಶಗಳನ್ನು ಬಳಸುವ ಮತ್ತು ಆದ್ದರಿಂದ ಅದರ ವಿರುದ್ಧ ರಕ್ಷಿಸಲಾಗದ ದಾಳಿ
D.ದಾಳಿಕೋರನು ಸೆರೆಹಿಡಿದ ಸಂದೇಶವನ್ನು ಕಳುಹಿಸುತ್ತಾನೆ, ಮತ್ತು ಸೈಟ್ ಅದನ್ನು ಸ್ವೀಕರಿಸುತ್ತದೆ ಮತ್ತು ಆಕ್ರಮಣಕಾರನ ಪರವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತದೆ",D,"D.ದಾಳಿಕೋರನು ಸೆರೆಹಿಡಿದ ಸಂದೇಶವನ್ನು ಕಳುಹಿಸುತ್ತಾನೆ, ಮತ್ತು ಸೈಟ್ ಅದನ್ನು ಸ್ವೀಕರಿಸುತ್ತದೆ ಮತ್ತು ಆಕ್ರಮಣಕಾರನ ಪರವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತದೆ.",D
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$ ಹುಡುಕಿ
A.1
B.-1
C.0
D.2",B,"To solve the expression $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}$, we can simplify it step by step.

1. Simplify $-\dfrac{1}{-3}$:
   \[
   -\dfrac{1}{-3} = \dfrac{1}{3}
   \]

2. Simplify $\cfrac{1}{~\frac{1}{-3}~}$:
   \[
   \cfrac{1}{~\frac{1}{-3}~} = -3
   \]
   (since taking the reciprocal of $\frac{1}{-3}$ gives $-3$).

3. Now multiply the results from steps 1 and 2:
   \[
   \dfrac{1}{3} \cdot (-3) = -1
   \]

Therefore, the value of the expression is \(-1\).

The correct answer is:
B. -1",B
"ಇವುಗಳಲ್ಲಿ ಯಾವ ಭಕ್ಷ್ಯಗಳನ್ನು ಹಂದಿ ಕರುಳಿನಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದೆ?
A.ಹಗ್ಗಿಸ್
B.ಚಿಟ್ಲಿನ್ ಗಳು
C.ಗ್ರಿಟ್ಸ್
D.ಚಾಪ್ ಸ್ಯೂಯ್",B,"B. ಚಿಟ್ಲಿನ್ ಗಳು

ಚಿಟ್ಲಿನ್ಗಳು ಹಂದಿಯ ಕರುಳಿನಿಂದ ತಯಾರಿಸಲಾಗುವ ಒಂದು ವಿಧಾನವಾಗಿದೆ. ಇದು ಮುಖ್ಯವಾಗಿ ಅಮೆರಿಕಾದ ದಕ್ಷಿಣ ಭಾಗದಲ್ಲಿ ಜನಪ್ರಿಯವಾಗಿದೆ.",B
"ಒಂದು ಸರಣಿ ಮಂಡಲದಲ್ಲಿ, ಒಂದು ಲ್ಯಾಂಪ್ ನಲ್ಲಿನ ವಿದ್ಯುತ್ ಪ್ರವಾಹವು 2 A ಆಗಿದ್ದರೆ, ಅದರ ಪಕ್ಕದಲ್ಲಿರುವ ಲ್ಯಾಂಪ್ ನಲ್ಲಿರುವ ವಿದ್ಯುತ್ ಪ್ರವಾಹವು ಇದಾಗಿದೆ
A.ಅರ್ಧ, 1 A
B.ಮಧ್ಯಾಹ್ನ 2:00
C.ಯಾವ ಲ್ಯಾಂಪ್ ಬ್ಯಾಟರಿಗೆ ಹತ್ತಿರದಲ್ಲಿದೆ ಎಂಬುದರ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿರುತ್ತದೆ
D.ಹೇಳಲು ಸಾಕಷ್ಟು ಮಾಹಿತಿ ಇಲ್ಲ",B,"ಸರಣಿ ಮಂಡಲದಲ್ಲಿ, ಎಲ್ಲಾ ಘಟಕಗಳು ಒಂದೇ ವಿದ್ಯುತ್ ಪ್ರವಾಹವನ್ನು ಹೊಂದಿರುತ್ತವೆ. ಹೀಗಾಗಿ, ಒಂದು ಲ್ಯಾಂಪ್ ನಲ್ಲಿ 2 A ಪ್ರವಾಹವಿದ್ದರೆ, ಅದೇ ಸರಣಿಯಲ್ಲಿರುವ ಮತ್ತೊಂದು ಲ್ಯಾಂಪ್ ನಲ್ಲಿಯೂ ಸಹ 2 A ಪ್ರವಾಹವಿರುತ್ತದೆ. ಆದ್ದರಿಂದ, ಸರಿಯಾದ ಉತ್ತರವು:

B.ಮಧ್ಯಾಹ್ನ 2:00 (ಇದು ಪ್ರವಾಹದ ಮಾನವನ್ನು ಸೂಚಿಸುವ ಒಂದು ಪದಪ್ರಯೋಗವಾಗಿದೆ, ಅಂದರೆ 2 A)",B
