Question,CorrectAnswer,GivenAnswer,Correct
"Бир өлкөдө атаандаштыкка башка өлкөлөрдөгү атаандаштык канчалык деңгээлде таасир этет деген термин кандай?
A.Эл аралык соода
B.Глобалдык экономика
C.Глобалдык атаандаштык
D.Жаһан",d,c. глобалдык атаандаштык,false
"Орто жаштагы чоңдор улгайган же жаш курактагыларга караганда ____ көбүрөөк көрүнөт
A.Генератор
B.Невротикалык
C.Макулдашылган
D.Албетте",a,c. макулдашылган,false
"Нидерландиянын расмий тили кандай?
A.Даниялыктардын  тили
B.Шведче
C.Немисче
D.Нидерландча",d,d. нидерландча,true
"Актер Антонио Бандерас түпкү тил деген эмне?
A.Испанча
B.Орусча
C.Немисче
D.Французча",a,a. испанча,true
"1999-жылдагы Магнолия тасмасы кайсы абалда?
A.Калифорния
B.Түштүк Каролина
C.Грузия
D.Техас",a,"1999-жылдагы ""магнолия"" тасмасынын окуялары калифорния штатында болот. ошондуктан, туура жооп:

a. калифорния",true
"Бул тамактардын кайсынысы чочко ичектеринен жасалган?
A.хаггис
B.читлиндер
C.жөжөлөр
D.чоп суей",b,"b. читлиндер

читлиндер – бул чочко ичектеринен жасалган тамак. аларды тазалап, бышырып же кууруп даярдашат.",true
"К-бүктөлгөн айкаш текшерүү болуп саналат
A.К сызыгы
B.К квадратикасы
C.К боюнча кубтук
D.К-да экспоненциалдуу",a,"c. к боюнча кубтук

""к-бүктөлгөн"" деген сөз ""кубтук"" деген маанини билдирет, анткени ал кубтун математикалык касиеттерине шилтеме берет. бул жерде ""к боюнча кубтук"" деген вариант туура келет, анткени бул кубтук функциянын касиеттерин билдирет.",false
"$-dfrac{1}{-3}cfrac{1}{\frac{1}{-3}}$$ табуу
A.1
B.-1
C.0
D.2",b,"the expression given is a bit unclear due to formatting issues, but it seems you are asking to simplify the expression:

\[
-\frac{1}{-3} \cdot \frac{1}{\frac{1}{-3}}
\]

let's simplify it step by step:

1. simplify \(-\frac{1}{-3}\):
   \[
   -\frac{1}{-3} = \frac{1}{3}
   \]

2. simplify \(\frac{1}{\frac{1}{-3}}\):
   \[
   \frac{1}{\frac{1}{-3}} = -3
   \]

3. now multiply the results from steps 1 and 2:
   \[
   \frac{1}{3} \cdot (-3) = -1
   \]

therefore, the simplified value of the expression is \(-1\).

the correct answer is:
b. -1",true
"Индиядан АКШга өтүү жөнүндө ойлонуп жатканда төмөнкү факторлордун кайсынысы Рива үчүн ""тартылуу"" фактору болуп эсептелет?
A.Жакырчылык
B.Жакшы жумуш жана жогорку эмгек акы
C.Индиянын каста системасы
D.Кошунасындагы зордук - зомбулук",b,"b. жакшы жумуш жана жогорку эмгек акы

бул жооп рива үчүн ""тартылуу"" фактору болуп эсептелет, анткени акшда жакшы жумуш мүмкүнчүлүктөрү жана жогорку эмгек акысы бар деп күтүлөт, бул ал үчүн жакшыраак жашоо шарттарын жана каржылык туруктуулукту сунуштайт.",true
"Төмөнкү өзгөчөлүктөрдүн кайсынысы, адатта, дата зордуктоо менен шайкеш келет?
A.ашыкча күч колдонуу
B.алдын ала ойдон чыгарылган
C.жыныстык түрткү
D.курал колдонууну камтыйт",c,"c. жыныстык түрткү

дата зордуктоо, адатта, жыныстык түрткү менен шайкеш келет. бул жагдайда зордуктоо актысы жыныстык каалоонун негизинде жасалат, бирок макулдуксуз жүргүзүлөт.",true
