Question,CorrectAnswer,GivenAnswer,Correct
"Inona no fiteny ofisialy any Holandy?
A.Danoà
B.Soedoà
C.Alemà
D.Holandey",d,d. holandey,true
"Ny orinasa dia mandray anjara amin'ny kaonty sosialy noho ny fitakiana avy amin'ny _________, mba hamantarana ________, hanatsarana ny ___________ ary hamporisika _________ sy ___________
A.Ireo mpandray anjara, ny risika, ny fitantanana ny mpandray anjara, ny fandraisana andraikitra, ny mangarahara
B.Ireo mpandray anjara, ny fandraisana andraikitra, ny mangarahara, ny loza, ny fitantanana ny mpandray anjara
C.Ireo mpandray anjara, ny fandraisana andraikitra, ny loza, ny mpandray anjara, ny fitantanana ny mpandray anjara
D.Ireo mpandray anjara, ny fitantanana ny mpandray anjara, ny mangarahara, ny loza, ny fandraisana andraikitra",a,"a. ireo mpandray anjara, ny risika, ny fitantanana ny mpandray anjara, ny fandraisana andraikitra, ny mangarahara",true
"Ny tsy fahampian'ny fahalalana dia mety ho mifandray mivantana amin'ny
A.Ny fiantraikan'ny Barnum.
B.Fitiavan-tena ny fitongilanana.
C.Valala iray avy any ivelany.
D.Fijery tsy misy fepetra.",c,ny tsy fahampian'ny fahalalana dia mety ho mifandray mivantana amin'ny **d.fijery tsy misy fepetra.**,false
"Iza amin'ireto manaraka ireto no heverina ho ""fitarihana"" ho an'i Riva rehefa mieritreritra ny hifindra avy any India mankany Etazonia?
A.Fahantrana lalina
B.Asa tsara kokoa sy karama ambony kokoa
C.Ny rafi-piarahamonina ao India
D.Herisetra teo amin'ny manodidina azy",b,"b. asa tsara kokoa sy karama ambony kokoa

ity safidy ity dia matetika heverina ho ""fitarihana"" lehibe ho an'ny olona toa an'i riva rehefa mieritreritra ny hifindra avy any india mankany etazonia, satria ny fahafahana mahazo asa tsara kokoa sy karama ambony kokoa dia antony iray mahazatra manosika ny fifindra-monina.",true
"Inona no atao hoe Antonio Banderas, teratany avy amin'ny mpilalao sarimihetsika?
A.Espanola
B.Rosiana
C.Alemà
D.Frantsay",a,a. espanola,true
"Inona no dikan'ny fifaninanana any amin'ny firenena iray izay misy fiantraikany amin'ny fifaninanana any amin'ny firenena hafa?
A.Varotra iraisam-pirenena
B.Ny toekarena manerantany
C.Fifaninanana iraisam-pirenena
D.Fanatontoloana",d,"d. fanatontoloana

ny fanatontoloana dia midika fa ny toekarena sy ny tsena manerantany dia mifandray bebe kokoa, ka ny fifaninanana ao amin'ny firenena iray dia mety hisy fiantraikany amin'ny fifaninanana ao amin'ny firenena hafa amin'ny alalan'ny varotra, fampiasam-bola, teknolojia, sns.",true
"Amin'ny fomba ahoana no misy ny sarimihetsika Magnolia tamin'ny 1999?
A.California
B.Carolina Atsimo
C.Georgia
D.Texas",a,"ny sarimihetsika ""magnolia"" tamin'ny 1999 dia nisy tany california, indrindra fa tany los angeles. noho izany, ny valiny marina dia a. california.",true
"Iza amin'ireo sakafo ireo no vita amin'ny tsinain'ny kisoa?
A.Haggis
B.chitlins
C.grits
D.Chop suey",b,"b. chitlins

ny chitlins dia sakafo vita amin'ny tsinain'ny kisoa izay malaza indrindra any amin'ny faritra atsimon'i etazonia. matetika izy ireo dia diovina tsara ary avy eo andrahoina mandritra ny fotoana ela mba hahazoana antoka fa malefaka sy azo hanina tsara.",true
" Ity fitaovana ara-barotra sy fifandraisana ity dia manome fanentanana mivantana na famporisihana ny mpanjifa hividy vokatra / serivisy:
A.Dokam-barotra.
B.Fifandraisana amin'ny vahoaka.
C.Fampiroboroboana ny varotra.
D.Marketing mivantana.",c,"c. fampiroboroboana ny varotra.

ny fampiroboroboana ny varotra dia teknika ampiasaina mba hanomezana fanentanana mivantana na famporisihana ny mpanjifa hividy vokatra na serivisy. izany dia mety ahitana fihenam-bidy, tolotra manokana, kupon, na hetsika manokana izay mikendry ny hampitombo ny fivarotana amin'ny fotoana fohy.",true
"Iza amin'ireto firenena manaraka ireto no namoaka CO2 betsaka indrindra isam-batan'olona tamin'ny 2017?
A.Japana
B.Kanada
C.Rosia
D.Iran",b,"tamin'ny taona 2017, ny firenena izay namoaka co2 betsaka indrindra isam-batan'olona tamin'ireo voatanisa dia i kanada. ny firenena toa an'i kanada dia manana tahan'ny famoahana entona co2 avo isam-batan'olona noho ny antony maro, anisan'izany ny toetrandro mangatsiaka izay mitaky fampiasana angovo bebe kokoa ho an'ny fanafanana, ary ny indostria mavesatra toy ny fitrandrahana harena ankibon'ny tany sy ny famokarana angovo.",true
