Question,CorrectAnswer,GivenAnswer,Correct
"He aha te reo whai mana o Hōrana?
A.Reo Teina
B.Reo Huitene
C.Reo Tiamana
D.Reo Tatimana",D,D.Reo Tatimana,D
"Te āhua nei he nui ake te ____ o ngā pakeke pakeke, tamariki rānei
A.Whakanao
B.Pūroro
C.Kāore e taea te whakaae
D.Ētahi",A,C.Kāore e taea te whakaae,C
"Ko te kōhuru ture rānei i mahia e te Minita whenua X ki rāwāhi he mahi whakarihariha, he gestionis rānei?
A.He mahi tūmatanui taua whanonga (he imperii)
B.E kore rawa taua whanonga e kawe i te āraitanga
C.He mahi tūmataiti taua whanonga (he gestionis)
D.He mahi tūmatanui taua whanonga, engari e whakangungua ana e te āraitanga",C,C.He mahi tūmataiti taua whanonga (he gestionis),C
" Kei tēnei utauta mākete me te utauta whakawhitiwhiti he poapoa hāngai, he tohutohu rānei hei whakahau i ngā kiritaki kia hoko hua/ratonga:
A.Pānuitanga.
B.Te pānga tūmatanui.
C.Whakatairanga hoko.
D.Mākete hāngai.",C,A. Pānuitanga.,A
"He aha te kupu mo te whānuitanga e whakaawetia ai te whakataetae i tētahi whenua e te whakataetae i ētahi atu whenua?
A.Te hokohoko ao whānui
B.Ohaoha o te ao whānui
C.whakataetae huri noa
D.Whakawāteatanga",D,A.Te hokohoko ao whānui,A
"Ko ngā umanga e whakauru ana ki te kaute pāpori nā ngā tono a _________, kia kitea ai ________, ki te whakapai ake i te ___________ me te whakahauhau i te _________ me te ___________
A.Ngā kaipupuri, ngā mōrearea, te whakahaere pūpuru, te Pūkete, te Pūataata
B.Ngā kaipupuri, Te Pūkete, te Pūataata, ngā mōrearea, te Whakahaeretanga Stakeholder
C.Ngā kaipupuri, Te Pūketetanga, ngā mōrearea, ngā kaipupuri, te Whakahaeretanga Stakeholder
D.Ngā kaipupuri, Whakahaeretanga Stakeholder, Pūataata, Mōrearea, Pūketetanga",A,"A. Ngā kaipupuri, ngā mōrearea, te whakahaere pūpuru, te Pūkete, te Pūataata",A
"He aha te āhua o te huinga whitiāhua Magnolia o te tau 1999?
A.California
B.South Carolina
C.Hōria
D.TeKiki",A,"Ko te āhua o te huinga whitiāhua ""Magnolia"" o te tau 1999 kei California, nō reira ko te whakautu tika ko A. California.",A
"Ko tēhea o ngā āhuatanga e whai ake nei e ōrite ana ki te hīkaka rā?
A.whakamahi i te tōpana nui rawa
B.i whakaritea kētia
C.whakahauhau ā-waha
D.ko te whakamahinga o te patu",C,Ko te whakahauhau ā-waha (C) te āhuatanga e ōrite ana ki te hīkaka rā.,C
"Ko te nuinga o te kore āwhina e pā ana ki
A.te pānga o Barnum.
B.He tītaha tiaki i a ia anō.
C.he mawhitiwhiti mana o waho.
D.Whakaaro tōrunga tōtika.",C,Ko te whakautu tika ko: A. te pānga o Barnum.,A
"Ko tēhea o ēnei rīhi i hangaia mai i nga whakataetae poaka?
A.kohua
B.kiore
C.kaha
D.pura",B,"Ko te rīhi i hangaia mai i ngā whakataetae poaka ko te ""kohua.""",A
"Ko tēhea o ngā take e whai ake nei ka whakaarotia he āhuatanga ""pull"" mō Riva ina whakaaro koe ki tētahi nekehanga mai i Īnia ki Te Hononga o Amerika?
A.Tuwhāhia te rawakore
B.He pai ake te mahi me ngā utu nui ake
C.Pūnaha maka a Īnia
D.He tukino i tōna hoa noho",B,"B. He pai ake te mahi me ngā utu nui ake

Ko tēnei take e whakaarotia ana he āhuatanga ""pull"" nā te mea e tohu ana i te pai o ngā āhuatanga mahi me ngā utu nui ake i Te Hononga o Amerika, he mea whakapoapoa i te tangata ki te neke atu i tōna whenua taketake ki tētahi whenua kē.",B
"E pā ana tēnei pātai ki ngā mōhiohio e whai ake nei.
""I roto i te mea ko te ngako o ngā mea i mōhiotia, ko te hunga e whakatū ana i o rātau whakaaro mo te take me te tikanga, me te whakaaro whakaaro o te iwi o Hihi e whakaae ana ko te tikanga tahito o te whakawhānuitanga, te whakawhānuitanga, me te pana i te mahi kino, ko te take o to tātau hiahia whakanui, he ""whakapono whakapono he wikitōria mo te Faith of God the Beneficent""; Na, e ai ki nga kupu a te Poropiti, Kia tau te rangimarie ki a ia ""Ko te tangata e whakamōhio ana i ngā mahi kino ki roto i tā mātou raupapa me pei"" ā, ""Ko wai e mahi ana ki tā mātou raupapa me peia,"" kua tika te mahi, ā, kua tino nui te mahi.
Reta mai i Ottoman Sultan Selim I ki Safavid Shah Wāwhara I, 1514
I tāia e nga Safavids te ire o nga rangatiratanga ā-Rangi pēnei i te Ottoman me ngā Emepera Mughal i te nuinga o te wā nā te mea ko nga Safavids
A.he rangatiratanga whakawhānui i waenganui i ērā atu whakawhānuitanga e rua
B.i whakakāhoretia nga pae matua o te Islam
C.Ngā Karaitiana kua whakawhāititia, a, ka huri i a rātau hai kairiri Safavid
D.I karanga a Wāwhara he Caliph a ia",A,"A. he rangatiratanga whakawhānui i waenganui i ērā atu whakawhānuitanga e rua

Ko te whakautu tika ko A, nā te mea ko ngā Safavids he rangatiratanga i waenganui i te Ottoman me ngā Emepera Mughal, ā, i whakawhānui hoki rātau i tō rātau mana whakahaere i roto i te rohe.",A
"Ko tēhea o ēnei whitiāhua wehi i kitea ai nga whainga tino nui?
A.Scream'
B.Jaws'
C.Halloween'
D.Paraire te tua13'",D,"Ko te whitiāhua ""Jaws"" te mea i kitea ai ngā whainga tino nui i waenga i ēnei kōwhiringa. I tukuna tuatahitia i te tau 1975, ā, nā te kaiwhakahaere rongonui a Steven Spielberg i arataki. I whai wāhi nui a ""Jaws"" ki te ahumahi kiriata mā te whakatū i te tauira mō ngā kiriata blockbuster o te raumati, ā, i kohia he nui rawa atu te moni puta noa i te ao.",B
"Ko tēhea o ngā whenua e whai ake nei i aweretia ai te CO2 mō ia kairangi i te tau 2017?
A.Hapani
B.Kānata
C.Rūhia
D.Irāna",B,"I te tau 2017, ko Rūhia (C) te whenua i aweretia ai te CO2 mō ia kairangi i waenga i ngā whenua kua rārangihia. Rūhia, he whenua nui whai rawa pūngao, tae atu ki te hinu me te kāpia, he nui te tukunga o te CO2 nā te tahu i ēnei rawa pūngao.",C
"Ko tēhea tirohanga ā-hinengaro i tino manakohia i te wā o te rua tekau tau i Ūropi ki te Uru?
A.pūtaiao
B.wairangi
C.kai whanonga
D.ā-hinengaro",D,"I te wā o te rua tekau tau i Ūropi ki te Uru, ko te tirohanga ā-hinengaro i tino manakohia ko te ""C.kai whanonga"" rānei te Behaviorism i te reo Pākehā. Ko tēnei tirohanga e aro ana ki te whakamārama me te rangahau i te whanonga kitea, me te karo i te tātari i ngā āhuatanga hinengaro kāore e taea te tirotiro tika, pērā i ngā whakaaro me ngā kare ā-roto.",C
