Question,CorrectAnswer,GivenAnswer,Correct
"ഒരു രാജ്യത്തെ മത്സരം മറ്റ് രാജ്യങ്ങളിലെ മത്സരത്താൽ എത്രത്തോളം സ്വാധീനിക്കപ്പെടുന്നു എന്നതിന്റെ പദം എന്താണ്?
A.അന്താരാഷ്ട്ര വ്യാപാരം
B.ആഗോള സാമ്പത്തികശാസ്ത്രം
C.ആഗോള മത്സരം
D.ആഗോളവൽക്കരണം",D,C.ആഗോള മത്സരം,C
"നെതർലാൻഡിന്റെ ഔദ്യോഗിക ഭാഷ ഏതാണ്?
A.ഡാനിഷ്
B.സ്വീഡിഷ്
C.ജർമ്മൻ
D.ഡച്ച്",D,D.ഡച്ച്,D
"1999-ൽ പുറത്തിറങ്ങിയ മാഗ്നോളിയ എന്ന സിനിമയുടെ പശ്ചാത്തലം ഏത് അവസ്ഥയിലാണ്?
A.കാലിഫോർണിയ
B.സൗത്ത് കരോലിന
C.ജോർജിയ
D.ടെക്സാസ്",A,A.കാലിഫോർണിയ,A
"നടൻ അന്റോണിയോ ബാൻഡെറയുടെ മാതൃഭാഷ എന്താണ്?
A.സ്പാനിഷ്
B.റഷ്യൻ
C.ജർമ്മൻ
D.ഫ്രഞ്ച്",A,A.സ്പാനിഷ്,A
" ഈ മാർക്കറ്റിംഗ്, ആശയവിനിമയ ഉപകരണം ഒരു ഉൽപ്പന്നം / സേവനം വാങ്ങാൻ ഉപഭോക്താക്കളെ പ്രോത്സാഹിപ്പിക്കുന്നതിന് നേരിട്ടുള്ള പ്രേരണ അല്ലെങ്കിൽ പ്രോത്സാഹനം വാഗ്ദാനം ചെയ്യുന്നു:
A.പരസ്യം.
B.പബ്ലിക് റിലേഷൻസ്.
C.സെയിൽസ് പ്രമോഷൻ.
D.ഡയറക്ട് മാർക്കറ്റിംഗ്.",C,C.സെയിൽസ് പ്രമോഷൻ.,C
"ഇനിപ്പറയുന്നവയിൽ ഏത് രാജ്യമാണ് 2017 ൽ ഏറ്റവും കൂടുതൽ പ്രതിശീർഷ കാർബൺ ഡൈ ഓക്സൈഡ് പുറന്തള്ളിയത്?
A.ജപ്പാൻ
B.കാനഡ
C.റഷ്യ
D.ഇറാൻ",B,2017 ൽ ഏറ്റവും കൂടുതൽ പ്രതിശീർഷ കാർബൺ ഡൈ ഓക്സൈഡ് പുറന്തള്ളിയ രാജ്യം കാനഡ (Canada) ആണ്.,B
"എന്തുകൊണ്ടാണ് പാർഫിറ്റ് സമത്വത്തെ എതിർക്കുന്നത്?
A.അസമമായ ഒരു സമൂഹം അനിവാര്യമാണെന്ന് അദ്ദേഹം വാദിക്കുന്നു.
B.ദരിദ്രരുടെ ആവശ്യങ്ങൾക്ക് മുൻഗണന നൽകുന്നതിലൂടെ നമുക്ക് സമത്വം വർദ്ധിപ്പിക്കാൻ കഴിയുമെന്ന് അദ്ദേഹം അവകാശപ്പെടുന്നു.
C.നമ്മുടെ ദാരിദ്ര്യത്തിന് നാം ഓരോരുത്തരും ഉത്തരവാദികളാണെന്ന് അദ്ദേഹം തറപ്പിച്ചു പറയുന്നു.
D.സമത്വം എന്ന ആശയത്തെ അദ്ദേഹം പൂർണ്ണമായും നിരാകരിക്കുന്നു.",B,A.അസമമായ ഒരു സമൂഹം അനിവാര്യമാണെന്ന് അദ്ദേഹം വാദിക്കുന്നു.,A
"മധ്യവയസ്കരായ മുതിർന്നവർ പ്രായമായവരോ ചെറുപ്പക്കാരോ ആയ മുതിർന്നവരേക്കാൾ ____ കൂടുതലാണെന്ന് തോന്നുന്നു
A.ജനറേറ്റീവ്
B.ന്യൂറോട്ടിക്
C.സമ്മതം
D.ഉറപ്പ്",A,"ഈ വാക്യത്തിന്റെ പൂർണതയ്ക്കായി ഉചിതമായ വാക്ക് ""ഉറപ്പ്"" ആണ്. അതിനാൽ ഉത്തരം D.ഉറപ്പ് എന്നാണ്.",D
"പ്രശംസനീയമായ വ്യക്തിത്വത്തിന്റെ തെറ്റിദ്ധാരണ ഒരു പ്രത്യേക തരം ആണ്
A.അപകടത്തിന്റെ തെറ്റിദ്ധാരണ
B.തെറ്റായ ആശയക്കുഴപ്പം
C.ആ ചോദ്യം യാചിച്ചു.
D.സർക്കുലർ യുക്തി",A,"പ്രശംസനീയമായ വ്യക്തിത്വത്തിന്റെ തെറ്റിദ്ധാരണ എന്നത് ഒരു തരം തെറ്റായ ആശയക്കുഴപ്പം ആണ്. അതിനാൽ, ഉത്തരം B.തെറ്റായ ആശയക്കുഴപ്പം എന്നാണ്.",B
"ഒരു സീരീസ് സർക്യൂട്ടിൽ, ഒരു വിളക്കിലെ വൈദ്യുത പ്രവാഹം 2 A ആണെങ്കിൽ, അതിനോട് ചേർന്നുള്ള ലാമ്പിലെ വൈദ്യുതപ്രവാഹം
A.പകുതി, 1 A
B.2:00 AM
C.ഏത് ലാമ്പ് ബാറ്ററിയോട് അടുത്താണ് എന്നതിനെ ആശ്രയിച്ചിരിക്കുന്നു
D.പറയാൻ മതിയായ വിവരങ്ങൾ ഇല്ല",B,"ഒരു സീരീസ് സർക്യൂട്ടിൽ, എല്ലാ ഘടകങ്ങളിലും ഒരേ വൈദ്യുത പ്രവാഹം ഒഴുകുന്നു. അതിനാൽ, ഒരു വിളക്കിലെ പ്രവാഹം 2 A ആണെങ്കിൽ, അതിനോട് ചേർന്നുള്ള ലാമ്പിലും അതേ പ്രവാഹം ഉണ്ടാകും. അതിനാൽ ശരിയായ ഉത്തരം:

B. 2 A",B
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$ കണ്ടെത്തുക
A.1
B.-1
C.0
D.2",B,"To solve the expression $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}$, we can simplify each part step by step.

1. Simplify $-\dfrac{1}{-3}$:
   \[
   -\dfrac{1}{-3} = \dfrac{1}{3}
   \]

2. Simplify $\cfrac{1}{~\frac{1}{-3}~}$:
   \[
   \cfrac{1}{~\frac{1}{-3}~} = -3
   \]
   (since taking the reciprocal of $\frac{1}{-3}$ gives $-3$).

3. Now multiply the results from steps 1 and 2:
   \[
   \dfrac{1}{3} \cdot (-3) = -1
   \]

Therefore, the value of the expression is \(-1\).

The correct answer is:
B. -1",B
"ഈ ഹൊറർ ചിത്രങ്ങളിൽ ഏതാണ് ഏറ്റവും കൂടുതൽ തുടർച്ചകൾക്ക് കാരണമായത്?
A.നിലവിളി.
B.താടിയെല്ലുകൾ'
C.ഹാലോവീൻ'
D.വെള്ളിയാഴ്ച 13'",D,"C. ഹാലോവീൻ'

""ഹാലോവീൻ"" സീരീസ് ആണ് ഏറ്റവും കൂടുതൽ തുടർച്ചകൾക്ക് കാരണമായത്. മൈക്കൽ മയേഴ്സ് എന്ന മാസ്ക് ധരിച്ച കൊലയാളിയുടെ കഥ പറയുന്ന ഈ സീരീസ് 1978-ൽ ജോൺ കാർപെന്റർ സൃഷ്ടിച്ചു. ഇതിനു ശേഷം പല തുടർച്ചകളും റീബൂട്ടുകളും വന്നു, അതിലൂടെ ഒരു വലിയ ഫ്രാഞ്ചൈസി രൂപം കൊണ്ടു. ഇത് ഹൊറർ ജോണറിൽ വളരെ പ്രശസ്തമാണ്.",C
