Question,CorrectAnswer,GivenAnswer,Correct
"Жүжигчин Антонио Бандерас эх хэл гэж юу вэ?
A.Испани хэл
B.Орос хэл
C.Герман хэл
D.Франц хэл",a,a. испани хэл,true
"1999 онд гарсан Magnolia' киноны ямар мужид тавигдсан бэ?
A.Калифорни
B.Өмнөд Каролина
C.Гүрж
D.Техас",a,a. калифорни,true
"Дунд насны насанд хүрэгчид ____ нь нас ахимаг болон залуу насанд хүрэгчдийг бодвол илүү байдаг бололтой
A.Ивээг
B.Мэдрэлийн эмч
C.Зөвшөөрөгддөг
D.Тодорхой",a,a. ивээг,true
" Энэхүү маркетинг, харилцаа холбооны хэрэгсэл нь үйлчлүүлэгчдийг бараа бүтээгдэхүүн/үйлчилгээ худалдан авахад нь урамшуулан дэмжих шууд урамшуулал эсвэл урамшууллыг санал болгодог. Үүнд:
A.Зар сурталчилгаа.
B.Олон нийттэй харилцах.
C.Борлуулалтын урамшуулал.
D.Шууд маркетинг.",c,c. борлуулалтын урамшуулал.,true
"Эдгээр аяга тавагны алийг нь гахайн гэдэснээс хийдэг вэ?
A.хаггис
B.читлинүүд
C.тэвчээр
D.chop suey",b,b. читлинүүд (chitlins) гэдэг нь гахайн гэдэснээс хийдэг хоол юм.,true
"Бизнес эрхлэгчид _________ шаардлагын улмаас нийгмийн ________ тодорхойлох, ___________ сайжруулах, _________, ___________ урамшуулах зорилгоор нийгмийн нягтлан бодох
A.Хувьцаа эзэмшигчид, Эрсдэл, Гадасны менежмент, Хариуцлага, Ил тод байдал
B.Хувьцаа эзэмшигчид, Хариуцлага, Ил тод байдал, Эрсдэл, Гадасны менежмент
C.Хувьцаа эзэмшигчид, Хариуцлага, Эрсдэл, Хувьцаа эзэмшигчид, Хувьцаа эзэмшигчийн менежмент
D.Хувьцаа эзэмшигчид, Хувьцаа эзэмшигчийн менежмент, Ил тод байдал, Эрсдэл, Хариуцлага",a,"b.хувьцаа эзэмшигчид, хариуцлага, ил тод байдал, эрсдэл, гадасны менежмент",false
"Нидерландын албан ёсны хэл нь юу вэ?
A.Дани хэл
B.Швед хэл
C.Герман хэл
D.Герман хэл",d,"нидерландын албан ёсны хэл нь голланд хэл бөгөөд энэ нь асуултанд байхгүй байна. гэхдээ голланд хэл нь герман хэлний бүлгийн нэг хэл юм. тиймээс хамгийн ойролцоо хариулт нь:

c. герман хэл",true
"2017 онд дараах улс орнуудаас аль нь хүн амд хамгийн их нүүрсхүчлийн хий ялгаруулсан бэ?
A.Япон
B.Канад
C.Орос
D.Ирэн",b,"2017 онд хүн амд хамгийн их нүүрсхүчлийн хий ялгаруулсан улс нь орос байна. орос нь дэлхийн хамгийн том нүүрсхүчлийн хийн ялгаруулагчдын нэг бөгөөд энэхүү жагсаалтад япон, канад, иран нартай харьцуулахад илүү их хий ялгаруулдаг.",false
"Магтаалын зан чанар нь тодорхой төрлийн
A.Ослын буруу
B.Хуурамч асуудал
C.Асуултыг гуйж байна
D.Дугуйт сэтгэн бод",a,"магтаалын зан чанар нь тодорхой төрлийн d. дугуйт сэтгэн бодох арга юм. энэ нь илэрхийллийн хэлбэрээр давтагдах, тодорхой сэдвийг олон талаас нь тойрон харж, түүнийг олон өнцгөөс нь магтан дуулгах зан үйл юм.",false
"Дахин тоглох дайралт гэж юу вэ?
A.Дайрагч нь системээр илгээсэн мессеж рүү хариу өгөхөд
B.Сул талыг шалгаж, байнга давтагддаг халдлага
C.Системийн өөрийнх нь мессежийг ашигладаг, тиймээс хамгаалж чадахгүй халдлага
D.Дайрагч нь олзлогдсон мэдээг няцааж, сайт нь өөрийн хүлээн авч, дайрагчийн таалалд хариу өгдөг",d,"дахин тоглох дайралт (replay attack) нь системийн өөрийнх нь мессежийг ашигладаг, тиймээс хамгаалж чадахгүй халдлага юм. энэ нь дайрагч нь системийн өмнө нь илгээсэн мессежийг барьж аваад, түүнийг дахин илгээж системийг хуурахад ашигладаг. иймээс зөв хариулт нь:

c. системийн өөрийнх нь мессежийг ашигладаг, тиймээс хамгаалж чадахгүй халдлага",true
