Question,CorrectAnswer,GivenAnswer,Correct
"Apakah bahasa rasmi Belanda?
A.Bahasa Denmark
B.Bahasa Sweden
C.Bahasa Jerman
D.Bahasa Belanda",d,d.bahasa belanda,true
"Dalam keadaan apakah set filem Magnolia 1999?
A.California
B.Carolina Selatan
C.Georgia
D.Texas",a,"set filem ""magnolia"" tahun 1999 berada di california. jadi, jawapan yang betul adalah a. california.",true
"Apakah pelakon Antonio Banderas bahasa ibunda?
A.Bahasa Sepanyol
B.Bahasa Rusia
C.Bahasa Jerman
D.Bahasa Perancis",a,"a. bahasa sepanyol

antonio banderas adalah pelakon dari sepanyol, dan bahasa ibundanya adalah bahasa sepanyol.",true
"Orang dewasa pertengahan umur kelihatan lebih ____ daripada orang dewasa yang lebih tua atau lebih muda
A.Generatif
B.Neurotik
C.Bersetuju
D.Tertentu",a,"a. generatif

orang dewasa pertengahan umur sering kali dikaitkan dengan fase generativitas, yaitu keinginan untuk membimbing generasi berikutnya dan memberikan kontribusi pada masyarakat, sesuai dengan teori perkembangan psikososial erik erikson.",true
"Antara hidangan ini yang manakah diperbuat daripada usus babi?
A.Haggis
B.Chitlins
C.grits
D.Chop Suey",b,"antara pilihan yang diberikan, hidangan yang diperbuat daripada usus babi adalah b. chitlins. chitlins, atau chitterlings, adalah makanan tradisional di beberapa bahagian amerika selatan yang terdiri daripada usus babi yang telah dibersihkan dan dimasak.",true
" Alat pemasaran dan komunikasi ini menawarkan induksi langsung atau insentif untuk menggalakkan pelanggan membeli produk / perkhidmatan:
A.Pengiklanan.
B.Perhubungan awam.
C.Promosi jualan.
D.Pemasaran langsung.",c,"jawapan yang tepat adalah c. promosi jualan. promosi jualan adalah alat pemasaran yang menggunakan insentif jangka pendek untuk menggalakkan pembelian atau penjualan produk atau perkhidmatan. ini termasuk tawaran seperti diskaun, kupon, sampel percuma, pertandingan, dan hadiah yang bertujuan untuk meningkatkan penjualan segera dan menarik pelanggan.",true
"Dalam litar siri, jika arus dalam satu lampu adalah 2 A, arus dalam lampu di sebelahnya adalah
A.separuh, 1 A
B.2:00 PTG
C.Bergantung pada lampu mana yang lebih dekat dengan bateri
D.Maklumat tidak mencukupi untuk dikatakan",b,"dalam litar siri, arus yang mengalir melalui setiap komponen dalam litar adalah sama. ini bermakna jika satu lampu dalam litar siri mempunyai arus sebanyak 2 a, maka lampu yang lain dalam litar yang sama juga akan mempunyai arus sebanyak 2 a, tanpa mengira kedudukan relatif mereka terhadap bateri. oleh itu, jawapan yang betul adalah:

b. 2 a",true
"Perspektif psikologi mana yang paling popular pada awal abad kedua puluh di Eropah Barat?
A.neurosains
B.Evolusi
C.Ahli tingkah laku
D.psikoanalitik",d,"d. psikoanalitik

pada awal abad kedua puluh, perspektif psikoanalitik yang dikembangkan oleh sigmund freud menjadi sangat populer di eropah barat. psikoanalisis freud menekankan pada pentingnya alam bawah sadar, dorongan seksual, dan pengaruh masa kecil dalam membentuk kepribadian dan perilaku individu. pendekatan ini mendominasi pemikiran psikologi dan terapi selama beberapa dekade di banyak bagian dunia, termasuk eropa barat.",true
"Apakah istilah sejauh mana persaingan di satu negara dipengaruhi oleh persaingan di negara lain?
A.Perdagangan antarabangsa
B.Ekonomi global
C.Persaingan global
D.Globalisasi",d,"c. persaingan global

istilah ""persaingan global"" mengacu pada fenomena di mana perusahaan dan negara bersaing satu sama lain di pasar internasional. persaingan ini tidak hanya terbatas pada satu negara, tetapi melibatkan banyak negara yang berinteraksi dan bersaing dalam ekonomi global. persaingan global dipengaruhi oleh berbagai faktor termasuk kebijakan perdagangan, inovasi teknologi, perubahan dalam permintaan dan penawaran global, serta dinamika ekonomi dan politik internasional.",true
"Mutasi yang menyebabkan achondroplasia memberikan kesan yang boleh diklasifikasikan sebagai:
A.negatif dominan.
B.keuntungan fungsi.
C.haploinsufficiency.
D.kehilangan fungsi.",b,"mutasi yang menyebabkan achondroplasia adalah contoh dari mutasi negatif dominan. achondroplasia adalah gangguan genetik yang mempengaruhi pertumbuhan tulang dan menyebabkan dwarfisme. mutasi ini terjadi pada gen fgfr3, yang biasanya mengatur pertumbuhan tulang dengan cara yang terkendali. dalam kasus achondroplasia, mutasi pada gen fgfr3 menyebabkan protein yang dihasilkan menjadi terlalu aktif, yang menghambat pertumbuhan tulang lebih dari yang seharusnya. oleh karena itu, jawaban yang benar adalah:

a. negatif dominan.",false
