Question,CorrectAnswer,GivenAnswer,Correct
"သရုပ်ဆောင် အန်တိုနီယို ဘန်ဒါရပ်စ်တိုင်းရင်းသားဘာသာစကားက ဘာလဲ။
A.စပိန်ဘာသာစကား
B.ရုရှား ဘာသာစကား
C.ဂျာမန်
D.ပြင်သစ်ဘာသာစကား",a,a.စပိန်ဘာသာစကား,true
�ော်ပေးပါတယ်။
A.ကြော်ငြာခြင်း။
B.လူထုဆက်ဆံရေး။
C.အရောင်းမြှင့်တင်ခြင်း။
D.တိုက်ရိုက်ဈေးကွက်။",c,a. ကြော်ငြာခြင်း။,false
"နယ်သာလန်နိုင်ငံရဲ့ တရားဝင်ဘာသာစကားက ဘာလဲ။
A.ဒန်နစ်
B.ဆွီဒင်ဘာသာစကား
C.ဂျာမန်
D.ဒတ်ခ်ျ",d,နယ်သာလန်နိုင်ငံရဲ့ တရားဝင်ဘာသာစကားက ဒတ်ခ်ျ (dutch) ဖြစ်ပါတယ်။,true
"နိုင်ငံတစ်ခုတွင် ပြိုင်ဆိုင်မှုသည် အခြားနိုင်ငံများတွင် ပြိုင်ဆိုင်မှု၏ လွှမ်းမိုးမှုအပေါ် ဩဇာလွှမ်းမိုးထားသည့် အတိုင်းအတာအတွက် အသုံးအနှုန်းကား အဘယ်နည်း။
A.အပြည်ပြည်ဆိုင်ရာကုန်သွယ်ရေး
B.ကမ္ဘာလုံးဆိုင်ရာ စီးပွားရေး
C.ကမ္ဘာလုံးဆိုင်ရာ ယှဉ်ပြိုင်မှု
D.ကမ္ဘာ့ဆက်စပ်မှု",d,c. ကမ္ဘာလုံးဆိုင်ရာ ယှဉ်ပြိုင်မှု,false
"နိုင်ငံခြားရေး ဝန်ကြီး X က ကျူးလွန် ခဲ့ သော တရားမဝင် လူသတ် မှု သည် ဂျူရီလူကြီး တစ် ဦး လော သို့မဟုတ် ဂျူရီဂျူရီယန် တစ် ဦး လော ။
A.ထိုကဲ့သို့သော အမူအကျင့်မျိုးသည် လူထုလုပ်ရပ် (ဂျူရီပရီယီ)
B.အဲဒီလိုအပြုအမူတွေက ဘယ်တော့မှ ကိုယ်ခံအားစနစ်ကို မဆွဲဆောင်ဘူး
C.ထိုကဲ့သို့သော အမူအကျင့်မျိုးသည် ပုဂ္ဂလိက လုပ်ရပ်တစ်ခုဖြစ်သည် (ဂျူရီ ဂက်စတိုနီဇ်)
D.ထိုအမူအကျင့်မျိုးသည် လူထုလုပ်ရပ်ဖြစ်သော်လည်း ကိုယ်ခံအားစနစ်ဖြင့် အကာအကွယ်ပေး",c,a. ထိုကဲ့သို့သော အမူအကျင့်မျိုးသည် လူထုလုပ်ရပ် (ဂျူရီပရီယီ),false
"စီးပွားရေး လုပ်ငန်း များ သည် _________ _________ မှ တောင်းဆို မှု များ ကြောင့် လူမှုရေး စာရင်းအင်း တွင် ပါဝင် ကြ သည် ၊ ________ ___________ တိုးတက် ရန် နှင့် _________ အားပေး ရန် နှင့် _________ ___________
A.ပါဝင်ဆောင်ရွက်သူများ၊ အန္တရာယ်များ၊ Stakelder စီမံခန့်ခွဲမှု၊ တာဝန်သိတတ်မှု၊ ပွင့်လင်းမှု
B.ပါဝင်ဆောင်ရွက်သူများ၊ တာဝန်သိတတ်မှု၊ ပွင့်လင်းမှု၊ အန္တရာယ်များ၊ Stakelder စီမံခန့်ခွဲမှု
C.ပါဝင်ဆောင်ရွက်သူများ၊ စာရင်းရှင်းခြင်း၊ အန္တရာယ်များ၊ စတားကယ်ဒါ စီမံခန့်ခွဲရေး
D.ပါဝင်ဆောင်ရွက်သူများ၊ Stakekelder စီမံခန့်ခွဲမှု၊ ပွင့်လင်းမှု၊ အန္တရာယ်များ၊ စာရင်းရှင်းခြင်း",a,a. ပါဝင်ဆောင်ရွက်သူများ၊ အန္တရာယ်များ၊ stakelder စီမံခန့်ခွဲမှု၊ တာဝန်သိတတ်မှု၊ ပွင့်လင်းမှု,true
