Question,CorrectAnswer,GivenAnswer,Correct
"नेदरल्याण्ड्सको आधिकारिक भाषा के हो?
A.डेनिस
B.स्विडिस
C.जर्मन
D.डच",d,d. डच,true
"अधबैंसे वयस्कहरू वृद्ध वा साना वयस्कहरूको तुलनामा ___ देखिन्छन्
A.Generative
B.न्यूरोटिक
C.सहमत हुने
D.निश्चित",a,c. सहमत हुने,false
"एउटा देशको प्रतिस्पर्धा अर्को देशको प्रतिस्पर्धाबाट कुन हदसम्म प्रभावित हुन्छ भन्ने शब्द के हो?
A.अन्तर्राष्ट्रिय व्यापार[सम्पादन गर्ने]
B.विश्वव्यापी अर्थशास्त्र
C.विश्वव्यापी प्रतिस्पर्धा[सम्पादन गर्ने]
D.भूमण्डलीकरण",d,d. भूमण्डलीकरण,true
"अभिनेता एन्टोनियो बान्डेरसको मातृभाषा के हो?
A.स्पानिस
B.रुसी
C.जर्मन
D.फ्रेन्च",a,"a. स्पानिस

अभिनेता एन्टोनियो बान्डेरसको मातृभाषा स्पानिस हो। उनी स्पेनको मालागा शहरमा जन्मिएका हुन् र स्पेनिश उनको पहिलो भाषा हो।",true
"यीमध्ये कुन परिकार सुँगुरको आन्द्राबाट बनाइन्छ?
A.haggis
B.चिट्लिन
C.grits
D.चोप सई",b,"a. haggis

ह्यागिस एक स्कटिश परिकार हो जुन सुँगुरको आन्द्राबाट बनाइन्छ। यसमा सुँगुरको आन्द्रा, हृदय, फोक्सो, र यकृत प्रयोग गरिन्छ, जसलाई मसला, प्याज, ओट्सको साथ मिलाएर भेडाको आन्द्रामा भरेर पकाइन्छ।",false
"$-\डीएफआरएसी{1}{-3}\सीडीओटी\सीएफआरएसी{1}{~\फ्रैक{1}{-3}~}.$ फेला पार्नुहोस्।
A.1
B.-1
C.0
D.2",b,"यो समस्या दुई भिन्नहरूको गुणनफल सम्बन्धित छ। पहिलो भिन्न छ $-\frac{1}{-3}$ र दोस्रो भिन्न छ $\frac{1}{\frac{1}{-3}}$।

पहिलो भिन्नलाई सरलीकृत गर्दा:
\[
-\frac{1}{-3} = \frac{1}{3}
\]

दोस्रो भिन्नलाई सरलीकृत गर्दा:
\[
\frac{1}{\frac{1}{-3}} = -3
\]

अब यी दुई भिन्नहरूको गुणनफल निकाल्नु पर्छ:
\[
\frac{1}{3} \times (-3) = -1
\]

त्यसैले, उत्तर हो:
\[
\text{b. -1}
\]",true
"पश्चिमी युरोपमा बीसौं शताब्दीको अन्तमा कुन मनोवैज्ञानिक दृष्टिकोण सबैभन्दा लोकप्रिय थियो?
A.तंत्रिका विज्ञान
B.विकासवादी
C.व्यवहारवादी
D.मनोविश्लेषणात्मक",d,"d. मनोविश्लेषणात्मक

बीसौं शताब्दीको अन्तमा पश्चिमी युरोपमा मनोविश्लेषणात्मक दृष्टिकोण सबैभन्दा लोकप्रिय थियो। यो दृष्टिकोण सिगमंड फ्रोयडले विकसित गरेका थिए, जसले मानिसको मानसिक प्रक्रियाहरू र अवचेतन मनको महत्वलाई जोड दिएको थियो। यस दृष्टिकोणले मानिसका व्यवहार र भावनाहरूमा अवचेतन मनको प्रभावलाई महत्वपूर्ण मान्दछ।",true
"व्यवसायहरू _________ मागको कारण सामाजिक लेखामा संलग्न हुन्छन्, ________ पहिचान गर्न, ___________ सुधार गर्न र _________ र ___________
A.सरोकारवाला, जोखिम, सरोकारवाला व्यवस्थापन, जवाफदेहिता, पारदर्शिता
B.सरोकारवाला, जवाफदेहिता, पारदर्शिता, जोखिम, सरोकारवाला व्यवस्थापन
C.सरोकारवालाहरू, जवाफदेहिता, जोखिमहरू, सरोकारवालाहरू, स्टेकहोल्डर व्यवस्थापन
D.सरोकारवाला, सरोकारवाला व्यवस्थापन, पारदर्शिता, जोखिम, जवाफदेहिता",a,"व्यवसायहरू सरोकारवाला मागको कारण सामाजिक लेखामा संलग्न हुन्छन्, जोखिम पहिचान गर्न, सरोकारवाला व्यवस्थापन सुधार गर्न र जवाफदेहिता र पारदर्शिता।

यसलाई विकल्प a मा सही रूपमा व्यक्त गरिएको छ:
a. सरोकारवाला, जोखिम, सरोकारवाला व्यवस्थापन, जवाफदेहिता, पारदर्शिता",true
"यी मध्ये कुन हरर फिल्मले सबैभन्दा बढी सिक्वेल बनायो?
A.चिल्लाओ'
B.जबड़े'
C.हेलोवीन'
D.शुक्रवार 13 तारीख'",d,"d. शुक्रवार 13 तारीख' (friday the 13th) हरर फिल्म सिरिजले सबैभन्दा बढी सिक्वेल बनाएको छ। यस सिरिजमा मुख्य रूपमा जेसन भोरहीस नामक चरित्र केन्द्रित छ, जो एक मास्क लगाएको हत्यारा हो। यस सिरिजमा धेरै फिल्महरू छन्, जसमा मुख्य फिल्महरू र विभिन्न स्पिन-अफ र सिक्वेलहरू समावेश छन्।",true
" यो मार्केटिंग र संचार उपकरणले ग्राहकहरूलाई उत्पादन / सेवा खरीद गर्न प्रोत्साहित गर्न प्रत्यक्ष प्रलोभन वा प्रोत्साहन प्रदान गर्दछ:
A.विज्ञापन।
B.पब्लिक रिलेशंस।
C.बिक्री पदोन्नति।
D.प्रत्यक्ष विपणन।",c,"c.बिक्री पदोन्नति।

बिक्री पदोन्नति एक प्रकारको मार्केटिंग उपकरण हो जुन ग्राहकहरूलाई उत्पादन वा सेवा खरीद गर्न प्रत्यक्ष प्रलोभन वा प्रोत्साहन प्रदान गर्दछ। यसमा छुट, कूपन, उपहार, लोयल्टी रिवार्ड्स, र अन्य विशेष अफरहरू समावेश हुन्छन् जसले ग्राहकहरूलाई छोटो समयमा खरीद गर्न प्रोत्साहित गर्दछ।",true
"भारतबाट संयुक्त राज्य अमेरिका जाने विचार गर्दा रिभाको लागि निम्न मध्ये कुन कारकलाई ""पुल"" कारक मानिन्छ?
A.घोर गरीबी
B.राम्रो काम र उच्च ज्याला
C.भारतको जाति व्यवस्था[सम्पादन गर्ने]
D.उनको छिमेकमा हिंसा",b,"b. राम्रो काम र उच्च ज्याला

""पुल"" कारक ती कारकहरू हुन् जसले मानिसहरूलाई एउटा नयाँ स्थानमा आकर्षित गर्दछन्। यसमा राम्रो कामको अवसर, उच्च ज्याला, राम्रो शिक्षा, र सामाजिक सुरक्षा जस्ता सकारात्मक कारकहरू समावेश हुन्छन्। यस प्रकारका कारकहरूले मानिसहरूलाई उनीहरूको मूल देशबाट बाहिर जान र नयाँ देशमा बसोबास गर्न प्रेरित गर्दछन्।",true
