Question,CorrectAnswer,GivenAnswer,Correct
"ਨੀਦਰਲੈਂਡਜ਼ ਦੀ ਅਧਿਕਾਰਤ ਭਾਸ਼ਾ ਕੀ ਹੈ?
A.ਡੈਨਿਸ਼
B.ਸਵੀਡਿਸ਼
C.ਜਰਮਨ
D.ਡੱਚ",D,D.ਡੱਚ,D
"ਮੱਧ-ਉਮਰ ਦੇ ਬਾਲਗ ਬਜ਼ੁਰਗ ਜਾਂ ਛੋਟੇ ਬਾਲਗਾਂ ਨਾਲੋਂ ਵਧੇਰੇ ____ ਜਾਪਦੇ ਹਨ
A.ਜੈਨੇਰੇਟਿਵ
B.ਨਿਊਰੋਟਿਕ
C.ਸਹਿਮਤ
D.ਕੁਝ ਖਾਸ",A,A.ਜੈਨੇਰੇਟਿਵ,A
"________ ਦੀ ਪਛਾਣ ਕਰਨ ਲਈ, ___________ ਨੂੰ ਬਿਹਤਰ ਬਣਾਉਣ ਲਈ ਅਤੇ _________ ਅਤੇ ___________ ਨੂੰ ਉਤਸ਼ਾਹਤ ਕਰਨ ਲਈ, _________ ਤੋਂ ਮੰਗ ਦੇ ਕਾਰਨ ਕਾਰੋਬਾਰ ਸਮਾਜਿਕ ਲੇਖਾ-ਜੋਖਾ ਵਿੱਚ ਸ਼ਾਮਲ ਹੁੰਦੇ ਹਨ
A.ਹਿੱਸੇਦਾਰ, ਜੋਖਮ, ਹਿੱਸੇਦਾਰ ਪ੍ਰਬੰਧਨ, ਜਵਾਬਦੇਹੀ, ਪਾਰਦਰਸ਼ਤਾ
B.ਹਿੱਸੇਦਾਰ, ਜਵਾਬਦੇਹੀ, ਪਾਰਦਰਸ਼ਤਾ, ਜੋਖਮ, ਹਿੱਸੇਦਾਰ ਪ੍ਰਬੰਧਨ
C.ਹਿੱਸੇਦਾਰ, ਜਵਾਬਦੇਹੀ, ਜੋਖਮ, ਹਿੱਸੇਦਾਰ, ਹਿੱਸੇਦਾਰ ਪ੍ਰਬੰਧਨ
D.ਹਿੱਸੇਦਾਰ, ਹਿੱਸੇਦਾਰ ਪ੍ਰਬੰਧਨ, ਪਾਰਦਰਸ਼ਤਾ, ਜੋਖਮ, ਜਵਾਬਦੇਹੀ",A,"B.ਹਿੱਸੇਦਾਰ, ਜਵਾਬਦੇਹੀ, ਪਾਰਦਰਸ਼ਤਾ, ਜੋਖਮ, ਹਿੱਸੇਦਾਰ ਪ੍ਰਬੰਧਨ",B
"1999 ਦੀ ਫਿਲਮ ਮੈਗਨੋਲੀਆ ਕਿਸ ਰਾਜ ਵਿੱਚ ਸੈੱਟ ਕੀਤੀ ਗਈ ਹੈ?
A.ਕੈਲੀਫੋਰਨੀਆ
B.ਦੱਖਣੀ ਕੈਰੋਲੀਨਾ
C.ਜੋਰਜੀਆ
D.ਟੈਕਸਾਸ",A,"A. ਕੈਲੀਫੋਰਨੀਆ

1999 ਦੀ ਫਿਲਮ ਮੈਗਨੋਲੀਆ ਕੈਲੀਫੋਰਨੀਆ ਰਾਜ ਵਿੱਚ ਸੈੱਟ ਕੀਤੀ ਗਈ ਹੈ।",A
"ਅਭਿਨੇਤਾ ਐਂਟੋਨੀਓ ਬੈਂਡਰਸ ਦੀ ਮੂਲ ਭਾਸ਼ਾ ਕੀ ਹੈ?
A.ਸਪੇਨੀ
B.ਰੂਸੀ
C.ਜਰਮਨ
D.ਫਰੈਂਚ",A,"A.ਸਪੇਨੀ

ਐਂਟੋਨੀਓ ਬੈਂਡਰਸ ਦੀ ਮੂਲ ਭਾਸ਼ਾ ਸਪੇਨੀ ਹੈ। ਉਹ ਸਪੇਨ ਦੇ ਮਾਲਾਗਾ ਵਿੱਚ ਜਨਮੇ ਸਨ ਅਤੇ ਸਪੇਨੀ ਉਨ੍ਹਾਂ ਦੀ ਪਹਿਲੀ ਭਾਸ਼ਾ ਹੈ।",A
"ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਹੜੀ ਡਰਾਉਣੀ ਫਿਲਮ ਨੇ ਸਭ ਤੋਂ ਵੱਧ ਸੀਕਵਲ ਪੈਦਾ ਕੀਤੇ?
A.ਚੀਕਣਾ'
B.ਜੌਸ '
C.ਹੈਲੋਵੀਨ
D.ਸ਼ੁੱਕਰਵਾਰ 13'",D,"C. ਹੈਲੋਵੀਨ

ਹੈਲੋਵੀਨ ਫਿਲਮ ਸੀਰੀਜ਼ ਨੇ ਸਭ ਤੋਂ ਵੱਧ ਸੀਕਵਲ ਪੈਦਾ ਕੀਤੇ ਹਨ। ਇਸ ਸੀਰੀਜ਼ ਦੀ ਪਹਿਲੀ ਫਿਲਮ 1978 ਵਿੱਚ ਆਈ ਸੀ, ਅਤੇ ਇਸ ਦੇ ਬਾਅਦ ਕਈ ਸੀਕਵਲ ਅਤੇ ਰੀਬੂਟ ਆਏ ਹਨ।",C
"ਇੱਕ ਦੇਸ਼ ਵਿੱਚ ਮੁਕਾਬਲਾ ਦੂਜੇ ਦੇਸ਼ਾਂ ਵਿੱਚ ਮੁਕਾਬਲੇ ਤੋਂ ਕਿਸ ਹੱਦ ਤੱਕ ਪ੍ਰਭਾਵਿਤ ਹੁੰਦਾ ਹੈ, ਇਸ ਲਈ ਕਿਹੜਾ ਸ਼ਬਦ ਹੈ?
A.ਅੰਤਰਰਾਸ਼ਟਰੀ ਵਪਾਰ
B.ਗਲੋਬਲ ਅਰਥ ਸ਼ਾਸਤਰ
C.ਗਲੋਬਲ ਮੁਕਾਬਲਾ
D.ਵਿਸ਼ਵੀਕਰਨ",D,"D. ਵਿਸ਼ਵੀਕਰਨ

ਵਿਸ਼ਵੀਕਰਨ ਇੱਕ ਪ੍ਰਕਿਰਿਆ ਹੈ ਜਿਸ ਵਿੱਚ ਦੇਸ਼ਾਂ ਦੇ ਬੀਚ ਵਪਾਰ, ਸੰਚਾਰ, ਅਤੇ ਤਕਨਾਲੋਜੀ ਦੀ ਅਦਲਾ-ਬਦਲੀ ਹੁੰਦੀ ਹੈ, ਜਿਸ ਨਾਲ ਦੁਨੀਆ ਭਰ ਵਿੱਚ ਮੁਕਾਬਲਾ ਅਤੇ ਸਹਿਯੋਗ ਵਧਦਾ ਹੈ। ਇਸ ਪ੍ਰਕਿਰਿਆ ਦੇ ਨਤੀਜੇ ਵਜੋਂ, ਇੱਕ ਦੇਸ਼ ਦਾ ਮੁਕਾਬਲਾ ਦੂਜੇ ਦੇਸ਼ਾਂ ਦੇ ਮੁਕਾਬਲੇ ਨਾਲ ਬਹੁਤ ਹੱਦ ਤੱਕ ਪ੍ਰਭਾਵਿਤ ਹੁੰਦਾ ਹੈ।",D
" ਇਹ ਮਾਰਕੀਟਿੰਗ ਅਤੇ ਸੰਚਾਰ ਸਾਧਨ ਗਾਹਕਾਂ ਨੂੰ ਕਿਸੇ ਉਤਪਾਦ/ਸੇਵਾ ਨੂੰ ਖਰੀਦਣ ਲਈ ਉਤਸ਼ਾਹਤ ਕਰਨ ਲਈ ਸਿੱਧਾ ਲਾਲਚ ਜਾਂ ਪ੍ਰੋਤਸਾਹਨ ਦੀ ਪੇਸ਼ਕਸ਼ ਕਰਦਾ ਹੈ:
A.ਇਸ਼ਤਿਹਾਰਬਾਜ਼ੀ।
B.ਜਨਸੰਪਰਕ[ਸੋਧੋ]
C.ਵਿਕਰੀ ਪ੍ਰਚਾਰ।
D.ਡਾਇਰੈਕਟ ਮਾਰਕੀਟਿੰਗ।",C,"C.ਵਿਕਰੀ ਪ੍ਰਚਾਰ।

ਵਿਕਰੀ ਪ੍ਰਚਾਰ ਇੱਕ ਮਾਰਕੀਟਿੰਗ ਅਤੇ ਸੰਚਾਰ ਸਾਧਨ ਹੈ ਜੋ ਗਾਹਕਾਂ ਨੂੰ ਕਿਸੇ ਉਤਪਾਦ ਜਾਂ ਸੇਵਾ ਨੂੰ ਖਰੀਦਣ ਲਈ ਉਤਸ਼ਾਹਤ ਕਰਨ ਲਈ ਸਿੱਧਾ ਲਾਲਚ ਜਾਂ ਪ੍ਰੋਤਸਾਹਨ ਦੀ ਪੇਸ਼ਕਸ਼ ਕਰਦਾ ਹੈ। ਇਸ ਵਿੱਚ ਛੂਟ, ਕੂਪਨ, ਮੁਫ਼ਤ ਨਮੂਨੇ, ਪ੍ਰਤੀਯੋਗਤਾਵਾਂ, ਅਤੇ ਹੋਰ ਪ੍ਰੋਤਸਾਹਨ ਸ਼ਾਮਲ ਹੋ ਸਕਦੇ ਹਨ।",C
"ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਹੜਾ ਪਕਵਾਨ ਸੂਰ ਦੀਆਂ ਅੰਤੜੀਆਂ ਤੋਂ ਬਣਾਇਆ ਜਾਂਦਾ ਹੈ?
A.ਹੈਗੀਸ
B.ਚਿਟਲਿਨਜ਼
C.ਗ੍ਰਿਟਸ
D.Chop Sue",B,"A. ਹੈਗੀਸ

ਹੈਗੀਸ ਇੱਕ ਸਕਾਟਿਸ਼ ਪਕਵਾਨ ਹੈ ਜੋ ਕਿ ਭੇਡ ਦੀਆਂ ਅੰਤੜੀਆਂ ਤੋਂ ਬਣਾਇਆ ਜਾਂਦਾ ਹੈ। ਇਸ ਵਿੱਚ ਭੇਡ ਦੇ ਦਿਲ, ਜਿਗਰ ਅਤੇ ਫੇਫੜੇ ਨੂੰ ਪਿਆਜ਼, ਓਟਮੀਲ, ਸੂਈ ਅਤੇ ਮਸਾਲਿਆਂ ਨਾਲ ਮਿਲਾ ਕੇ ਭੇਡ ਦੀ ਅੰਤੜੀ ਵਿੱਚ ਭਰ ਕੇ ਪਕਾਇਆ ਜਾਂਦਾ ਹੈ।",A
"ਇੱਕ ਸੀਰੀਜ਼ ਸਰਕਟ ਵਿੱਚ, ਜੇ ਇੱਕ ਲੈਂਪ ਵਿੱਚ ਕਰੰਟ 2 A ਹੈ, ਤਾਂ ਇਸਦੇ ਨਾਲ ਵਾਲੇ ਲੈਂਪ ਵਿੱਚ ਕਰੰਟ ਕੀ ਹੈ?
A.ਅੱਧਾ, 1 A
B.ਸਵੇਰੇ 2:00 ਵਜੇ
C.ਇਹ ਇਸ ਗੱਲ 'ਤੇ ਨਿਰਭਰ ਕਰਦਾ ਹੈ ਕਿ ਕਿਹੜਾ ਲੈਂਪ ਬੈਟਰੀ ਦੇ ਨੇੜੇ ਹੈ
D.ਕਹਿਣ ਲਈ ਕਾਫ਼ੀ ਜਾਣਕਾਰੀ ਨਹੀਂ",B,"ਜਵਾਬ: B.ਸਵੇਰੇ 2:00 ਵਜੇ

ਇੱਕ ਸੀਰੀਜ਼ ਸਰਕਟ ਵਿੱਚ, ਸਾਰੇ ਕੰਪੋਨੈਂਟਸ ਵਿੱਚ ਕਰੰਟ ਦੀ ਮਾਤਰਾ ਇੱਕੋ ਜਿਹੀ ਹੁੰਦੀ ਹੈ। ਇਸ ਲਈ, ਜੇ ਇੱਕ ਲੈਂਪ ਵਿੱਚ ਕਰੰਟ 2 A ਹੈ, ਤਾਂ ਇਸਦੇ ਨਾਲ ਵਾਲੇ ਲੈਂਪ ਵਿੱਚ ਵੀ ਕਰੰਟ 2 A ਹੀ ਹੋਵੇਗਾ। ਇਸ ਲਈ ਸਹੀ ਜਵਾਬ ਹੈ B.ਸਵੇਰੇ 2:00 ਵਜੇ (ਜੋ ਕਿ ਇੱਕ ਮਜ਼ਾਕੀਆ ਜਵਾਬ ਹੈ ਅਤੇ ਅਸਲ ਵਿੱਚ ਇਹ ਵੀ 2 A ਹੀ ਹੋਵੇਗਾ)।",B
