Question,CorrectAnswer,GivenAnswer,Correct
"Qual é a língua oficial dos Países Baixos?
A.Dinamarquês
B.Sueco
C.Alemão
D.Holandês",d,d.holandês,true
"Qual é a língua nativa do ator Antonio Banderas?
A.Espanhol
B.Russo
C.Alemão
D.Francês",a,a. espanhol,true
"Em que estado se passa o filme Magnólia, de 1999?
A.Califórnia
B.Carolina do Sul
C.Geórgia
D.Texas",a,a. califórnia,true
"Adultos de meia-idade parecem ser mais ____ do que adultos mais velhos ou mais jovens
A.Gerador
B.Neurótico
C.Agradável
D.Certo",a,a frase completa seria: adultos de meia-idade parecem ser mais **c. agradável** do que adultos mais velhos ou mais jovens.,false
"As empresas se engajam na contabilidade social devido às demandas dos _________, a fim de identificar ________, melhorar ___________ e incentivar _________ e ___________
A.Stakeholders, Riscos, Gestão de stakeholders, Prestação de contas, Transparência
B.Stakeholders, Prestação de Contas, Transparência, Riscos, Gestão de Stakeholders
C.Partes Interessadas, Prestação de Contas, Riscos, Partes Interessadas, Gestão de Partes Interessadas
D.Stakeholders, Gestão de Stakeholders, Transparência, Riscos, Prestação de Contas",a,"a. stakeholders, riscos, gestão de stakeholders, prestação de contas, transparência",true
"Qual é o termo para determinar até que ponto a concorrência num país é influenciada pela concorrência noutros países?
A.Comércio internacional
B.Economia global
C.Competição global
D.Globalização",d,"o termo que melhor descreve até que ponto a concorrência num país é influenciada pela concorrência em outros países é d. globalização. a globalização envolve a integração e interdependência de mercados nacionais e internacionais, o que afeta diretamente a concorrência entre empresas em diferentes países.",true
"Em um circuito em série, se a corrente em uma lâmpada é 2 A, a corrente na lâmpada ao lado é
A.metade, 1 A
B.02:00
C.Depende de qual lâmpada está mais próxima da bateria
D.Não há informação suficiente para dizer",b,"em um circuito em série, a corrente é a mesma em todos os componentes do circuito. isso significa que se a corrente em uma lâmpada é de 2 a, a corrente em qualquer outra lâmpada ou componente conectado em série com ela também será de 2 a. portanto, a corrente na lâmpada ao lado também é de 2 a.

a resposta correta é:
b. 2 a",true
"Qual dos seguintes fatores seria considerado um fator de ""puxada"" para Riva ao considerar uma mudança da Índia para os Estados Unidos?
A.Pobreza abjeta
B.Melhor emprego e salários mais altos
C.O sistema de castas da Índia
D.Violência em seu bairro",b,"b. melhor emprego e salários mais altos

este fator é considerado um fator de ""puxada"" porque representa uma condição positiva que atrai indivíduos para um novo local, neste caso, os estados unidos. fatores de puxada geralmente envolvem oportunidades de melhoria de vida, como melhores empregos, salários mais altos, educação de qualidade, entre outros benefícios que incentivam a migração.",true
"Qual perspectiva psicológica era mais popular na virada do século XX na Europa Ocidental?
A.neurociência
B.evolutivo
C.Behaviorista
D.psicanalítico",d,"d.psicanalítico

na virada do século xx, a perspectiva psicanalítica, fundada por sigmund freud, era extremamente influente na europa ocidental. freud desenvolveu uma abordagem terapêutica e teórica que enfocava a importância do inconsciente, dos sonhos, e das experiências da infância na formação da personalidade e do comportamento humano. a psicanálise se tornou uma escola de pensamento dominante na psicologia e influenciou profundamente a cultura, a arte e a literatura da época.",true
"A falácia da personalidade laudatória é um tipo específico de
A.A falácia do acidente
B.Falso dilema
C.Levantando a questão
D.Raciocínio circular",a,"a falácia da personalidade laudatória é um tipo específico de **a. falácia do acidente**. esta falácia ocorre quando uma generalização é indevidamente aplicada a um caso particular sem considerar as diferenças relevantes. no contexto da falácia da personalidade laudatória, isso pode envolver a aplicação de uma característica positiva de uma pessoa de forma generalizada, sem considerar se essa característica é relevante ou verdadeira em todas as situações.",false
" Esta ferramenta de marketing e comunicação oferece um incentivo direto ou um incentivo para incentivar os clientes a comprar um produto/serviço:
A.Publicidade.
B.Relações públicas.
C.Promoção de vendas.
D.Marketing direto.",c,c. promoção de vendas.,true
"Qual desses pratos é feito de intestino de porco?
A.haggis
B.Dobradinha
C.canjica
D.Corte Suey",b,"o prato feito de intestino de porco é a **dobradinha**. é um prato tradicional da culinária portuguesa, também muito popular no brasil, especialmente no rio de janeiro. a dobradinha é feita principalmente com bucho (estômago) de boi, mas pode incluir partes do intestino de porco, além de outros ingredientes como feijão-branco, legumes e temperos.",true
