Question,CorrectAnswer,GivenAnswer,Correct
"Në ç'gjendje është vendosur filmi Magnolia' i vitit 1999?
A.Kalifornia
B.Karolina e Jugut
C.Gjeorgjia
D.Texas",A,A. Kalifornia,A
"Çfarë është aktori Antonio Banderas gjuhë amtare?
A.Spanjisht
B.Rusisht
C.Gjermanisht
D.Frëngjisht",A,A. Spanjisht,A
"Cila është gjuha zyrtare e Holandës?
A.Danisht
B.Suedisht
C.Gjermanisht
D.Holandisht",D,D.Holandisht,D
" Ky mjet marketingu dhe komunikimi ofron një nxitje të drejtpërdrejtë ose një nxitje për të nxitur klientët të blejnë një produkt/shërbim:
A.Reklama.
B.Marrëdhëniet me publikun.
C.Promovimi i shitjeve.
D.Marketing direkt.",C,C.Promovimi i shitjeve.,C
"Cila nga këto pjata është bërë nga zorrët e derrit?
A.Haggis
B.Chitlins
C.Grits
D.Chop Suey",B,"Pjata që është bërë nga zorrët e derrit është:
B. Chitlins",B
"Cili është termi për masën në të cilën konkurrenca në një vend ndikohet nga konkurrenca në vende të tjera?
A.Tregtia ndërkombëtare
B.Ekonomia globale
C.Konkurrenca globale
D.Globalizimi",D,"Termi që përshkruan masën në të cilën konkurrenca në një vend ndikohet nga konkurrenca në vende të tjera është:
C. Konkurrenca globale",C
"Cili nga vendet e mëposhtme emetoi më shumë CO2 për frymë në vitin 2017?
A.Japonia
B.Kanadaja
C.Rusia
D.Irani",B,"Në vitin 2017, Kanadaja kishte një emetim më të lartë të CO2 për frymë krahasuar me Japoninë, Rusinë dhe Iranin. Kanadaja është njohur për emetimet e larta për frymë për shkak të ekonomisë së saj të bazuar në energjinë dhe burimet natyrore, si dhe për klimën e saj të ftohtë që rrit nevojën për ngrohje.",B
"Cili nga këta filma horror solli më shumë vazhdime?
A.Bërtit'
B.Nofullat'
C.Hallouini'
D.E premtja e 13-të'",D,"Filmi horror që solli më shumë vazhdime nga opsionet e dhëna është ""E premtja e 13-të"" (Friday the 13th). Ky seri filmash filloi me filmin origjinal në vitin 1980 dhe ka prodhuar një numër të madh vazhdimesh dhe ristartimesh, duke përfshirë gjithsej 12 filma deri më sot.",D
"Cili nga faktorët e mëposhtëm do të konsiderohej si një faktor ""tërheqje"" për Rivën kur do të shqyrtohej një lëvizje nga India në Shtetet e Bashkuara?
A.Varfëria e skajshme
B.Punë më e mirë dhe paga më të larta
C.Sistemi i kastës së Indisë
D.Dhuna në lagjen e saj",B,"B. Punë më e mirë dhe paga më të larta

Ky faktor do të konsiderohej si një faktor ""tërheqje"" sepse ofron një mundësi më të mirë për Rivën në Shtetet e Bashkuara krahasuar me atë që mund të ketë në Indi. Faktorët e tërheqjes janë ato që tërheqin individët drejt një vendi të ri, duke ofruar përfitime si punësimi më i mirë dhe të ardhura më të larta.",B
"Autokorrelacioni negativ i mbetjeve tregohet nga cili nga më poshtë?
A.Një model ciklik në mbetjet
B.Një model i alternuar në mbetjet
C.Një rastësi e plotë në mbetjet
D.Mbetje që janë të gjitha afër zeros",B,"Autokorrelacioni negativ i mbetjeve, i njohur edhe si autokorrelacioni i kundërt, ndodh kur vlerat e njëpasnjëshme të mbetjeve janë të kundërta në shenjë. Kjo do të thotë që një vlerë pozitive të mbetjeve zakonisht i pasohet një vlerë negative dhe anasjelltas. Kjo sjellje e mbetjeve tregon një model të alternuar në mbetjet, ku vlerat ndërrojnë shenjën në mënyrë të rregullt. Prandaj, përgjigja e saktë është:

B. Një model i alternuar në mbetjet.",B
