Question,CorrectAnswer,GivenAnswer,Correct
"Koji je zvanični jezik Holandije?
A.Danski
B.Švedski
C.Nemački
D.Holandski",d,d.holandski,true
"Šta je maternji jezik glumca Antonija Banderasa?
A.Španski
B.Ruski
C.Nemački
D.Francuski",a,a. španski,true
"U kom stanju je scenografija filma Magnolija iz 1999?
A.Kalifornija
B.Južna Karolina
C.Gruzija
D.Teksas",a,a. kalifornija,true
" Ovaj alat za marketing i komunikaciju nudi direktan podsticaj ili podsticaj da se kupci podstaknu da kupe proizvod/uslugu:
A.Reklama.
B.Javnošću.
C.Promocija prodaje.
D.Direktan marketing.",c,c. promocija prodaje.,true
"Preduzeća se bave socijalnim knjigovodstvom zbog zahteva _________-a, u cilju identifikacije ________, poboljšanja ___________ i _________ i ___________
A.Zainteresovani, rizici, upravljanje zainteresovanim stranama, odgovornost, transparentnost
B.Zainteresovani, Odgovornost, Transparentnost, Rizici, Upravljanje zainteresovanim stranama
C.Zainteresovani, odgovornost, rizici, zainteresovane strane, upravljanje zainteresovanim stranama
D.Zainteresovani, Upravljanje zainteresovanim stranama, Transparentnost, Rizici, Odgovornost",a,"a. zainteresovani, rizici, upravljanje zainteresovanim stranama, odgovornost, transparentnost",true
"Sredovečni odrasli su izgleda više ____ od starijih ili mlađih odraslih osoba
A.Generativni
B.Neurotiиna
C.Prijatan
D.Određene",a,a. generativni,true
"Koji od sledećih faktora bi se smatrao faktorom ""povlačenja"" za Rivu kada se razmatra selidba iz Indije u SAD?
A.Beskrajno siromaštvo
B.Bolji posao i veće plate
C.Indijski kasti sistem
D.Nasilje u njenom komšiluku",b,"b. bolji posaj i veće plate

ovaj faktor se smatra ""povlačenjem"" jer predstavlja pozitivan razlog zbog kojeg bi riva mogla da se preseli u sad, u potrazi za boljim ekonomskim prilikama i životnim standardom.",true
"Koji je termin u kojoj meri je konkurencija u jednoj zemlji pod uticajem konkurencije u drugim zemljama?
A.Međunarodna trgovina
B.Globalna ekonomija
C.Globalna konkurencija
D.Globalizacija",d,"odgovor je c. globalna konkurencija. ovaj termin opisuje situaciju u kojoj kompanije iz različitih zemalja međusobno konkuriraju, često na globalnom tržištu, što utiče na konkurentnost u pojedinačnim zemljama.",false
"Pad pohvalne ličnosti je specifičan tip
A.Pad nesreće
B.Lažna dilema
C.Preklinjem te pitanje
D.Kružno rezonovanje",a,"odgovor je: a. pad nesreće

pad pohvalne ličnosti (ili ad hominem) je logička zabluda koja se javlja kada neko umesto da argumentuje protiv tvrdnje, napada osobu koja iznosi tu tvrdnju. ovo se može smatrati specifičnim tipom ""pada nesreće"" jer se fokus prebacuje sa argumenta na osobu koja argument iznosi.",true
"Koja psihološka perspektiva je bila najpopularnija na početku dvadesetog veka u zapadnoj Evropi?
A.neuronauka
B.Evolucije
C.ponašanjeiste
D.psihoanalitika",d,"d. psihoanalitika

na početku dvadesetog veka, psihoanalitička perspektiva, koju je razvio sigmund freud, bila je izuzetno popularna u zapadnoj evropi. psihoanaliza se fokusira na ulogu nesvesnih procesa i ranog djetinjstva u oblikovanju ljudskog ponašanja i psihičkih stanja.",true
"Koji od ovih horor filmova je iznedrio najviše nastavaka?
A.Vrišti'
B.Čeljusti
C.Noć veštica'
D.Petak 13-ti",d,"od navedenih horor filmova, serijal ""petak 13-ti"" (friday the 13th) ima najviše nastavaka. originalni film je izašao 1980. godine, a do danas je iznedrio brojne nastavke, uključujući i nekoliko spin-offova i remakeova. ukupno, serijal ""petak 13-ti"" obuhvata 12 filmova.",true
