Question,CorrectAnswer,GivenAnswer,Correct
"Ke efe ho lifilimi tsee tse tšosang tse ileng tsa etsa hore ho be le li-distros tse ntle ka ho fetisisa?
A.Hoa Hoa
B.hahaha ""
C.Halloween ho
D.Labobeli 13'",d,c. halloween,false
"Ke eng e sebetsang Netherlands?
A.Sedanish
B.Seswedishe
C.Sejeremane
D.Seduche",d,d. seduche,true
"Ho bonahala eka batho ba baholo ba tsofetseng kapa ba baholo
A.Ho hlahisa
B.Neurotic ea
C.E lumellana le
D.Ho ho ho sure",a,c. e lumellana le,false
" Sesebelisoa sena sa papatso le puisano se fana ka tšusumetso e tobileng kapa khothatso ea ho khothaletsa bareki ho reka sehlahisoa / tšebeletso:
A.Ho bapatsa.
B.Likamano tsa sechaba.
C.Papatso ea thekiso.
D.Wholesale Marketing Direct.",c,c. papatso ea thekiso.,true
"Ho thoe'ng ka baesekopo ea Magnolia ea 1999?
A.California Ho Ho
B.Carolina Ho Ho
C.Georgia
D.Texas Ho Ho",a,c.georgia,false
"Tlhaselo ea ho khutlela morao ke eng?
A.Ha motho ea hlaselang a araba molaetsa o rometsoeng ke oona tsamaisong
B.ʻO ka hoʻoholoʻana i ka hoʻoholoʻana i ka hoʻoholoʻana
C.Tlhaselo e sebelisang melaetsa ea tsamaiso mme ka hona e ke ke ea sirelletsoa khahlanong le
D.Motho ea hlaselang o fana ka molaetsa o hapuoeng, 'me sebaka seo se amohela le ho arabela molemong oa motho ea hlaselang",d,"tlhaselo ea ho khutlela morao ke d. motho ea hlaselang o fana ka molaetsa o hapuoeng, 'me sebaka seo se amohela le ho arabela molemong oa motho ea hlaselang.",true
"Puo ea lapeng ea Antonio Banderas ke eng?
A.Sepanishe
B.Serussia
C.Sejeremane
D.Sefora",a,a. sepanishe,true
"Ke efe ea lijana tsee tse entsoeng ka mala a kolobe?
A.hahes ea
B.Chitlins Ho
C.Grits ea
D.Chop Sue ho",b,"karabo e nepahetseng ke b. chitlins. chitlins, kapa chitterlings, ke sejana se tloaelehileng sa setso sa amerika se entsoeng ka mala a kolobe a phehiloeng. sejana sena se na le metsoalle e mengata mme se jeoa haholo nakong ea matsatsi a phomolo le likopano tsa lelapa, haholo-holo har'a sechaba sa maafrika a amerika se ka boroa ho united states.",true
"Fumana $ --dfrac{1} {cdot{1}{1}{{{1}{/f/f/3}}.$$/3/3/3/200
A.1
B.-1
C.0
D.2",b,it seems there was an error in the formatting or transcription of your question. the expression provided is unclear and contains multiple syntax errors. could you please clarify or correct the mathematical expression you need help with? this will enable me to assist you more effectively.,true
"Liphetoho tse bakang achondroplasia li na le phello e ka khetholloang e le:
A.ʻO ka hoʻohaʻo ʻo
B.Ho sebetsa ka phaello.
C.Ho ba le ho hloka matla.
D.Ho lahleheloa ke mosebetsi.",b,"achondroplasia ke lefu la liphatsa tsa lefutso le amang kholo ea masapo. liphetoho tsa liphatsa tsa lefutso tse bakang achondroplasia li na le phello e ka khetholloang e le:

b. ho sebetsa ka phaello.

sena se bolela hore ho na le phetoho ho gene e itseng (hangata gene ea fgfr3) e etsang hore protein e sebetse haholo ho feta kamoo e lokelang, e leng se bakang kholo e sa tloaelehang ea masapo.",true
