Question,CorrectAnswer,GivenAnswer,Correct
"Vilket är det officiella språket i Nederländerna?
A.Danska
B.Svenska
C.Tyska
D.Nederländska",D,D.Nederländska,D
"I vilket skick utspelar sig filmen Magnolia från 1999?
A.Kalifornien
B.Södertälje
C.Georgien
D.Texas",A,A.Kalifornien,A
"Vad är skådespelaren Antonio Banderas modersmål?
A.Spanska
B.Ryska
C.Tyska
D.Franska",A,A. Spanska,A
" Detta marknadsförings- och kommunikationsverktyg erbjuder en direkt uppmuntran eller ett incitament för att uppmuntra kunder att köpa en produkt/tjänst:
A.Reklam.
B.PR.
C.Säljfrämjande åtgärder.
D.Direktmarknadsföring.",C,C. Säljfrämjande åtgärder.,C
"Företag ägnar sig åt social redovisning på grund av krav från _________, för att identifiera ________, för att förbättra ___________ och för att uppmuntra _________ och ___________
A.Intressenter, Risker, Intressenthantering, Ansvarsskyldighet, Transparens
B.Intressenter, Ansvarsskyldighet, Transparens, Risker, Intressenthantering
C.Intressenter, Ansvar, Risker, Intressenter, Intressenthantering
D.Intressenter, intressenthantering, transparens, risker, ansvarsskyldighet",A,"A. Intressenter, Risker, Intressenthantering, Ansvarsskyldighet, Transparens",A
"En del av Mars vatten är fruset i jorden och istäckena och en del förlorades på grund av solvinden, men mycket av det ursprungliga vattnet tros ha gått förlorat genom en annan mekanism. Vad hände med detta ""förlorade"" vatten?
A.Den skalades bort av magnetfältet när den snabbt minskade i styrka
B.Det bröts ner till väte och syre genom ultraviolett ljus och vätet förlorades genom termisk flykt
C.den förtärdes av en civilisation av törstiga marsianer
D.Den förångades under en period av intensiv vulkanism och försvann ut i rymden genom termisk flykt",B,Rätt svar är B. Det bröts ner till väte och syre genom ultraviolett ljus och vätet förlorades genom termisk flykt.,B
"Den energi som frigörs från nedbrytningen av högenergifosfaterna, ATP och fosfokreatin, kan upprätthålla maximal ansträngning i ca:
A.1-2 sekunder.
B.5-10 sekunder.
C.30-40 sekunder.
D.50-60 sekunder.",B,"Den energi som frigörs från nedbrytningen av högenergifosfaterna, ATP och fosfokreatin, kan upprätthålla maximal ansträngning i ungefär 5-10 sekunder. Så det korrekta svaret är:

B. 5-10 sekunder.",B
"Vilken av dessa rätter är gjord av gristarmar?
A.haggis
B.Chitlins
C.Gryn
D.Chop Suey",B,"B. Chitlins är rätten som är gjord av gristarmar. Chitlins, eller chitterlings, är en traditionell maträtt i södra USA där rengjorda gristarmar kokas och ofta serveras med olika tillbehör.",B
"Vilken av följande indikerar negativ residualautokorrelation?
A.Ett cykliskt mönster i residualerna
B.Ett alternerande mönster i residualerna
C.En fullständig slumpmässighet i residualerna
D.Residualer som alla är nära noll",B,"B. Ett alternerande mönster i residualerna

Negativ residualautokorrelation, även känd som negativ autokorrelation, innebär att residualerna alternerar mellan positiva och negativa värden på ett systematiskt sätt. Detta innebär att ett positivt värde sannolikt följs av ett negativt värde och vice versa, vilket skapar ett alternerande mönster.",B
"Inlärd hjälplöshet är med största sannolikhet direkt relaterad till
A.Barnum-effekten.
B.egennyttiga fördomar.
C.en extern kontrollplats.
D.ovillkorlig positiv hänsyn.",C,"C. en extern kontrollplats.

Inlärd hjälplöshet är ett fenomen där individer lär sig att de inte har kontroll över situationer i sitt liv, vilket ofta leder till passivitet och depression. Detta är direkt relaterat till en extern kontrollplats, vilket innebär att individen upplever att händelser och resultat i livet styrs av yttre krafter snarare än av egna handlingar eller beslut.",C
