Question,CorrectAnswer,GivenAnswer,Correct
"Ni katika hali gani filamu ya Magnolia ya 1999 imewekwa?
A.California
B.Carolina ya Kusini
C.Jojia
D.Texas",A,A. California,A
"Udanganyifu wa utu wa kusifu ni aina maalum ya
A.Udanganyifu wa ajali
B.Utata wa uwongo
C.Uliza swali
D.Hoja ya duara",A,B. Utata wa uwongo,B
" Chombo hiki cha uuzaji na mawasiliano kinatoa msukumo wa moja kwa moja au motisha ya kuhamasisha wateja kununua bidhaa / huduma:
A.Matangazo.
B.Uhusiano wa Umma.
C.Uendelezaji wa mauzo.
D.Uuzaji wa moja kwa moja.",C,C. Uendelezaji wa mauzo.,C
"Lugha ya asili ya mwigizaji Antonio Banderas ni nini?
A.Kihispania
B.Kirusi
C.Kijerumani
D.Kifaransa",A,A. Kihispania,A
"Biashara zinajihusisha na uhasibu wa kijamii kutokana na mahitaji kutoka kwa _________, ili kutambua ________, kuboresha ___________ na kuhamasisha _________ na ___________
A.Wadau, Hatari, Usimamizi wa Wadau, Uwajibikaji, Uwazi
B.Wadau, Uwajibikaji, Uwazi, Hatari, Usimamizi wa Wadau
C.Wadau, Uwajibikaji, Hatari, Wadau, Usimamizi wa Wadau
D.Wadau, Usimamizi wa Wadau, Uwazi, Hatari, Uwajibikaji",A,"A. Wadau, Hatari, Usimamizi wa Wadau, Uwajibikaji, Uwazi",A
"Ni neno gani kwa kiwango ambacho ushindani katika nchi moja unaathiriwa na ushindani katika nchi zingine?
A.Biashara ya Kimataifa
B.Uchumi wa Dunia
C.Ushindani wa kimataifa
D.Utandawazi",D,C. Ushindani wa kimataifa,C
"Ni ipi kati ya sahani hizi zilizotengenezwa kutoka kwa utumbo wa nguruwe?
A.haggis
B.chitlins
C.grits
D.Suey ya Chop",B,"Jibu ni B. Chitlins. Chitlins ni chakula kinachotengenezwa kutokana na utumbo mdogo wa nguruwe, ambao umesafishwa na kupikwa kwa muda mrefu.",B
"Nishati iliyotolewa kutoka kwa kuvunjika kwa phosphates ya nishati ya juu, ATP na phosphocreatine, inaweza kuendeleza zoezi la nguvu kubwa kwa karibu:
A.Sekunde ya 1-2.
B.Sekunde 5-10.
C.30-40 kwa sekunde.
D.50-60 kwa sekunde.",B,"Nishati iliyotolewa kutoka kwa kuvunjika kwa phosphates ya nishati ya juu, ATP na phosphocreatine, inaweza kuendeleza zoezi la nguvu kubwa kwa karibu:
C. 30-40 kwa sekunde.",C
"Tangi iko katika sura ya prism ya pembe tatu. Ikiwa msingi wa pembe tatu una eneo la futi za mraba 116, na tanki lina urefu wa futi 30, ni kiasi gani cha maji ambacho tank inaweza kuwa nayo wakati imejaa?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Ili kupata ujazo wa tanki ambalo lina sura ya prism ya pembe tatu, tunahitaji kuzidisha eneo la msingi wa pembe tatu na urefu wa prism.

Eneo la msingi wa pembe tatu = 116 ft²
Urefu wa prism = 30 ft

Ujazo wa prism = eneo la msingi × urefu
Ujazo = 116 ft² × 30 ft = 3480 ft³

Hivyo, jibu ni:
C. 3480 ft³",C
"Ni nchi gani kati ya zifuatazo zilizotoa CO2 zaidi kwa kila mtu katika 2017?
A.Japani
B.Kanada
C.Urusi
D.Irani",B,"Kwa mwaka wa 2017, Kanada ilikuwa na kiwango cha juu zaidi cha utoaji wa CO2 kwa kila mtu ikilinganishwa na Japani, Urusi, na Irani. Kanada inajulikana kwa kiwango chake cha juu cha utoaji wa gesi chafu kwa kila mtu kutokana na matumizi makubwa ya nishati na sekta kubwa ya mafuta na gesi.",B
"Ni mambo gani kati ya yafuatayo ambayo yatachukuliwa kuwa sababu ya ""pull"" kwa Riva wakati wa kuzingatia kuhama kutoka India kwenda Merika?
A.Umaskini wa kupindukia
B.Kazi bora na mshahara wa juu
C.Mfumo wa India wa tabaka
D.Vurugu katika eneo lake",B,"B. Kazi bora na mshahara wa juu

Sababu ya ""pull"" inahusu vivutio vinavyomfanya mtu kuhama kutoka sehemu moja kwenda nyingine. Kazi bora na mshahara wa juu ni vivutio vinavyoweza kumshawishi Riva kuhama kutoka India kwenda Marekani, kwani vinatoa fursa za maendeleo ya kikazi na kuboresha hali ya maisha.",B
