Question,CorrectAnswer,GivenAnswer,Correct
"నటుడు ఆంటోనియో బాండెరాస్ మాతృభాష ఏమిటి?
A.స్పానిష్
B.రష్యన్
C.జర్మన్
D.ఫ్రెంచ్",a,a.స్పానిష్,true
"మధ్య వయస్కులైన పెద్దలు వృద్ధులు లేదా యువకుల కంటే ఎక్కువగా ____ గా కనిపిస్తారు
A.ఉత్పాదక
B.న్యూరోటిక్
C.అంగీకరించదగినది
D.తధ్యం",a,a.ఉత్పాదక,true
"నెదర్లాండ్స్ అధికారిక భాష ఏది?
A.డానిష్
B.స్వీడిష్
C.జర్మన్
D.డచ్",d,d.డచ్,true
" ఈ మార్కెటింగ్ మరియు కమ్యూనికేషన్ టూల్ ఒక ఉత్పత్తి/సేవను కొనుగోలు చేయడానికి కస్టమర్ లను ప్రోత్సహించడానికి ప్రత్యక్ష ప్రేరణ లేదా ప్రోత్సాహకాన్ని అందిస్తుంది:
A.ప్రకటనలు..
B.పౌరసంబంధాలు.
C.సేల్స్ ప్రమోషన్..
D.డైరెక్ట్ మార్కెటింగ్..",c,c.సేల్స్ ప్రమోషన్.,true
"ఒక దేశంలో పోటీ ఇతర దేశాలలో పోటీని ఏ మేరకు ప్రభావితం చేస్తుందో ఏ పదం?
A.అంతర్జాతీయ వాణిజ్యం[మార్చు]
B.గ్లోబల్ ఎకనామిక్స్
C.[మార్చు] ప్రపంచ పోటీ
D.ప్రపంచీకరణ[మార్చు]",d,c. ప్రపంచ పోటీ,false
"పార్ఫిట్ సమానత్వాన్ని ఎందుకు వ్యతిరేకిస్తుంది?
A.అసమాన సమాజం అనివార్యమని ఆయన వాదించారు.
B.పేదల అవసరాలకు ప్రాధాన్యమివ్వడం ద్వారా సమానత్వాన్ని పెంచుకోవచ్చని ఆయన పేర్కొన్నారు.
C.మన పేదరికానికి మనమంతా బాధ్యులమని ఆయన నొక్కి చెప్పారు.
D.అతను సమానత్వ భావనను పూర్తిగా తిరస్కరిస్తాడు.",b,a.అసమాన సమాజం అనివార్యమని ఆయన వాదించారు.,false
"1999లో వచ్చిన మాగ్నోలియా సినిమా సెట్ ఏ రాష్ట్రంలో ఉంది?
A.కాలిఫోర్నియా
B.దక్షిణ కరోలినా
C.జార్జియా
D.టెక్సాస్",a,"a.కాలిఫోర్నియా

1999లో వచ్చిన మాగ్నోలియా సినిమా సెట్ కాలిఫోర్నియా రాష్ట్రంలో ఉంది.",true
"________ గుర్తించడానికి, ___________ మెరుగుపరచడానికి మరియు _________ మరియు ___________ ప్రోత్సహించడానికి _________ నుండి వచ్చే డిమాండ్ల కారణంగా వ్యాపారాలు సోషల్ అకౌంటింగ్ లో పాల్గొంటాయి
A.వాటాదారులు, రిస్క్ లు, వాటాదారుల నిర్వహణ, జవాబుదారీతనం, పారదర్శకత
B.వాటాదారులు, జవాబుదారీతనం, పారదర్శకత, రిస్క్ లు, వాటాదారుల నిర్వహణ
C.వాటాదారులు, జవాబుదారీతనం, రిస్క్ లు, వాటాదారులు, వాటాదారుల నిర్వహణ
D.వాటాదారులు, వాటాదారుల నిర్వహణ, పారదర్శకత, ప్రమాదాలు, జవాబుదారీతనం",a,"b.వాటాదారులు, జవాబుదారీతనం, పారదర్శకత, రిస్క్ లు, వాటాదారుల నిర్వహణ",false
"ఈ వంటలలో ఏది పంది ప్రేగుల నుండి తయారవుతుంది?
A.haggis
B.చిట్లిన్ లు
C.grits
D.chop suey",b,"b. చిట్లిన్ లు

చిట్లిన్లు అనేవి పంది ప్రేగుల నుండి తయారవుతాయి. ఇవి ప్రధానంగా అమెరికాలో దక్షిణ భాగంలో ప్రజలు తినే ఒక రకమైన వంటకం.",true
"ఒక శ్రేణి వలయంలో, ఒక దీపంలోని విద్యుత్ 2 A అయితే, దాని పక్కన ఉన్న దీపంలోని విద్యుత్ ప్రవాహం
A.సగం, 1 ఎ
B.2:00 AM
C.ఏ ల్యాంప్ బ్యాటరీకి దగ్గరగా ఉంటుందనే దానిపై ఆధారపడి ఉంటుంది.
D.చెప్పడానికి తగినంత సమాచారం లేదు",b,"ఒక శ్రేణి వలయంలో, అన్ని ఘటకాలలో విద్యుత్ ప్రవాహం సమానంగా ఉంటుంది. అంటే, ఒక దీపంలో 2 a విద్యుత్ ప్రవాహం ఉంటే, పక్కన ఉన్న దీపంలో కూడా 2 a విద్యుత్ ప్రవాహం ఉంటుంది. కాబట్టి, సరైన సమాధానం:

b. 2 a",true
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"first, simplify the expression inside the parentheses:

\[
\frac{1}{-\frac{1}{3}}
\]

to simplify this, we multiply by the reciprocal of \(-\frac{1}{3}\), which is \(-3\):

\[
\frac{1}{-\frac{1}{3}} = 1 \cdot (-3) = -3
\]

now, substitute \(-3\) back into the original expression:

\[
-\frac{1}{-3} \cdot (-3)
\]

simplify \(-\frac{1}{-3}\) to \(\frac{1}{3}\):

\[
\frac{1}{3} \cdot (-3)
\]

multiply the fractions:

\[
\frac{1}{3} \cdot (-3) = \frac{1 \cdot (-3)}{3} = \frac{-3}{3} = -1
\]

thus, the value of the expression is \(\boxed{-1}\).",true
