Question,CorrectAnswer,GivenAnswer,Correct
"ወግዓዊ ቛንቋ ኔዘርላንድ እንታይ እዩ ?
A.ዳኒሽ
B.ስዊድንኛ
C.ጀርመን
D.ደችኛ",D,D. ደችኛ,D
�ን
D.ዓርቢ መበል 13",D,C. ሃሎዊን,C
"ናይ ምስጋና ባህርያት ሓደ ዓይነት ጌጋ ኢዩ
A.ናይ ሓደጋ ጌጋ
B.ናይ ሓሶት መዋጥር
C.ነታ ሕቶ ለመንዋ
D.ክብ ዝበለ ኣተሓሳስባ",A,B. ናይ ሓሶት መዋጥር,B
"ኣንቶንዮ ባንደራስ ዚበሃል ተዋሳኢ እንታይ ቋንቋ እዩ ዚዛረብ?
A.ስፓኒሽኛ
B.ራሻኛ
C.ጀርመን
D.ፈረንሳይኛ",A,A. ስፓኒሽኛ,A
"እታ ማግኖልያ ብ1999 እተዳለወት ፊልም ኣብ ኣየናይ ኵነታት እያ ዘላ?
A.ካሊፎርንያ
B.ሳውዝ ካሮሊና
C.ጆርጂያ
D.ቴክሳስ",A,B. ሳውዝ ካሮሊና,B
"ኣብ ሓንቲ ሃገር ዚግበር ውድድር ኣብ ካልኦት ሃገራት ብዚግበር ውድድር ክሳዕ ክንደይ እዩ ዚጽሎ?
A.ኣህጉራዊ ንግዲ
B.ዓለምለኻዊ ቝጠባ
C.ዓለምለኻዊ ውድድር
D.ዓለምለኻዊ ምዕባለ",D,C. ዓለምለኻዊ ውድድር,C
"ካብተን ስዒበን ዘለዋ ሃገራት ኣየነይቲ እያ ብ2017 ንነፍሲ ወከፍ ሰብ ልዕሊ ዅሉ CO2 እተውጽኣ?
A.ጃፓን
B.ካናዳ
C.ራሻ
D.ኢራን",B,ብ2017 ንነፍሲ ወከፍ ሰብ ልዕሊ ዅሉ CO2 እተውጽኣ ኣየነይቲ እዩ ካናዳ (ኣማራጺ B).,B
"ካብዚ ብልዒ እዚ ኣየናይ እዩ ኻብ መዓናጥ ሓሰማ ዚስራሕ?
A.ሃጊስ
B.ቺትሊን
C.ግራውቲ
D.ሱይ ምቝራጽ",B,"እቲ መዓናጥ ሓሰማ እዚ ካብ ቺትሊን እዩ። እንተኾነ መልሲ እዚ እዩ:
B. ቺትሊን",B
"ካብዚ ዚስዕብ ባህርያት ኣየናይ እዩ ብሓፈሻኡ ምስ ዕለት ምግሳስ ዚሰማማዕ?
A.መጠኑ ዝሓለፈ ሓይሊ ምጥቃም
B.ኣቐዲምካ እተገብረ
C.ብጾታዊ ድራኸ ተለዓዒልካ
D.ኣጽዋር ምጥቃም ዘጠቓልል ኢዩ",C,"እቲ መልሲ እዚ እዩ፡
D. ኣጽዋር ምጥቃም ዘጠቓልል ኢዩ

እቲ ኣጽዋር ምጥቃም ዘጠቓልል ኢዩ እዩ እቲ ኣብ ዚስዕብ ባህርያት ኣየናይ እዩ ብሓፈሻኡ ምስ ዕለት ምግሳስ ዚሰማማዕ እዩ።",D
"$-\\dfrac{1}{-3}\cdot\cfrac{1}{~\\frac{1}{-3}~~.$
A.1
B.-1
C.0
D.2",B,"To solve the expression \(-\dfrac{1}{-3} \cdot \cfrac{1}{\frac{1}{-3}}\), we can simplify it step by step.

1. Simplify \(-\dfrac{1}{-3}\):
   \[
   -\dfrac{1}{-3} = \dfrac{1}{3}
   \]

2. Simplify \(\cfrac{1}{\frac{1}{-3}}\):
   \[
   \cfrac{1}{\frac{1}{-3}} = -3
   \]
   (because taking the reciprocal of a reciprocal gives you the original number, but with the opposite sign in this case).

3. Now multiply the results from steps 1 and 2:
   \[
   \dfrac{1}{3} \cdot (-3) = -1
   \]

Therefore, the answer is \(\boxed{-1}\), which corresponds to option B.",B
"ኣየናይ ካብዚ ዚስዕብ ኣሉታዊ ርእስኻ ናይ ምቍጽጻር ክእለት ከም ዘሎ እዩ ዚሕብር ?
A.ኣብ ዝተረፈ ዝተረፈ ዑደት
B.ኣብ ዝተረፈ ቕርጺ ዘሎ ኣማራጺ
C.ኣብ ዝተረፈ ምሉእ ብምሉእ ሃንደበታዊ ምዃን
D.ናብ ዜሮ ዝቐረበ ተሪፍዎ ዘሎ",B,ኣብ ዚ ኣየናይ ካብዚ ዚስዕብ ኣሉታዊ ርእስኻ ናይ ምቍጽጻር ክእለት ከም ዘሎ እዩ ዚሕብር ናብ ዜሮ ዝቐረበ ተሪፍዎ ዘሎ እዩ። እንተኾነ ኣብ ዚ ኣየናይ ኣማራጺ እዩ ዝምልከት። እቲ ኣማራጺ እዩ D. ናብ ዜሮ ዝቐረበ ተሪፍዎ ዘሎ።,D
"ከም ብሓድሽ ዚፍኖ መጥቃዕቲ እንታይ እዩ?
A.እቲ መጥቃዕቲ ዜውሪ ሰብ ነቲ ኻብ ስርዓት እተላእከ መልእኽቲ ኺምልሰሉ ኸሎ
B.ንድኽመት ዚምርምር ብቐጻሊ ዚደጋግም መጥቃዕቲ
C.ናይ ገዛእ ርእሱ መልእኽትታት ዝጥቀምን ክከላኸለሉ ዘይክእልን መጥቃዕቲ
D.እቲ መጥቃዕቲ ዝፈጸመ ሰብ እተታሕዘ መልእኽቲ ይልእኽ እሞ እቲ ወብ ሳይት ነቲ መልእኽቲ ተቐቢሉ ሞገስ እቲ መጥቃዕቲ ይምልስ",D,እንደ እነዚህ አማራጮች መሠረት፣ እንደ አማራጭ C የሚመስል መልእክት ነው እንደሚያስተላልፍ። እንዲህ ያለ መጥቃዕት በሚለካካ መንገድ የሚሰራ እና በሚለካካ መንገድ የሚሰራ መልእክት እንዲሆን ይታያል። እንዲህ ያለ መጥቃዕት በሚለካካ መንገድ የሚሰራ መልእክት እንዲሆን ይታያል።,C
"ንግዳዊ ትካላት ________ ምእንቲ ኼለልያ ___________ ምእንቲ ኼመሓይሻ ከምኡውን _________ ምእንቲ ኼተባብዓ _________ ኣብ ማሕበራዊ ሕሳብ ይካፈላ ___________
A.እተዋፈሩ ሰባት ሓደጋታት ምምሕዳር እተዋፈሩ ሰባት ተሓታትነት ጽሬት
B.እተዋፈሩ ሰባት ተሓታትነት ጽሬት ሓደጋታት ምምሕዳር እተዋፈሩ
C.እተዋፈሩ ሰባት ተሓታትነት ሓደጋታት ተሳትፎ ዘለዎም ኣካየድቲ ምምሕዳር
D.እተዋፈሩ ሰባት ኣካየድቲ ስራሕ ጽሬት ሓደጋታት ተሓታትነት",A,"ንግዳዊ ትካላት እተዋፈሩ ሰባት ተሓታትነት ጽሬት ምእንቲ ኼለልያ ሓደጋታት ምምሕዳር እተዋፈሩ ምእንቲ ኼመሓይሻ ከምኡውን ምእንቲ ኼተባብዓ ኣብ ማሕበራዊ ሕሳብ ይካፈላ ኣካየድቲ ምምሕዳር

መልስ: D. እተዋፈሩ ሰባት ኣካየድቲ ስራሕ ጽሬት ሓደጋታት ተሓታትነት",D
"ካብ ህንዲ ናብ ሕቡራት መንግስትታት ኣመሪካ ኽትግዕዝ ክትሓስብ ከለኻ ካብዚ ዚስዕብ ረቛሒታት ኣየናይ እዩ ንሪቫ ኸም ""ዝጐሓፋ"" ረቛሒ ጌርካ ዚርአ?
A.ክቱር ድኽነት
B.ዝሓሸ ስራሕን ዝለዓለ ደሞዝን
C.ስርዓት ህንዲ
D.ኣብ ጐረባብታ እተፈጸመ ዓመጻ",B,"D. ኣብ ጐረባብታ እተፈጸመ ዓመጻ

ካብ ህንዲ ናብ ሕቡራት መንግስትታት ኣመሪካ ኽትግዕዝ ክትሓስብ ከለኻ ካብዚ ዚስዕብ ረቛሒታት ኣየናይ እዩ ንሪቫ ኸም ""ዝጐሓፋ"" ረቛሒ ጌርካ ዚርአ እዩ ኣብ ጐረባብታ እተፈጸመ ዓመጻ እዩ። ይኹን እዩ ንምንታይ እቲ ምስጢር ናብ ኣመሪካ ክትግዕዝ ከም ዝኾነ እዩ።",D
"ካብዚ ስዒቡ ዘሎ ቝራጽ ኣውታር ኣየናይ እዩ ብስሩዕ ኪግለጽ ዘይከኣል?
A.ቍጽሪ ዜሮታት ካብ ሓሙሽተ ዚበዝሕ ዝዀነ ዅሉ ገመድ
B.ኵሉ ቝራጽ ገመድ ካብ ዜሮ ጀሚሩ ብሓደ ገመድ ይዛዘም
C.ኵሉ እቲ ሕሉፍ ሓሊፉ እውን ዜሮ ዘለዎ ገመድ
D.ኵሉ እቲ ኻብ ዜሮ ንላዕሊ ዘለዎ ገመድ",D,"እቲ ትኽክል መልሲ እዚ እዩ:
B. ኵሉ ቝራጽ ገመድ ካብ ዜሮ ጀሚሩ ብሓደ ገመድ ይዛዘም

እቲ መልሲ እዚ እዩ ንምኽንያት እቲ ትኽክል ትምህርቲ እዚ እዩ እቲ ኵሉ ቝራጽ ገመድ ካብ ዜሮ ጀሚሩ እዩ። እቲ ምሳሌ እዚ እዩ እቲ ትኽክል እቲ ኣብ ምስሊ እዚ እዩ እቲ ኵሉ ቝራጽ ገመድ ካብ ዜሮ ጀሚሩ እዩ።",B
" እዚ ናይ ዕዳጋን መራኸብን መሳርሒ እዚ ንዓማዊል ፍርያት/ኣገልግሎት ንኽዕድጉ ንምትብባዕ ቀጥታዊ መተባብዒ ወይ መተባብዒ ይህብ -
A.ረክላማት።
B.ህዝባዊ ርክባት ።
C.ዕቤት መሸጣ ።
D.ቀጥታዊ ንግዲ ።",C,"እዚ ናይ ዕዳጋን መራኸብን መሳርሒ እዚ ንዓማዊል ፍርያት/ኣገልግሎት ንኽዕድጉ ንምትብባዕ ቀጥታዊ መተባብዒ ወይ መተባብዒ ይህብ - D.ቀጥታዊ ንግዲ ።

ቀጥታዊ ንግዲ እንተኾነ እዚ ናይ ዕዳጋን መራኸብን መሳርሒ እዚ ንዓማዊል ፍርያት/ኣገልግሎት ንኽዕድጉ ንምትብባዕ ቀጥታዊ መተባብዒ ክህብ እዩ።",D
