Question,CorrectAnswer,GivenAnswer,Correct
"Aktor Antonio Banderasyň ene dili näme?
A.Ispan dili
B.Rus dili
C.Nemes dili
D.Fransuz dili",a,a. ispan dili,true
�rjüstan
D.Teksas",a,a. kaliforniýa,true
"Orta ýaşan adamlar özünden uly ýa-da ýaşlara garanyňda ____ ýaly görünýär
A.Generatiw
B.Neýrohirurgiýa
C.Gaýgyly
D.Anyk",a,a. generatiw,true
"Bir ýurtda bäsdeşligiň beýleki ýurtlarda bäsdeşligiň nähili derejede täsir edýändigi üçin nähili termin bar?
A.Halkara söwda
B.Global ykdysadyýet
C.Bütindünýä bäsleşigi
D.Globallaşma",d,d. globallaşma,true
"Niderlandlaryň döwlet dili nähili?
A.Daniýa dili
B.Şwed dili
C.Nemes dili
D.Niderland dili",d,d. niderland dili,true
"Söwda-senagat edaralary ________ anyklamak, ___________ gowulandyrmak, _________ we ___________ höweslendirmek maksady bilen, _________ talaplary sebäpli sosial hasaplaşyklara gatnaşýarlar
A.Gatnaşyjylar, howply ýagdaýlar, gatnaşyjylar, jogapkärçilik, aýanlyk
B.Gatnaşyjylar, jogapkärçilik, aýypsyzlyk, howplar, gatnaşyjylar ynsaýarlyk
C.Gatnaşyjylar, jogapkärçilik, howply ýagdaýlar, gatnaşyjylar, gatnaşyjylar, edara görnüşli taraplar
D.Gatnaşyjylar, gatnaşyjylar, aýanlyk, howplar, jogapkärçilik",a,"a. gatnaşyjylar, howply ýagdaýlar, gatnaşyjylar, jogapkärçilik, aýanlyk",true
"Aşakdaky häsiýetleriň haýsysy, adatça, sene zorlugyna gabat gelýär?
A.aşa güýç ulanmak
B.öňünden niýetlenilen
C.jynsy höwesli,
D.ýarag ulanmak bilen baglanyşykly,",c,"a. aşa güýç ulanmak

sene zorlugy, adatça, aşa güýç ulanmak bilen baglanyşyklydyr. bu ýagdaýda bir tarap beýleki tarapa fiziki güýç ulanyp, onuň razylygy bolmazdan jynsy gatnaşyga mejbur edýär. bu, jemgyýetçilik we hukuk taýdan agyr jenaýat hasaplanýar we pidalaryň ruhy we fiziki saglygyna zyýan ýetirip biler.",false
"Bu naharlaryň haýsysy doňuz içegelerinden ýasalýar?
A.haggis
B.çitlinler
C.gaýşat
D.çap suey",b,b. çitlinler (chitterlings) doňuz içegelerinden ýasalýar. bu nahar esasan doňuz içegeleriniň (içki) bişirilip ýa-da kızardylmagy bilen taýýarlanýar we köplenç afro-amerikan we günorta amerikan aşhanalarynda meşhurdyr.,true
"Olaryň sany iň ýakyn müňe ýetip, 47 müňe ýetdi. Haýsy san yuvarlanan san bolup biler?
A.46,295
B.46,504
C.47,520
D.47,924",b,"olaryň sany iň ýakyn müňe ýetip, 47 müňe ýetendigi aýdylanda, bu san 46,500 bilen 47,499 aralygynda bolmalydyr. bu aralykda 47 müňe iň ýakyn bolan sanlar yuvarlananda 47 müňe deň bolar.

a. 46,295 - bu san 46,000-e has ýakyn.
b. 46,504 - bu san 47,000-e has ýakyn.
c. 47,520 - bu san 48,000-e has ýakyn.
d. 47,924 - bu san 48,000-e has ýakyn.

şeýlelikde, 47 müňe iň ýakyn bolan we yuvarlanan san bolup biler diýlip hasaplanýan jogap:
b. 46,504.",true
"Hindistandan ABŞ-a göçmek barada pikirlenende Riva üçin aşakdaky faktorlaryň haýsysy ""pull"" faktory hasaplanar?
A.Abject garyplyk
B.Gowy iş we ýokary hak
C.Hindistanyň kasta sistemasy
D.Goňşusynda zorluk",b,"b. gowy iş we ýokary hak

bu jogap, hindistandan abş-a göçmek barada pikirlenende, riva üçin ""pull"" faktory hökmünde hasaplanýar. ""pull"" faktorlary, adamlary öz ýurtlaryndan başga bir ýurda çekýän oňyn sebäplerdir. gowy iş we ýokary haklar, adamlaryň has gowy durmuş şertleri we maliýe taýdan has üpjünçilikli bolmak umydy bilen başga ýurtlara göçmegini höweslendirýän esasy faktorlardyr.",true
"Bu gorkunç filmleriň haýsysy iň köp yzygiderlige sebäp boldy?
A.Gygyryp'
B.Äňler'
C.Halloweýn'
D.Anna güni 13-nji'",d,"c. halloweýn' filmi iň köp yzygiderlige sebäp bolan gorkunç film hökmünde tanalýar. bu film 1978-nji ýylda ilkinji gezek çykyp, onuň esasynda köp sanly dowam filmi we täzeden işlenen nusgalary döredildi. michael myers atly maskaly gyrgynçynyň hekaýasy köpleriň ünsüni çekdi we bu film gorkunç kino žanrynda möhüm orun eýeledi.",false
"Seriýal etrapçasynda, eger bir çyranyň akymy 2 A bolsa, onuň ýanyndaky çyranyň akymy
A.ýarym, 1 A
B.Sagat 2:00
C.Haýsy çyranyň batareýa golaýdygyna bagly
D.Aýtjak maglumat ýeterlik däl,",b,"d. aýtjak maglumat ýeterlik däl

seriýal etrapçasynda, çyralar biri-biriniň yzyndan birikdirilende, olaryň ählisinden geçýän akymyň mukdary deň bolýar. ýönekeýje aýdylanda, eger bir çyranyň akymy 2 a bolsa, onuň ýanyndaky çyranyň akymy hem 2 a bolar. emma soragda berlen jogaplar arasynda bu ýagdaýa gabat gelýän jogap ýok. şonuň üçin, berlen maglumatlar esasynda dogry jogaby saýlamak mümkin däl.",false
"Aşakdaky ýurtlaryň haýsysy 2017-nji ýylda adam başyna iň köp CO2 çykarar?
A.Ýaponiýa
B.Kanada
C.Russiýa
D.Eýran",b,"2017-nji ýylda adam başyna iň köp co2 çykaran ýurtlaryň arasynda kanada ýokary orunlarda durýar. şonuň üçin, berlen jogaplaryň arasynda kanada (b şykkyny saýlaň) adam başyna iň köp co2 çykaran ýurt hökmünde hasaba alynýar. kanada ýokary senagatlaşan we energiýa sarp edijilikli ýurt bolup, esasan hem fosil ýangyçlarynyň ulanylmagy sebäpli köp mukdarda co2 çykarýar.",true
