Question,CorrectAnswer,GivenAnswer,Correct
"Ko e fe ʻi he ngaahi filimi fakamanavahe ko ʻeni spawned e sequels lahi taha?
A.Kaikaila ʻ
B.Ngutu ʻ
C.Halouini ʻ
D.Falaite ko e 13 ʻ",d,c. halouini,false
"Ko e fe ʻi he ngaahi peleti ko ʻeni ʻoku ngaohi mei he ngakau puaka?
A.haggis
B.chitlins
C.Grits
D.tuʻutuʻu suey",b,b. chitlins,true
"Ko e ha ʻa e lea fakaʻofisiale ʻo Netaleni?
A.Tenimaʻake
B.Sueteni
C.Siamane
D.Faka-Holani",d,d. faka-holani,true
"Ko e fe ʻa e tuʻunga ʻoku fokotuʻu ai ʻa e foʻi faiva 1999 Makinolia ʻ?
A.Kalefōnia
B.Kalolaina Saute
C.Siosia
D.Tekisisi",a,b. kalolaina saute,false
"Ko e hā ʻ a e foʻi lea ki he lahi ʻ o e feʻauhi ʻ i he fonua ʻ e tahá ʻ oku tākiekina ʻ e he feʻauhi ʻ i he ngaahi fonua kehé?
A.Fefakatauʻaki fakavahaʻapuleʻanga
B.ʻEkonomika fakaemamani lahi
C.Feʻauhi fakamamani lahi
D.Globalisation",d,c. feʻauhi fakamamani lahi,false
"ʻOku kau ʻa e ngaahi pisinisi ʻi he meʻa fakatauhitohi fakasosiale koeʻuhi ko e ngaahi fie maʻu mei he _________, kae lava ke ʻiloʻi ʻa e ________, ke fakaleleiʻi ʻa e ___________ pea mo poupouʻi ʻa e _________ mo e ___________
A.Stakeholders, tuʻu fakatuʻutamaki, Stakeholder Management, taliui, femahinoʻaki
B.Stakeholders, taliui, femahinoʻaki, fakatuʻutamaki, Stakeholder Management
C.Stakeholders, taliui, fakatuʻutamaki, Stakeholders, Stakeholder Management
D.Stakeholders, Stakeholder Management, femahinoʻaki, fakatuʻutamaki, taliui",a,"a. stakeholders, tuʻu fakatuʻutamaki, stakeholder management, taliui, femahinoʻaki",true
"Ko e ha ʻa e lea fakafonua ʻa ʻAnitonio Banderas?
A.Faka-Sipeini
B.Lūsia
C.Siamane
D.Faka-Falanise",a,"a. faka-sipeini

ʻoku faka-sipeini ʻa e lea fakafonua ʻa antonio banderas.",true
"ʻOku hange ʻoku ____ lahi ange ʻa e kakai lalahi taʻu motuʻa ange ʻi he kakai lalahi matuʻotuʻa pe kei talavou ange
A.Generative
B.Neurotic
C.Fiemālie Pē
D.Pau",a,"c.fiemālie pē

ʻoku hange ʻoku fiemālie pē lahi ange ʻa e kakai lalahi taʻu motuʻa ange ʻi he kakai lalahi matuʻotuʻa pe kei talavou ange.",false
"Ko e fe ʻi he ngaahi fonua ko ʻeni emitted ʻa e CO2 lahi taha ki he capita ʻi he 2017?
A.Siapani
B.Kānata
C.Lūsia
D.ʻIulani",b,"ʻi he 2017, ko e fonua naʻe emit ʻa e co2 lahi taha ki he capita mei he ngaahi fili ko ʻeni ko ʻiulani (d).",false
"Ko e fe ʻi he ngaahi meʻa ko ʻeni ʻe lau ko ha meʻa ""tekeʻ ki he Riva ʻi he taimi ʻoku fakakaukau ai ke hiki mei ʻInitia ki he ʻIunaiteti Siteiti?
A.Abject masiva
B.Ngaue lelei ange mo e vahenga maʻolunga ange
C.Founga fakamatakali ʻa ʻInitia
D.Fetaʻaki ʻi hono kaungaʻapi",b,"b. ngaue lelei ange mo e vahenga maʻolunga ange

ko e taha ʻo e ngaahi ʻuhinga lahi ʻoku tekeʻi ai e kakai mei ʻinitia ki he ʻiunaiteti siteiti ko e kumi ha ngaue lelei ange mo ha vahenga maʻolunga ange. ʻoku nau ʻamanaki ke maʻu ha ngaahi faingamālie lelei ange ʻi he malaʻe ʻo e ngāue mo e ako, pea mo e nofo lelei ange ʻi he tafaʻaki fakaʻekonōmika.",true
