Question,CorrectAnswer,GivenAnswer,Correct
"Hollanda'nın resmi dili nedir?
A.Danca
B.İsveç dili
C.Almanca
D.Hollanda dili",d,d. hollanda dili,true
"Aktör Antonio Banderas'ın ana dili nedir?
A.İspanyolca
B.Rusça
C.Almanca
D.Fransızca",a,a. i̇spanyolca,true
" Bu pazarlama ve iletişim aracı, müşterileri bir ürün/hizmet satın almaya teşvik etmek için doğrudan bir teşvik veya teşvik sunar:
A.Reklam.
B.Halkla ilişkiler.
C.Satış promosyonu.
D.Doğrudan pazarlama.",c,c.satış promosyonu.,true
"1999 yapımı Magnolia' filmi hangi durumda geçiyor?
A.California
B.Güney Karolina
C.Gürcistan
D.Texas",a,"1999 yapımı ""magnolia"" filmi california'da geçmektedir. bu nedenle doğru cevap:
a. california",true
"Mars'ın suyunun bir kısmı toprakta ve buzullarda donmuş durumda ve bir kısmı güneş rüzgarının sıyrılması nedeniyle kayboldu, ancak orijinal suyun çoğunun başka bir mekanizma ile kaybolduğu düşünülüyor. Bu ""kayıp"" suya ne oldu?
A.Gücü hızla azaldığında manyetik alan tarafından sıyrıldı
B.Ultraviyole ışıkla hidrojen ve oksijene bölündü ve hidrojen termal kaçış yoluyla kayboldu
C.susamış Marslılardan oluşan bir uygarlık tarafından tüketildi
D.Yoğun bir volkanizma döneminde buharlaştı ve termal kaçış yoluyla uzayda kayboldu",b,b. ultraviyole ışıkla hidrojen ve oksijene bölündü ve hidrojen termal kaçış yoluyla kayboldu,true
"İşletmeler, ________ belirlemek, ___________ geliştirmek ve _________ ve ___________ teşvik etmek için _________ gelen talepler nedeniyle sosyal muhasebe yapmaktadır
A.Paydaşlar, Riskler, Paydaş yönetimi, Hesap verebilirlik, Şeffaflık
B.Paydaşlar, Hesap Verebilirlik, Şeffaflık, Riskler, Paydaş Yönetimi
C.Menfaat Sahipleri, Hesap Verebilirlik, Riskler, Menfaat Sahipleri, Paydaş Yönetimi
D.Paydaşlar, Paydaş Yönetimi, Şeffaflık, Riskler, Hesap Verebilirlik",a,"a. paydaşlar, riskler, paydaş yönetimi, hesap verebilirlik, şeffaflık",true
"Bu korku filmlerinden hangisi en çok devam filmi çekti?
A.Çığlık atmak'
B.Çeneler'
C.Cadılar Bayramı'
D.13'üncü Cuma'",d,"cevap: d. ""13'üncü cuma"" serisi. bu seri, ana filmler ve yan ürünler dahil olmak üzere toplamda 12 film içermektedir ve bu sayıyla en çok devam filmi çekilen korku filmi serisidir.",true
"Negatif rezidüel otokorelasyon aşağıdakilerden hangisi ile gösterilir?
A.Kalıntılarda döngüsel bir model
B.Kalıntılarda alternatif bir desen
C.Kalıntılarda tam bir rastgelelik
D.Hepsi sıfıra yakın olan artıklar",b,"negatif rezidüel otokorelasyon, kalıntılar arasında bir alternatif desen gösterir. bu, bir artığın değeri yüksek olduğunda bir sonraki artığın değerinin düşük olma eğiliminde olduğu ve tersi durumda olduğu anlamına gelir. bu nedenle doğru cevap:

b. kalıntılarda alternatif bir desen",true
"Bu yemeklerden hangisi domuz bağırsaklarından yapılır?
A.haggis
B.Çitler
C.Irmik
D.Doğrayın Suey",b,"bu seçenekler arasında, ""haggis"" domuz bağırsaklarından yapılmaz; genellikle koyunun midesi kullanılarak yapılan i̇skoç bir yemeğidir. ancak, ""çitler"" olarak bilinen yemek, domuz bağırsaklarından yapılan bir türk yemeğidir. bu nedenle doğru cevap:
b. çitler",true
"Hindistan'dan Amerika Birleşik Devletleri'ne taşınmayı düşünürken aşağıdaki faktörlerden hangisi Riva için bir ""çekme"" faktörü olarak kabul edilir?
A.Sefil yoksulluk
B.Daha iyi iş ve daha yüksek ücretler
C.Hindistan'ın kast sistemi
D.Mahallesinde şiddet",b,"b. daha iyi iş ve daha yüksek ücretler

bu seçenek, amerika birleşik devletleri'ne taşınmayı düşünen riva için bir ""çekme"" faktörü olarak kabul edilir çünkü daha iyi iş olanakları ve daha yüksek ücretler, bir bireyi yeni bir yere taşınmaya teşvik eden pozitif nedenlerdir.",true
"Bir ülkedeki rekabetin diğer ülkelerdeki rekabetten ne ölçüde etkilendiğini ifade eden terim nedir?
A.Uluslararası ticaret
B.Küresel ekonomi
C.Küresel rekabet
D.Küreselleşme",d,"cevap: c. küresel rekabet

küresel rekabet, bir ülkedeki rekabetin diğer ülkelerdeki rekabetten etkilenme durumunu ifade eder. bu terim, farklı ülkelerdeki şirketlerin birbirleriyle rekabet etme sürecini ve bu sürecin global ekonomik dinamiklerle nasıl şekillendiğini anlatır.",true
"Tekrarlama saldırısı nedir?
A.Saldırgan, sistem tarafından kendisine gönderilen bir iletiyi yanıtladığında
B.Sürekli tekrarlanan, bir zayıflığı araştıran bir saldırı
C.Sistemin kendi mesajlarını kullanan ve bu nedenle savunulamayan bir saldırı
D.Saldırgan yakalanan bir iletiyi yeniden gönderir ve site bunu kabul eder ve saldırganın lehine yanıt verir",d,"d.tekrarlama saldırısı, saldırganın yakalanan bir iletiyi yeniden göndermesi ve site tarafından bu iletiyi kabul edilmesi ve saldırganın lehine yanıt verilmesi durumudur. bu tür saldırılar, özellikle kimlik doğrulama mekanizmaları ve işlem onayları gibi durumlarda ciddi güvenlik sorunlarına yol açabilir.",true
"Aşağıdaki özelliklerden hangisi genellikle flört tecavüzü ile tutarlıdır?
A.Aşırı güç kullanımı
B.kasıtlı
C.cinsel güdümlü
D.silah kullanımını içerir",c,"c. cinsel güdümlü

flört tecavüzü, tanıdık veya romantik bir ilişki içinde gerçekleşen bir cinsel saldırı türüdür ve genellikle cinsel güdülerle ilişkilendirilir. diğer seçenekler flört tecavüzü durumları için genel olmayabilir. örneğin, aşırı güç kullanımı, kasıtlılık veya silah kullanımı her flört tecavüzü vakasında bulunmayabilir.",true
"Aşağıdaki ülkelerden hangisi 2017 yılında kişi başına en fazla CO2 saldı?
A.Japonya
B.Kanada
C.Rusya
D.İran",b,"2017 yılında kişi başına en fazla co2 salımı yapan ülke kanada'dır. kanada, geniş bir endüstriyel altyapıya ve yüksek enerji tüketimine sahip olması nedeniyle kişi başına düşen co2 emisyonlarında genellikle yüksek sıralarda yer alır. japonya, rusya ve i̇ran da önemli emisyon değerlerine sahip olmakla birlikte, kanada bu dönemde kişi başına daha yüksek co2 salımı yapmıştır.",true
"Orta yaşlı yetişkinler, yaşlı veya genç yetişkinlerden daha fazla ____ gibi görünmektedir
A.Generatif
B.Nevrotik
C.Hoş
D.Belirli",a,"a. generatif

erik erikson'un psikososyal gelişim teorisi, orta yaşlı yetişkinlerin ""generativite vs. stagnasyon"" aşamasında olduğunu öne sürer. bu dönemde, bireylerin başkalarına rehberlik etme, yardım etme ve bir sonraki nesle bir şeyler bırakma gibi generatif (üretken) davranışlar sergileme olasılıkları daha yüksektir. bu nedenle, orta yaşlı yetişkinler genellikle daha ""generatif"" olarak görülürler.",true
"Döteryum klorürün (DCl) kızılötesi absorpsiyon frekansının, hidrojen klorürün (HCl) frekansından kayması, aralarındaki farklılıklardan kaynaklanmaktadır.
A.Elektron dağılımı
B.dipol momenti
C.kuvvet sabiti
D.azaltılmış kütle",d,"döteryum klorür (dcl) ve hidrojen klorür (hcl) arasındaki kızılötesi absorpsiyon frekansındaki fark, moleküllerin azaltılmış kütlelerindeki farktan kaynaklanır. döteryum, hidrojenin izotopu olup, bir proton ve bir nötron içerirken, hidrojen sadece bir proton içerir. bu, dcl'in azaltılmış kütlesinin hcl'inkinden daha büyük olmasına neden olur. azaltılmış kütle, moleküler titreşim frekanslarını doğrudan etkileyen bir faktördür. bu nedenle, doğru cevap:

d. azaltılmış kütle",true
"Bir indüktörde indüklenen voltaj şu şekilde temsil edilir:
A.endüktansının ve içinden geçen akımın ürünü.
B.endüktansının içinden geçen akıma oranı.
C.içinden geçen akımın endüktansına oranı.
D.endüktansının ve içinden geçen akımın değişim hızının ürünü.",d,"bir indüktörde indüklenen voltaj, indüktansın ve içinden geçen akımın değişim hızının ürünü ile ifade edilir. bu nedenle doğru cevap:

d. endüktansının ve içinden geçen akımın değişim hızının ürünü.

bu ifade matematiksel olarak \( v = l \frac{di}{dt} \) şeklinde formüle edilir, burada \( v \) indüklenen voltajı, \( l \) indüktansı, \( \frac{di}{dt} \) ise akımın zamanla değişim hızını temsil eder.",true
"X ülkesinin bakanı tarafından yurtdışında işlenen hukuka aykırı cinayet bir act jure imperii mi yoksa jure gestionis mi?
A.Bu tür davranışlar kamusal bir eylemdir (jure imperii)
B.Bu tür davranışlar asla dokunulmazlığı çekmez
C.Bu tür davranışlar özel bir eylemdir (jure gestionis)
D.Bu tür davranışlar kamusal bir eylemdir, ancak dokunulmazlıkla korunmaktadır",c,"bir ülkenin bakanı tarafından yurtdışında işlenen bir cinayet, genellikle devletin resmi görevleri veya yetkileri kapsamında yapılmış bir eylem olarak kabul edilmez. bu tür bir eylem, devletin resmi işlevlerinden ziyade kişisel veya özel nitelikte olduğu için ""act jure gestionis"" kategorisine girer. bu nedenle, bu tür bir eylem genellikle devletin veya bakanın dokunulmazlığı ile korunmaz. bu durumda doğru cevap:

c. bu tür davranışlar özel bir eylemdir (jure gestionis)",true
"Yüksek enerjili fosfatların, ATP ve fosfokreatinin parçalanmasından açığa çıkan enerji, yaklaşık olarak maksimum efor egzersizini sürdürebilir:
A.1-2 saniye.
B.5-10 saniye.
C.30-40 saniye.
D.50-60 saniye.",b,"yüksek enerjili fosfatlar olarak bilinen atp (adenozin trifosfat) ve fosfokreatin, vücutta hızlı enerji kaynakları olarak işlev görür. bu enerji sistemleri, özellikle yüksek yoğunluklu ve kısa süreli egzersizlerde ana enerji kaynağıdır. atp ve fosfokreatin sistemi, genellikle 10 saniyeye kadar olan sürelerde maksimum efor gerektiren aktiviteler için yeterli enerji sağlar. bu süre zarfında, fosfokreatin depoları hızla tükenir ve enerji üretimi için diğer metabolik yollar devreye girer.

bu bilgilere dayanarak, doğru cevap:
b. 5-10 saniye.",true
"En yakın binliğe yuvarlanmış bir sayı 47.000'dir. Yuvarlanan sayı hangisi olabilir?
A.46,295
B.46,504
C.47,520
D.47,924",b,"en yakın binliğe yuvarlama işlemi, bir sayının en yakın binler basamağına yuvarlanması anlamına gelir. bu durumda, bir sayının yuvarlanmış hali 47.000 ise, bu sayının 46.500 ile 47.499 arasında bir değer olması gerekir. 

seçenekleri inceleyelim:
a. 46,295 - bu sayı 46.000'e yuvarlanır.
b. 46,504 - bu sayı 47.000'e yuvarlanır.
c. 47,520 - bu sayı 48.000'e yuvarlanır.
d. 47,924 - bu sayı 48.000'e yuvarlanır.

bu durumda, yuvarlanmış hali 47.000 olan sayı b seçeneğindeki 46,504'tür.",true
"Yirminci yüzyılın başında Batı Avrupa'da en popüler psikolojik bakış açısı hangisiydi?
A.Nörobilim
B.Evrimsel
C.Davranışçı
D.Psikanalitik",d,"yirminci yüzyılın başında batı avrupa'da en popüler psikolojik bakış açısı psikanalitik yaklaşımdı. bu yaklaşım, sigmund freud tarafından geliştirilmiş olup, insan davranışını ve psikolojisini anlamada bilinçdışı süreçlere ve çocukluk deneyimlerine odaklanır. freud'un teorileri, psikoloji alanında devrim yaratmış ve geniş çapta kabul görmüştür. bu nedenle doğru cevap:

d. psikanalitik",true
"Bu soru aşağıdaki bilgileri ifade eder.
""Gerçekten de, hem görüşlerini akıl hem de geleneğe dayandıran seçkin [alimlerin] fetvaları ve Sünni toplumun fikir birliği, kötülüğün kökünün kazınması, yok edilmesi ve kovulması şeklindeki eski yükümlülüğün yüce özlemimizin amacı olması gerektiği konusunda hemfikirdir, çünkü ""Dini gayret, Rahman olan Tanrı'nın Dini için bir zaferdir""; Sonra Peygamber Efendimiz'in (s.a.v.) sözlerine uygun olarak ""Düzenimize kötü bir yenilik getiren kovulmalıdır"" ve ""Düzenimize aykırı bir şey yapan kovulmalıdır"", eylem gerekli ve zorunlu hale geldi...""
Osmanlı Padişahı I. Selim'in Safevi Şahı I. İsmail'e Mektubu, 1514
Safeviler, Osmanlı ve Babür İmparatorlukları gibi İslam imparatorluklarının öfkesini çekti, çünkü öncelikle Safeviler
A.coğrafi olarak diğer iki yayılmacı arasında yer alan yayılmacı bir imparatorluktu
B.İslam'ın temel ilkelerini reddetti
C.Hıristiyanları köleleştirdi ve onları Safevi savaşçılarına dönüştürdü
D.İsmail kendini Halife ilan etti",a,"safeviler, osmanlı ve babür i̇mparatorlukları gibi i̇slam imparatorluklarının öfkesini çekti, çünkü öncelikle safeviler:

d. i̇smail kendini halife ilan etti.

safevi devleti'nin kurucusu şah i̇smail, kendini şii i̇slam'ın bir lideri olarak konumlandırmış ve halife olarak ilan etmişti. bu durum, sünni çoğunluklu osmanlı ve babür imparatorlukları ile ciddi dini ve siyasi çatışmalara yol açmıştır. şah i̇smail'in bu iddiası, diğer i̇slam imparatorlukları tarafından meşruiyet ve dini liderlik açısından bir tehdit olarak algılanmıştır.",false
