Question,CorrectAnswer,GivenAnswer,Correct
"Нидерландның рәсми теле нәрсә ул?
A.Дания теле
B.Швед теле
C.Немец теле
D.Голланд теле",D,D. Голланд теле,D
теле,A
"X ил министры х чит илдәге хәрамлы үтерү яки jure gestionis эшләгән хәрамга каршы үтерүме?
A.Мондый тәртип - иҗтимагый акт (jure imperii)
B.Мондый тәртип беркайчан да иммунитетны җәлеп итми
C.Мондый тәртип - шәхси акт (jure gestionis)
D.Мондый тәртип — җәмәгать акты, ләкин иммунитет белән сакланган",C,A. Мондый тәртип - иҗтимагый акт (jure imperii),A
"Бу ризыкларның кайсысы дуңгыз тесүдән ясала?
A.Хаггис
B.читлен
C.Гритс
D.шоп суди",B,B. читлен (читлән) - бу ризык дуңгыз тесүдән ясала.,B
"Indiaиндстаннан АКШка күчү турында уйлаганда Рива өчен нинди фактор булып ""тартып чыгу"" факторы булып санала?
A.Фәкыйрьлек
B.Яхшырак эш һәм югары хезмәт хакы
C.Һиндстан каста системасы
D.Күршесендә көч куллану",B,B. Яхшырак эш һәм югары хезмәт хакы,B
"Данлау шәхесенең ачылгы — билгеле бер төр
A.Авариянең төшүе
B.Ялган дилеммалар
C.Сорауны бирегез
D.Түгәрәк фикерләү",A,Данлау шәхесенең ачылгы — билгеле бер төр булып D.Түгәрәк фикерләү санала.,D
"Бу куркыныч фильмнарның кайсысы иң дәвам итте?
A.Кычкыру ""
B.Джавс'
C.""Гаул""
D.Җомга 13 нче""",D,"""Җомга 13 нче"" (Friday the 13th) фильмы иң күп дәвам иткән куркыныч фильмнарның берсе булып тора. Бу сериядә барлыгы 12 фильм бар.",D
"1999-нчы елда булган Магнолия фильмы нинди хәлдә?
A.Калифорния
B.Көньяк Каролина
C.Грузия
D.Техас",A,"1999-нчы елда чыккан ""Магнолия"" фильмының төп хәлләре Калифорния штатында, аерым алганда, Лос-Анджелес шәһәрендә урнашкан. Шуңа күрә дөрес җавап:

A. Калифорния",A
"Серияләр схемасында, бер лампада ток 2 А булса, аның янында лампадагы ток бар
A.Ярты, 1 А
B.2:00
C.Кайсы лампа батареяга якынрак икәненә бәйле
D.Әйтү өчен мәгълүмат җитмәгән",B,"Серияләр схемасында барлык компонентлар аркылы узучы ток бер үк көчтә була. Шуңа күрә, бер лампада ток 2 А булса, сериядәге икенче лампада да ток 2 А булачак. Бу очракта, дөрес җавап:

B. 2 А",B
"Көнбатыш Европада ХХ гасыр үз чиратында кайсы психологик караш иң популяр иде?
A.нейронций
B.эволюция
C.тәртибе
D.психоаналитик",D,"ХХ гасырда Көнбатыш Европада иң популяр психологик караш - психоаналитик караш иде. Бу карашның нигезләмәчесе Зигмунд Фрейд булган, ул психоанализ теориясен үстерде. Шуңа күрә дөрес җавап:

D. психоаналитик",D
"Киләсе илләрнең кайсысы 2017 елда җанисәп буенча иң CO2 барлыкка килде?
A.Япония
B.Канада
C.Рәсәй
D.Иран",B,"2017 елда җанисәп буенча иң күп CO2 чыгарган илләр арасында Рәсәй иң югары урыннарның берсендә булган. Шулай итеп, күрсәтелгән илләр арасында, Рәсәй (C) иң күп CO2 чыгарган ил буларак тора.",C
"К-катрлы продфера -
A.К сызыгы
B.К-да квадратик
C.К-да куб
D.К-да экспонента",A,"Правильный ответ: C. К-да куб

Это задача на понимание математических терминов. В данном случае, ""К-катрлы продфера"" означает ""К в четвертой степени"". Следовательно, правильный ответ - это вариант, где К возведено в куб, так как это ближайшая степень к четвертой.",C
" Бу маркетинг һәм элемтә коралы клиентларны продукт/хезмәт сатып алырга дәртләндерүне тәкъдим итә:
A.Реклама.
B.Иҗтимагый мөнәсәбәтләр.
C.Сатуны пропагандалау.
D.Туры маркетинг.",C,"C. Сатуны пропагандалау.

Сатуны пропагандалау (promotion) – бу клиентларны продукт яки хезмәт сатып алырга дәртләндерү өчен кулланыла торган маркетинг коралы. Бу стратегия кыска вакытлы акцияләр, ташламалар, бүләкләр, демонстрацияләр һәм башка чаралар аша сату күләмен арттыруны максат итеп куя.",C
"Яңадан һөҗүм нәрсә ул?
A.Һөҗүм итүче аңа система белән җибәрелгән хәбәргә җавап биргәндә
B.Катылык белән кабатланучы һөҗүм
C.Бу системаның үз хәбәрләрен кулланып , һөҗүмне яклап булмый
D.Һөҗүм итүче кулга алынган хәбәрне кайтара, һәм сайт аны кабул итә һәм һөҗүм итүченең илтифатын кабул итә һәм җавап бирә",D,"Яңадан һөҗүм нәрсә ул? Яңадан һөҗүм (replay attack) - бу һөҗүм итүче кулга алынган хәбәрне кайтара, һәм сайт аны кабул итә һәм һөҗүм итүченең илтифатын кабул итә һәм җавап бирә. Шулай итеп, дөрес җавап D вариантында.",D
"Аста программа язган программист. Программада numList дип аталган саннар исемлеге кулланыла. Програм исемлектә саннарның суммасын күрсәтүгә тиешле.
 ← лислистның суммасы[1]
 NUMList-та һәр кыйммәт өчен
 ← сумма + кыйммәт
 ДИСПЛЕЙның суммасы
 Программаны тикшерү өчен программист лислистның санын [0, 1, 4, 5] дип аңлата. Программада 10 күрсәтелгән, программист программаның нияте буенча эшли дигән нәтиҗә ясый. Кәферләрнең: ""Аллаһудан сезгә ґәзаб килә торган
A.Нәтиҗә дөрес; програмда ниятләнгәнчә эшли.
B.Нәтиҗә дөрес түгел; Программа сынау эше өчен дөрес кыйммәтне күрсәтми[0, 1, 4, 5].
C.Нәтиҗә дөрес түгел; тест эшен куллану[0, 1, 4, 5] програмны дөрес дип нәтиҗә ясау өчен җитәрлек түгел.
D.Нәтиҗә дөрес түгел; тест эшен кулланып[0, 1, 4, 5] программаның тәртип арттыруда исемлекләр өчен эшләүен раслый.",C,"A. Нәтиҗә дөрес; програмда ниятләнгәнчә эшли.

Бу очракта, программаның максаты - numList исемлегендәге саннарның суммасын исәпләү. Бирелгән исемлек [0, 1, 4, 5] булганда, аларның суммасы 0 + 1 + 4 + 5 = 10. Программа 10 күрсәткән, димәк ул дөрес эшли.",A
