Question,CorrectAnswer,GivenAnswer,Correct
"Яка рідна мова актора Антоніо Бандераса?
A.Іспанська
B.Російська
C.Німецька
D.Французька",A,A.Іспанська,A
"Яка офіційна мова Нідерландів?
A.Датська
B.Шведська
C.Німецька
D.Нідерландська",D,D. Нідерландська,D
"Яким терміном позначає ступінь впливу конкуренції в одній країні на конкуренцію в інших країнах?
A.Міжнародна торгівля
B.Глобальна економіка
C.Глобальна конкуренція
D.Глобалізація",D,C. Глобальна конкуренція,C
" Цей маркетинговий та комунікаційний інструмент пропонує прямий стимул або стимул для заохочення клієнтів придбати продукт/послугу:
A.Реклама.
B.Зв'язки з громадськістю.
C.Стимулювання збуту.
D.Прямий маркетинг.",C,C. Стимулювання збуту.,C
"У якому стані відбувається дія фільму «Магнолія» 1999 року?
A.Каліфорнія
B.Південна Кароліна
C.Грузія
D.Техас",A,A.Каліфорнія,A
"Підприємства займаються соціальним обліком у зв'язку з вимогами _________, щоб виявити ________, покращити ___________ та заохотити _________ та ___________
A.Зацікавлені сторони, Ризики, Управління зацікавленими сторонами, Підзвітність, Прозорість
B.Зацікавлені сторони, Підзвітність, Прозорість, Ризики, Управління зацікавленими сторонами
C.Зацікавлені сторони, Підзвітність, Ризики, Зацікавлені сторони, Управління зацікавленими сторонами
D.Зацікавлені сторони, Управління зацікавленими сторонами, Прозорість, Ризики, Підзвітність",A,"A. Зацікавлені сторони, Ризики, Управління зацікавленими сторонами, Підзвітність, Прозорість",A
"Яке з цих страв готують зі свинячих кишок?
A.Хаггіс
B.Читлін
C.Крупи
D.Чоп Суей",B,"B. Читлін (або читлинги) - це страва, яка готується зі свинячих кишок. Це традиційна страва південної кухні США.",B
"Який із цих фільмів жахів породив найбільше продовжень?
A.Крик'
B.Щелепи»
C.Хелловін
D.П'ятниця, 13-те'",D,"Серед наведених фільмів жахів, ""П'ятниця, 13-те"" (Friday the 13th) породив найбільше продовжень. Оригінальний фільм вийшов у 1980 році, і з того часу було створено численні сиквели, ремейки та спін-офи. Загалом, серія включає 12 фільмів.",D
"Дорослі середнього віку виявляються більш _____, ніж старші або молодші
A.Генеративні
B.Невротичні
C.Згоден
D.Певних",A,"A. Генеративні

Термін ""генеративність"" в психології часто асоціюється з дорослими середнього віку, які прагнуть допомагати молодшому поколінню та вносити вклад у суспільство. Це поняття було розроблено Еріком Еріксоном у його теорії психосоціального розвитку.",A
"Знайдіть $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",B,"Спочатку спростимо вираз у дужках:
\[
\frac{1}{-\frac{1}{3}} = -3
\]
Тепер ми маємо:
\[
-\frac{1}{-3} \cdot (-3)
\]
Спростимо дріб:
\[
-\frac{1}{-3} = \frac{1}{3}
\]
Тепер множимо:
\[
\frac{1}{3} \cdot (-3) = -1
\]
Отже, відповідь:
\[
\boxed{-1}
\]",B
"Що таке повторна атака?
A.Коли зловмисник відповідає на повідомлення, надіслане йому системою
B.Напад, який постійно повторюється, промацуючи слабкість
C.Атака, яка використовує власні повідомлення системи і тому не може бути захищена
D.Зловмисник повторно відправляє захоплене повідомлення, а сайт приймає його і відповідає на його користь",D,"Правильна відповідь:
D. Зловмисник повторно відправляє захоплене повідомлення, а сайт приймає його і відповідає на його користь.

Це описує сценарій, відомий як ""replay attack"" або повторна атака, де зловмисник перехоплює легітимне повідомлення і повторно відправляє його для отримання неправомірної вигоди або доступу.",D
"Яка з наведених нижче країн у 2017 році викинула найбільше CO2 на душу населення?
A.Японія
B.Канада
C.Росія
D.Іран",B,"Станом на 2017 рік, серед наведених країн, Канада мала один з найвищих рівнів викидів CO2 на душу населення. Канада, як країна з великою територією та розвиненою промисловістю, а також значним використанням енергії на опалення та транспорт, часто має високі показники викидів вуглекислого газу на особу.",B
"Вивчена безпорадність, швидше за все, безпосередньо пов'язана з
A.ефект Барнума.
B.корислива упередженість.
C.зовнішній локус контролю.
D.безумовне позитивне ставлення.",C,"Вивчена безпорадність, швидше за все, безпосередньо пов'язана з **C. зовнішнім локусом контролю**. 

Зовнішній локус контролю означає, що людина вірить, що події в її житті визначаються зовнішніми обставинами або іншими людьми, а не власними діями або рішеннями. Це може призвести до вивченої безпорадності, коли людина перестає намагатися впливати на ситуацію, вірячи, що її зусилля не матимуть значення.",C
"Частина марсіанської води замерзла в ґрунті та крижаних шапках, а частина була втрачена через зняття сонячного вітру, але вважається, що більша частина початкової води була втрачена через інший механізм. Що сталося з цією «загубленою» водою?
A.Він був знятий магнітним полем, коли його сила швидко зменшувалася
B.Він був розщеплений на водень і кисень ультрафіолетовим світлом, і водень був втрачений через теплову втечу
C.його поглинула цивілізація спраглих марсіан
D.Він випарувався в період інтенсивного вулканізму і був втрачений в космос через теплову втечу",B,"Правильна відповідь на ваше запитання є B. Вода на Марсі була розщеплена на водень і кисень під дією ультрафіолетового світла, і водень, який є легким елементом, був втрачений через теплову втечу в космос. Цей процес відбувався протягом мільярдів років, особливо після того, як Марс втратив своє магнітне поле, що дозволило сонячному вітру більш ефективно видаляти атмосферні гази, включаючи водень.",B
"На що вказує негативна залишкова автокореляція?
A.Циклічна закономірність залишків
B.Чергування залишків
C.Повна випадковість залишків
D.Залишки, які близькі до нуля",B,"B. Чергування залишків

Негативна залишкова автокореляція вказує на те, що залишки моделі чергуються між позитивними та негативними значеннями. Це означає, що позитивний залишок, як правило, слідується негативним залишком і навпаки, що може свідчити про певну систематичність у відхиленнях від моделі, яка не була врахована.",B
