Question,CorrectAnswer,GivenAnswer,Correct
"Bộ phim Magnolia' năm 1999 lấy bối cảnh ở bang nào?
A.California
B.Nam Carolina
C.Gruzia
D.Texas",a,a.california,true
"Món ăn nào trong số này được làm từ ruột lợn?
A.haggis
B.Chitlins
C.Grits
D.Chop Suey",b,b. chitlins,true
"Ngôn ngữ chính thức của Hà Lan là gì?
A.Tiếng Đan-mạch
B.Thuỵ Điển
C.Tiếng Đức
D.Tiếng Hà-Lan",d,d.tiếng hà-lan,true
"Diễn viên Antonio Banderas ngôn ngữ mẹ đẻ là gì?
A.Tiếng Tây Ban Nha
B.Tiếng Nga
C.Tiếng Đức
D.Pháp",a,a. tiếng tây ban nha,true
" Công cụ tiếp thị và truyền thông này cung cấp một sự khuyến khích trực tiếp hoặc khuyến khích để khuyến khích khách hàng mua sản phẩm / dịch vụ:
A.Quảng cáo.
B.Quan hệ công chúng.
C.Xúc tiến bán hàng.
D.Tiếp thị trực tiếp.",c,c. xúc tiến bán hàng.,true
"Người trung niên dường như ___
A.Thế hệ
B.Thần kinh
C.Dễ chịu
D.Chắc",a,"câu hoàn chỉnh nhất là: người trung niên dường như chắc chắn.
do đó, đáp án đúng là: d. chắc",false
"Bộ phim kinh dị nào trong số này sinh ra nhiều phần tiếp theo nhất?
A.Gào thét'
B.Hàm '
C.Halloween'
D.Thứ Sáu ngày 13'",d,"trong số các bộ phim kinh dị được liệt kê, ""thứ sáu ngày 13"" (friday the 13th) là bộ phim đã sinh ra nhiều phần tiếp theo nhất. loạt phim này bao gồm tổng cộng 12 phần, bắt đầu từ phim đầu tiên phát hành vào năm 1980.",true
"Các doanh nghiệp tham gia vào kế toán xã hội do nhu cầu từ _________, để xác định ________, cải thiện ___________ và khuyến khích _________ và ___________
A.Các bên liên quan, Rủi ro, Quản lý các bên liên quan, Trách nhiệm giải trình, Minh bạch
B.Các bên liên quan, Trách nhiệm giải trình, Minh bạch, Rủi ro, Quản lý các bên liên quan
C.Các bên liên quan, Trách nhiệm giải trình, Rủi ro, Các bên liên quan, Quản lý các bên liên quan
D.Các bên liên quan, Quản lý các bên liên quan, Tính minh bạch, Rủi ro, Trách nhiệm giải trình",a,"các doanh nghiệp tham gia vào kế toán xã hội do nhu cầu từ **các bên liên quan**, để xác định **trách nhiệm giải trình**, cải thiện **minh bạch**, và khuyến khích **rủi ro** và **quản lý các bên liên quan**.

đáp án đúng là: b. các bên liên quan, trách nhiệm giải trình, minh bạch, rủi ro, quản lý các bên liên quan",false
"Thuật ngữ cho mức độ cạnh tranh ở một quốc gia bị ảnh hưởng bởi cạnh tranh ở các quốc gia khác là gì?
A.Thương mại quốc tế
B.Kinh tế toàn cầu
C.Cạnh tranh toàn cầu
D.Toàn cầu hóa",d,"câu trả lời đúng là: c. cạnh tranh toàn cầu

cạnh tranh toàn cầu là thuật ngữ dùng để chỉ mức độ cạnh tranh giữa các doanh nghiệp và các quốc gia trên toàn thế giới, nơi các yếu tố như giá cả, chất lượng sản phẩm, và sự đổi mới công nghệ liên tục được so sánh và cạnh tranh giữa các thị trường quốc tế.",false
"Yếu tố nào sau đây sẽ được coi là yếu tố ""kéo"" đối với Riva khi xem xét chuyển từ Ấn Độ sang Hoa Kỳ?
A.Nghèo đói khốn khổ
B.Công việc tốt hơn và mức lương cao hơn
C.Hệ thống đẳng cấp của Ấn Độ
D.Bạo lực trong khu phố của cô ấy",b,"b. công việc tốt hơn và mức lương cao hơn

yếu tố này được coi là yếu tố ""kéo"" vì nó đại diện cho cơ hội tích cực mà riva có thể hướng tới khi chuyển đến hoa kỳ, như cơ hội nghề nghiệp tốt hơn và thu nhập cao hơn, điều này có thể cải thiện đáng kể chất lượng cuộc sống của cô.",true
"Quốc gia nào sau đây thải ra nhiều CO2 nhất trên đầu người vào năm 2017?
A.Nhật Bản
B.Canada
C.Nga
D.Iran",b,"tính đến năm 2017, canada là quốc gia trong số các lựa chọn được đưa ra có lượng phát thải co2 cao nhất trên đầu người. canada có một nền kinh tế phát triển với ngành công nghiệp năng lượng, đặc biệt là khai thác dầu mỏ và khí đốt, chiếm tỷ trọng lớn trong cơ cấu kinh tế, dẫn đến lượng phát thải khí nhà kính cao. trong khi đó, nhật bản, nga và iran cũng có lượng phát thải đáng kể nhưng không cao bằng canada khi tính trên đầu người.",true
"Một số nước của sao Hỏa bị đóng băng trong đất và các chỏm băng và một số đã bị mất do dải gió mặt trời, nhưng phần lớn nước ban đầu được cho là đã bị mất thông qua một cơ chế khác. Điều gì đã xảy ra với dòng nước ""bị mất"" này?
A.Nó đã bị tước đi bởi từ trường khi nó giảm nhanh sức mạnh
B.Nó bị phá vỡ thành hydro và oxy bởi ánh sáng cực tím và hydro bị mất thông qua thoát nhiệt
C.nó đã bị tiêu thụ bởi một nền văn minh của những người sao Hỏa khát nước
D.Nó đã bị bốc hơi trong thời kỳ núi lửa dữ dội và bị mất vào không gian thông qua thoát nhiệt",b,"đáp án đúng là b. nước trên sao hỏa bị phá vỡ thành hydro và oxy bởi ánh sáng cực tím và hydro bị mất thông qua thoát nhiệt. khi từ trường của sao hỏa suy yếu, nó không còn có khả năng bảo vệ khí quyển của hành tinh khỏi bức xạ và gió mặt trời. do đó, các phân tử nước (h2o) trong khí quyển có thể bị phân hủy bởi bức xạ cực tím thành hydro (h) và oxy (o), và các nguyên tử hydro nhẹ hơn có thể thoát ra ngoài không gian, dẫn đến mất nước dần dần.",true
"Tìm $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"để tính biểu thức \( -\dfrac{1}{-3} \cdot \cfrac{1}{\frac{1}{-3}} \), ta thực hiện từng bước như sau:

1. tính \( -\dfrac{1}{-3} \):
\[
-\dfrac{1}{-3} = \dfrac{1}{3}
\]

2. tính \( \cfrac{1}{\frac{1}{-3}} \):
\[
\cfrac{1}{\frac{1}{-3}} = -3
\]

3. nhân hai kết quả vừa tìm được:
\[
\dfrac{1}{3} \cdot (-3) = -1
\]

vậy giá trị của biểu thức là \(\boxed{-1}\).",true
"Xác định tiền đề của mệnh đề có điều kiện sau: Những con ong chỉ thắng trò chơi đầu tiên nếu Aardvarks hoặc Chipmunks không thắng trò chơi đầu tiên của họ.
A.Aardvarks không thắng trận đầu tiên.
B.The Bees giành chiến thắng trong trò chơi đầu tiên của họ.
C.Chipmunks không thắng trận đầu tiên.
D.Aardvarks hoặc Chipmunks không thắng các trận đấu đầu tiên của họ.",b,"mệnh đề có điều kiện được đưa ra là: ""những con ong chỉ thắng trò chơi đầu tiên nếu aardvarks hoặc chipmunks không thắng trò chơi đầu tiên của họ.""

trong mệnh đề này, phần ""nếu aardvarks hoặc chipmunks không thắng trò chơi đầu tiên của họ"" là tiền đề. tiền đề là điều kiện cần để kết quả (phần sau ""nếu"") xảy ra. 

vậy, đáp án đúng là:
d. aardvarks hoặc chipmunks không thắng các trận đấu đầu tiên của họ.",true
