Question,CorrectAnswer,GivenAnswer,Correct
" Yi tita ati ibaraẹnisọrọ ọpa nfun a taara inducement tabi ohun iwuri lati iwuri fun awọn onibara lati ra a ọja / iṣẹ:
A.Ipolowo.
B.Ìbáṣepọ̀ àwùjọ.
C.Tita igbega.
D.Taara tita.",c,c. tita igbega.,true
"Àwọn àgbàlagbà àgbàlagbà dàbí ẹni pé wọ́n pọ̀ jù ____ ju àwọn àgbàlagbà tàbí àgbàlagbà lọ.
A.Generative
B.Neurotic
C.Agreeable
D.Àwọn kan",a,d. àwọn kan,false
"Kí ni ọ̀rọ̀ náà fún ìwọ̀n tí ìdíje ní orílẹ̀-èdè kan ní ipa lórí ìfigagbága ní àwọn orílẹ̀-èdè mìíràn?
A.Iṣowo kariaye
B.Ọrọ̀-ajé àgbáyé
C.Idije agbaye
D.Globalisation",d,d. globalisation,true
"Kí ni èdè ìjọba Orílẹ̀-èdè Netherlands?
A.Èdè Dẹ́nmárkì
B.Èdè Swídìn
C.Èdè Jámánì
D.Èdè Nẹ́dálándì",d,d. èdè nẹ́dálándì,true
"Àwọn okòwò ń lọ́wọ́ nínú ìṣirò àwùjọ nítorí ìbéèrè láti ọ̀dọ̀ _________, láti lè dá ________ mọ̀, láti mú ìdàgbàsókè bá ___________ àti láti gba àwọn _________ àti ___________ níyànjú.
A.Awọn alabaṣepọ, Awọn ewu, Iṣakoso Stakeholder, Iṣiro, Transparency
B.Àwọn Alákóso, Ìṣírò, Ìkọ̀kọ̀, Ewu, Ìṣàkóso Àwọn Ẹlòmíràn
C.Àwọn Alákóso, Ìṣírò, Ewu, Àwọn Alákóso, Ìṣàkóso Àwọn Alákóso
D.Àwọn Alákóso, Ìṣàkóso Alákóso, Ìkọ̀kọ̀, Ewu, Ìṣírò",a,"a. awọn alabaṣepọ, awọn ewu, iṣakoso stakeholder, iṣiro, transparency",true
"Ní ìfiwéra pẹ̀lú àwọn ẹgbẹ́ òṣèlú ní àwọn orílẹ̀-èdè bíi England àti Israel, tí àwọn méjèèjì ní ètò ọ̀pọ̀lọpọ̀ ẹgbẹ́, àwọn ẹgbẹ́ òṣèlú Amẹ́ríkà wà.
A.Kò fi bẹ́ẹ̀ nífẹ̀ẹ́ sí ipa lórí èsì ìdìbò.
B.Kò fi bẹ́ẹ̀ hàn kedere pẹ̀lú àwọn èrò òṣèlú tí ó ṣe déédéé.
C.Kò ṣiṣẹ́ dáadáa láti gba owó lọ́wọ́ àwọn olùtìlẹ́yìn òṣèlú.
D.O dara julọ lati ṣe afihan awọn ibi-afẹde ti gbogbo awọn agbegbe wọn.",b,d.o dara julọ lati ṣe afihan awọn ibi-afẹde ti gbogbo awọn agbegbe wọn.,false
"Ní ìpínlẹ̀ wo ni fíìmù Magnolia 1999 ṣètò?
A.California
B.South Carolina
C.Jọ́jíà
D.Texas",a,a. california,true
"Kí ni òṣèré Antonio Banderas native language?
A.Èdè Sípéènì
B.Èdè Rọ́ṣíà
C.Èdè Jámánì
D.Èdè faransé",a,"a. èdè sípéènì

antonio banderas jẹ́ òṣèré láti orílẹ̀-èdè spain, nítorí náà èdè abínibí rẹ̀ ni èdè sípéènì.",true
"Kí ni ìkọlù àtúnwò?
A.Nígbà tí olùkọlù náà dáhùn sí àtẹ̀jíṣẹ́ tí ẹ̀rọ fi ránṣẹ́ sí i.
B.Ìkọlù tí ó máa ń tún un ṣe ní gbogbo ìgbà, tí ó ń ṣe ìwádìí fún àìlera.
C.Ìkọlù tí ó ń lo àtẹ̀jíṣẹ́ ẹ̀rọ náà nítorí náà kò ṣe é dáàbò bo lọ́wọ́.
D.Olùkọlù náà tún àtẹ̀jíṣẹ́ tí wọ́n mú ṣe, ojú òpó náà sì gba rẹ̀ ó sì dáhùn ní ojúrere olùkọlù náà.",d,"d. olùkọlù náà tún àtẹ̀jíṣẹ́ tí wọ́n mú ṣe, ojú òpó náà sì gba rẹ̀ ó sì dáhùn ní ojúrere olùkọlù náà.",true
"Â ýòîì ãîäó 20000 ãîäà íà 1000 êì îò 20000 ã. íà 1000 êì îò 100000000000000000000000000000000000000000000
A.awọn ìmọ akọkọ quadrant
B.a pipade igun
C.A ray ninu awọn ìmọ akọkọ quadrant
D.kan ṣoṣo ojuami",a,"извините, ваш запрос содержит текст на разных языках и кажется неполным или искаженным. пожалуйста, уточните ваш вопрос или предоставьте дополнительную информацию, чтобы я мог лучше помочь вам.",false
"Èwo nínú àwọn àbùdá wọ̀nyí ni ó bá ìfipábánilòpọ̀ ọjọ́ mu?
A.Lilo agbara ti o pọju
B.Premeditated
C.ibalopo motivated
D.O ni lati lo ohun ija kan.",c,"a.lilo agbara ti o pọju

ìfipábánilòpọ̀ ọjọ́ maa n tọka si lilo agbara ti o pọju tabi iwa-ipa lati fi ba eniyan lo pọ ni ọna ti ko tọ. eyi le pẹlu lilo agbara ti ara, ọrọ, tabi iwa miiran ti o fi ipa mu eniyan lati ṣe ibalopọ tabi awọn iṣẹ ibalopọ miiran laisi ifẹ wọn.",false
"Ojò kan wa ni irisi prism triangular kan. Tí ìpìlẹ̀ onígun mẹ́ta náà bá ní agbègbè ẹsẹ̀ mẹ́rin 116, tí ọkọ̀ ojú omi náà sì ga ní ẹsẹ̀ 30, omi mélòó ni ọkọ̀ ojú omi náà yóò ní nígbà tí ó bá kún?
A.1725 ft ì
B.1740 ft ì
C.3480 ft ì
D.6960 ft ì",c,"lati wa iwọn didun ti ojò naa, a nilo lati lo agbekalẹ fun iwọn didun ti prism triangular:

\[ \text{iwọn didun} = \text{agbegbe ipilẹ} \times \text{iga} \]

nibi, agbegbe ipilẹ jẹ 116 square feet ati iga jẹ 30 feet. nitorinaa,

\[ \text{iwọn didun} = 116 \, \text{ft}^2 \times 30 \, \text{ft} = 3480 \, \text{ft}^3 \]

nitorinaa, idahun si ibeere naa ni:

c. 3480 ft³",true
"Èwo nínú àwọn orílẹ̀-èdè wọ̀nyí ló yọ CO2 tó pọ̀ jù fún olúkúlùkù ní 2017?
A.Japan
B.Kánádà
C.Rọ́ṣíà
D.Ìráàn",b,"ní ọdún 2017, kánádà (canada) ló yọ co2 tó pọ̀ jù fún olúkúlùkù ní àwọn orílẹ̀-èdè tí o mẹ́nuba. kánádà mọ̀ fún ìyọ co2 gíga fún olúkúlùkù nítorí ìlò ẹ̀rọ tí ó gbẹ́kẹ̀lé lórí epo àti gáàsì, àti ìwúwo ọkọ̀ tí ó pọ̀.",true
"Awọn fallacy ti laudatory eniyan jẹ kan pato iru ti
A.Awọn fallacy ti ijamba
B.Ìṣòro èké
C.Bẹ̀bẹ̀ ìbéèrè náà
D.Ìrònú yíká",a,"d. ìrònú yíká

awọn fallacy ti laudatory eniyan, ti a tun mọ si ""ad hominem circumstantial"" tabi ""tu quoque,"" jẹ iru fallacy nibiti eniyan kan gbiyanju lati yago fun idahun si ẹsun tabi ibeere nipa fifi akiyesi si ipo tabi iwa ti eniyan ti o ṣe ẹsun naa. o jẹ iru si ìrònú yíká nitori pe o yipo si ẹni kọọkan dipo ki o dojukọ lori agbara tabi ailagbara ti ẹri tabi ero ti a gbekalẹ.",false
"Oníṣètò kan kọ ètò náà nísàlẹ̀. Eto naa nlo akojọ awọn nọmba ti a npe ni numList. Ètò náà jẹ́ èrò láti ṣe àfihàn àpapọ̀ àwọn nọ́mbà tó wà nínú àtòjọ náà.
 sum ← numList [1]
 FUN KỌỌKAN iye IN numList
 sum ← sum + iye
 ÀPAPỌ̀ ÀPAPỌ̀
 Láti lè dán ètò náà wò, onímọ̀-ẹ̀rọ náà kọ́kọ́ kọ́kọ́ kọ́kọ́ ṣe numList sí [0, 1, 4, 5]. Ètò náà ṣàfihàn mẹ́wàá, onímọ̀-ẹ̀rọ náà sì parí èrò pé ètò náà ń ṣiṣẹ́ bí ó ti yẹ. Èwo nínú àwọn wọ̀nyí ni òtítọ́?
A.ipari jẹ ti o tọ; Ètò náà ń ṣiṣẹ́ gẹ́gẹ́ bí ó ṣe yẹ.
B.Ipari naa ko tọ; Eto naa ko ṣe afihan iye ti o tọ fun ọran idanwo [0, 1, 4, 5].
C.Ipari naa ko tọ; Lilo ọran idanwo [0, 1, 4, 5] ko to lati pari eto naa tọ.
D.Ipari naa ko tọ; lilo ọran idanwo [0, 1, 4, 5] nikan jẹrisi pe eto naa n ṣiṣẹ fun awọn atokọ ni aṣẹ ti o pọ si.",c,"b. ipari naa ko tọ; eto naa ko ṣe afihan iye ti o tọ fun ọran idanwo [0, 1, 4, 5].

nítorí náà, ètò náà bẹ̀rẹ̀ pẹ̀lú àkọ́kọ́ iye nínú numlist (eyi tí ó jẹ́ 0) tí ó sì tún fi kún un pẹ̀lú gbogbo àwọn iye tó kù nínú numlist. èyí yóò mú kí iye àpapọ̀ náà pọ̀ ju bí ó ṣe yẹ lọ. nítorí náà, ètò náà kò ṣe àfihàn iye àpapọ̀ tó tọ́.",false
"Èwo nínú àwọn fíìmù ẹ̀rù wọ̀nyí ló ṣẹ̀dá ìtẹ̀síwájú tó pọ̀ jù?
A.Scream'
B.Jaws'
C.Halloween'
D.Ọjọ́ Ẹtì ọjọ́ 13'",d,"nínú àwọn fíìmù ẹ̀rù tí o sọ, 'halloween' ni ó ṣẹ̀dá ìtẹ̀síwájú tó pọ̀ jù. fíìmù 'halloween' tí john carpenter ṣe ní ọdún 1978 ti ní ọ̀pọ̀lọpọ̀ àwọn ìtẹ̀síwájú àti àwọn fíìmù tí ó tẹ̀lé e, pẹ̀lú àwọn àtúnṣe àti àwọn fíìmù tí ó jọ mọ́ rẹ̀.",true
"Wá $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"first, simplify the expression given:

\[
-\dfrac{1}{-3} \cdot \cfrac{1}{\frac{1}{-3}}
\]

start by simplifying \(-\dfrac{1}{-3}\):

\[
-\dfrac{1}{-3} = \dfrac{1}{3}
\]

next, simplify \(\cfrac{1}{\frac{1}{-3}}\):

\[
\cfrac{1}{\frac{1}{-3}} = -3
\]

now, multiply the two simplified expressions:

\[
\dfrac{1}{3} \cdot (-3) = -1
\]

thus, the value of the expression is \(\boxed{-1}\).",true
