Question,CorrectAnswer,GivenAnswer,Correct
"In watter toestand speel die 1999-fliek Magnolia af?
A.Kalifornië
B.Suid-Carolina
C.Georgia
D.Texas",A,"Die 1999-fliek ""Magnolia"" speel af in Kalifornië.",A
"Wat is die akteur Antonio Banderas moedertaal?
A.Spaans
B.Russiese
C.Duitse
D.Franse",A,"A. Spaans

Antonio Banderas is 'n Spaanse akteur, en sy moedertaal is Spaans.",A
"Middeljarige volwassenes blyk meer ____ te wees as ouer of jonger volwassenes
A.Generatiewe
B.neurotiese
C.Aangenaam
D.Sekere",A,"A. Generatiewe

Middeljarige volwassenes blyk meer generatiewe te wees as ouer of jonger volwassenes. Generatiwiteit verwys na die strewe om iets van waarde te skep wat die volgende generasie sal bevoordeel, soos om kinders groot te maak, 'n loopbaan te ontwikkel, of by te dra tot die gemeenskap.",A
"Watter van die volgende lande het die meeste CO2 per capita in 2017 vrygestel?
A.Japan
B.Kanada
C.Rusland
D.Iran",B,"In 2017 het Kanada die meeste CO2 per capita vrygestel van die lande wat jy genoem het. Kanada het 'n hoë vlak van CO2-uitstoot per capita, hoofsaaklik as gevolg van sy energie-intensiewe nywerhede en koue klimaat wat 'n hoë vraag na verhitting veroorsaak.",B
"Besighede is betrokke by sosiale rekeningkunde as gevolg van eise van _________, om ________ te identifiseer, om ___________ te verbeter en om _________ en ___________ aan te moedig.
A.Belanghebbendes, risiko's, bestuur van belanghebbendes, aanspreeklikheid, deursigtigheid
B.Belanghebbendes, aanspreeklikheid, deursigtigheid, risiko's, bestuur van belanghebbendes
C.belanghebbendes, aanspreeklikheid, risiko's, belanghebbendes, bestuur van belanghebbendes
D.Belanghebbendes, bestuur van belanghebbendes, deursigtigheid, risiko's, aanspreeklikheid",A,"A. Belanghebbendes, risiko's, bestuur van belanghebbendes, aanspreeklikheid, deursigtigheid

Besighede is betrokke by sosiale rekeningkunde as gevolg van eise van belanghebbendes, om risiko's te identifiseer, om bestuur van belanghebbendes te verbeter en om aanspreeklikheid en deursigtigheid aan te moedig.",A
"In 'n seriestroombaan, as die stroom in een lamp 2 A is, is die stroom in die lamp langsaan
A.helfte, 1 A
B.02:00
C.Hang af van watter lamp nader aan die battery is
D.Nie genoeg inligting om te sê nie",B,"In 'n seriestroombaan is die stroom deur al die komponente dieselfde, omdat daar net een pad is vir die stroom om te vloei. Dus, as die stroom in een lamp 2 A is, dan is die stroom in die lamp langsaan ook 2 A.

Die korrekte antwoord is:
B. 2 A",B
"Wat is die term vir die mate waarin mededinging in een land deur mededinging in ander lande beïnvloed word?
A.Internasionale handel
B.Globale ekonomie
C.Wêreldwye kompetisie
D.Globalisering",D,"Die term wat die mate waarin mededinging in een land deur mededinging in ander lande beïnvloed word, beskryf, is **C. Wêreldwye kompetisie**. Hierdie term verwys na die dinamika waar ondernemings en markte in verskillende lande meeding met mekaar, wat dikwels lei tot verhoogde druk op maatskappye om doeltreffender en innoverender te wees om mededingend te bly op 'n globale skaal.",C
"Hierdie vraag verwys na die volgende inligting.
Eerstens moet ons opmerk dat die kosmos sferies van vorm is, deels omdat hierdie vorm 'n volmaakte geheel is wat geen gewrigte benodig nie, die mees volledige van alles is, deels omdat dit die ruimste vorm maak, wat die beste geskik is om alles te bevat en te bewaar; of weer omdat al die samestellende dele van die heelal, dit is die son, maan en die planete in hierdie vorm voorkom; of omdat alles daarna streef om hierdie vorm te bereik, soos blyk in die geval van druppels water en ander vloeibare liggame as hulle hulself probeer definieer. Niemand sal dus twyfel dat hierdie vorm aan die hemelliggame behoort nie. ...
Dat die aarde ook bolvormig is, is dus bo alle twyfel, omdat dit van alle kante op sy middelpunt druk. Alhoewel 'n perfekte sirkel weens die hoogtes van die berge en die depressies van die valleie nie verstaan kan word nie, beïnvloed dit tog nie die algemene sferiese aard van die aarde nie. ...
Aangesien daar reeds aangetoon is dat die aarde die vorm van 'n sfeer het, moet ons oorweeg of 'n beweging ook saamval met hierdie vorm en watter plek die aarde in die heelal het. ... Die oorgrote meerderheid skrywers is dit natuurlik eens dat die aarde stil staan in die middel van die heelal en dit as ondenkbaar en belaglik beskou om die teenoorgestelde te veronderstel. Maar as die saak noukeurig geweeg word, sal gesien word dat die vraag nog nie afgehandel is nie en dus geensins ligtelik beskou moet word nie. Elke verandering van plek wat waargeneem word, is te wyte aan 'n beweging van die waargenome voorwerp of van die waarnemer, of aan bewegings van albei. ... Nou is dit van die aarde dat die omwenteling van die hemele waargeneem word en dit vir ons oë voortgebring word. As die aarde dus geen beweging ondergaan nie, moet hierdie beweging in alles buite die aarde plaasvind, maar in die teenoorgestelde rigting as wanneer alles op die aarde beweeg het, en van hierdie aard is die daaglikse rewolusie. Dit blyk dus die hele heelal te beïnvloed, dit wil sê alles buite die aarde, met die enkele uitsondering van die aarde self. As 'n mens egter moet erken dat hierdie beweging nie eie aan die hemel was nie, maar dat die aarde van wes na oos gedraai het, en as dit noukeurig oorweeg word met betrekking tot die skynbare opkoms en ondergang van die son, die maan en die sterre, sou ontdek word dat dit die werklike situasie was.
Nicolas Copernicus, Die revolusies van die hemelliggame, 1543
Die gedeelte kan gebruik word as bewys dat Copernicus verskil van die tradisionele, Aristoteliese natuurfilosowe van sy tyd omdat hy voorgestel het dat
A.Die kosmos is sferies
B.die aarde is bolvormig
C.Die kosmos is geostaties
D.die aarde staan nie stil nie",D,"Die gedeelte kan gebruik word as bewys dat Copernicus verskil van die tradisionele, Aristoteliese natuurfilosowe van sy tyd omdat hy voorgestel het dat:

D. die aarde staan nie stil nie

In die teks bespreek Copernicus die moontlikheid dat die aarde beweeg, spesifiek dat dit van wes na oos draai, wat in teenstelling is met die tradisionele Aristoteliese siening dat die aarde stil staan in die middel van die heelal.",D
"Watter van die volgende sal waarskynlik mettertyd sterker ekonomiese groei lewer?
A.Vinniger verbruik van natuurlike hulpbronne.
B.Hoër ongeletterdheidsyfers vir volwassenes.
C.'N Dalende voorraad kapitaalgoedere.
D.Beleggingsbelastingkrediete.",D,"D. Beleggingsbelastingkrediete.

Beleggingsbelastingkrediete moedig ondernemings aan om te belê in nuwe toerusting, tegnologie, en ander kapitaalgoedere. Hierdie beleggings kan produktiwiteit verhoog, innovasie aanmoedig, en uiteindelik lei tot sterker ekonomiese groei oor tyd. Die ander opsies (A, B, en C) is geneig om ekonomiese groei te belemmer eerder as om dit te bevorder.",D
"Watter sielkundige perspektief was die gewildste aan die begin van die twintigste eeu in Wes-Europa?
A.Neuroscience
B.Evolusionêre
C.behavioris
D.psigoanalitiese",D,"D. psigoanalitiese

Die psigoanalitiese perspektief, wat deur Sigmund Freud ontwikkel is, was die gewildste sielkundige perspektief aan die begin van die twintigste eeu in Wes-Europa. Freud se teorieë oor die onbewuste, droomanalise, en die struktuur van die psige het 'n groot invloed gehad op die veld van sielkunde gedurende hierdie tydperk.",D
