Question,CorrectAnswer,GivenAnswer,Correct
"বিদেশত এক্স দেশৰ মন্ত্ৰীৰ দ্বাৰা সংঘটিত বেআইনী হত্যাকাণ্ডটো এটা কাৰ্য জুৰ ইম্পেৰিয়ে নে জুৰ গেষ্টিনিছ?
A.এনে আচৰণ হৈছে এক ৰাজহুৱা কাৰ্য (জুৰ ইম্পেৰি)
B.এনে আচৰণে কেতিয়াও ৰোগ প্ৰতিৰোধ ক্ষমতা আকৰ্ষণ নকৰে
C.এনে আচৰণ হৈছে এক ব্যক্তিগত কাৰ্য (জুৰ গেষ্টনিছ)
D.এনে আচৰণ এক ৰাজহুৱা কাৰ্য কিন্তু ৰোগ প্ৰতিৰোধক্ষমতাৰ দ্বাৰা ৰক্ষা কৰা হয়",C,"উত্তৰটো হৈছে:
C.এনে আচৰণ হৈছে এক ব্যক্তিগত কাৰ্য (জুৰ গেষ্টনিছ)",C
"প্ৰশংসনীয় ব্যক্তিত্বৰ ভ্ৰান্তি হৈছে এক নিৰ্দিষ্ট প্ৰকাৰৰ
A.দুৰ্ঘটনাৰ ভ্ৰান্তি
B.মিছা দ্বিধা
C.প্ৰশ্নটো ভিক্ষা কৰা
D.বৃত্তাকাৰ যুক্তি",A,"প্ৰশংসনীয় ব্যক্তিত্বৰ ভ্ৰান্তি হৈছে এক নিৰ্দিষ্ট প্ৰকাৰৰ
A.দুৰ্ঘটনাৰ ভ্ৰান্তি",A
"নেডাৰলেণ্ডৰ চৰকাৰী ভাষা কি?
A.ডেনিশ্ব
B.ছুইডিশ্ব
C.জাৰ্মান
D.ডাচ্",D,"নেডাৰলেণ্ডৰ চৰকাৰী ভাষা হৈছে:
D. ডাচ্",D
"এখন দেশত প্ৰতিযোগিতা কিমান পৰিমাণে আন দেশত প্ৰতিযোগিতাৰ দ্বাৰা প্ৰভাৱিত হয় তাৰ শব্দটো কি?
A.আন্তৰ্জাতিক বাণিজ্য
B.গোলকীয় অৰ্থনীতি
C.গোলকীয় প্ৰতিযোগিতা
D.বিশ্বায়ন",D,উত্তৰটো হ'ল: C. গোলকীয় প্ৰতিযোগিতা,C
"১৯৯৯ চনৰ মেগনোলিয়া চলচ্চিত্ৰৰ ছেট কি অৱস্থাত?
A.কেলিফৰ্ণিয়া
B.দক্ষিণ কেৰোলিনা
C.জৰ্জিয়া
D.টেক্সাছ",A,"১৯৯৯ চনৰ মেগনোলিয়া চলচ্চিত্ৰৰ ছেট কেলিফৰ্ণিয়াত অৱস্থিত। সেয়া হৈছে:
A. কেলিফৰ্ণিয়া",A
"শিকা অসহায়তাৰ সৈতে পোনপটীয়াকৈ সম্পৰ্কিত হোৱাৰ সম্ভাৱনা অধিক
A.বাৰ্ণুম প্ৰভাৱ।
B.স্ব-সেৱা পক্ষপাতিত্ব।
C.নিয়ন্ত্ৰণৰ এক বাহ্যিক স্থান।
D.চৰ্তহীন ইতিবাচক সন্মান।",C,"শিকা অসহায়তাৰ সৈতে পোনপটীয়াকৈ সম্পৰ্কিত হোৱাৰ সম্ভাৱনা অধিক হৈছে:
C. নিয়ন্ত্ৰণৰ এক বাহ্যিক স্থান।",C
"মধ্যবয়সীয়া প্ৰাপ্তবয়স্কসকল বয়সস্থ বা কম বয়সীয়া প্ৰাপ্তবয়স্কতকৈ অধিক __ হোৱা দেখা যায়
A.উৎপন্নক
B.নিউৰোটিক
C.সন্মত
D.নিশ্চিত",A,"মধ্যবয়সীয়া প্ৰাপ্তবয়স্কসকল বয়সস্থ বা কম বয়সীয়া প্ৰাপ্তবয়স্কতকৈ অধিক **নিউৰোটিক** হোৱা দেখা যায়।

সঠিক উত্তৰ হৈছে:
B. নিউৰোটিক",B
"পাৰফিটে কিয় সমতাৰ বিৰোধিতা কৰে?
A.তেওঁ যুক্তি দিয়ে যে অসম সমাজতকৈ অনিবাৰ্য।
B.তেওঁ দাবী কৰে যে দৰিদ্ৰ লোকসকলৰ প্ৰয়োজনীয়তাক অগ্ৰাধিকাৰ দি আমি সমতা বৃদ্ধি কৰিব পাৰোঁ।
C.তেওঁ দাবী কৰে যে আমাৰ দৰিদ্ৰতাৰ বাবে আমি প্ৰত্যেকেই দায়বদ্ধ।
D.তেওঁ সমতাৰ ধাৰণাটো সম্পূৰ্ণৰূপে প্ৰত্যাখ্যান কৰে।",B,"পাৰফিটে সমতাৰ বিৰোধিতা কৰাৰ কাৰণটো হৈছে:
A. তেওঁ যুক্তি দিয়ে যে অসম সমাজতকৈ অনিবাৰ্য।

তেওঁ বিশ্বাস কৰে যে সম্পূৰ্ণ সমতা অর্জন কৰা প্ৰায় অসম্ভৱ আৰু অসম সমাজতকৈ অনিবাৰ্য।",A
"ৰিপ্লে আক্ৰমণ কি?
A.যেতিয়া আক্ৰমণকাৰীয়ে চিষ্টেমৰ দ্বাৰা ইয়ালৈ প্ৰেৰণ কৰা বাৰ্তাৰ উত্তৰ দিয়ে
B.এটা আক্ৰমণ যি নিৰন্তৰ পুনৰাবৃত্তি কৰে, দুৰ্বলতাৰ বাবে অনুসন্ধান কৰে
C.এটা আক্ৰমণ যিয়ে প্ৰণালীটোৰ নিজা বাৰ্তা ব্যৱহাৰ কৰে আৰু সেয়েহে ইয়াৰ বিৰুদ্ধে প্ৰতিৰক্ষা কৰিব নোৱাৰি
D.আক্ৰমণকাৰীয়ে এটা বন্দী বাৰ্তা পুনৰ প্ৰেৰণ কৰে, আৰু ছাইটটোৱে ইয়াৰ গ্ৰহণ কৰে আৰু আক্ৰমণকাৰীৰ পক্ষত সঁহাৰি দিয়ে",D,"ৰিপ্লে আক্ৰমণ কি?
D.আক্ৰমণকাৰীয়ে এটা বন্দী বাৰ্তা পুনৰ প্ৰেৰণ কৰে, আৰু ছাইটটোৱে ইয়াৰ গ্ৰহণ কৰে আৰু আক্ৰমণকাৰীৰ পক্ষত সঁহাৰি দিয়ে",D
"অভিনেতা এণ্টোনিঅ বান্দেৰাছ স্থানীয় ভাষা কি?
A.স্পেনিছ
B.ৰুছ ভাষা
C.জাৰ্মান
D.ফ্ৰেন্স",A,"A. স্পেনিছ

এণ্টোনিঅ বান্দেৰাছ (Antonio Banderas) স্পেনৰ এজন প্ৰসিদ্ধ অভিনেতা। সেয়া হোৱাত, তেওঁৰ স্থানীয় ভাষা স্পেনিছ।",A
"উচ্চ-শক্তিৰ ফছফেট, এটিপি আৰু ফছফোক্ৰিয়েটাইনৰ বিকলহোৱাৰ পৰা মুকলি হোৱা শক্তিয়ে প্ৰায় সৰ্বাধিক পৰিশ্ৰমব্যায়াম বজাই ৰাখিব পাৰে:
A.1-2 ছেকেণ্ড।
B.5-10 ছেকেণ্ড।
C.30-40 ছেকেণ্ড।
D.50-60 ছেকেণ্ড।",B,"উচ্চ-শক্তিৰ ফছফেট, যেনে এটিপি (ATP) আৰু ফছফোক্ৰিয়েটাইনৰ (phosphocreatine) বিকলহোৱাৰ পৰা মুকলি হোৱা শক্তিয়ে প্ৰায় সৰ্বাধিক পৰিশ্ৰমব্যায়াম বজাই ৰাখিব পাৰে:
B. 5-10 ছেকেণ্ড।",B
"এই ভৌতিক চলচ্চিত্ৰবোৰৰ কোনটোৱে আটাইতকৈ বেছি চিকুৱেল সৃষ্টি কৰিছিল?
A.চিঞৰিব'
B.জজ'
C.হেলোইন'
D.১৩ তাৰিখ শুক্ৰবাৰে'",D,"D. '১৩ তাৰিখ শুক্ৰবাৰে' (Friday the 13th) ভৌতিক চলচ্চিত্ৰবোৰৰ মাজত আটাইতকৈ বেছি চিকুৱেল সৃষ্টি কৰিছে। এই শৃংখলত মুঠ ১২ টা চলচ্চিত্ৰ আছে, যাৰ প্ৰথমখন ১৯৮০ চনত মুক্তি পায়। এই শৃংখলৰ মুখ্য চৰিত্ৰ হৈছে জেছন ভ'ৰহিজ, যি এক ভৌতিক হত্যাকাৰী হিচাপে পৰিচিত।",D
"পশ্চিম ইউৰোপত বিংশ শতিকাৰ আৰম্ভণিতে কোনটো মানসিক দৃষ্টিভংগী আটাইতকৈ জনপ্ৰিয় আছিল?
A.স্নায়ুবিজ্ঞান
B.বিৱৰ্তন
C.আচৰণবাদী
D.মনোবিশ্লেষণমূলক",D,পশ্চিম ইউৰোপত বিংশ শতিকাৰ আৰম্ভণিতে মনোবিশ্লেষণমূলক (Psychoanalytic) দৃষ্টিভংগী আটাইতকৈ জনপ্ৰিয় আছিল। সিগমুন্ড ফ্ৰয়ডৰ (Sigmund Freud) মনোবিশ্লেষণ তত্ত্ব এই সময়ছোৱাত বহুলভাৱে প্ৰচলিত হৈছিল আৰু মানসিক স্বাস্থ্য আৰু আচৰণৰ ক্ষেত্ৰত গভীৰ প্ৰভাৱ পেলাইছিল।,D
