Question,CorrectAnswer,GivenAnswer,Correct
"Niderlandın rəsmi dili hansıdır?
A.Dan dili
B.Isveç dili
C.Alman dili
D.Holland dili",D,D. Holland dili,D
"Aktyor Antonio Banderas doğma dil nədir?
A.İspan dili
B.Rus dili
C.Alman dili
D.Fransız dili",A,"A. İspan dili

Antonio Banderas İspaniyadan olan bir aktyordur və onun doğma dili ispan dilidir.",A
"XX əsrin əvvəllərində Qərbi Avropada hansı psixoloji baxış daha populyar idi?
A.neyroşəbəkə
B.təkamülçü
C.davranışçı
D.psixoanalitik",D,XX əsrin əvvəllərində Qərbi Avropada daha populyar olan psixoloji baxış D. psixoanalitik idi. Bu dövrdə Sigmund Freud'un psixoanalitik nəzəriyyəsi geniş yayılmış və psixologiya sahəsində böyük təsir göstərmişdir.,D
"Bu xörəklərdən hansı donuz bağırsağından hazırlanır?
A.haqqi
B.çitlinlər
C.qfits
D.chop suey",B,"Donuz bağırsağından hazırlanan yemək ""çitlinlər""dir (B. çitlinlər). Çitlinlər, xüsusilə Amerika cənub mətbəxində məşhur olan bir yeməkdir və donuz bağırsağından hazırlanır.",B
"bizneslər _________ tələblərinə görə sosial mühasibatlıqla məşğul olur, ________ müəyyən etmək, ___________ yaxşılaşdırmaq, _________ və ___________ təşviq etmək məqsədilə
A.Hüquqi şəxslər, Risklər, Hüquqi şəxslərin idarə edilməsi, Hesabatlılıq, Şəffaflıq
B.Hüquqi şəxslər, Məsuliyyət, Şəffaflıq, Risklər, Hüquqi şəxslərin idarə edilməsi
C.Hüquqi şəxslər, Məsuliyyət, Risklər, Hüquqi şəxslər, Hüquqi şəxslərin idarə edilməsi
D.Hüquqi şəxslər, Hüquqi şəxslərin idarə edilməsi, şəffaflıq, risklər, hesabatlılıq",A,"B variantı düzgün cavabdır:

Bizneslər hüquqi şəxslərin tələblərinə görə sosial mühasibatlıqla məşğul olur, məsuliyyəti müəyyən etmək, şəffaflığı yaxşılaşdırmaq, riskləri və hüquqi şəxslərin idarə edilməsini təşviq etmək məqsədilə.",B
"1999-cu ildə çəkilən ""Maqnolia"" filmi hansı ştatda çəkilib?
A.Kaliforniya
B.Cənubi Karolina
C.Gürcüstan
D.Texas",A,"1999-cu ildə çəkilən ""Maqnolia"" filmi Kaliforniya ştatında çəkilib. Beləliklə, doğru cavab A. Kaliforniya.",A
"Orta yaşlı böyüklərin yaşlı və ya cavan yaşlılardan daha çox ____ olduğu görünür
A.Generativ
B.Nevrotik
C.Razı
D.Şübhəsiz",A,"Orta yaşlı böyüklərin yaşlı və ya cavan yaşlılardan daha çox **B. Nevrotik** olduğu görünür.

Bu, orta yaş dövründə insanların daha çox stres, anksiyete və emosional dalğalanmalar yaşaması ilə əlaqədar ola bilər. Orta yaş, kariyer, aile ve kişisel hedeflerle ilgili önemli kararların alındığı ve bu nedenle daha fazla duygusal baskının hissedildiği bir dönem olabilir.",B
"Aşağıdakı ölkələrdən hansı 2017-ci ildə adambaşına ən çox CO2 emal edib?
A.Yaponiya
B.Kanada
C.Rusiya
D.İran",B,"2017-ci ildə adambaşına ən çox CO2 emissiyası olan ölkə Kanada idi. Kanada, geniş əraziyə və nisbətən az əhaliyə malik olduğu üçün adambaşına düşən CO2 emissiyası yüksəkdir. Bu, həmçinin ölkənin enerji istehsalında və sənaye fəaliyyətlərində fosil yanacaqlardan geniş istifadə etməsi ilə əlaqədardır.",B
"İzahlı şəxsiyyətin qeyri-səlisliyi konkret bir növ
A.Bədbəxt hadisənin qeyri-dəqiqliyi
B.Yalançı dilemma
C.Sual-cavab yalvarmaq
D.Dairəvi mülahizələr",A,"İzahlı şəxsiyyətin qeyri-səlisliyi konkret bir növ məntiqi səhvdir və bu, ""Bədbəxt hadisənin qeyri-dəqiqliyi"" (A) ilə əlaqələndirilir. Bu məntiqi səhv, müəyyən bir hadisənin və ya şəraitin dəqiq təsvir edilməməsi və ya qeyri-müəyyən şəkildə təqdim edilməsi ilə xarakterizə olunur. Bu, tez-tez müzakirələrdə və ya arqumentlərdə istifadə olunur və nəticədə anlaşılmazlıq və ya yanlış nəticələrə səbəb ola bilər.",A
"Bu dəhşətli filmlərdən hansının davamı daha çox oldu?
A.Qışqırıq'
B.Jaws'
C.Hellouin'
D.13-cü cümə günü'",D,"D. ""13-cü cümə günü"" (Friday the 13th) filminin davamı daha çox olub. Bu film seriyası 1980-ci ildə başlamış və bir çox davam filmləri, yenidən çəkilişlər və spin-offlar ilə genişlənmişdir. ""Hellouin"" (Halloween) seriyası da çox sayda davam filminə malikdir, lakin ""13-cü cümə günü"" seriyası daha çox filmə sahibdir.",D
