Question,CorrectAnswer,GivenAnswer,Correct
"Нидерландтың рәсми теле ниндәй?
A.Дат теле
B.Швед теле
C.Немец теле
D.Нидерланд теле",D,Д. Нидерланд теле,D
"Актер Антонио Бандерас туған тел ниндәй?
A.Испан теле
B.Урыҫ теле
C.Немец теле
D.Француз теле",A,Актер Антонио Бандерас туған теле — A. Испан теле. Ул Испанияла тыуған һәм испан телендә һөйләшә.,A
"Өлкән йәштәгеләр ололарға йәки кесе йәштәгеләргә ҡарағанда күберәк____булып күренә
A.Генерирлау
B.Невротик
C.Килешле
D.Билдәле",A,Өлкән йәштәгеләр ололарға йәки кесе йәштәгеләргә ҡарағанда күберәк **B. Невротик** булып күренә.,B
"1999 йылда төшөргән «Магнолия» фильмы ниндәй хәлдә?
A.Калифорния
B.Көньяҡ Каролина
C.Грузия
D.Техас",A,"1999 йылда төшөрөлгән «Магнолия» фильмы Калифорния штатында, атап әйткәндә, Лос-Анджелес ҡалаһында төшөрөлгән. Шулай итеп, дөрөҫ яуап - A. Калифорния.",A
"Кире ҡалдыҡ автокорреляция түбәндәгеләрҙең ҡайһыһы менән күрһәтелгән?
A.Ҡалдыҡтарҙа циклик ҡалып
B.Ҡалдыҡтарҙа сиратлашыу рәүеше
C.Ҡалдыҡтарҙа бөтөнләй осраҡлылыҡ
D.Бөтәһе лә нулгә яҡын ҡалдыҡтар",B,"Кире ҡалдыҡ автокорреляция (residual autocorrelation) ҡалдыҡтарҙың ваҡыт буйлап үҙ-ара бәйләнешен аңлата. Был бәйләнеш ҡалдыҡтарҙа ниндәйҙер бер тәртип йәки ҡалып барлығын күрһәтә. Шуға күрә дөрөҫ яуап:

A. Ҡалдыҡтарҙа циклик ҡалып",A
" Был маркетинг-элемтә ҡоралы клиенттарҙы тауар/сервис һатып алырға дәртләндереү өсөн туранан-тура индукция йәки стимул тәҡдим итә:
A.Реклама.
B.Йәмәғәтселек менән бәйләнеш.
C.Һатыуҙы алға этәреү.
D.Тура маркетинг.",C,"Дөрөҫ яуап: C. Һатыуҙы алға этәреү.

Һатыуҙы алға этәреү (Sales Promotion) — был маркетинг-элемтә ҡоралы клиенттарҙы тауар йәки сервис һатып алырға дәртләндереү өсөн туранан-тура индукция йәки стимул тәҡдим итә. Был стимулдар, мәҫәлән, ташламалар, купондар, бүләктәр, һәм башҡа төрлө акциялар булыуы мөмкин.",C
"Сериялы контурҙа, әгәр бер лампалағы ток 2 А булһа, лампала уның эргәһендәге ток
A.ярты, 1 А
B.2:00
C.Батареяға ниндәй лампа яҡыныраҡ булыуына бәйле
D.Әйтер мәғлүмәт етмәй",B,"Сериялы контурҙа бөтә элементтар бер үк ток аша үтә, сөнки токтың үтеү юлы бер генә. Шуға күрә, әгәр бер лампалағы ток 2 А булһа, контурҙағы башҡа лампаларҙағы ток та 2 А була. Тимәк, дөрөҫ яуап:

B. 2 А",B
"Ахондроплазия тыуҙырыусы мутациялар эффект бирә, уларҙы:
A.өҫтөнлөклө негатив.
B.табыш алыу.
C.гаплоинстуфлыҡ.
D.функцияһын юғалтыу.",B,"Ахондроплазия тыуҙырыусы мутациялар эффект бирә, уларҙы:
A. өҫтөнлөклө негатив.

Ахондроплазия — FGFR3 генында өҫтөнлөклө негатив мутациялар арҡаһында барлыҡҡа килгән генетик сир. Был мутациялар гендың функцияһын артыҡ активлаштыра, һөҙөмтәлә һөйәк үҫеше боҙола.",A
"Репетиция һөжүме нимә ул?
A.Һөжүм итеүсе система ебәргән хәбәргә яуап биргәндә
B.Өҙлөкһөҙ ҡабатланған һөжүм, көсһөҙлөктө тикшереү
C.Системаның үҙ хәбәрҙәре менән файҙаланған һәм шуға күрә һаҡланып булмай торған һөжүм
D.Һөжүм итеүсе әсирлеккә эләккән хәбәрҙе кире ҡаға, ә сайт уны ҡабул итә һәм һөжүм итеүсе файҙаһына яуап бирә",D,"Репетиция һөжүме (Replay Attack) - был D вариантына тап килә: ""Һөжүм итеүсе әсирлеккә эләккән хәбәрҙе кире ҡаға, ә сайт уны ҡабул итә һәм һөжүм итеүсе файҙаһына яуап бирә"". 

Бындай һөжүмдә һөжүм итеүсе элекке законлы транзакцияны йәки хәбәрҙе ҡабатлай йәки үҙгәртеп ебәрә, һөҙөмтәлә система уны ҡабул итә һәм һөжүм итеүсе файҙаһына эш итә.",D
"Бер илдә конкуренцияға башҡа илдәрҙәге конкуренция ниндәй кимәлдә йоғонто яһай, тигән термин ниндәй?
A.Халыҡ-ара сауҙа
B.Глобаль иҡтисад
C.Глобаль конкуренция
D.Глобалләшеү",D,"Дөрөҫ яуап: C. Глобаль конкуренция

Глобаль конкуренция — был термин бер илдәге конкуренцияның башҡа илдәрҙәге конкуренцияға йоғонто яһауын аңлата. Глобаль конкуренция шарттарында компаниялар һәм илдәр үҙҙәренең продукцияларын һәм хеҙмәттәрен донъя баҙарында тәҡдим итәләр, һәм был уларҙың конкурентлыҡ кимәлен билдәләй.",C
