Question,CorrectAnswer,GivenAnswer,Correct
"Quin és l'idioma oficial dels Països Baixos?
A.Danès
B.Suec
C.Alemany
D.Holandès",D,"D. Holandès

L'idioma oficial dels Països Baixos és l'holandès.",D
"Quina és la llengua materna de l'actor Antonio Banderas?
A.Espanyol
B.Rus
C.Alemany
D.Francès",A,A. Espanyol,A
"En quin estat es troba el plató de la pel·lícula de 1999 Magnolia?
A.Califòrnia
B.Carolina del Sud
C.Geòrgia
D.Texas",A,"El plató de la pel·lícula ""Magnolia"" de 1999 es troba a Califòrnia. La pel·lícula va ser rodada principalment a Los Angeles, Califòrnia.",A
"L'energia alliberada de la descomposició dels fosfats d'alta energia, ATP i fosfocreatina, pot mantenir l'exercici d'esforç màxim durant aproximadament :
A.1-2 segons.
B.5-10 segons.
C.30-40 segons.
D.50-60 segons.",B,"L'energia alliberada de la descomposició dels fosfats d'alta energia, com l'ATP i la fosfocreatina, pot mantenir l'exercici d'esforç màxim durant aproximadament:

B. 5-10 segons.

Aquest sistema energètic és conegut com el sistema de fosfocreatina o sistema ATP-PCr, i és el principal responsable de proporcionar energia per a activitats de curta durada i alta intensitat, com ara esprints o aixecament de peses.",B
"Quins dels següents països van emetre més CO2 per càpita el 2017?
A.El Japó
B.Canadà
C.Rússia
D.L'Iran",B,"El 2017, dels països esmentats, Canadà va emetre més CO2 per càpita. Canadà té una de les taxes d'emissions de CO2 per càpita més altes del món, degut en part a la seva gran indústria energètica i a l'ús extensiu de combustibles fòssils.",B
"La validació creuada de K-fold és
A.lineal en K
B.quadràtic en K
C.cúbic en K
D.exponencial en K",A,"La validació creuada de K-fold és lineal en K. Això significa que el temps de càlcul augmenta de manera lineal amb el nombre de folds K. Per cada fold, el model s'entrena K vegades, cadascuna amb una partició diferent del conjunt de dades, i després es valida amb la partició restant. Per tant, la complexitat temporal és proporcional a K.

Per tant, la resposta correcta és:
A. lineal en K",A
"És probable que la indefensió apresa estigui directament relacionada amb
A.l'efecte Barnum.
B.Biaix egoista.
C.un locus extern de control.
D.Consideració positiva incondicional.",C,"La resposta correcta és:

C. un locus extern de control.

La indefensió apresa és un estat psicològic en què una persona creu que no té control sobre els esdeveniments que li succeeixen, sovint com a resultat d'experiències repetides de fracàs o impotència. Aquest estat està directament relacionat amb un locus extern de control, que és la creença que els esdeveniments de la vida són controlats per factors externs més que per les pròpies accions o decisions.",C
"L'autocorrelació residual negativa s'indica amb quina de les següents?
A.Un patró cíclic en els residus
B.Un patró altern en els residus
C.Una aleatorietat completa en els residus
D.Residus que són tots propers a zero",B,"L'autocorrelació residual negativa s'indica amb:

B. Un patró altern en els residus

Quan hi ha autocorrelació residual negativa, els residus tendeixen a alternar-se entre valors positius i negatius, mostrant un patró altern. Això significa que un residu positiu és seguit per un residu negatiu i viceversa, suggerint que hi ha una dependència negativa entre els errors successius.",B
"Quina perspectiva psicològica va ser més popular al tombant del segle XX a Europa occidental?
A.Neurociència
B.evolutiu
C.Conductista
D.Psicoanalítica",D,"La perspectiva psicològica que va ser més popular al tombant del segle XX a Europa occidental va ser la **D. Psicoanalítica**. Aquesta perspectiva, desenvolupada per Sigmund Freud, va tenir una gran influència en la psicologia i la cultura de l'època. Freud va introduir conceptes com l'inconscient, els mecanismes de defensa i la importància de les experiències infantils en el desenvolupament de la personalitat, que van tenir un impacte profund en la comprensió de la ment humana.",D
"L'homicidi il·legítim comès pel ministre del país X a l'estranger és un acte jure imperii o jure gestionis?
A.Aquesta conducta és un acte públic (jure imperii)
B.Aquesta conducta mai atrau immunitat
C.Aquesta conducta és un acte privat (jure gestionis)
D.Aquesta conducta és un acte públic, però està blindada per la immunitat",C,"L'homicidi il·legítim comès pel ministre del país X a l'estranger no es considera un acte jure imperii (acte públic) ni jure gestionis (acte privat) en el context del dret internacional. En general, els actes il·legítims, com ara un homicidi, no es consideren actes oficials de l'Estat que podrien estar protegits per la immunitat sobirana.

Per tant, la resposta correcta seria:

B. Aquesta conducta mai atrau immunitat

Els actes il·legítims, especialment els que violen drets humans fonamentals, no solen estar protegits per la immunitat sobirana, ja que no es consideren actes oficials de l'Estat.",B
