Question,CorrectAnswer,GivenAnswer,Correct
"Jaký je rodný jazyk herce Antonia Banderase?
A.Španělština
B.Ruština
C.Němčina
D.Francouzština",A,A. Španělština,A
"Jaký je úřední jazyk Nizozemska?
A.Dánština
B.Švédština
C.Němčina
D.Holandština",D,"D. Holandština

Úředním jazykem Nizozemska je holandština.",D
"V jakém stavu se odehrává film Magnolia z roku 1999?
A.Kalifornský
B.Jižní Karolína
C.Gruzie
D.Texas",A,"Film ""Magnolia"" z roku 1999 se odehrává v Kalifornii. Takže správná odpověď je A. Kalifornský.",A
"Která z následujících možností indikuje negativní reziduální autokorelaci?
A.Cyklický vzorec v reziduích
B.Střídající se vzor v reziduích
C.Naprostá náhodnost v reziduích
D.Rezidua, která se všechna blíží nule",B,"Negativní reziduální autokorelace znamená, že kladné a záporné hodnoty reziduí mají tendenci se střídat. To znamená, že kladné reziduum je často následováno záporným reziduem a naopak. Tento vzorec je charakteristický pro negativní autokorelaci.

Proto správná odpověď je:
B. Střídající se vzor v reziduích",B
"Podniky se zapojují do sociálního účetnictví kvůli požadavkům _________, aby identifikovaly ________, zlepšily ___________ a podpořily _________ a ___________
A.Stakeholdeři, rizika, řízení zainteresovaných stran, odpovědnost, transparentnost
B.Stakeholdeři, odpovědnost, transparentnost, rizika, řízení zainteresovaných stran
C.Stakeholdeři, odpovědnost, rizika, stakeholdeři, management stakeholderů
D.Stakeholdeři, řízení zainteresovaných stran, transparentnost, rizika, odpovědnost",A,"A. Stakeholdeři, rizika, řízení zainteresovaných stran, odpovědnost, transparentnost

Podniky se zapojují do sociálního účetnictví kvůli požadavkům stakeholderů, aby identifikovaly rizika, zlepšily řízení zainteresovaných stran a podpořily odpovědnost a transparentnost.",A
"Která z následujících zemí vypouštěla v roce 2017 nejvíce CO2 na obyvatele?
A.Japonsko
B.Kanada
C.Rusko
D.Írán",B,"V roce 2017 byla z uvedených zemí zemí s nejvyššími emisemi CO2 na obyvatele Kanada. Kanada má relativně vysoké emise CO2 na obyvatele kvůli své energeticky náročné ekonomice, která zahrnuje těžbu ropy a zemního plynu, a také kvůli chladnému klimatu, které zvyšuje spotřebu energie na vytápění.",B
"K-násobné křížové ověřování je
A.lineární v K
B.kvadratická v K
C.krychlový v K
D.Exponenciála v K",A,"K-násobné křížové ověřování (K-fold cross-validation) je lineární v K. To znamená, že časová a výpočetní složitost tohoto postupu roste lineárně s počtem K, tedy s počtem dělení dat na trénovací a testovací sady.

Odpověď je tedy:
A. lineární v K",A
"Pokud je v sériovém obvodu proud v jedné lampě 2 A, proud v lampě vedle ní je
A.polovina, 1 A
B.2:00
C.Záleží na tom, která lampa je blíže k baterii
D.Nedostatek informací, které by se daly říct",B,"V sériovém obvodu je proud stejný ve všech prvcích obvodu, protože proud nemá žádné větve, do kterých by se mohl rozdělit. To znamená, že pokud je proud v jedné lampě 2 A, proud v lampě vedle ní bude také 2 A.

Správná odpověď je tedy:
B. 2:00",B
"Která psychologická perspektiva byla na přelomu 19. a 20. století v západní Evropě nejpopulárnější?
A.vědy zkoumající neurony
B.evoluční
C.behaviorista
D.psychoanalytický",D,"Na přelomu 19. a 20. století byla v západní Evropě nejpopulárnější psychologická perspektiva D. psychoanalytická. Tuto perspektivu založil Sigmund Freud, který se zaměřoval na zkoumání nevědomí, snů a vnitřních konfliktů. Psychoanalýza měla významný vliv na psychologii a kulturu té doby.",D
"Co je to útok přehráním?
A.Když útočník odpoví na zprávu, kterou mu poslal systém
B.Útok, který se neustále opakuje a hledá slabinu
C.Útok, který využívá vlastní zprávy systému, a proto se proti němu nelze bránit
D.Útočník znovu odešle zachycenou zprávu a web ji přijme a odpoví ve prospěch útočníka",D,"Útok přehráním (replay attack) je typ útoku, při kterém útočník zachytí platnou zprávu nebo datový přenos a následně ji znovu odešle, aby získal neoprávněný přístup nebo výhody. Správná odpověď je tedy:

D. Útočník znovu odešle zachycenou zprávu a web ji přijme a odpoví ve prospěch útočníka.",D
"Energie uvolněná rozkladem vysokoenergetických fosfátů, ATP a kreatinfosfátu, může udržet maximální námahu po dobu přibližně:
A.1-2 sekundy.
B.5-10 sekund.
C.30-40 sekund.
D.50-60 sekund.",B,"Energie uvolněná rozkladem vysokoenergetických fosfátů, jako jsou ATP a kreatinfosfát, může udržet maximální námahu po dobu přibližně:

B. 5-10 sekund.

Tento časový interval odpovídá schopnosti těla využívat rychle dostupné energetické zásoby pro krátkodobé, intenzivní fyzické aktivity, jako je sprint nebo vzpírání.",B
