Question,CorrectAnswer,GivenAnswer,Correct
"Hvad er det officielle sprog i Holland?
A.Dansk
B.Svensk
C.Tysk
D.Nederlandsk",D,"D. Nederlandsk

Det officielle sprog i Holland (også kendt som Nederlandene) er nederlandsk.",D
"Hvad er skuespiller Antonio Banderas modersmål?
A.Spansk
B.Russisk
C.Tysk
D.Fransk",A,"A. Spansk

Antonio Banderas er født i Málaga, Spanien, og hans modersmål er spansk.",A
"I hvilken tilstand foregår filmen Magnolia 'fra 1999?
A.Californien
B.Syd Carolina
C.Georgien
D.Texas",A,"A. Californien

Filmen ""Magnolia"" fra 1999 foregår i Californien, specifikt i San Fernando Valley-området i Los Angeles.",A
"Virksomheder engagerer sig i sociale regnskaber på grund af krav fra _________ for at identificere ________, forbedre ___________ og tilskynde til _________ og ___________
A.Interessenter, Risici, Interessentstyring, Ansvarlighed, Gennemsigtighed
B.Interessenter, Ansvarlighed, Gennemsigtighed, Risici, Interessenthåndtering
C.Interessenter, Ansvarlighed, Risici, Interessenter, Stakeholder Management
D.Interessenter, Interessentstyring, Gennemsigtighed, Risici, Ansvarlighed",A,"A. Interessenter, Risici, Interessentstyring, Ansvarlighed, Gennemsigtighed

Virksomheder engagerer sig i sociale regnskaber på grund af krav fra interessenter for at identificere risici, forbedre interessentstyring og tilskynde til ansvarlighed og gennemsigtighed.",A
"Hvilke af disse retter er lavet af svinetarm?
A.haggis
B.Chitliner
C.gryn
D.Hak Suey",B,"B. Chitliner

Chitliner, også kendt som chitterlings, er retter lavet af svinetarm. Haggis (A) er en skotsk ret lavet af fåreindvolde, gryn (C) er en ret lavet af korn, og Hak Suey (D) er ikke en kendt ret i denne sammenhæng.",B
"Hvilket af følgende lande udledte mest CO2 pr. indbygger i 2017?
A.Japan
B.Canada
C.Rusland
D.Iran",B,"I 2017 var Canada det land blandt de nævnte, der udledte mest CO2 pr. indbygger. Canada har generelt haft en høj CO2-udledning pr. indbygger sammenlignet med mange andre lande, hvilket skyldes en kombination af faktorer som energiforbrug, industri og transport.",B
"Hvilket psykologisk perspektiv var mest populært ved begyndelsen af det tyvende århundrede i Vesteuropa?
A.neurovidenskab
B.evolutionær
C.Behaviorist
D.Psykoanalytisk",D,"D. Psykoanalytisk

Ved begyndelsen af det tyvende århundrede var det psykoanalytiske perspektiv, grundlagt af Sigmund Freud, det mest populære i Vesteuropa. Freuds teorier om det ubevidste sind, drømmeanalyse og barndommens indflydelse på voksenlivet havde stor indflydelse på psykologien i denne periode.",D
"I et seriekredsløb, hvis strømmen i en lampe er 2 A, er strømmen i lampen ved siden af den
A.halvdelen, 1 A
B.02:00
C.Afhænger af hvilken lampe der er tættere på batteriet
D.Ikke nok information til at sige",B,"I et seriekredsløb er strømmen den samme gennem alle komponenter, fordi der kun er én sti for strømmen at flyde igennem. Derfor, hvis strømmen i en lampe er 2 A, vil strømmen i lampen ved siden af den også være 2 A.

Så det korrekte svar er:
B. 2 A",B
"Negativ resterende autokorrelation er angivet med hvilket af følgende?
A.Et cyklisk mønster i resterne
B.Et vekslende mønster i resterne
C.En fuldstændig tilfældighed i resterne
D.Rester, der alle er tæt på nul",B,"Negativ resterende autokorrelation er angivet med hvilket af følgende?

B. Et vekslende mønster i resterne

Negativ autokorrelation betyder, at en positiv fejl i en periode sandsynligvis vil blive efterfulgt af en negativ fejl i den næste periode, og omvendt. Dette skaber et vekslende mønster i resterne.",B
"Midaldrende voksne synes at være mere ____ end ældre eller yngre voksne
A.Generative
B.Neurotisk
C.Behagelig
D.Sikker",A,"A. Generative

Midaldrende voksne synes at være mere generative end ældre eller yngre voksne. Generativitet refererer til en bekymring for at etablere og vejlede den næste generation, hvilket ofte manifesterer sig i midalderen som et ønske om at bidrage til samfundet og hjælpe yngre mennesker med at vokse og udvikle sig.",A
"Noget af Mars' vand er frosset i jorden og iskapperne, og noget gik tabt på grund af solvindens stripping, men meget af det oprindelige vand menes at være gået tabt gennem en anden mekanisme. Hvad skete der med dette ""tabte"" vand?
A.Det blev fjernet af magnetfeltet, da det hurtigt faldt i styrke
B.Det blev brudt ind i brint og ilt af ultraviolet lys, og brinten gik tabt gennem termisk flugt
C.det blev fortæret af en civilisation af tørstige marsmænd
D.Det blev fordampet i en periode med intens vulkanisme og gik tabt for rummet gennem termisk flugt",B,"B. Det blev brudt ind i brint og ilt af ultraviolet lys, og brinten gik tabt gennem termisk flugt.

Denne proces, kendt som fotodissociation, sker, når ultraviolet lys fra Solen bryder vandmolekyler (H₂O) op i brint (H) og ilt (O). Brint, som er meget let, kan derefter undslippe Mars' tynde atmosfære gennem en proces kaldet termisk flugt. Dette har bidraget til tabet af en betydelig mængde af Mars' oprindelige vand.",B
