Question,CorrectAnswer,GivenAnswer,Correct
"What is actor Antonio Banderas native language?
A.Spanish
B.Russian
C.German
D.French",A,A. Spanish,A
"What is the official language of The Netherlands?
A.Danish
B.Swedish
C.German
D.Dutch",D,"D. Dutch

The official language of The Netherlands is Dutch.",D
"In what state is the 1999 movie Magnolia' set?
A.California
B.South Carolina
C.Georgia
D.Texas",A,"A. California

The 1999 movie ""Magnolia,"" directed by Paul Thomas Anderson, is set in the San Fernando Valley in California.",A
"Businesses engage in social accounting due to demands from _________, in order to identify ________, to improve ___________ and to encourage _________ and ___________
A.Stakeholders, Risks, Stakeholder management, Accountability, Transparency
B.Stakeholders, Accountability, Transparency, Risks, Stakeholder Management
C.Stakeholders, Accountability, Risks, Stakeholders, Stakeholder Management
D.Stakeholders, Stakeholder Management, Transparency, Risks, Accountability",A,"A. Stakeholders, Risks, Stakeholder management, Accountability, Transparency

Businesses engage in social accounting due to demands from stakeholders, in order to identify risks, to improve stakeholder management, and to encourage accountability and transparency.",A
"Which psychological perspective was most popular at the turn of the twentieth century in Western Europe?
A.neuroscience
B.evolutionary
C.behaviorist
D.psychoanalytic",D,"D. psychoanalytic

At the turn of the twentieth century, the psychoanalytic perspective, founded by Sigmund Freud, was the most popular in Western Europe. Freud's theories on the unconscious mind, the structure of personality, and the importance of early childhood experiences had a significant influence on psychology during that period.",D
"Which of the following countries emitted the most CO2 per capita in 2017?
A.Japan
B.Canada
C.Russia
D.Iran",B,"In 2017, among the countries listed, Canada emitted the most CO2 per capita. Canada has a relatively high per capita CO2 emission rate due to its energy-intensive industries, large geographic area requiring significant transportation, and a colder climate that demands more energy for heating.",B
"Which of these horror films spawned the most sequels?
A.Scream'
B.Jaws'
C.Halloween'
D.Friday the 13th'",D,"D. **Friday the 13th**

The ""Friday the 13th"" franchise has spawned numerous sequels, spin-offs, and a crossover with the ""A Nightmare on Elm Street"" series, making it one of the most prolific horror franchises in terms of the number of films.",D
"Learned helplessness is most likely to be directly related to
A.the Barnum effect.
B.self-serving bias.
C.an external locus of control.
D.unconditional positive regard.",C,"C. an external locus of control.

Learned helplessness is a condition in which a person feels unable to control or change a situation, often due to repeated exposure to uncontrollable events. This feeling of powerlessness is closely related to having an external locus of control, where individuals believe that their outcomes are determined by external factors rather than their own actions.",C
"Which of these dishes is made from pig intestines?
A.haggis
B.chitlins
C.grits
D.chop suey",B,"B. Chitlins

Chitlins, also known as chitterlings, are made from the intestines of a pig. Haggis is a Scottish dish made from sheep's offal, grits are a type of ground corn, and chop suey is an American-Chinese dish typically made with meat and vegetables.",B
"Negative residual autocorrelation is indicated by which one of the following?
A.A cyclical pattern in the residuals
B.An alternating pattern in the residuals
C.A complete randomness in the residuals
D.Residuals that are all close to zero",B,"B. An alternating pattern in the residuals

Negative residual autocorrelation is typically indicated by an alternating pattern in the residuals. This means that positive residuals are often followed by negative residuals and vice versa, suggesting a negative correlation between consecutive residuals.",B
"This question refers to the following information.
""Indeed, as both the fatwas of distinguished [scholars] who base their opinion on reason and tradition alike and the consensus of the Sunni community agree that the ancient obligation of extirpation, extermination, and expulsion of evil innovation must be the aim of our exalted aspiration, for ""Religious zeal is a victory for the Faith of God the Beneficent""; then, in accordance with the words of the Prophet (Peace upon him!) ""Whosoever introduces evil innovation into our order must be expelled"" and ""Whosoever does aught against our order must be expelled,"" action has become necessary and exigent…""
Letter from Ottoman Sultan Selim I to Safavid Shah Ismail I, 1514
The Safavids drew the ire of Islamic empires such as the Ottoman and the Mughal Empires primarily because the Safavids
A.were an expansionist empire geographically located between two other expansionists
B.rejected the central tenets of Islam
C.enslaved Christians, and turned them into Safavid fighters
D.Ismail proclaimed himself to be a Caliph",A,"A. were an expansionist empire geographically located between two other expansionists

The Safavids drew the ire of the Ottoman and Mughal Empires primarily because they were an expansionist empire situated between these two other expansionist powers. This geographical positioning led to territorial conflicts and power struggles. Additionally, the Safavids' promotion of Shia Islam in contrast to the Sunni Islam of the Ottomans and Mughals further exacerbated tensions.",A
"Which of the following factors would be considered a ""pull"" factor for Riva when considering a move from India to the United States?
A.Abject poverty
B.Better job and higher wages
C.India's caste system
D.Violence in her neighborhood",B,"B. Better job and higher wages

""Pull"" factors are positive aspects or opportunities in a new location that attract individuals to move there. In this case, better job opportunities and higher wages in the United States would be considered a pull factor for Riva. The other options (A, C, and D) are ""push"" factors, which are negative conditions in the current location that drive individuals to leave.",B
"What is the term for the extent to which competition in one country is influenced by competition in other countries?
A.International trade
B.Global economics
C.Global competition
D.Globalisation",D,"C. Global competition

Global competition refers to the extent to which businesses and industries in one country are influenced by and compete with businesses and industries in other countries. This concept encompasses the competitive dynamics that arise from the interconnectedness of markets and economies on a global scale.",C
"A tax imposed on a supplier will more likely be passed on to the consumer in the form of price increase if
A.price elasticity of demand is highly elastic.
B.price elasticity of demand is highly inelastic.
C.price elasticity of demand is unit elastic.
D.wage elasticity of demand is highly elastic.",B,"B. price elasticity of demand is highly inelastic.

When the price elasticity of demand is highly inelastic, consumers are less sensitive to price changes. This means that even if the price increases, the quantity demanded does not decrease significantly. As a result, suppliers are more likely to pass on the tax to consumers in the form of higher prices because the reduction in quantity demanded will be relatively small.",B
"What is a replay attack?
A.When the attacker replies to a message sent to it by the system
B.An attack that continuously repeats, probing for a weakness
C.An attack that uses the system's own messages and so cannot be defended against
D.The attacker resends a captured message, and the site accept its and responds in the attacker's favor",D,"D. The attacker resends a captured message, and the site accepts it and responds in the attacker's favor.

A replay attack involves intercepting and capturing a valid data transmission, then fraudulently delaying or resending it to trick the recipient into performing an action again. This type of attack exploits the fact that the system may not be able to distinguish between the original transmission and the replayed one.",D
"Middle-aged adults appear to be more ____ than older or younger adults
A.Generative
B.Neurotic
C.Agreeable
D.Certain",A,"A. Generative

Middle-aged adults are often considered to be more generative than older or younger adults. Generativity refers to the concern for establishing and guiding the next generation, which is a key aspect of Erik Erikson's theory of psychosocial development. This stage, typically occurring during middle adulthood, involves contributing to society and helping to shape future generations through activities such as parenting, mentoring, and community involvement.",A
" This marketing and communication tool offers a direct inducement or an incentive to encourage customers to buy a product/service:
A.Advertising.
B.Public relations.
C.Sales promotion.
D.Direct marketing.",C,"C. Sales promotion.

Sales promotion involves offering direct inducements or incentives, such as discounts, coupons, contests, or free samples, to encourage customers to purchase a product or service. This tool is designed to stimulate immediate sales and can be very effective in driving short-term customer behavior.",C
"Mutations that cause achondroplasia exert an effect which can be classified as:
A.dominant negative.
B.gain-of-function.
C.haploinsufficiency.
D.loss-of-function.",B,"B. gain-of-function.

Achondroplasia is caused by mutations in the FGFR3 gene, which result in the receptor being overly active. This increased activity inhibits bone growth, leading to the characteristic features of the condition. This type of mutation is classified as a gain-of-function mutation because the mutated gene product has increased or new activity.",B
"K-fold cross-validation is
A.linear in K
B.quadratic in K
C.cubic in K
D.exponential in K",A,"K-fold cross-validation is linear in K. 

In K-fold cross-validation, the dataset is divided into K equally sized folds. The model is trained K times, each time using K-1 folds for training and the remaining fold for validation. The computational complexity of this process scales linearly with the number of folds, K, because the model is trained and evaluated K times. Therefore, the correct answer is:

A. linear in K",A
"The fallacy of laudatory personality is a specific type of
A.The fallacy of accident
B.False dilemma
C.Begging the question
D.Circular reasoning",A,"The fallacy of laudatory personality is a specific type of **A. The fallacy of accident**.

The fallacy of accident, also known as a hasty generalization, occurs when a general rule is applied to a specific case it was not intended to cover. In the context of the laudatory personality fallacy, it involves making a generalization about someone's character based on specific, often irrelevant, positive traits or actions, and then using that generalization to support an argument.",A
"The energy released from the breakdown of the high-energy phosphates, ATP and phosphocreatine, can sustain maximal exertion exercise for about:
A.1-2 seconds.
B.5-10 seconds.
C.30-40 seconds.
D.50-60 seconds.",B,"The energy released from the breakdown of high-energy phosphates, such as ATP and phosphocreatine, can sustain maximal exertion exercise for about:

B. 5-10 seconds.

This is because the phosphagen system, which includes ATP and phosphocreatine, provides immediate energy for high-intensity, short-duration activities but is quickly depleted.",B
"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
The poem provides evidence of which of the following with respect to gender relations in Tang society?
A.Confucian relationships between husband and wife were still strong in Tang society.
B.Imperial rescripts emphasized the birth of able sons over daughters to fulfill conscription quotas.
C.Agricultural work could be shared by women and men alike.
D.Traditional Chinese gender relations were reversed during the reign of Empress Wu Zetian.",C,"C. Agricultural work could be shared by women and men alike.

The poem highlights the difficult circumstances faced by families due to continuous conscription of men for military service. It mentions that even if wives are strong enough to handle a hoe and plow, the fields are still in disarray, indicating that women were involved in agricultural work, especially in the absence of men. This suggests that agricultural work could be shared by women and men alike in Tang society.",C
"Which of the following is most likely to produce stronger economic growth over time?
A.More rapid consumption of natural resources.
B.Higher adult illiteracy rates.
C.A falling stock of capital goods.
D.Investment tax credits.",D,"D. Investment tax credits.

Investment tax credits can incentivize businesses to invest in new equipment, technology, and infrastructure. These investments can enhance productivity, create jobs, and stimulate economic growth. By encouraging capital formation, investment tax credits can lead to a more robust and sustainable economic expansion over time.

In contrast:
- More rapid consumption of natural resources (A) can lead to depletion and environmental degradation, which may harm long-term economic growth.
- Higher adult illiteracy rates (B) can reduce the overall skill level of the workforce, limiting productivity and innovation.
- A falling stock of capital goods (C) indicates a reduction in the tools and machinery available for production, which can hinder economic growth.",D
"A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.
A.They will be unable to breathe without life support.
B.They will only be able to breathe quietly.
C.It is impossible to predict an effect on breathing.
D.Breathing will be unaffected.",B,"B. They will only be able to breathe quietly.

Damage to the spinal cord at the level of the sixth cervical vertebra (C6) can affect the nerves that control the muscles involved in breathing. The diaphragm, which is the primary muscle responsible for breathing, is innervated by the phrenic nerve that originates from the C3 to C5 spinal nerves. Therefore, if the injury is at C6, the diaphragm may still function, allowing for quiet breathing. However, the intercostal muscles (which assist with deeper breaths and coughing) are innervated by the thoracic spinal nerves, and these may be compromised, limiting the ability to take deep breaths or cough effectively.",B
"Why does Parfit oppose equality?
A.He argues than an unequal society is inevitable.
B.He claims that by giving priority to the needs of the poor, we can increase equality.
C.He asserts that we are each responsible for our poverty.
D.He rejects the idea of equality altogether.",B,"Derek Parfit's opposition to equality is nuanced and doesn't fit neatly into any of the options provided. However, the closest answer to his philosophical stance would be:

B. He claims that by giving priority to the needs of the poor, we can increase equality.

Parfit is known for his work on the ""Priority View,"" which suggests that benefiting people matters more the worse off those people are. This view does not reject equality altogether but rather shifts the focus from achieving strict equality to prioritizing improvements in the well-being of the worst-off. This approach can lead to greater equality as a byproduct, but it is not driven by a strict egalitarian principle. Instead, it emphasizes the moral importance of helping those who are less well-off.",B
"Compared with political parties in countries such as England and Israel, both of which have multiparty systems, American political parties are
A.less interested in influencing the outcome of elections
B.less clearly identified with consistent political ideologies
C.less effective at raising money from political supporters
D.better able to reflect the goals of their entire constituencies",B,"B. less clearly identified with consistent political ideologies

In the United States, the political landscape is dominated by two major parties: the Democratic Party and the Republican Party. These parties tend to encompass a broad range of views and interests, which can sometimes make their political ideologies less consistent compared to parties in multiparty systems like those in England and Israel. In multiparty systems, parties often represent more specific ideologies or interest groups, leading to a clearer and more consistent identification with particular political ideologies.",B
"This question refers to the following information.
First we must remark that the cosmos is spherical in form, partly because this form being a perfect whole requiring no joints, is the most complete of all, partly because it makes the most capacious form, which is best suited to contain and preserve everything; or again because all the constituent parts of the universe, that is the sun, moon and the planets appear in this form; or because everything strives to attain this form, as appears in the case of drops of water and other fluid bodies if they attempt to define themselves. So no one will doubt that this form belongs to the heavenly bodies. …
That the earth is also spherical is therefore beyond question, because it presses from all sides upon its center. Although by reason of the elevations of the mountains and the depressions of the valleys a perfect circle cannot be understood, yet this does not affect the general spherical nature of the earth. …
As it has been already shown that the earth has the form of a sphere, we must consider whether a movement also coincides with this form, and what place the earth holds in the universe. … The great majority of authors of course agree that the earth stands still in the center of the universe, and consider it inconceivable and ridiculous to suppose the opposite. But if the matter is carefully weighed, it will be seen that the question is not yet settled and therefore by no means to be regarded lightly. Every change of place which is observed is due, namely, to a movement of the observed object or of the observer, or to movements of both. … Now it is from the earth that the revolution of the heavens is observed and it is produced for our eyes. Therefore if the earth undergoes no movement this movement must take place in everything outside of the earth, but in the opposite direction than if everything on the earth moved, and of this kind is the daily revolution. So this appears to affect the whole universe, that is, everything outside the earth with the single exception of the earth itself. If, however, one should admit that this movement was not peculiar to the heavens, but that the earth revolved from west to east, and if this was carefully considered in regard to the apparent rising and setting of the sun, the moon and the stars, it would be discovered that this was the real situation.""
Nicolas Copernicus, The Revolutions of the Heavenly Bodies, 1543
The passage may be used as evidence that Copernicus differed from the traditional, Aristotelian natural philosophers of his day because he suggested that
A.the cosmos is spherical
B.the Earth is spherical
C.the cosmos is geostatic
D.the Earth is not stationary",D,"D. the Earth is not stationary

The passage indicates that Copernicus differed from the traditional, Aristotelian natural philosophers of his day by suggesting that the Earth is not stationary. While traditional views held that the Earth was the center of the universe and did not move, Copernicus proposed that the Earth itself might be in motion, specifically revolving from west to east. This idea was revolutionary and contrasted sharply with the geocentric model that dominated the thinking of his time.",D
"A programmer wrote the program below. The program uses a list of numbers called numList. The program is intended to display the sum of the numbers in the list.
 sum ← numList [1]
 FOR EACH value IN numList
 sum ← sum + value
 DISPLAY sum
 In order to test the program, the programmer initializes numList to [0 , 1 , 4 , 5]. The program displays 10, and the programmer concludes that the program works as intended. Which of the following is true?
A.The conclusion is correct; the program works as intended.
B.The conclusion is incorrect; the program does not display the correct value for the test case [0, 1, 4, 5].
C.The conclusion is incorrect; using the test case [0, 1, 4, 5] is not sufficient to conclude the program is correct.
D.The conclusion is incorrect; using the test case [0, 1, 4, 5] only confirms that the program works for lists in increasing order.",C,"C. The conclusion is incorrect; using the test case [0, 1, 4, 5] is not sufficient to conclude the program is correct.

Explanation:
While the program does display the correct sum for the test case [0, 1, 4, 5], this single test case is not sufficient to conclude that the program works as intended for all possible inputs. The program should be tested with a variety of test cases, including edge cases such as an empty list, a list with negative numbers, a list with all zeros, and lists in different orders, to ensure it handles all scenarios correctly. Additionally, there is a logical error in the program: the initial assignment `sum ← numList [1]` should be `sum ← 0` to correctly initialize the sum to zero before the loop starts.",C
"This question refers to the following information.
""The seeds of totalitarian regimes are nurtured by misery and want. They spread and grow in the evil soil of poverty and strife. They reach their full growth when the hope of a people for a better life has died. We must keep that hope alive. . . . Great responsibilities have been placed upon us by the swift movement of events. . . . I am confident that the Congress will face these responsibilities squarely.""
�President Harry S. Truman, 1947
The ideas expressed in the passage above most directly reflect which of the following continuities in U.S. history?
A.Debates about the relationship between Congress and the president.
B.Debates about the use of military force in volatile situations.
C.Debates about the role of the United States in world affairs.
D.Debates about the proper role of political parties.",C,"C. Debates about the role of the United States in world affairs.

The passage from President Harry S. Truman in 1947 reflects the United States' ongoing debate about its role in global affairs, particularly in the context of the early Cold War period. Truman's speech emphasizes the need for the U.S. to take responsibility in preventing the spread of totalitarian regimes, which aligns with the broader historical debate about whether the U.S. should adopt an interventionist or isolationist stance in international matters. This continuity in U.S. history involves discussions on how actively the country should engage in global politics, support other nations, and promote democracy and stability worldwide.",C
"Some of Mars'water is frozen in the soil and the ice caps and some was lost due to solar wind stripping but much of the original water is thought to have been lost through another mechanism. What happened to this ""lost""water?
A.it was stripped away by the magnetic field when it rapidly decreased in strength
B.it was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape
C.it was consumed by a civilization of thirsty Martians
D.it was vaporized during a period of intense volcanism and was lost to space through thermal escape",B,"B. It was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape.

This process is known as photodissociation, where ultraviolet (UV) light from the Sun breaks down water molecules (H₂O) into hydrogen (H) and oxygen (O). The lighter hydrogen atoms then escape into space due to their high velocities, a process known as thermal escape. This mechanism is considered a significant factor in the loss of Mars' original water.",B
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is
A.half, 1 A
B.2:00 AM
C.Depends on which lamp is closer to the battery
D.Not enough information to say",B,"In a series circuit, the current is the same through all components because there is only one path for the current to flow. Therefore, if the current in one lamp is 2 A, the current in the lamp next to it is also 2 A.

So, the correct answer is:

B. 2:00 AM (interpreted as 2 A)",B
