Question,CorrectAnswer,GivenAnswer,Correct
"Millises seisus on 1999. aasta filmi ""Magnoolia"" võtted?
A.California
B.Lõuna-Carolina
C.Gruusia
D.Texas",A,"1999. aasta filmi ""Magnoolia"" võtted toimusid Californias. Seega on õige vastus A. California.",A
"Mis on Hollandi riigikeel?
A.Taani
B.Rootsi
C.Saksa
D.Hollandi",D,"D. Hollandi

Hollandi riigikeel on hollandi keel.",D
"Mis on näitleja Antonio Banderase emakeel?
A.Hispaania
B.Vene
C.Saksa
D.Prantsuse",A,"A. Hispaania

Antonio Banderas on pärit Hispaaniast ja tema emakeel on hispaania keel.",A
"Suure energiaga fosfaatide, ATP ja fosfokreatiini lagunemisel vabanev energia võib säilitada maksimaalse pingutuse umbes:
A.1-2 sekundit.
B.5-10 sekundit.
C.30-40 sekundit.
D.50-60 sekundit.",B,"Suure energiaga fosfaatide, nagu ATP ja fosfokreatiini, lagunemisel vabanev energia suudab säilitada maksimaalse pingutuse umbes 5-10 sekundit. Seega on õige vastus:

B. 5-10 sekundit.",B
"Millised järgmistest riikidest paiskasid 2017. aastal elaniku kohta kõige rohkem CO2 õhku?
A.Jaapan
B.Kanada
C.Venemaa
D.Iraan",B,"2017. aastal paiskasid elaniku kohta kõige rohkem CO2 õhku Kanada. Kanada on tuntud oma suure energiatarbimise ja külma kliima tõttu, mis nõuab rohkem kütmist, samuti on seal suur nafta- ja gaasitööstus. 

Jaapan, Venemaa ja Iraan on samuti suured CO2 heitkoguste tekitajad, kuid elaniku kohta arvestatuna jäävad nad alla Kanadale.",B
"Osa Marsi veest on külmunud pinnases ja jäämütsides ning osa läks kaduma päikesetuule eemaldamise tõttu, kuid arvatakse, et suur osa algsest veest on kadunud mõne muu mehhanismi kaudu. Mis juhtus selle ""kadunud"" veega?
A.magnetväli eemaldas selle, kui selle tugevus kiiresti vähenes
B.see purustati ultraviolettvalguse abil vesinikuks ja hapnikuks ning vesinik kadus termilise põgenemise tõttu
C.seda tarbis janunevate marslaste tsivilisatsioon
D.see aurustus intensiivse vulkaanilisuse perioodil ja kadus termilise põgenemise tõttu kosmosesse",B,"B. See purustati ultraviolettvalguse abil vesinikuks ja hapnikuks ning vesinik kadus termilise põgenemise tõttu.

Marsil toimus protsess, kus ultraviolettvalgus lagundas vee molekulid vesinikuks ja hapnikuks. Vesinik, olles kerge element, suutis kergesti põgeneda Marsi atmosfäärist kosmosesse termilise põgenemise tõttu. See on üks peamisi mehhanisme, mille kaudu suur osa Marsi algsest veest kadus.",B
"Mis on mõiste selle kohta, mil määral mõjutab konkurentsi ühes riigis konkurents teistes riikides?
A.Rahvusvaheline kaubandus
B.Globaalne majandus
C.Ülemaailmne konkurents
D.Üleilmastumine",D,"Õige vastus on C. Ülemaailmne konkurents.

Ülemaailmne konkurents viitab sellele, kuidas ettevõtted ja tööstusharud konkureerivad mitte ainult oma koduturul, vaid ka rahvusvahelisel tasandil. See mõiste hõlmab seda, mil määral mõjutab konkurents ühes riigis konkurentsi teistes riikides, kuna ettevõtted püüavad saavutada konkurentsieelist globaalsel turul.",C
"Ettevõtted tegelevad _________ nõudmiste tõttu sotsiaalse arvepidamisega, et teha kindlaks ________, parandada ___________ ning julgustada _________ ja ___________
A.Sidusrühmad, riskid, sidusrühmade juhtimine, vastutus, läbipaistvus
B.Sidusrühmad, vastutus, läbipaistvus, riskid, sidusrühmade juhtimine
C.Sidusrühmad, vastutus, riskid, sidusrühmad, sidusrühmade juhtimine
D.Sidusrühmad, sidusrühmade juhtimine, läbipaistvus, riskid, vastutus",A,"A.Sidusrühmad, riskid, sidusrühmade juhtimine, vastutus, läbipaistvus

Ettevõtted tegelevad sidusrühmade nõudmiste tõttu sotsiaalse arvepidamisega, et teha kindlaks riskid, parandada sidusrühmade juhtimist ning julgustada vastutust ja läbipaistvust.",A
"Milline psühholoogiline perspektiiv oli kahekümnenda sajandi vahetusel Lääne-Euroopas kõige populaarsem?
A.neuroteadus
B.evolutsiooniline
C.biheivioristlik
D.Psühhoanalüütiline",D,"Kahekümnenda sajandi vahetusel oli Lääne-Euroopas kõige populaarsem psühholoogiline perspektiiv D. psühhoanalüütiline. Sigmund Freudi teooriad ja meetodid, mis keskendusid teadvustamatule meelele, lapsepõlve kogemustele ja psühhoseksuaalsele arengule, olid sel ajal väga mõjukad ja levisid laialdaselt.",D
"Milline neist õudusfilmidest tekitas kõige rohkem järgesid?
A.Karje""
B.Lõuad""
C.Halloween""
D.Reede, 13.",D,"Kõige rohkem järgesid on tekitanud ""Halloween"". John Carpenteri 1978. aasta film ""Halloween"" on inspireerinud arvukalt järgesid, uusversioone ja taaskäivitusi, mis teeb sellest ühe kõige pikema ja järjepidevama õudusfilmide frantsiisi.",C
"Patsiendil on murtud kael, millel on seljaaju kahjustus kuuenda emakakaela selgroo tasemel.
A.Nad ei saa hingata ilma elutoetuseta.
B.Nad saavad hingata ainult vaikselt.
C.Hingamisele avalduvat mõju on võimatu ennustada.
D.Hingamist see ei mõjuta.",B,"A.Nad ei saa hingata ilma elutoetuseta.

Kui seljaaju on kahjustatud kuuenda emakakaela (C6) selgroo tasemel, võib see mõjutada hingamislihaseid, kuid üldiselt ei põhjusta see täielikku hingamisvõimetust. Tavaliselt on hingamislihased, nagu diafragma, mida innerveerib frenic närv (C3-C5), endiselt funktsionaalsed. Seega, kuigi hingamine võib olla nõrgenenud ja vajada mõningast toetust, ei ole see tavaliselt täielikult võimatu. Seega on õige vastus:

B.Nad saavad hingata ainult vaikselt.",B
