Question,CorrectAnswer,GivenAnswer,Correct
"زبان رسمی هلند چیست؟
A.دانمارکی
B.سوئدی
C.آلمانی
D.هلندی",D,"D. هلندی

زبان رسمی هلند، هلندی است.",D
"کسب و کارها به دلیل خواسته های _________، به منظور شناسایی ________، بهبود ___________ و تشویق _________ و ___________
A.ذینفعان، ریسک ها، مدیریت ذینفعان، پاسخگویی، شفافیت
B.ذینفعان، پاسخگویی، شفافیت، خطرات، مدیریت ذینفعان
C.ذینفعان، پاسخگویی، خطرات، ذینفعان، مدیریت ذینفعان
D.ذینفعان، مدیریت ذینفعان، شفافیت، خطرات، پاسخگویی",A,A. ذینفعان، ریسک ها، مدیریت ذینفعان، پاسخگویی، شفافیت,A
"زبان مادری انتونیو باندراس چیست؟
A.اسپانیایی
B.روسی
C.آلمانی
D.فرانسوی",A,زبان مادری آنتونیو باندراس (Antonio Banderas) اسپانیایی است. بنابراین گزینه صحیح A. اسپانیایی می‌باشد.,A
"کدام یک از این ظروف از روده خوک ساخته شده است؟
A.هاگیس
B.چیتلین
C.بلغور
D.چو چوی",B,گزینه B، چیتلین (Chitlins یا Chitterlings)، از روده خوک ساخته شده است. چیتلین‌ها در بسیاری از فرهنگ‌ها به عنوان یک غذای سنتی مصرف می‌شوند و معمولاً به خوبی تمیز و سپس پخته می‌شوند.,B
"کدام یک از کشورهای زیر بیشترین CO2 سرانه را در سال 2017 منتشر کرده اند؟
A.ژاپن
B.کانادا
C.روسیه
D.ایران",B,در سال 2017، کانادا بیشترین میزان انتشار CO2 سرانه را در میان کشورهای ذکر شده داشت. کانادا به دلیل مصرف بالای انرژی و استفاده از سوخت‌های فسیلی در صنایع و حمل و نقل، میزان بالایی از انتشار CO2 سرانه را به خود اختصاص داده است.,B
"اصطلاحی که تا چه حد رقابت در یک کشور تحت تاثیر رقابت در کشورهای دیگر است چیست؟
A.تجارت بین المللی
B.اقتصاد جهانی
C.رقابت جهانی
D.جهانی شدن",D,"اصطلاحی که به میزان تأثیر رقابت در یک کشور از رقابت در کشورهای دیگر اشاره دارد، ""رقابت جهانی"" (Global Competition) است. بنابراین، گزینه صحیح C. رقابت جهانی است.",C
" این ابزار بازاریابی و ارتباطی یک انگیزه مستقیم یا انگیزه ای برای تشویق مشتریان به خرید یک محصول / خدمات ارائه می دهد:
A.تبلیغات.
B.روابط عمومی
C.ارتقاء فروش.
D.بازاریابی مستقیم.",C,"پاسخ صحیح گزینه C. ارتقاء فروش است.

ارتقاء فروش شامل تکنیک‌ها و ابزارهایی است که به منظور تشویق مشتریان به خرید فوری یا افزایش فروش در کوتاه‌مدت استفاده می‌شود. این ابزارها می‌توانند شامل تخفیف‌ها، کوپن‌ها، نمونه‌های رایگان، مسابقات و جوایز باشند که به مشتریان انگیزه مستقیم برای خرید می‌دهند.",C
"انرژی ازاد شده از تجزیه فسفات های با انرژی بالا، ATP و فسفوکراتین، می تواند حداکثر ورزش را برای حدود:
A.1-2 ثانیه.
B.5-10 ثانیه
C.30-40 ثانیه.
D.50-60 ثانیه.",B,انرژی آزاد شده از تجزیه فسفات‌های با انرژی بالا مانند ATP و فسفوکراتین می‌تواند حداکثر ورزش را برای حدود 5-10 ثانیه تأمین کند. بنابراین، گزینه صحیح B. 5-10 ثانیه است.,B
"در یک مدار سری، اگر جریان در یک لامپ 2 A باشد، جریان در لامپ کنار ان است
A.نیمه، 1 A
B.2:00 صبح
C.بستگی به این دارد که کدام لامپ به باتری نزدیکتر است.
D.اطلاعات کافی برای گفتن ندارد",B,در یک مدار سری، جریان الکتریکی در تمام اجزای مدار یکسان است. بنابراین اگر جریان در یک لامپ 2 آمپر باشد، جریان در لامپ کنار آن نیز 2 آمپر خواهد بود. بنابراین پاسخ صحیح گزینه B است: 2:00 صبح.,B
"این سوال به اطلاعات زیر اشاره دارد.
در واقع، همانطور که فتواهای [دانشمندان برجسته] که نظر خود را بر اساس عقل و سنت به طور یکسان و اجماع جامعه سنی توافق دارند که تعهد باستانی نابودی، نابودی و اخراج نواوری شیطانی باید هدف ارمان متعالی ما باشد، زیرا شور و شوق مذهبی پیروزی برای ایمان خدای رحمان است». سپس، مطابق با سخنان پیامبر(ص) ""هر کسی که نواوری شیطانی را به نظم ما معرفی می کند باید اخراج شود"" و ""هر کسی که کاری علیه نظم ما انجام دهد باید اخراج شود""، اقدام ضروری و ضروری شده است.
نامه سلطان عثمانی سلیم یکم به شاه صفوی اسماعیل یکم، ۱۵۱۴
صفویان خشم امپراتوری های اسلامی مانند امپراتوری عثمانی و مغول را در درجه اول به این دلیل که صفویان
A.یک امپراتوری توسعه طلب بودند که از لحاظ جغرافیایی بین دو توسعه طلب دیگر قرار داشتند.
B.رد اصول مرکزی اسلام
C.مسیحیان را به بردگی گرفت و انها را به مبارزان صفوی تبدیل کرد
D.اسماعیل خود را خلیفه اعلام کرد",A,صفویان خشم امپراتوری‌های اسلامی مانند امپراتوری عثمانی و مغول را در درجه اول به این دلیل که صفویان اصول مرکزی اسلام را رد می‌کردند، برانگیختند. این موضوع به ویژه به دلیل اختلافات مذهبی بین صفویان شیعه و عثمانیان سنی بود. بنابراین، پاسخ صحیح گزینه B است: رد اصول مرکزی اسلام.,B
"فیلم ماگنولیا در سال 1999 در چه وضعیتی قرار دارد؟
A.کالیفرنیا
B.کارولینای جنوبی
C.گرجستان
D.تگزاس",A,"فیلم ""ماگنولیا"" که در سال 1999 به کارگردانی پل توماس اندرسن ساخته شد، در ایالت کالیفرنیا قرار دارد. بنابراین، پاسخ صحیح گزینه A. کالیفرنیا است.",A
"به نظر می رسد بزرگسالان میانسال بیشتر از بزرگسالان مسن تر یا جوان تر هستند
A.مولد
B.نوروتیک
C.قابل قبول
D.خاص",A,"پاسخ صحیح گزینه A. مولد است.

بزرگسالان میانسال معمولاً در اوج دوران کاری و حرفه‌ای خود هستند و به همین دلیل اغلب به عنوان مولدترین گروه سنی در نظر گرفته می‌شوند. این دوره از زندگی معمولاً با مسئولیت‌های شغلی و خانوادگی بیشتری همراه است که نیاز به بهره‌وری و کارایی بالا دارد.",A
"کدام دیدگاه روانشناختی در اغاز قرن بیستم در اروپای غربی محبوب تر بود؟
A.علوم اعصاب
B.تکاملی
C.رفتارگرا
D.روانکاوی",D,در آغاز قرن بیستم، دیدگاه روانکاوی (گزینه D) در اروپای غربی محبوب‌تر بود. این دیدگاه توسط زیگموند فروید پایه‌گذاری شد و تأثیر زیادی بر روانشناسی و فرهنگ آن زمان داشت. روانکاوی به بررسی ناخودآگاه، رویاها، و تأثیرات کودکی بر رفتار و روان انسان می‌پردازد.,D
"کدام یک از این فیلمهای ترسناک بیشترین دنباله را به وجود اورد؟
A.جیغ بزن
B.اروارهها
C.هالووین
D.جمعه سیزدهم",D,"فیلم ""جمعه سیزدهم"" (Friday the 13th) بیشترین دنباله را به وجود آورده است. این سری فیلم‌ها شامل تعداد زیادی دنباله و اسپین‌آف هستند که از سال 1980 آغاز شده و تا کنون ادامه داشته‌اند. در مقایسه با دیگر فیلم‌های ترسناک ذکر شده، ""جمعه سیزدهم"" بیشترین تعداد دنباله را دارد.",D
"خودبستگی باقی مانده منفی نشان داده شده است که کدام یک از زیر است؟
A.یک الگوی چرخه ای در باقی مانده ها
B.یک الگوی متناوب در باقی مانده ها
C.یک تصادف کامل در باقی مانده ها
D.باقی مانده هایی که همگی نزدیک به صفر هستند",B,"خودبستگی باقی مانده منفی نشان‌دهنده این است که باقی مانده‌ها به صورت متناوب تغییر می‌کنند. به عبارت دیگر، اگر یک باقی مانده مثبت باشد، احتمالاً باقی مانده بعدی منفی خواهد بود و بالعکس. این الگو به عنوان یک الگوی متناوب شناخته می‌شود.

بنابراین، پاسخ صحیح گزینه B است:
B. یک الگوی متناوب در باقی مانده ها",B
"مغنطه شخصیت ستایشی یک نوع خاص از
A.مغنطه تصادف
B.معضل کاذب
C.التماس سؤال
D.استدلال دایره ای",A,"مغنطه شخصیت ستایشی یک نوع خاص از ""التماس سؤال"" است. در این مغالطه، به جای ارائه دلایل منطقی برای اثبات یک ادعا، به ویژگی‌های مثبت یا ستایش‌برانگیز یک شخص اشاره می‌شود تا مخاطب را متقاعد کند. این نوع استدلال به جای تمرکز بر محتوای واقعی و منطقی بحث، بر شخصیت و ویژگی‌های فردی تکیه می‌کند.",C
"ولتاژ القا شده در یک سلف به عنوان نشان داده شده است،
A.محصول از القای ان و جریان از طریق ان.
B.نسبت القای ان به جریان از طریق ان.
C.نسبت جریان از طریق ان به القای ان.
D.محصول القایی ان و میزان تغییر جریان از طریق ان.",D,"ولتاژ القا شده در یک سلف به عنوان نشان داده شده است:

D. محصول القایی آن و میزان تغییر جریان از طریق آن.

به عبارت دیگر، ولتاژ القا شده در یک سلف برابر است با \( V = L \frac{dI}{dt} \)، که در آن \( V \) ولتاژ القا شده، \( L \) ضریب خودالقایی (اندوکتانس) سلف و \( \frac{dI}{dt} \) نرخ تغییر جریان است.",D
"این سوال به اطلاعات زیر اشاره دارد.
بذر رژیمهای توتالیتر با بدبختی و نیاز پرورش داده میشود. انها گسترش می یابند و در خاک بد فقر و نزاع رشد می کنند. انها زمانی به رشد کامل خود می رسند که امید مردم برای زندگی بهتر از بین رفته است. ما باید این امید را زنده نگه داریم. مسئولیت های بزرگی با حرکت سریع حوادث بر عهده ما گذاشته شده است. من اطمینان دارم که کنگره به طور مستقیم با این مسئولیت ها روبرو خواهد شد. ""
رئیس جمهور هری ترومن، 1947
ایده های بیان شده در متن بالا به طور مستقیم منعکس کننده کدام یک از پیوستگی های زیر در تاریخ ایالات متحده است؟
A.بحث در مورد رابطه بین کنگره و رئیس جمهور.
B.بحث در مورد استفاده از نیروی نظامی در شرایط ناپایدار.
C.بحث در مورد نقش ایالات متحده در امور جهانی.
D.بحث در مورد نقش مناسب احزاب سیاسی.",C,"ایده‌های بیان شده در متن بالا به طور مستقیم منعکس کننده کدام یک از پیوستگی‌های زیر در تاریخ ایالات متحده است؟

C. بحث در مورد نقش ایالات متحده در امور جهانی.

متن به نگرانی‌های رئیس جمهور هری ترومن در مورد گسترش رژیم‌های توتالیتر و نیاز به حفظ امید مردم برای زندگی بهتر اشاره دارد. این موضوع به طور مستقیم به نقش ایالات متحده در امور جهانی و مسئولیت‌های آن در مقابله با تهدیدات جهانی و حمایت از دموکراسی و آزادی مرتبط است.",C
