Question,CorrectAnswer,GivenAnswer,Correct
"באיזה מצב מתרחש הסרט ""מגנוליה"" מ-1999?
A.קליפורניה
B.דרום קרוליינה
C.גרוזיה
D.טקסס",A,"הסרט ""מגנוליה"" מ-1999 מתרחש בקליפורניה.",A
"מהי שפת האם של השחקן אנטוניו בנדרס?
A.ספרדית
B.רוסית
C.גרמנית
D.צרפתית",A,"שפת האם של השחקן אנטוניו בנדרס היא:
A. ספרדית",A
"מהי השפה הרשמית של הולנד?
A.דנית
B.שוודית
C.גרמנית
D.הולנדית",D,"השפה הרשמית של הולנד היא:
D. הולנדית",D
"מהו המונח עד כמה התחרות במדינה אחת מושפעת מהתחרות במדינות אחרות?
A.סחר בינלאומי
B.כלכלה גלובלית
C.תחרות עולמית
D.גלובליזציה",D,"המונח המתאר עד כמה התחרות במדינה אחת מושפעת מהתחרות במדינות אחרות הוא:
C. תחרות עולמית",C
"המתח המושרה במשרן מיוצג כ,
A.תוצר של השראתו וזרמו באמצעותו.
B.היחס בין השראתו לזרם דרכו.
C.יחס הזרם דרכו להשראתו.
D.תוצר של השראתו וקצב שינוי הזרם באמצעותו.",D,"המתח המושרה במשרן מיוצג כ:

D. תוצר של השראתו וקצב שינוי הזרם באמצעותו.

הנוסחה המתארת את המתח המושרה במשרן היא \( V = L \frac{dI}{dt} \), כאשר \( V \) הוא המתח, \( L \) הוא ההשראות, ו-\( \frac{dI}{dt} \) הוא קצב שינוי הזרם.",D
"נראה כי מבוגרים בגיל העמידה הם יותר ____ מאשר מבוגרים או צעירים
A.גנרטיבי
B.נוירוטי
C.נוח
D.מסוימים",A,"נראה כי מבוגרים בגיל העמידה הם יותר **גנרטיביים** מאשר מבוגרים או צעירים.

הכוונה היא לכך שמבוגרים בגיל העמידה נוטים להיות יותר ממוקדים ביצירת והעברת ערכים, ידע ומשאבים לדורות הבאים, תהליך המכונה ""גנרטיביות"".",A
"חלק מהמים של מאדים קפואים באדמה ובכיפות הקרח וחלק אבדו בגלל רוח השמש, אך רוב המים המקוריים אבדו ככל הנראה באמצעות מנגנון אחר. מה קרה למים ה""אבודים"" האלה?
A.הוא הופשט על ידי השדה המגנטי כאשר כוחו פחת במהירות
B.הוא נשבר למימן ולחמצן על ידי אור אולטרה סגול והמימן אבד באמצעות בריחה תרמית
C.הוא נאכל על ידי ציוויליזציה של אנשי מאדים צמאים
D.הוא התאדה במהלך תקופה של געשיות עזה ואבד לחלל באמצעות בריחה תרמית",B,"התשובה הנכונה היא:
B. הוא נשבר למימן ולחמצן על ידי אור אולטרה סגול והמימן אבד באמצעות בריחה תרמית.

הסבר: על מאדים, אור אולטרה סגול מהשמש יכול לפרק מולקולות מים למימן ולחמצן. המימן, שהוא קל מאוד, יכול לברוח מהאטמוספירה של מאדים לחלל בגלל מהירותו התרמית הגבוהה. תהליך זה, שנקרא בריחה תרמית, הוא אחד המנגנונים המרכזיים שגרמו לאובדן המים על מאדים.",B
"איזה מהמאכלים האלה עשוי ממעיים של חזירים?
A.האגיס
B.צ'יטלינס
C.גריסים
D.צ'ופ סואי",B,"המאכל שעשוי ממעיים של חזירים הוא:
B. צ'יטלינס (Chitlins).

צ'יטלינס הם מאכל דרומי אמריקאי מסורתי שמכינים ממעיים של חזירים.",B
"עסקים עוסקים בחשבונאות חברתית עקב דרישות _________, על מנת לזהות ________, לשפר ___________ ולעודד _________ ___________
A.בעלי עניין, סיכונים, ניהול בעלי עניין, אחריותיות, שקיפות
B.בעלי עניין, אחריותיות, שקיפות, סיכונים, ניהול בעלי עניין
C.בעלי עניין, אחריותיות, סיכונים, בעלי עניין, ניהול בעלי עניין
D.בעלי עניין, ניהול בעלי עניין, שקיפות, סיכונים, אחריות",A,"A. בעלי עניין, סיכונים, ניהול בעלי עניין, אחריותיות, שקיפות

המשפט המלא יהיה:
עסקים עוסקים בחשבונאות חברתית עקב דרישות בעלי עניין, על מנת לזהות סיכונים, לשפר ניהול בעלי עניין ולעודד אחריותיות ושקיפות.",A
"מתאם אוטומטי שיורי שלילי מצוין על ידי איזה מהבאים?
A.תבנית מחזורית בשאריות
B.דפוס מתחלף בשאריות
C.אקראיות מוחלטת בשאריות
D.שאריות שכולן קרובות לאפס",B,"מתאם אוטומטי שיורי שלילי מצוין על ידי:

B. דפוס מתחלף בשאריות

מתאם אוטומטי שלילי מצביע על כך שהשאריות נוטות להחליף סימן בין תצפיות עוקבות, כלומר אם שארית אחת היא חיובית, השארית הבאה נוטה להיות שלילית, ולהפך. דפוס זה מתאר דפוס מתחלף בשאריות.",B
