Question,CorrectAnswer,GivenAnswer,Correct
"नीदरलैंड की आधिकारिक भाषा क्या है?
A.डैनिश
B.स्वीडिश
C.जर्मन
D.डच",D,"नीदरलैंड की आधिकारिक भाषा है:
D. डच",D
"एक देश में प्रतिस्पर्धा किस हद तक दूसरे देशों में प्रतिस्पर्धा से प्रभावित होती है, इसके लिए क्या शब्द है?
A.अंतर्राष्ट्रीय व्यापार
B.वैश्विक अर्थशास्त्र
C.वैश्विक प्रतियोगिता
D.वैश्वीकरण",D,"C. वैश्विक प्रतियोगिता

वैश्विक प्रतियोगिता वह स्थिति है जिसमें एक देश की प्रतिस्पर्धा दूसरे देशों की प्रतिस्पर्धा से प्रभावित होती है। यह विभिन्न देशों के बीच व्यापार, उत्पादन, और सेवाओं में प्रतिस्पर्धा को दर्शाता है।",C
"एक श्रृंखला परिपथ में, यदि एक लैंप में धारा 2 एम्पियर है, तो लैंप के बगल में धारा क्या है?
A.आधा, 1 ए
B.2:00 पूर्वाह्न
C.निर्भर करता है कि कौन सा दीपक बैटरी के करीब है
D.कहने के लिए पर्याप्त जानकारी नहीं है",B,"एक श्रृंखला परिपथ में, सभी अवयवों के माध्यम से धारा समान होती है। इसका मतलब है कि यदि एक लैंप में धारा 2 एम्पियर है, तो श्रृंखला परिपथ में लैंप के बगल में भी धारा 2 एम्पियर ही होगी। 

इसलिए सही उत्तर है:
B. 2:00 पूर्वाह्न",B
"व्यवसाय _________ की मांगों के कारण सामाजिक लेखांकन में संलग्न होते हैं, ताकि ________ की पहचान की जा सके, ___________ में सुधार किया जा सके और _________ और ___________ को प्रोत्साहित किया जा सके
A.हितधारक, जोखिम, हितधारक प्रबंधन, जवाबदेही, पारदर्शिता
B.हितधारक, जवाबदेही, पारदर्शिता, जोखिम, हितधारक प्रबंधन
C.हितधारक, जवाबदेही, जोखिम, हितधारक, हितधारक प्रबंधन
D.हितधारक, हितधारक प्रबंधन, पारदर्शिता, जोखिम, जवाबदेही",A,"A. हितधारक, जोखिम, हितधारक प्रबंधन, जवाबदेही, पारदर्शिता

व्यवसाय हितधारक की मांगों के कारण सामाजिक लेखांकन में संलग्न होते हैं, ताकि जोखिम की पहचान की जा सके, हितधारक प्रबंधन में सुधार किया जा सके और जवाबदेही और पारदर्शिता को प्रोत्साहित किया जा सके।",A
"अभिनेता एंटोनियो बैंडेरस मूल भाषा क्या है?
A.स्पैनिश
B.रूसी
C.जर्मन
D.फ़्रेंच",A,"अभिनेता एंटोनियो बैंडेरस की मूल भाषा स्पैनिश है। 
इसलिए सही उत्तर है:
A. स्पैनिश",A
"निम्नलिखित में से कौन सी विशेषता आम तौर पर डेट रेप के अनुरूप है?
A.अत्यधिक बल का प्रयोग
B.पूर्वविमर्शित
C.यौन प्रेरित
D.एक हथियार का उपयोग शामिल है",C,"डेट रेप की विशेषताएं आम तौर पर निम्नलिखित होती हैं:

B. पूर्वविमर्शित
C. यौन प्रेरित

डेट रेप में अक्सर अत्यधिक बल का प्रयोग या हथियार का उपयोग शामिल नहीं होता है। यह आमतौर पर एक परिचित व्यक्ति द्वारा किया जाता है और इसमें पीड़िता की सहमति के बिना यौन संबंध बनाने की कोशिश की जाती है।",B
"इनमें से कौन सा व्यंजन सुअर की आंतों से बनाया जाता है?
A.हैगिस
B.चिटलिन्स
C.जई का आटा
D.चॉप सुई",B,"सुअर की आंतों से बनाया जाने वाला व्यंजन है:

B. चिटलिन्स (Chitlins)

चिटलिन्स सुअर की आंतों से बनाए जाते हैं और यह एक पारंपरिक दक्षिणी अमेरिकी व्यंजन है।",B
"क्या विदेश में देश X के मंत्री द्वारा की गई गैरकानूनी हत्या एक न्यायिक या न्यायिक संकेत है?
A.ऐसा आचरण एक सार्वजनिक कार्य है (ज्यूर इम्पेरी)
B.इस तरह के आचरण से कभी भी प्रतिरक्षा आकर्षित नहीं होती है
C.ऐसा आचरण एक निजी कार्य है (ज्यूर जेस्टिनिस)
D.ऐसा आचरण एक सार्वजनिक कार्य है लेकिन प्रतिरक्षा द्वारा परिरक्षित है",C,"C. ऐसा आचरण एक निजी कार्य है (ज्यूर जेस्टिनिस)

विदेश में देश X के मंत्री द्वारा की गई गैरकानूनी हत्या को आमतौर पर एक निजी कार्य (ज्यूर जेस्टिनिस) माना जाएगा, क्योंकि यह कार्य उनके आधिकारिक कर्तव्यों के दायरे में नहीं आता है। इस प्रकार के आचरण से सामान्यतः राजनयिक या राज्य प्रतिरक्षा आकर्षित नहीं होती है।",C
"1999 की फिल्म मैगनोलिया 'किस राज्य में सेट है?
A.कैलिफ़ोर्निया
B.दक्षिण कैरोलिना
C.जॉर्जिया
D.टेक्सास",A,"1999 की फिल्म ""मैगनोलिया"" कैलिफ़ोर्निया राज्य में सेट है। इसलिए सही उत्तर है:

A. कैलिफ़ोर्निया",A
" यह विपणन और संचार उपकरण ग्राहकों को उत्पाद/सेवा खरीदने के लिए प्रोत्साहित करने के लिए प्रत्यक्ष प्रलोभन या प्रोत्साहन प्रदान करता है:
A.विज्ञापन।
B.सार्वजनिक संबंध।
C.बिक्री संवर्धन।
D.प्रत्यक्ष विपणन।",C,"C. बिक्री संवर्धन।

बिक्री संवर्धन (Sales Promotion) एक विपणन और संचार उपकरण है जो ग्राहकों को उत्पाद या सेवा खरीदने के लिए प्रत्यक्ष प्रलोभन या प्रोत्साहन प्रदान करता है। इसमें कूपन, छूट, नमूने, प्रतियोगिताएं, और अन्य प्रकार के प्रोत्साहन शामिल हो सकते हैं जो ग्राहकों को त्वरित क्रय निर्णय लेने के लिए प्रेरित करते हैं।",C
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है।
""अधिनायकवादी शासन के बीज दुख और अभाव से पोषित होते हैं। वे गरीबी और संघर्ष की बुरी मिट्टी में फैलते और बढ़ते हैं। वे अपने पूर्ण विकास तक पहुँचते हैं जब बेहतर जीवन के लिए लोगों की आशा मर जाती है। हमें इस आशा को जीवित रखना चाहिए। । । । घटनाओं के तेज आंदोलन से हम पर बड़ी जिम्मेदारियां रखी गई हैं। । । । मुझे विश्वास है कि कांग्रेस इन जिम्मेदारियों का निर्वहन करेगी।
राष्ट्रपति हैरी एस. ट्रूमैन, 1947
उपरोक्त मार्ग में व्यक्त किए गए विचार अमेरिकी इतिहास में निम्नलिखित में से किस निरंतरता को सीधे दर्शाते हैं?
A.कांग्रेस और राष्ट्रपति के बीच संबंधों के बारे में बहस।
B.अस्थिर स्थितियों में सैन्य बल के उपयोग के बारे में बहस।
C.विश्व मामलों में संयुक्त राज्य अमेरिका की भूमिका के बारे में बहस।
D.राजनीतिक दलों की उचित भूमिका के बारे में बहस।",C,"उपरोक्त मार्ग में व्यक्त किए गए विचार अमेरिकी इतिहास में निम्नलिखित में से किस निरंतरता को सीधे दर्शाते हैं?

C. विश्व मामलों में संयुक्त राज्य अमेरिका की भूमिका के बारे में बहस।

राष्ट्रपति हैरी एस. ट्रूमैन के इस उद्धरण में अधिनायकवादी शासन के खिलाफ संघर्ष और बेहतर जीवन के लिए लोगों की आशा को जीवित रखने की बात की गई है। यह विचार विश्व मामलों में संयुक्त राज्य अमेरिका की भूमिका और उसकी जिम्मेदारियों को दर्शाता है, विशेषकर द्वितीय विश्व युद्ध के बाद के समय में जब अमेरिका ने वैश्विक नेतृत्व की भूमिका निभाने का निर्णय लिया।",C
"ऋणात्मक अवशिष्ट स्व-सहसंबंध निम्नलिखित में से किसके द्वारा इंगित किया जाता है?
A.अवशिष्टों में एक चक्रीय पैटर्न
B.अवशिष्टों में एक प्रत्यावर्ती पैटर्न
C.अवशिष्टों में एक पूर्ण यादृच्छिकता
D.अवशिष्ट जो सभी शून्य के करीब हैं",B,"ऋणात्मक अवशिष्ट स्व-सहसंबंध (Negative residual autocorrelation) का तात्पर्य है कि अवशिष्टों (residuals) में एक पैटर्न है जिसमें एक अवशिष्ट का मान अपने पिछले अवशिष्ट के मान के विपरीत होता है। इसका मतलब है कि यदि एक अवशिष्ट सकारात्मक है, तो अगला अवशिष्ट नकारात्मक होने की संभावना है, और इसके विपरीत। यह एक प्रत्यावर्ती पैटर्न (alternating pattern) को इंगित करता है।

इसलिए, सही उत्तर है:
B. अवशिष्टों में एक प्रत्यावर्ती पैटर्न",B
"एक आपूर्तिकर्ता पर लगाया गया कर मूल्य वृद्धि के रूप में उपभोक्ता को अधिक पारित किया जाएगा यदि
A.मांग की कीमत लोच अत्यधिक लोचदार है।
B.मांग की कीमत लोच अत्यधिक बेलोचदार है।
C.मांग की कीमत लोच इकाई लोचदार होती है।
D.मांग की मजदूरी लोच अत्यधिक लोचदार है।",B,"एक आपूर्तिकर्ता पर लगाया गया कर मूल्य वृद्धि के रूप में उपभोक्ता को अधिक पारित किया जाएगा यदि:

B. मांग की कीमत लोच अत्यधिक बेलोचदार है।

जब मांग की कीमत लोच अत्यधिक बेलोचदार होती है, तो उपभोक्ता की मांग कीमत में परिवर्तन के प्रति कम संवेदनशील होती है। इस स्थिति में, आपूर्तिकर्ता कर के बोझ को उपभोक्ताओं पर अधिक आसानी से स्थानांतरित कर सकता है क्योंकि उपभोक्ता कीमत में वृद्धि के बावजूद अपनी खरीदारी को कम नहीं करेंगे।",B
"मध्यम आयु वर्ग के वयस्क पुराने या छोटे वयस्कों की तुलना में अधिक ____ दिखाई देते हैं
A.उत्पादक
B.विक्षिप्त
C.सहमत
D.कोई एक",A,"A.उत्पादक

मध्यम आयु वर्ग के वयस्क अक्सर अपने करियर और व्यक्तिगत जीवन में स्थिरता और अनुभव के कारण अधिक उत्पादक दिखाई देते हैं। उनके पास आमतौर पर अधिक अनुभव, ज्ञान और संसाधन होते हैं, जो उन्हें अधिक प्रभावी और उत्पादक बनाते हैं।",A
"एक प्रारंभ करनेवाला में प्रेरित वोल्टेज को इस प्रकार दर्शाया जाता है,
A.इसके अधिष्ठापन और इसके माध्यम से वर्तमान का उत्पाद।
B.इसके प्रेरकत्व का इसके माध्यम से वर्तमान का अनुपात।
C.इसके माध्यम से धारा का इसके प्रेरकत्व से अनुपात।
D.इसके अधिष्ठापन और इसके माध्यम से धारा के परिवर्तन की दर का गुणनफल।",D,"एक प्रारंभ करनेवाला (इंडक्टर) में प्रेरित वोल्टेज को इस प्रकार दर्शाया जाता है:

D. इसके अधिष्ठापन और इसके माध्यम से धारा के परिवर्तन की दर का गुणनफल।

यह उत्तर सही है क्योंकि इंडक्टर में प्रेरित वोल्टेज (V) का संबंध उसके प्रेरकत्व (L) और धारा (I) के परिवर्तन की दर (dI/dt) से होता है। इसे निम्नलिखित समीकरण द्वारा व्यक्त किया जा सकता है:

\[ V = L \frac{dI}{dt} \]

इस समीकरण के अनुसार, प्रेरित वोल्टेज (V) इंडक्टर के प्रेरकत्व (L) और धारा के परिवर्तन की दर (dI/dt) के गुणनफल के बराबर होता है।",D
"उच्च ऊर्जा फॉस्फेट के टूटने से जारी ऊर्जा, एटीपी और फॉस्फोस्रीटाइन, के बारे में अधिकतम परिश्रम व्यायाम को बनाए रख सकते हैं:
A.1-2 सेकंड।
B.5-10 सेकंड।
C.30-40 सेकंड।
D.50-60 सेकंड।",B,"उच्च ऊर्जा फॉस्फेट, जैसे कि एटीपी (एडेनोसिन ट्राइफॉस्फेट) और फॉस्फोक्रिएटिन (क्रिएटिन फॉस्फेट), के टूटने से जारी ऊर्जा अधिकतम परिश्रम व्यायाम को बनाए रखने के लिए सीमित समय तक ही पर्याप्त होती है। यह समय आमतौर पर 5-10 सेकंड के बीच होता है। इसलिए, सही उत्तर है:

B. 5-10 सेकंड।",B
"अर्थव्यवस्था गहरी मंदी में है। इस आर्थिक स्थिति को देखते हुए, मौद्रिक नीति के बारे में निम्नलिखित में से कौन सा कथन सही है?
A.विस्तारवादी नीति केवल मंदी को खराब करेगी।
B.विस्तारवादी नीति समग्र मांग को बहुत बढ़ा देती है यदि निवेश ब्याज दर में परिवर्तन के प्रति संवेदनशील है।
C.संकुचनकारी नीति निवेश और उपभोग के लिए उपयुक्त प्रोत्साहन है।
D.यदि पैसे की मांग पूरी तरह से लोचदार है, तो विस्तारवादी मौद्रिक नीति काफी प्रभावी हो सकती है।",B,"मंदी के दौरान, अर्थव्यवस्था में समग्र मांग को बढ़ाने के लिए आमतौर पर विस्तारवादी मौद्रिक नीति अपनाई जाती है। इस संदर्भ में सही कथन है:

B. विस्तारवादी नीति समग्र मांग को बहुत बढ़ा देती है यदि निवेश ब्याज दर में परिवर्तन के प्रति संवेदनशील है।

विस्तारवादी मौद्रिक नीति के तहत, केंद्रीय बैंक ब्याज दरों को कम करता है और मुद्रा आपूर्ति को बढ़ाता है, जिससे निवेश और उपभोग को प्रोत्साहन मिलता है। यदि निवेश ब्याज दर में परिवर्तन के प्रति संवेदनशील है, तो ब्याज दरों में कमी से निवेश में वृद्धि होगी, जिससे समग्र मांग बढ़ेगी और मंदी से उबरने में मदद मिलेगी।",B
