Question,CorrectAnswer,GivenAnswer,Correct
"Ի՞նչ է դերասան Անտոնիո Բանդերասի մայրենի լեզուն:
A.Իսպաներեն
B.Ռուսերեն
C.Գերմաներեն
D.Ֆրանսերեն",A,"Անտոնիո Բանդերասի մայրենի լեզուն իսպաներենն է:
A. Իսպաներեն",A
"Ո՞րն է Նիդերլանդների պաշտոնական լեզուն:
A.Դանիերեն
B.Շվեդերեն
C.Գերմաներեն
D.Հոլանդերեն",D,"Նիդերլանդների պաշտոնական լեզուն է:
D. Հոլանդերեն",D
"K-ապատիկի խաչաձեւ վավերացումն է՝
A.գծագիծը Կ-ում
B.կվադրականը Կ-ում
C.խորանարդը Կ-ում
D.էքսպոնենցիալ՝ K-ում",A,"K-ապատիկի խաչաձեւ վավերացումն է՝

B. կվադրականը Կ-ում",B
"Հետեւյալ երկրներից ո՞ր մեկն է 2017թ. ամենաշատը արտանետել CO2-ը
A.Ճապոնիա
B.Կանադա
C.Ռուսաստան
D.Իրան",B,"2017 թվականին ամենաշատ CO2 արտանետած երկրներից մեկը Չինաստանն էր, սակայն ձեր նշած երկրների շարքում ամենաշատ արտանետումները ունեցել է Ռուսաստանը։ 

Այսպիսով, ճիշտ պատասխանն է՝
C. Ռուսաստան",C
"Բիզնեսմենները սոցիալական հաշվառման են ներգրավվում _________ պահանջների պատճառով, որպեսզի բացահայտեն ________, բարելավեն ___________ եւ խրախուսեն _________ եւ ___________
A.Տնտեսվարող սուբյեկտներ, ռիսկեր, տնտեսվարող սուբյեկտի կառավարում, հաշվետվողականություն, թափանցիկություն
B.Տնտեսվարող սուբյեկտներ, հաշվետվողականություն, թափանցիկություն, ռիսկեր, տնտեսվարող սուբյեկտների կառավարում
C.Տնտեսվարող սուբյեկտներ, պատասխանատվություն, ռիսկեր, տնտեսվարող սուբյեկտներ, տնտեսվարող սուբյեկտներ
D.Տնտեսվարող սուբյեկտներ, տնտեսվարող սուբյեկտներ, թափանցիկություն, ռիսկեր, հաշվետվողականություն",A,"Բիզնեսմենները սոցիալական հաշվառման են ներգրավվում **A. Տնտեսվարող սուբյեկտներ** պահանջների պատճառով, որպեսզի բացահայտեն **ռիսկեր**, բարելավեն **տնտեսվարող սուբյեկտի կառավարում** եւ խրախուսեն **հաշվետվողականություն** եւ **թափանցիկություն**.",B
"Այս ճաշատեսակներից ո՞րն է պատրաստված խոզի աղիքից:
A.հագիս
B.չիթլիններ
C.grits
D.chop suey",B,"Խոզի աղիքից պատրաստված ճաշատեսակը B. չիթլիններ (chitlins) է: Չիթլինները (կամ չիթլինգներ) խոզի աղիքներից պատրաստված ուտեստ են, որը հաճախ հանդիպում է հարավային ամերիկյան խոհանոցում:",B
"Բացասական մնացորդային աուտոկորացիան նշված է հետեւյալներից ո՞ր մեկի կողմից:
A.Մնացորդային շրջանում ցիկլիկ օրինաչափություն
B.Մնացորդային վիճակում գտնվող փոփոխական ձեւ
C.Մնացորդային մնացորդներում լրիվ պատահականություն
D.Մնացորդներ, որոնք բոլորը մոտ են զրոյի",B,"Բացասական մնացորդային աուտոկորացիան նշված է հետեւյալներից՝

A. Մնացորդային շրջանում ցիկլիկ օրինաչափություն

Բացասական մնացորդային աուտոկորացիան ցույց է տալիս, որ մնացորդները ունեն հակադարձ կապ՝ այսինքն, եթե մի մնացորդը մեծ է, ապա հաջորդը հակված է փոքր լինել և հակառակը։ Սա կարող է ցույց տալ ցիկլիկ օրինաչափություն մնացորդներում, որտեղ մնացորդները պարբերաբար փոփոխվում են։",A
"Գովելի անձնավորության սխալ լինելը հատուկ տեսակ է
A.Դժբախտ պատահարի սխալը
B.Կեղծ երկընտրանքը
C.Հարցը մուրացկան
D.Շրջանաձեւ տրամաբանություն",A,"Գովելի անձնավորության սխալ լինելը հատուկ տեսակ է
A. Դժբախտ պատահարի սխալը

Այս սխալը տեղի է ունենում, երբ ինչ-որ մեկին գովում են կամ գնահատում են, բայց իրականում այդ գովասանքը կամ գնահատականը սխալ է կամ անտեղի:",A
"Այս սարսափ ֆիլմերից ո՞րն է առաջ բերել ամենաշատ հաջորդականությունները:
A.Գոռգոռոց'
B.Ծնոտների'
C.Հելոուին'
D.Ուրբաթ 13-րդ'",D,"D. ""Ուրբաթ 13-րդ"" (Friday the 13th) սարսափ ֆիլմն է, որը առաջ բերել է ամենաշատ հաջորդականությունները: Այս ֆիլմի շարքը ներառում է բազմաթիվ շարունակություններ, վերաթողարկումներ և սպին-օֆֆներ, որոնք միասին կազմում են սարսափ ժանրի ամենաերկարատև և հայտնի շարքերից մեկը:",D
"Շարքի մեջ, եթե մեկ լամպում հոսանքը 2 A է, ապա նրա կողքին գտնվող լամպի հոսանքը
A.կես, 1 Ա
B.2:00 ՀՀ դրամ
C.Կախված նրանից, թե որ լամպն է ավելի մոտ մարտկոցին
D.Բավարար տեղեկություն չկա ասելու համար",B,"Շարքի միացման դեպքում բոլոր լամպերի միջով անցնող հոսանքը նույնն է, քանի որ հոսանքը շարքի միացման մեջ չի բաժանվում: Եթե մեկ լամպում հոսանքը 2 A է, ապա նրա կողքին գտնվող լամպի հոսանքը նույնպես կլինի 2 A:

Ուստի ճիշտ պատասխանն է՝
B. 2 A",B
