Question,CorrectAnswer,GivenAnswer,Correct
"Apa bahasa resmi Belanda?
A.Denmark
B.Swedia
C.Jerman
D.Belanda",D,"D. Belanda

Bahasa resmi Belanda adalah bahasa Belanda.",D
"Apa bahasa asli aktor Antonio Banderas?
A.Spanyol
B.Rusia
C.Jerman
D.Prancis",A,"A. Spanyol

Antonio Banderas lahir di Málaga, Spanyol, dan bahasa asli atau bahasa ibu dari aktor ini adalah bahasa Spanyol.",A
"Energi yang dilepaskan dari pemecahan fosfat berenergi tinggi, ATP dan fosfokreatin, dapat mempertahankan latihan pengerahan tenaga maksimal untuk sekitar:
A.1-2 detik.
B.5-10 detik.
C.30-40 detik.
D.50-60 detik.",B,"Energi yang dilepaskan dari pemecahan fosfat berenergi tinggi, seperti ATP (adenosin trifosfat) dan fosfokreatin, dapat mempertahankan latihan pengerahan tenaga maksimal untuk sekitar 5-10 detik. Jadi, jawaban yang benar adalah:

B. 5-10 detik.",B
"Orang dewasa paruh baya tampaknya lebih _____ daripada orang dewasa yang lebih tua atau lebih muda
A.Generatif
B.Neurotik
C.Menyenangkan
D.Pasti",A,"A. Generatif

Orang dewasa paruh baya sering kali lebih generatif, yang berarti mereka cenderung lebih fokus pada memberikan kontribusi kepada generasi berikutnya dan masyarakat secara keseluruhan. Ini bisa berupa membimbing anak-anak, terlibat dalam kegiatan komunitas, atau berkontribusi dalam pekerjaan yang memiliki dampak sosial.",A
"Autokorelasi residual negatif ditunjukkan oleh yang mana dari berikut ini?
A.Pola siklus dalam residu
B.Pola bolak-balik dalam residu
C.Keacakan lengkap dalam residu
D.Residu yang semuanya mendekati nol",B,"Autokorelasi residual negatif ditunjukkan oleh:

B. Pola bolak-balik dalam residu

Autokorelasi negatif dalam residual biasanya ditandai dengan pola bolak-balik, di mana nilai residual cenderung bergantian antara positif dan negatif. Ini menunjukkan bahwa jika satu residual positif, maka residual berikutnya cenderung negatif, dan sebaliknya. Pola ini mengindikasikan adanya autokorelasi negatif dalam data residual.",B
"Di negara bagian apa film Magnolia tahun 1999 berlatar?
A.California
B.Karolina Selatan
C.Georgia
D.Texas",A,"A. California

Film ""Magnolia"" tahun 1999 berlatar di San Fernando Valley, yang terletak di negara bagian California.",A
"Apa istilah sejauh mana persaingan di satu negara dipengaruhi oleh persaingan di negara lain?
A.Perdagangan luar negeri
B.Ekonomi global
C.Persaingan global
D.Globalisasi",D,"Istilah yang tepat untuk menggambarkan sejauh mana persaingan di satu negara dipengaruhi oleh persaingan di negara lain adalah:

C. Persaingan global

Persaingan global mengacu pada situasi di mana perusahaan dan industri di berbagai negara saling bersaing di pasar internasional. Hal ini mencakup bagaimana perusahaan di satu negara harus mempertimbangkan strategi dan kinerja perusahaan di negara lain dalam upaya untuk tetap kompetitif.",C
" Alat pemasaran dan komunikasi ini menawarkan bujukan langsung atau insentif untuk mendorong pelanggan membeli produk / layanan:
A.Iklan.
B.Humas.
C.Promosi penjualan.
D.Pemasaran langsung.",C,"Jawaban yang tepat adalah:

C. Promosi penjualan.

Promosi penjualan adalah alat pemasaran dan komunikasi yang menawarkan bujukan langsung atau insentif untuk mendorong pelanggan membeli produk atau layanan. Contoh promosi penjualan termasuk diskon, kupon, penawaran beli satu gratis satu, dan hadiah langsung.",C
"Pertanyaan ini mengacu pada informasi berikut.
Saya berjalan di samping kolom, bertanya apa yang terjadi.
Seorang tentara hanya berkata: ""Mereka menelepon lebih banyak setiap hari.
""Beberapa dari kami dikirim ke utara ke Sungai Kuning pada usia lima belas tahun,
Dan sekarang pada usia empat puluh kita menuju ke garnisun di barat.
Pada tur pertama kami, kepala desa harus mengikat bandana kami untuk kami.
Ketika kami kembali, rambut kami putih, tetapi masih ada lebih banyak kerusuhan.
Garnisun perbatasan berjalan dengan darah, cukup untuk mengisi lautan,
Tapi ambisi teritorial Martial Emperor belum mencapai puncaknya.
Di seratus distrik di sebelah timur pegunungan, di seluruh negeri Han,
Pasti ada sepuluh ribu desa yang sekarang merajalela.
Bahkan jika istri cukup kuat untuk menangani cangkul dan bajak,
Tanaman tumbuh ke segala arah, ladang semuanya berantakan.
Ini yang paling sulit bagi pria Shanxi, dengan reputasi mereka sebagai pejuang:
Mereka ditangkap seperti anjing atau ayam, setiap laki-laki terkesan.
""Tapi tuan, meskipun ada baiknya Anda bertanya,
Mengeluh bukanlah bagian dari tugas prajurit.
Kita hanya bisa menggelengkan kepala. Ambil musim dingin ini:
Pasukan Shanxi tidak pernah dikirim pulang.
Pejabat Distrik menuntut pajak tanah,
Tapi dari mana asalnya? Anda tidak bisa mendapatkan darah dari batu!
Sejujurnya saya pikir itu nasib buruk untuk melahirkan seorang putra sekarang,
Lebih baik punya anak perempuan: setidaknya dia bisa menikah
Dan tinggal bersama tetangga sebelah.
Tetapi seorang putra pada akhirnya akan berbaring di padang rumput yang jauh.""
Du Fu, ""Balada Gerobak Angkatan Darat,"" sekitar tahun 750 M.
Puisi itu memberikan bukti manakah dari berikut ini sehubungan dengan hubungan gender dalam masyarakat Tang?
A.Hubungan Konfusianisme antara suami dan istri masih kuat di masyarakat Tang.
B.Reskrip kekaisaran menekankan kelahiran anak laki-laki yang mampu di atas anak perempuan untuk memenuhi kuota wajib militer.
C.Pekerjaan pertanian dapat dibagi oleh perempuan dan laki-laki.
D.Hubungan gender tradisional Tiongkok dibalik pada masa pemerintahan Permaisuri Wu Zetian.",C,"Puisi ""Balada Gerobak Angkatan Darat"" karya Du Fu memberikan bukti yang paling relevan untuk pernyataan berikut mengenai hubungan gender dalam masyarakat Tang:

C. Pekerjaan pertanian dapat dibagi oleh perempuan dan laki-laki.

Dalam puisi tersebut, ada bagian yang menyatakan: ""Bahkan jika istri cukup kuat untuk menangani cangkul dan bajak, Tanaman tumbuh ke segala arah, ladang semuanya berantakan."" Ini menunjukkan bahwa perempuan (istri) juga terlibat dalam pekerjaan pertanian, yang biasanya dianggap sebagai pekerjaan laki-laki. Hal ini mengindikasikan bahwa dalam situasi tertentu, seperti ketika banyak laki-laki direkrut untuk perang, perempuan mengambil alih tugas-tugas pertanian yang biasanya dilakukan oleh laki-laki.",C
"Manakah dari film-film horor ini yang paling banyak melahirkan sekuel?
A.Berteriak'
B.Rahang'
C.Halloween'
D.Jumat tanggal 13'",D,"Film ""Halloween"" adalah salah satu film horor yang paling banyak melahirkan sekuel. Sejak dirilis pertama kali pada tahun 1978, ""Halloween"" telah menghasilkan banyak sekuel, reboot, dan remake. Waralaba ini telah menjadi salah satu yang paling ikonik dalam genre horor, dengan karakter Michael Myers menjadi salah satu pembunuh berantai fiksi yang paling dikenal.

Namun, ""Jumat tanggal 13"" (Friday the 13th) juga memiliki banyak sekuel dan spin-off, dengan karakter Jason Voorhees menjadi ikon horor lainnya. Kedua waralaba ini bersaing ketat dalam hal jumlah film yang dihasilkan.

Secara keseluruhan, baik ""Halloween"" maupun ""Jumat tanggal 13"" memiliki banyak sekuel, tetapi ""Halloween"" mungkin sedikit lebih dikenal karena konsistensi dan dampaknya dalam genre horor.",C
