Question,CorrectAnswer,GivenAnswer,Correct
"Kedu ihe bụ nkọwa nke Akaụntụ Akaụntụ na Netherlands?
A.Asụsụ Danish
B.Asụsụ Ndi Swedish
C.Asụụ German
D.Asụsụ Dutch",D,D. Asụsụ Dutch,D
"Gị bụ onye na-eme ihe nkiri Antonio Banderas asụsụ obodo?
A.Asụsụ Spanish
B.Asụsụ Russia
C.Asụụ German
D.Asụsụ French",A,"Azịza bụ A. Asụsụ Spanish. Antonio Banderas bụ onye na-eme ihe nkiri si Spain, ya mere asụsụ obodo ya bụ Spanish.",A
"Kedu n'ime mba ndị na-esonụ wepụtara CO2 kachasị kwa onye ọ bụla na 2017?
A.Japan
B.Canada
C.Russia
D.Iran",B,"N'ime mba ndị a na-esonụ, Canada wepụtara CO2 kachasị kwa onye ọ bụla na 2017. Canada bụ otu n'ime mba ndị nwere oke mmanụ na gas, na-emetụta nnukwu mwepụta CO2 kwa onye ọ bụla.",B
"Na steeti dị aṅaa bụ ihe nkiri Magnolia nke 1999?
A.California
B.South Carolina
C.Georgia
D.Texas",A,"Ihe nkiri Magnolia nke 1999 na-eme na steeti California. Ya mere, azịza bụ A. California.",A
"Eziokwu ahụ bụ na infrared absorption ugboro nke deuterium chloride (DCl) na-agbanwe site na nke hydrogen chloride (HCl) bụ n'ihi ọdịiche dị na ha
A.Electron nkesa
B.dipole oge
C.ike mgbe nile
D.Mbelata mass",D,"Eziokwu ahụ bụ na infrared absorption ugboro nke deuterium chloride (DCl) na-agbanwe site na nke hydrogen chloride (HCl) bụ n'ihi ọdịiche dị na ha:

D. Mbelata mass

Nke a bụ n'ihi na deuterium (D) bụ isotop nke hydrogen (H) nke nwere otu neutron ọzọ, na-eme ka ọ dị arọ karịa hydrogen. Nke a na-eduga na mgbanwe na ugboro vibration nke molekul ahụ. Ugboro vibration nke molekul na-adabere na mass nke átom dị na ya, na DCl na-enwekarị ugboro vibration dị ala karịa HCl n'ihi nnukwu mass nke deuterium.",D
"Gịnị bụ okwu maka ókè asọmpi n'otu mba na-emetụta asọmpi na mba ndị ọzọ?
A.Ahịa mba ụwa
B.Akụ na ụba zuru ụwa ọnụ
C.Asọmpi zuru ụwa ọnụ
D.Ụwa zuru ụwa ọnụ",D,"Azịza ziri ezi bụ C. Asọmpi zuru ụwa ọnụ. Asọmpi zuru ụwa ọnụ na-ezo aka n'ókè asọmpi n'otu mba na-emetụta asọmpi na mba ndị ọzọ, na-emepụta ọnọdụ ebe ụlọ ọrụ na ndị ọrụ si n'ụwa niile na-asọmpi n'ahịa ụwa.",C
"Kedu n'ime njirimara ndị a n'ozuzu ya kwekọrọ na idina mmadụ n'ike ụbọchị?
A.Iji ike dị ukwuu
B.Premeditated
C.Mmekọahụ kpaliri
D.Ọ na-agụnye iji ngwá agha.",C,"N'ime njirimara ndị a, nke kwekọrọ na idina mmadụ n'ike n'ozuzu ya bụ:

C. Mmekọahụ kpaliri

Idina mmadụ n'ike bụ mmejọ ebe mmadụ na-eme mmekọahụ na onye ọzọ megide ọchịchọ ya, nke na-agụnye iji ike ma ọ bụ iyi egwu. Ọ bụ mmejọ kpaliri site n'echiche nke mmekọahụ. Ọ bụ ezie na ike, premeditation, na iji ngwá agha nwere ike ịbụ akụkụ nke ụfọdụ ikpe idina mmadụ n'ike, ha abụghị ihe dị mkpa maka mmejọ ahụ n'onwe ya. Ihe dị mkpa bụ na mmekọahụ ahụ mere megide ọchịchọ onye ahụ.",C
"Ajụjụ a na-ezo aka na ozi na-esonụ.
""N'ezie, dịka ma fatwas nke [ndị ọkà mmụta] a ma ama bụ ndị na-adabere n'echiche ha banyere echiche na ọdịnala na nkwekọrịta nke ndị Sunni kwenyere na ọrụ oge ochie nke extirpation, ikpochapụ, na ịchụpụ ihe ọhụrụ ọjọọ ga-abụrịrị ebumnuche nke ọchịchọ anyị dị elu, n'ihi na ""ịnụ ọkụ n'obi okpukpe bụ mmeri maka Okwukwe nke Chineke Onye Na-asọpụrụ""; Mgbe ahụ, dị ka okwu nke onye amuma (salla Allahu alihi wa sallam) ""Onye ọ bụla nke na-ewebata ihe ọhụrụ ọjọọ n'ime usoro anyị aghaghị ịchụpụ"" na ""Onye ọ bụla nke jupụtara n'iwu anyị ga-achụpụ,"" omume aghọwo ihe dị mkpa ma na-akatọ ...""
Akwụkwọ ozi sitere n'aka Ottoman Sultan Selim I to Safavid Shah Ismail I, 1514
Ndị Safavids dọtara iwe nke alaeze ukwu Islam dịka Ottoman na Alaeze Ukwu Mughal bụ isi n'ihi na Safavids
A.Ọ bụ alaeze ukwu na-agbasa n'etiti ndị ọzọ abụọ expansionists.
B.Jụrụ Central ozizi nke Islam
C.Ndị Kraịst ohu, ma mee ka ha ghọọ ndị agha Safavid
D.Ismail kwupụtara onwe ya ka ọ bụrụ Caliph",A,"Ndị Safavids dọtara iwe nke alaeze ukwu Islam dịka Ottoman na Alaeze Ukwu Mughal bụ isi n'ihi na Safavids:

A. Ọ bụ alaeze ukwu na-agbasa n'etiti ndị ọzọ abụọ expansionists.

Nke a bụ azịza ziri ezi. Ndị Safavids na-alụ ọgụ na ndị Ottoman na ndị Mughal maka ọchịchị na mpaghara. Ọ bụ ezie na e nwere ihe ndị ọzọ dị ka ọdịiche okpukpe (ndị Safavids bụ Shia Muslims ebe ndị Ottoman na ndị Mughal bụ Sunni Muslims), isi ihe kpatara esemokwu ahụ bụ asọmpi ndọrọ ndọrọ ọchịchị na ọchịchị.",B
"Ajụjụ a na-ezo aka na ozi na-esonụ.
M na-eje ije n'akụkụ kọlụm, jụọ ihe na-eme.
Otu onye agha na-ekwu nanị, sị: ""Ha na-akpọkwu oku kwa ụbọchị.
""E zigara ụfọdụ n'ime anyị n'ebe ugwu n'Osimiri Yellow mgbe anyị dị afọ iri na ise,
Na ugbu a na iri anọ anyị na-aga garrisons n'ebe ọdịda anyanwụ.
Na njem mbụ anyị, onye isi obodo ahụ aghaghị ijikọta bandannas anyị maka anyị.
Mgbe anyị laghachiri, ntutu isi anyị na-acha ọcha, ma ka nwere ọgba aghara karịa.
Ndị agha ókèala na-agba ọsọ na ọbara, zuru oke iji jupụta oké osimiri,
Ma ọchịchọ ókèala nke Martial Emperor enwebeghị crest.
Na narị ógbè ndị dị n' ebe ọwụwa anyanwụ nke ugwu , n' ala Han dum ,
A ghaghị inwe puku obodo iri na-etu ọnụ ugbu a infest.
Ọbụna ma ọ bụrụ na ndị nwunye na-agbasi mbọ ike ijikwa hoe na ịkọ ihe,
Ihe ọkụkụ na-eto eto n'ụzọ ọ bụla, ubi niile bụ ọgba aghara.
Ọ kachasị sie ike maka ndị ikom Shanxi, na aha ha dị ka ndị na-alụ ọgụ:
A na-agbakọta ha dị ka nkịta ma ọ bụ ọkụkọ, nwoke ọ bụla masịrị ya.
Ma sir, ọ bụ ezie na ọ dị mma ịjụ,
Mkpesa abụghị akụkụ nke ọrụ onye agha ahụ.
Anyị nwere ike ịma jijiji naanị isi anyị. Were oge oyi a:
Ọ dịghị mgbe e zigara ndị agha Shanxi n'ụlọ.
Ndị ọrụ mpaghara na-achọ ụtụ isi ala,
Ma olee ebe ọ ga-esi bịa? Ị pụghị inweta ọbara site na nkume!
Echere m n'eziokwu na ọ bụ ihe ọjọọ ịmụ nwa nwoke ugbu a,
Ọ ka mma inwe nwa nwanyị: ọ dịkarịa ala, ọ nwere ike ịlụ di na nwunye
Na-ebi na ndị agbata obi n'akụkụ ụzọ.
Ma nwa nwoke ga-emecha dina n'elu ụfọdụ prairie dị anya.""
Du Fu, ""Ballad of the Army Carts,"" dị ka 750 O.A.
Abụ ahụ na-enye ihe àmà nke nke n'ime ihe ndị a banyere mmekọrịta nwoke na nwanyị na ọha mmadụ Tang?
A.Mmekọrịta confucian n'etiti di na nwunye ka siri ike na ọha mmadụ Tang.
B.Ihe odide nke Imperial kwusiri ike ọmụmụ nke ụmụ nwoke nwere ike karịa ụmụ nwanyị iji mezuo oke conscription.
C.Enwere ike ịkekọrịta ọrụ ugbo site na ụmụ nwanyị na ụmụ nwoke.
D.A gbanwere mmekọrịta nwoke na nwanyị ọdịnala China n'oge ọchịchị Empress Wu Zetian.",C,"Azịza ziri ezi bụ:

C. Enwere ike ịkekọrịta ọrụ ugbo site na ụmụ nwanyị na ụmụ nwoke.

N'akwụkwọ ""Ballad of the Army Carts"" nke Du Fu, e depụtara ọnọdụ ndị agha na ọnọdụ ndị mmadụ n'oge ọchịchị Tang. Otu n'ime ihe ndị a na-egosi bụ na ụmụ nwanyị na-arụ ọrụ ugbo mgbe ụmụ nwoke na-alụ ọgụ. Nke a na-egosi na ọrụ ugbo nwere ike ịkekọrịta site na ụmụ nwanyị na ụmụ nwoke, karịsịa n'oge nsogbu na agha.",C
"Gị bụ a replay agha?
A.Mgbe onye mwakpo ahụ zara ozi zitere ya site na usoro ahụ
B.Mwakpo nke na-aga n'ihu na-emeghachi, na-enyocha maka adịghị ike
C.Mwakpo nke na-eji ozi nke usoro ahụ ma ya mere enweghị ike ịgbachitere ya megide
D.Onye mwakpo ahụ na-agbakwunye ozi e jidere, saịtị ahụ nabatakwara nke ya ma zaghachi na ihu ọma onye mwakpo ahụ",D,"Azịza ziri ezi bụ:

D. Onye mwakpo ahụ na-agbakwunye ozi e jidere, saịtị ahụ nabatakwara nke ya ma zaghachi na ihu ọma onye mwakpo ahụ

Replay agha bụ ụdị mwakpo ebe onye mwakpo ahụ na-ejide ozi a zigara n'etiti ndị na-ekwurịta okwu wee zipụ ya ọzọ, na-eme ka ọ dị ka ozi mbụ. Nke a nwere ike ime ka usoro ahụ nabata ozi ahụ dị ka nke ziri ezi, na-enye onye mwakpo ahụ ohere ịnweta ozi nzuzo ma ọ bụ nweta ohere na-enweghị ikike.",D
