Question,CorrectAnswer,GivenAnswer,Correct
"რა არის მსახიობი ანტონიო ბანდერასი მშობლიური ენა?
A.ესპანური
B.რუსული
C.გერმანია
D.ფრანგული",A,A. ესპანური,A
"საშუალო ასაკის მოზარდები, როგორც ჩანს, უფრო ____ ვიდრე ხანდაზმული ან ახალგაზრდა მოზარდები
A.გენეტიკური
B.ნევროზული
C.სასიამოვნო
D.გარკვეული",A,"საშუალო ასაკის მოზარდები, როგორც ჩანს, უფრო **ნევროზული** ვიდრე ხანდაზმული ან ახალგაზრდა მოზარდები.",B
"რა არის ნიდერლანდების ოფიციალური ენა?
A.დანიური
B.შვედური
C.გერმანია
D.ჰოლანდიური",D,"D. ჰოლანდიური

ნიდერლანდების ოფიციალური ენა არის ჰოლანდიური.",D
"ამ კერძებიდან რომელი მზადდება ღორის ნაწლავებისგან?
A.ჰაგისი
B.ჩიტლინები
C.გრიტი
D.chop suey",B,"ღორის ნაწლავებისგან მზადდება ჩიტლინები (B. ჩიტლინები). ჩიტლინები (Chitlins ან Chitterlings) არის კერძი, რომელიც მზადდება ღორის ნაწლავებისგან და პოპულარულია სამხრეთ ამერიკის სამზარეულოში.",B
"რა მდგომარეობაშია 1999 წლის ფილმი მაგნოლია?
A.კალიფორნია
B.სამხრეთ კაროლინა
C.საქართველო
D.ტეხასი",A,"1999 წლის ფილმი ""Magnolia"" (მაგნოლია) ვითარდება კალიფორნიაში. ასე რომ, სწორი პასუხია A. კალიფორნია.",A
"მაღალი ენერგიის ფოსფატების, ATP და ფოსფოკრეატინის დაშლისგან გამოთავისუფლებული ენერგია შეიძლება შეინარჩუნოს მაქსიმალური ვარჯიშის ვარჯიში:
A.1-2 წამი.
B.5-10 წამი.
C.30-40 წამი.
D.50-60 წამი.",B,"მაღალი ენერგიის ფოსფატების, როგორიცაა ATP და ფოსფოკრეატინი, დაშლისგან გამოთავისუფლებული ენერგია შეიძლება შეინარჩუნოს მაქსიმალური ვარჯიშის ვარჯიში დაახლოებით 5-10 წამი. ამიტომ, სწორი პასუხი არის:

B. 5-10 წამი.",B
"ჩამოთვლილთაგან რომელმა გამოყო ყველაზე მეტი CO2 ერთ სულ მოსახლეზე 2017 წელს?
A.იაპონია
B.კანადა
C.რუსეთი
D.ირანი",B,"2017 წელს ერთ სულ მოსახლეზე CO2-ის გამოყოფის მიხედვით, ჩამოთვლილთაგან ყველაზე მეტი CO2 გამოყო კანადამ. 

კანადა ცნობილია თავისი მაღალი ენერგომოხმარებით და შედარებით მცირე მოსახლეობით, რაც იწვევს ერთ სულ მოსახლეზე მაღალი CO2-ის გამოყოფას.",B
"რომელი ფსიქოლოგიური პერსპექტივა იყო ყველაზე პოპულარული მეოცე საუკუნის დასაწყისში დასავლეთ ევროპაში?
A.ნეირომეცნიერება
B.ევოლუციური
C.ქცევითი
D.ფსიქოანალიტიკური",D,"D. ფსიქოანალიტიკური

მეოცე საუკუნის დასაწყისში დასავლეთ ევროპაში ყველაზე პოპულარული ფსიქოლოგიური პერსპექტივა იყო ფსიქოანალიტიკური. ეს მიმდინარეობა, რომელიც სიგმუნდ ფროიდის მიერ იყო განვითარებული, ფოკუსირებულია არაცნობიერ პროცესებზე, ბავშვობის გამოცდილებებზე და ფსიქიკური კონფლიქტების ანალიზზე.",D
"სერიის წრეში, თუ ერთ ნათურაში მიმდინარე არის 2 A, მის გვერდით ნათურაში დენი არის
A.1 ა
B.2: 00 AM
C.დამოკიდებულია იმაზე, თუ რომელი ნათურა უფრო ახლოს არის ბატარეასთან
D.არ არის საკმარისი ინფორმაცია სათქმელი",B,"სერიის წრეში, დენი ყველა კომპონენტში ერთნაირია, რადგან დენი არ იყოფა სერიის წრეში. ამიტომ, თუ ერთ ნათურაში დენი არის 2 A, მაშინ მის გვერდით ნათურაშიც დენი იქნება 2 A.

ამიტომ, სწორი პასუხია:
B. 2 A",B
"ნასწავლი უმწეობა, სავარაუდოდ, პირდაპირ კავშირშია
A.ბარნუმის ეფექტი.
B.თვითმომსახურების მიკერძოება.
C.კონტროლის გარე ლოკუსი.
D.უპირობო დადებითი პატივისცემა.",C,"ნასწავლი უმწეობა (learned helplessness) პირდაპირ კავშირშია:

C. კონტროლის გარე ლოკუსი (external locus of control).

ნასწავლი უმწეობა არის მდგომარეობა, როდესაც ადამიანი გრძნობს, რომ არ აქვს კონტროლი სიტუაციაზე და ვერ შეძლებს შეცვალოს თავისი მდგომარეობა, მიუხედავად იმისა, რომ რეალურად შეიძლება ჰქონდეს ამის შესაძლებლობა. ეს ხშირად დაკავშირებულია კონტროლის გარე ლოკუსთან, სადაც ადამიანი მიიჩნევს, რომ მისი ცხოვრების მოვლენები და შედეგები დამოკიდებულია გარე ფაქტორებზე და არა მის პირად ძალისხმევაზე.",C
" ეს მარკეტინგული და საკომუნიკაციო ინსტრუმენტი გთავაზობთ პირდაპირ ინდუმენტს ან სტიმულს, რომ წაახალისოს მომხმარებლები შეიძინონ პროდუქტი/მომსახურება:
A.რეკლამა.
B.საზოგადოებასთან ურთიერთობა.
C.გაყიდვების ხელშეწყობა.
D.პირდაპირი მარკეტინგი.",C,"C. გაყიდვების ხელშეწყობა.

გაყიდვების ხელშეწყობა არის მარკეტინგული და საკომუნიკაციო ინსტრუმენტი, რომელიც გთავაზობთ პირდაპირ ინდუმენტს ან სტიმულს, რომ წაახალისოს მომხმარებლები შეიძინონ პროდუქტი ან მომსახურება. ეს შეიძლება მოიცავდეს ფასდაკლებებს, კუპონებს, სპეციალურ შეთავაზებებს, საჩუქრებს და სხვა.",C
