Question,CorrectAnswer,GivenAnswer,Correct
"Актер Антонио Бандерастың ана тілі дегеніміз не?
A.Испанша
B.Орыс тілі
C.Неміс
D.Французша",A,А.Испанша,A
"1999 жылғы фильм Магнолияның жинағы қандай күйде?
A.Калифорния
B.Оңтүстік Каролина
C.Грузия
D.Техас",A,"1999 жылғы ""Магнолия"" фильмі Калифорния штатында түсірілген. Сондықтан дұрыс жауап - A. Калифорния.",A
"Нидерландының ресми тілі дегеніміз не?
A.Дат тілі
B.Швед тілі
C.Неміс
D.Голланд тілі",D,"D. Голланд тілі

Нидерландының ресми тілі голланд тілі болып табылады.",D
"Бір елде бәсекелестік басқа елдердегі бәсекелестіктің қандай дәрежеде әсер ететіні туралы термин қандай?
A.Халықаралық сауда
B.Ғаламдық экономика
C.Жаһандық бәсекелестік
D.Жаһандану",D,"Дұрыс жауап: C. Жаһандық бәсекелестік

Жаһандық бәсекелестік бір елдегі бәсекелестіктің басқа елдердегі бәсекелестікке қалай әсер ететінін сипаттайды. Бұл термин халықаралық нарықтарда компаниялар мен елдер арасындағы бәсекелестікті қамтиды.",C
"Теріс қалдық автокорреляция мыналардың қайсысы арқылы көрсетіледі?
A.Қалдықтардағы циклдік әшекей
B.Қалдықтардағы кезектесу үлгісі
C.Қалдықтардағы толық кездейсоқтық
D.Барлығы нөлге жақын қалдықтар",B,"Теріс қалдық автокорреляция қалдықтардағы кезектесу үлгісі арқылы көрсетіледі. Сондықтан дұрыс жауап:

B. Қалдықтардағы кезектесу үлгісі",B
"Жиырмасыншы ғасыр тоғысында Батыс Еуропада қандай психологиялық перспектива барынша танымал болды?
A.нейроғылым
B.эволюциялық
C.мінез-құлық
D.психоаналитик",D,"Жиырмасыншы ғасыр тоғысында Батыс Еуропада барынша танымал болған психологиялық перспектива - D. психоаналитик. Бұл кезеңде Зигмунд Фрейдтің психоанализ теориясы кеңінен таралып, психология мен психотерапия саласында үлкен ықпалға ие болды.",D
"Келесілердің қайсысы уақыт өте келе экономикалық өсімді күшейте түседі?
A.Табиғи ресурстарды неғұрлым тез тұтыну.
B.Ересектердің сауатсыздығының неғұрлым жоғары көрсеткіштері.
C.Капитал тауарлары қорының құлдырауы.
D.Инвестициялық салық бойынша есепке жатқызулар.",D,"Экономикалық өсімді күшейте түсетін факторлардың бірі - инвестициялық салық бойынша есепке жатқызулар. Сондықтан дұрыс жауап:

D. Инвестициялық салық бойынша есепке жатқызулар.

Бұл шара кәсіпорындарды жаңа технологиялар мен жабдықтарға инвестиция салуға ынталандырады, бұл өз кезегінде өндіріс тиімділігін арттырып, экономикалық өсімді қамтамасыз етеді.",D
"Сериялы контурда, егер бір шамдағы ток 2 А болса, оның қасындағы шамдағы ток
A.жартысы, 1 А
B.14:00 AM
C.Аккумулятор батареясына қай шам жақынырақ екеніне байланысты
D.Айтуға ақпарат жеткіліксіз",B,"Сериялы контурда барлық компоненттер бір тізбекке қосылғандықтан, әрбір компонент арқылы өтетін ток бірдей болады. Сондықтан, егер бір шамдағы ток 2 А болса, онда барлық шамдардағы ток та 2 А болады. Осылайша, дұрыс жауап:

E. Барлық шамдардағы ток бірдей, 2 А",E
"Марс суының бір бөлігі топырақта қатып, мұз қалпақшалары мен кейбіреулері күн желінің тазартуына байланысты жоғалды, бірақ бастапқы судың көп бөлігі басқа механизм арқылы жоғалды деп ойлады. Бұл «жоғалған» суға не болды?
A.оның күші тез төмендеген кезде магнит өрісін алып тастады
B.ол ультракүлгін жарықпен сутек пен оттекке сынды және жылулық қашу арқылы сутегі жоғалды
C.оны отызыншы марстықтардың өркениеті тұтынған
D.қарқынды вулканизм кезеңінде буланып, термиялық қашу арқылы ғарыштан айырылды",B,"B. ол ультракүлгін жарықпен сутек пен оттекке сынды және жылулық қашу арқылы сутегі жоғалды

Марс атмосферасындағы су молекулалары ультракүлгін сәулелердің әсерінен сутек пен оттекке ыдырайды. Сутек атомдары жеңіл болғандықтан, олар жылулық қашу арқылы ғарышқа жоғалады. Бұл процесс Марс атмосферасындағы судың айтарлықтай бөлігінің жоғалуына себеп болды.",B
"Бұл қорқынышты фильмдердің қайсысы ең секвестрді уылдырық шашты?
A.Айқайлау
B.Жақтар
C.Хаул
D.Жұма 13 ғ-дың 13-ші күні",D,"Ең көп секвелдер шығарған қорқынышты фильмдердің бірі - ""Жұма 13-нің 13-ші күні"" (Friday the 13th). Бұл фильмнің көптеген жалғасы бар және ол қорқынышты фильмдер жанрында өте танымал. Сондықтан, дұрыс жауап - D. Жұма 13-нің 13-ші күні.",D
