Question,CorrectAnswer,GivenAnswer,Correct
"តើ ឃាត កម្ម ខុស ច្បាប់ ដែល បាន ប្រព្រឹត្ត ដោយ រដ្ឋ មន្ត្រី ប្រទេស X នៅ ក្រៅ ប្រទេស ជា ទង្វើ មិន ត្រឹម ត្រូវ ឬ ជា ហ្គីសេ ?
A.ការប្រព្រឹត្តបែបនេះ គឺជាទង្វើសាធារណៈ (jure imperii)
B.ការ ប្រព្រឹត្ត បែប នេះ មិន ដែល ទាក់ ទាញ ភាព ស៊ាំ ឡើយ
C.ឥរិយាបថបែបនេះ គឺជាទង្វើឯកជន (jure gestionis)
D.ការ ប្រព្រឹត្ត បែប នេះ គឺ ជា ទង្វើ សាធារណៈ មួយ ប៉ុន្តែ ត្រូវ បាន ការពារ ដោយ ភាព ស៊ាំ",C,B. ការ ប្រព្រឹត្ត បែប នេះ មិន ដែល ទាក់ ទាញ ភាព ស៊ាំ ឡើយ,B
"តើអ្វីទៅជាតារាសម្តែងលោក Antonio Banderas ភាសាកំណើត?
A.ភាសាអេស្ប៉ាញ
B.ភាសារុស្ស៊ី
C.ភាសាអាឡឺម៉ង់
D.ភាសាបារាំង",A,"ភាសាកំណើតរបស់តារាសម្តែងលោក Antonio Banderas គឺជា:
A. ភាសាអេស្ប៉ាញ",A
"តើ ប្រទេស មួយ ណា ខាង ក្រោម បាន បញ្ចេញ CO2 ច្រើន ជាង គេ ក្នុង ចំណោម មនុស្ស ម្នាក់ ក្នុង ឆ្នាំ ២០១៧?
A.ប្រទេសជប៉ុន
B.ប្រទេសកាណាដា
C.ប្រទេស​រុស្ស៊ីភាសា
D.ប្រទេសអ៊ីរ៉ង់",B,ក្នុងឆ្នាំ ២០១៧ ប្រទេសដែលបានបញ្ចេញ CO2 ច្រើនជាងគេក្នុងចំណោមមនុស្សម្នាក់គឺប្រទេសកាណាដា (Canada)។,B
"តើ ភាសា ហូឡង់ ជា ភាសា ផ្លូវ ការ អ្វី ខ្លះ ?
A.ភាសាដាណឺម៉ាក
B.ភាសាស៊ុយអែត
C.ភាសាអាឡឺម៉ង់
D.ប្រទេសហូឡង់",D,"D. ប្រទេសហូឡង់

ភាសាហូឡង់ (Dutch) គឺជាភាសាផ្លូវការរបស់ប្រទេសហូឡង់ (Netherlands)។",D
"មនុស្សពេញវ័យអាយុមធ្យមមើលទៅច្រើនជាង ____ ជាងមនុស្សពេញវ័យឬក្មេងជាងវ័យ
A.ការ បង្កើត
B.ណឺរ៉ូទិក
C.យល់ស្រប
D.ប្រាកដ ណាស់",A,មនុស្សពេញវ័យអាយុមធ្យមមើលទៅច្រើនជាង **C.យល់ស្រប** ជាងមនុស្សពេញវ័យឬក្មេងជាងវ័យ,C
"ការ ស្វ័យ ប្រវត្តិ ដែល នៅ សល់ អវិជ្ជមាន ត្រូវ បាន បង្ហាញ ថា តើ ស្វ័យ ប្រវត្តិ មួយ ណា ក្នុង ចំណោម ស្វ័យ ប្រវត្តិ ខាង ក្រោម នេះ ?
A.លំនាំ វដ្ត នៅ ក្នុង សំណល់
B.លំនាំ ផ្លាស់ ប្តូរ នៅ ក្នុង មនុស្ស ដែល នៅ សល់
C.ចៃដន្យ ទាំងស្រុង នៅ សល់
D.សំណល់ ដែល នៅ ជិត សូន្យ",B,"ចម្លើយត្រឹមត្រូវគឺ៖

A. លំនាំ វដ្ត នៅ ក្នុង សំណល់

ស្វ័យប្រវត្តិដែលនៅសល់អវិជ្ជមានត្រូវបានបង្ហាញថា ""លំនាំ វដ្ត នៅ ក្នុង សំណល់""។",A
"តើ លក្ខណៈ មួយ ណា ដែល ជា ទូទៅ ស្រប ទៅ នឹង ការ រំលោភ សេព សន្ថវៈ កាល បរិច្ឆេទ ?
A.ការប្រើប្រាស់កម្លាំងហួសប្រមាណ
B.បុព្វេសន្និវាស
C.កាមតណ្ហា
D.ពាក់ ព័ន្ធ នឹង ការ ប្រើប្រាស់ អាវុធ",C,"A. ការប្រើប្រាស់កម្លាំងហួសប្រមាណ

ការរំលោភសេពសន្ថវៈជាទូទៅមានលក្ខណៈនៃការប្រើប្រាស់កម្លាំងហួសប្រមាណ ដើម្បីបង្ខំឱ្យជនរងគ្រោះធ្វើសកម្មភាពផ្លូវភេទដោយគ្មានការយល់ព្រម។",A
"អាជីវករ ប្រឡូក ក្នុង គណនី សង្គម ដោយសារ តែ ការ ទាមទារ ពី _________ ដើម្បី កំណត់ អត្តសញ្ញាណ ________ ដើម្បី ធ្វើ ឲ្យ ប្រសើរ ឡើង នូវ ___________ និង លើក ទឹក ចិត្ត _________ និង ___________
A.Stakeholders, Risks, Stakeholder management, Accountability, Transparency
B.Stakeholders, ការទទួលខុសត្រូវ, តម្លាភាព, ហានិភ័យ, ការគ្រប់គ្រងStakeholder
C.Stakeholders, ការទទួលខុសត្រូវ, ហានិភ័យ, Stakeholders, Stakeholder Management
D.Stakeholders, Stakeholder Management, Transparency, Risks, Accountability",A,"A. Stakeholders, Risks, Stakeholder management, Accountability, Transparency

អាជីវករ ប្រឡូក ក្នុង គណនី សង្គម ដោយសារ តែ ការ ទាមទារ ពី Stakeholders ដើម្បី កំណត់ អត្តសញ្ញាណ Risks ដើម្បី ធ្វើ ឲ្យ ប្រសើរ ឡើង នូវ Stakeholder management និង លើក ទឹក ចិត្ត Accountability និង Transparency",A
"ការ ធ្លាក់ ចុះ នៃ បុគ្គលិក លក្ខណៈ សរសើរ គឺ ជា ប្រភេទ ជាក់លាក់ មួយ នៃ បុគ្គលិក លក្ខណៈ
A.ការធ្លាក់នៃគ្រោះថ្នាក់
B.៤. អន់ ចិត្ត មិន ពិត
C.ការអង្វរសំណួរ
D.ការ វែក ញែក រង្វង់",A,"D. ការ វែក ញែក រង្វង់

ការធ្លាក់ចុះនៃបុគ្គលិកលក្ខណៈសរសើរគឺជាប្រភេទជាក់លាក់មួយនៃបុគ្គលិកលក្ខណៈដែលត្រូវបានគេស្គាល់ថាជាការវែកញែករង្វង់។",D
"ទឹក មួយ ចំនួន របស់ ភព ព្រះ អង្គារ ត្រូវ បាន កក នៅ ក្នុង ដី និង ផ្ទាំង ទឹក កក ហើយ ទឹក កក មួយ ចំនួន ត្រូវ បាន បាត់ បង់ ដោយសារ ការ ដក ខ្យល់ ព្រះ អាទិត្យ ប៉ុន្តែ ទឹក ដើម ភាគ ច្រើន ត្រូវ បាន គេ គិត ថា ត្រូវ បាន បាត់ បង់ តាម រយៈ យន្ត ការ មួយ ផ្សេង ទៀត ។ តើ មាន អ្វី កើត ឡើង ចំពោះ ទឹក "" បាត់ បង់ "" នេះ ?
A.វា ត្រូវ បាន ដក ចេញ ដោយ ដែន ម៉ាញេទិច នៅ ពេល ដែល វា បាន ថយ ចុះ យ៉ាង លឿន ក្នុង កម្លាំង
B.វា ត្រូវ បាន បំបែក ទៅ ជា អ៊ីដ្រូសែន និង អុកស៊ីសែន ដោយ ពន្លឺ អូលtraviolet ហើយ អ៊ីដ្រូសែន ត្រូវ បាន បាត់ បង់ តាម រយៈ ការ រត់ គេច កំដៅ ។
C.វា ត្រូវ បាន ប្រើប្រាស់ ដោយ អារ្យធម៌ របស់ ជន ជាតិ ម៉ារៀ ស្រេក ឃ្លាន
D.វា ត្រូវ បាន គេ ដាក់ ទំនេរ ក្នុង អំឡុង ពេល នៃ ភ្នំ ភ្លើង ដ៏ ខ្លាំង និង ត្រូវ បាន បាត់ បង់ ទៅ កន្លែង ទំនេរ តាម រយៈ ការ រត់ គេច កំដៅ ។",B,ចម្លើយត្រឹមត្រូវគឺ B. វា ត្រូវ បាន បំបែក ទៅ ជា អ៊ីដ្រូសែន និង អុកស៊ីសែន ដោយ ពន្លឺ អូលtraviolet ហើយ អ៊ីដ្រូសែន ត្រូវ បាន បាត់ បង់ តាម រយៈ ការ រត់ គេច កំដៅ ។,B
