Question,CorrectAnswer,GivenAnswer,Correct
"ನಟ ಆಂಟೋನಿಯೊ ಬಾಂಡೆರಾ ಅವರ ಸ್ಥಳೀಯ ಭಾಷೆ ಯಾವುದು?
A.ಸ್ಪ್ಯಾನಿಷ್
B.ರಷ್ಯನ್
C.ಜರ್ಮನ್
D.ಫ್ರೆಂಚ್",A,A. ಸ್ಪ್ಯಾನಿಷ್,A
"ನೆದರ್ಲ್ಯಾಂಡ್ಸ್ನ ಅಧಿಕೃತ ಭಾಷೆ ಯಾವುದು?
A.ಡ್ಯಾನಿಶ್
B.ಸ್ವೀಡಿಷ್
C.ಜರ್ಮನ್
D.ಡಚ್",D,D. ಡಚ್,D
"1999 ರ ಚಲನಚಿತ್ರ ಮ್ಯಾಗ್ನೋಲಿಯಾ ಯಾವ ರಾಜ್ಯದಲ್ಲಿದೆ?
A.ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ
B.ದಕ್ಷಿಣ ಕೆರೊಲಿನಾ
C.ಜಾರ್ಜಿಯಾ
D.ಟೆಕ್ಸಾಸ್",A,"A. ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ

1999 ರ ಚಲನಚಿತ್ರ ""ಮ್ಯಾಗ್ನೋಲಿಯಾ"" ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ ರಾಜ್ಯದಲ್ಲಿ ಸೆಟ್ಟಿಂಗ್ ಮಾಡಲಾಗಿದೆ.",A
"ಮಧ್ಯವಯಸ್ಕ ವಯಸ್ಕರು ವಯಸ್ಸಾದ ಅಥವಾ ಕಿರಿಯ ವಯಸ್ಕರಿಗಿಂತ ಹೆಚ್ಚು ______ ಎಂದು ತೋರುತ್ತದೆ
A.ಜನರೇಟಿವ್
B.ನ್ಯೂರೋಟಿಕ್
C.ಒಪ್ಪಬಹುದು
D.ಖಚಿತ",A,"ಮಧ್ಯವಯಸ್ಕ ವಯಸ್ಕರು ವಯಸ್ಸಾದ ಅಥವಾ ಕಿರಿಯ ವಯಸ್ಕರಿಗಿಂತ ಹೆಚ್ಚು **ಜನರೇಟಿವ್** ಎಂದು ತೋರುತ್ತದೆ.

A. ಜನರೇಟಿವ್",A
" ಈ ಮಾರ್ಕೆಟಿಂಗ್ ಮತ್ತು ಸಂವಹನ ಸಾಧನವು ಉತ್ಪನ್ನ / ಸೇವೆಯನ್ನು ಖರೀದಿಸಲು ಗ್ರಾಹಕರನ್ನು ಪ್ರೋತ್ಸಾಹಿಸಲು ನೇರ ಪ್ರಚೋದನೆ ಅಥವಾ ಪ್ರೋತ್ಸಾಹವನ್ನು ನೀಡುತ್ತದೆ:
A.ಜಾಹೀರಾತು.
B.ಸಾರ್ವಜನಿಕ ಸಂಪರ್ಕಗಳು.
C.ಮಾರಾಟ ಪ್ರಚಾರ.
D.ನೇರ ಮಾರ್ಕೆಟಿಂಗ್.",C,"ಉತ್ಪನ್ನ ಅಥವಾ ಸೇವೆಯನ್ನು ಖರೀದಿಸಲು ಗ್ರಾಹಕರನ್ನು ಪ್ರೋತ್ಸಾಹಿಸಲು ನೇರ ಪ್ರಚೋದನೆ ಅಥವಾ ಪ್ರೋತ್ಸಾಹವನ್ನು ನೀಡುವ ಮಾರ್ಕೆಟಿಂಗ್ ಮತ್ತು ಸಂವಹನ ಸಾಧನವು:
C. ಮಾರಾಟ ಪ್ರಚಾರ.",C
"ಒಂದು ದೇಶದಲ್ಲಿನ ಸ್ಪರ್ಧೆಯು ಇತರ ದೇಶಗಳಲ್ಲಿನ ಸ್ಪರ್ಧೆಯಿಂದ ಎಷ್ಟರ ಮಟ್ಟಿಗೆ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ ಎಂಬ ಪದ ಯಾವುದು?
A.ಅಂತರರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರ
B.ಜಾಗತಿಕ ಅರ್ಥಶಾಸ್ತ್ರ
C.ಜಾಗತಿಕ ಸ್ಪರ್ಧೆ[ಬದಲಾಯಿಸಿ]
D.ಜಾಗತೀಕರಣ[ಬದಲಾಯಿಸಿ]",D,"ಒಂದು ದೇಶದಲ್ಲಿನ ಸ್ಪರ್ಧೆಯು ಇತರ ದೇಶಗಳಲ್ಲಿನ ಸ್ಪರ್ಧೆಯಿಂದ ಎಷ್ಟರ ಮಟ್ಟಿಗೆ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ ಎಂಬುದನ್ನು ವಿವರಿಸುವ ಪದ ""ಜಾಗತಿಕ ಸ್ಪರ್ಧೆ"" (Global Competition) ಆಗಿದೆ. 

ಅದರಂತೆ, ಸರಿಯಾದ ಉತ್ತರವು:
C. ಜಾಗತಿಕ ಸ್ಪರ್ಧೆ",C
"ರಿಪ್ಲೇ ಅಟ್ಯಾಕ್ ಎಂದರೇನು?
A.ಸಿಸ್ಟಮ್ ಕಳುಹಿಸಿದ ಸಂದೇಶಕ್ಕೆ ದಾಳಿಕೋರನು ಪ್ರತ್ಯುತ್ತರ ನೀಡಿದಾಗ
B.ದೌರ್ಬಲ್ಯವನ್ನು ಹುಡುಕುತ್ತಾ ನಿರಂತರವಾಗಿ ಪುನರಾವರ್ತಿಸುವ ದಾಳಿ
C.ಸಿಸ್ಟಮ್ ನ ಸ್ವಂತ ಸಂದೇಶಗಳನ್ನು ಬಳಸುವ ಮತ್ತು ಆದ್ದರಿಂದ ಅದರ ವಿರುದ್ಧ ರಕ್ಷಿಸಲಾಗದ ದಾಳಿ
D.ದಾಳಿಕೋರನು ಸೆರೆಹಿಡಿದ ಸಂದೇಶವನ್ನು ಕಳುಹಿಸುತ್ತಾನೆ, ಮತ್ತು ಸೈಟ್ ಅದನ್ನು ಸ್ವೀಕರಿಸುತ್ತದೆ ಮತ್ತು ಆಕ್ರಮಣಕಾರನ ಪರವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತದೆ",D,"ರಿಪ್ಲೇ ಅಟ್ಯಾಕ್ ಎಂದರೇನು?

D. ದಾಳಿಕೋರನು ಸೆರೆಹಿಡಿದ ಸಂದೇಶವನ್ನು ಕಳುಹಿಸುತ್ತಾನೆ, ಮತ್ತು ಸೈಟ್ ಅದನ್ನು ಸ್ವೀಕರಿಸುತ್ತದೆ ಮತ್ತು ಆಕ್ರಮಣಕಾರನ ಪರವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತದೆ",D
"________ ಗುರುತಿಸಲು, ___________ ಸುಧಾರಿಸಲು ಮತ್ತು _________ ಮತ್ತು ___________ ಪ್ರೋತ್ಸಾಹಿಸಲು _________ ಬೇಡಿಕೆಗಳಿಂದಾಗಿ ವ್ಯವಹಾರಗಳು ಸಾಮಾಜಿಕ ಲೆಕ್ಕಪರಿಶೋಧನೆಯಲ್ಲಿ ತೊಡಗುತ್ತವೆ
A.ಮಧ್ಯಸ್ಥಗಾರರು, ಅಪಾಯಗಳು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ, ಉತ್ತರದಾಯಿತ್ವ, ಪಾರದರ್ಶಕತೆ
B.ಮಧ್ಯಸ್ಥಗಾರರು, ಉತ್ತರದಾಯಿತ್ವ, ಪಾರದರ್ಶಕತೆ, ಅಪಾಯಗಳು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ
C.ಮಧ್ಯಸ್ಥಗಾರರು, ಉತ್ತರದಾಯಿತ್ವ, ಅಪಾಯಗಳು, ಮಧ್ಯಸ್ಥಗಾರರು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ
D.ಮಧ್ಯಸ್ಥಗಾರರು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ, ಪಾರದರ್ಶಕತೆ, ಅಪಾಯಗಳು, ಉತ್ತರದಾಯಿತ್ವ",A,"________ ಗುರುತಿಸಲು, ___________ ಸುಧಾರಿಸಲು ಮತ್ತು _________ ಮತ್ತು ___________ ಪ್ರೋತ್ಸಾಹಿಸಲು _________ ಬೇಡಿಕೆಗಳಿಂದಾಗಿ ವ್ಯವಹಾರಗಳು ಸಾಮಾಜಿಕ ಲೆಕ್ಕಪರಿಶೋಧನೆಯಲ್ಲಿ ತೊಡಗುತ್ತವೆ

A. ಮಧ್ಯಸ್ಥಗಾರರು, ಅಪಾಯಗಳು, ಮಧ್ಯಸ್ಥಗಾರರ ನಿರ್ವಹಣೆ, ಉತ್ತರದಾಯಿತ್ವ, ಪಾರದರ್ಶಕತೆ",A
"ಈ ಕೆಳಗಿನವುಗಳಲ್ಲಿ ಯಾವ ದೇಶವು 2017 ರಲ್ಲಿ ಅತಿ ಹೆಚ್ಚು CO2 ಅನ್ನು ಹೊರಸೂಸಿತು?
A.ಜಪಾನ್
B.ಕೆನಡಾ
C.ರಷ್ಯಾ
D.ಇರಾನ್",B,"2017 ರಲ್ಲಿ ಅತಿ ಹೆಚ್ಚು CO2 ಅನ್ನು ಹೊರಸೂಸಿದ ದೇಶವು ಚೀನಾ. ಆದರೆ ನಿಮ್ಮ ಆಯ್ಕೆಗಳ ಪೈಕಿ, ರಷ್ಯಾ (C) CO2 ಉಳಿತಾಯದ ಪ್ರಮಾಣದಲ್ಲಿ ಹೆಚ್ಚು CO2 ಅನ್ನು ಹೊರಸೂಸಿದ ದೇಶವಾಗಿದೆ.",C
"ಈ ಪ್ರಶ್ನೆಯು ಈ ಕೆಳಗಿನ ಮಾಹಿತಿಯನ್ನು ಉಲ್ಲೇಖಿಸುತ್ತದೆ.
""ವಾಸ್ತವವಾಗಿ, ತರ್ಕ ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮೇಲೆ ತಮ್ಮ ಅಭಿಪ್ರಾಯವನ್ನು ಆಧರಿಸಿದ ಪ್ರಖ್ಯಾತ ವಿದ್ವಾಂಸರ ಫತ್ವಾಗಳು ಮತ್ತು ಸುನ್ನಿ ಸಮುದಾಯದ ಒಮ್ಮತವು ದುಷ್ಟ ನಾವೀನ್ಯತೆಯನ್ನು ನಿರ್ಮೂಲನೆ ಮಾಡುವುದು, ನಿರ್ಮೂಲನೆ ಮಾಡುವುದು ಮತ್ತು ಹೊರಹಾಕುವ ಪ್ರಾಚೀನ ಬಾಧ್ಯತೆ ನಮ್ಮ ಉನ್ನತ ಆಕಾಂಕ್ಷೆಯ ಗುರಿಯಾಗಿರಬೇಕು ಎಂದು ಒಪ್ಪುತ್ತವೆ, ಏಕೆಂದರೆ ""ಧಾರ್ಮಿಕ ಉತ್ಸಾಹವು ಕರುಣಾಮಯಿ ದೇವರ ನಂಬಿಕೆಯ ವಿಜಯವಾಗಿದೆ""; ನಂತರ, ಪ್ರವಾದಿ (ಸ) ಅವರ ಮಾತುಗಳಿಗೆ ಅನುಗುಣವಾಗಿ (ಸ) ""ನಮ್ಮ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ದುಷ್ಟ ಆವಿಷ್ಕಾರವನ್ನು ಪರಿಚಯಿಸುವವರನ್ನು ಹೊರಹಾಕಬೇಕು"" ಮತ್ತು ""ನಮ್ಮ ಆದೇಶಕ್ಕೆ ವಿರುದ್ಧವಾಗಿ ಯಾರೇ ಮಾಡಿದರೂ ಅವರನ್ನು ಹೊರಹಾಕಬೇಕು"", ಕ್ರಮವು ಅಗತ್ಯ ಮತ್ತು ತುರ್ತು ಅಗತ್ಯವಾಗಿದೆ ...""
ಒಟ್ಟೋಮನ್ ಸುಲ್ತಾನ್ ಒಂದನೇ ಸೆಲೀಮ್ ಒಂದನೇ ಸಫಾವಿದ್ ಷಾ ಇಸ್ಮಾಯಿಲ್ ಗೆ ಬರೆದ ಪತ್ರ, 1514
ಸಫಾವಿದ್ ಗಳು ಒಟ್ಟೋಮನ್ ಮತ್ತು ಮೊಘಲ್ ಸಾಮ್ರಾಜ್ಯಗಳಂತಹ ಇಸ್ಲಾಮಿಕ್ ಸಾಮ್ರಾಜ್ಯಗಳ ಕೋಪವನ್ನು ಸೆಳೆದರು, ಮುಖ್ಯವಾಗಿ ಸಫಾವಿದ್ ಗಳು
A.ಭೌಗೋಳಿಕವಾಗಿ ಇತರ ಇಬ್ಬರು ವಿಸ್ತರಣಾವಾದಿಗಳ ನಡುವೆ ನೆಲೆಗೊಂಡಿರುವ ವಿಸ್ತರಣಾವಾದಿ ಸಾಮ್ರಾಜ್ಯವಾಗಿತ್ತು
B.ಇಸ್ಲಾಮಿನ ಕೇಂದ್ರ ತತ್ವಗಳನ್ನು ತಿರಸ್ಕರಿಸಿದರು
C.ಕ್ರಿಶ್ಚಿಯನ್ನರನ್ನು ಗುಲಾಮರನ್ನಾಗಿ ಮಾಡಿದರು ಮತ್ತು ಅವರನ್ನು ಸಫಾವಿದ್ ಹೋರಾಟಗಾರರನ್ನಾಗಿ ಮಾಡಿದರು
D.ಇಸ್ಮಾಯಿಲ್ ತನ್ನನ್ನು ಖಲೀಫಾ ಎಂದು ಘೋಷಿಸಿಕೊಂಡನು",A,"ಸಫಾವಿದ್ ಗಳು ಒಟ್ಟೋಮನ್ ಮತ್ತು ಮೊಘಲ್ ಸಾಮ್ರಾಜ್ಯಗಳಂತಹ ಇಸ್ಲಾಮಿಕ್ ಸಾಮ್ರಾಜ್ಯಗಳ ಕೋಪವನ್ನು ಸೆಳೆದರು, ಮುಖ್ಯವಾಗಿ ಸಫಾವಿದ್ ಗಳು:

A. ಭೌಗೋಳಿಕವಾಗಿ ಇತರ ಇಬ್ಬರು ವಿಸ್ತರಣಾವಾದಿಗಳ ನಡುವೆ ನೆಲೆಗೊಂಡಿರುವ ವಿಸ್ತರಣಾವಾದಿ ಸಾಮ್ರಾಜ್ಯವಾಗಿತ್ತು",A
