Question,CorrectAnswer,GivenAnswer,Correct
"ئەکتەر ئەنتۆنیۆ باندێراس چییە؟
A.ئیسپانی
B.ڕووسی
C.ئەڵمانی
D.فەرەنسی",A,ئەکتەر ئەنتۆنیۆ باندێراس ئیسبانییە. (A.ئیسپانی),A
"زمانی فەرمی هۆڵەندا چییە؟
A.دانیمارکی
B.سویدی
C.ئەڵمانی
D.هۆڵەندی",D,زمانی فەرمی هۆڵەندا زمانی هۆڵەندی (D)یە.,D
"که سایه تی هه ڵس و که وتین جۆرێکی تایبه تی
A.هەڵەی ڕووداو
B.کێشەی هەڵە
C.پرسیارکردن
D.لێکدانەوەی بازنەیی",A,"وەڵامی دروست بریتیە لە:
D. لێکدانەوەی بازنەیی",D
"بۆچی پێشمەرگە دژی یەکسانییە؟
A.ئەو دەڵێت کە کۆمەڵگایەکی نایەکسان شتێکی حەتمییە.
B.ئەو دەڵێت بە دابینکردنی پێداویستییەکانی هەژاران، دەتوانین یەکسانی زیاد بکەین.
C.ئەو دەڵێت ئێمە هەموومان بەرپرسیارین لە هەژاریی خۆمان.
D.ئەو بە تەواوی بیرۆکەی یەکسانی ڕەت دەکاتەوە.",B,"وەڵامی ڕاستە:
D.ئەو بە تەواوی بیرۆکەی یەکسانی ڕەت دەکاتەوە.",D
"لە چ وڵاتێکدا فیلمی ماگنۆلیای ساڵی ۱۹۹۹یە؟
A.کالیفۆرنیا
B.کارۆلینای باشوور
C.جۆرجیا
D.تێکساس",A,"فیلمی ""ماگنۆلیا""ی ساڵی ۱۹۹۹ لە وڵاتی ئەمریکا فیلمبرداری کراوە، بە تایبەتی لە کالیفۆرنیا. بۆیە وەڵامی ڕاست ئەمەیە:

A. کالیفۆرنیا",A
"ئەو ڤۆڵتییەی کە لە هاندەرێکدا دروست دەکرێت وەک
A.لە ڕێگەی ئەوەوە کە ئێستا و لە ڕێگەی
B.لە ئێستادا ڕێژەی ئەو لە ڕێگەی
C.لە ئێستادا لە ڕێگەی ئەوەوە بۆ ئەوەی
D.به رهه مى ئه و گۆڕان و گۆڕانه ى ئێستاى",D,"وەڵامی دروست بریتییە لە:

D. به رهه مى ئه و گۆڕان و گۆڕانه ى ئێستاى

ئەو ڤۆڵتییەی کە لە هاندەرێکدا دروست دەکرێت بەرهەمی ئەو گۆڕان و گۆڕانەی ئێستایە.",D
"کام ڕوانگەی دەروونی بەناوبانگترین بوو لە سەدەی بیستەم لە ئەوروپای ڕۆژئاوا؟
A.دەمارزانی
B.پەرەسەندن
C.ڕەفتارکار
D.دەروونشیکاری",D,بەناوبانگترین ڕوانگەی دەروونی لە سەدەی بیستەم لە ئەوروپای ڕۆژئاوا ڕەفتارکار بوو. (C.ڕەفتارکار),C
"گه نجانی ته مه ن زیاتر له گه نج و گه نجن
A.دروستکەر
B.دەمار
C.ڕەزامەند
D.دڵنیا",A,"وەڵامەکە دروستە: ""ڕەزامەند"" (C). 

ئەو وتارەی کە نووسیوتە واتای ئەوەیە کە ""گه نجانی ته مه ن زیاتر له گه نج و گه نجن"" یان ""ڕەزامەند"" بێت.",C
"کام لەو وڵاتانە زۆرترین ڕێژەی CO2یان لە ساڵی 2017دا بڵاوکردەوە؟
A.ژاپۆن
B.کەنەدا
C.ڕووسیا
D.ئێران",B,زۆرترین ڕێژەی CO2 لە ساڵی 2017دا بڵاوکردەوە لە وڵاتی چین بوو. بەڵام لە نێوان وڵاتەکان کە تۆ دیاری کردووە، ڕووسیا (C) زۆرترین ڕێژەی CO2 بڵاوکردەوە.,C
"ئایا ڕێککەوتنەکە لەگەڵ کام لەم خاڵانەی خوارەوەدا دەکرێت؟
A.شێوازی سووڕانەوە لە پاشماوەکاندا
B.شێوازێکی گۆڕاو لە پاشماوەکاندا
C.هه ڕه مه کییه کی ته واو له پاشماوه کاندا
D.پاشماوەکان کە هەموویان نزیکن لە سفر",B,"ڕێککەوتنەکە لەگەڵ ئەم خاڵەی خوارەوە دەکرێت:

B. شێوازێکی گۆڕاو لە پاشماوەکاندا

ئەمە واتە شێوازی نوێیەکە یان گۆڕاوەکە لە پاشماوەکاندا دەکرێت.",B
"نەخۆشێک تووشی شکانی مل دەبێت لەگەڵ زیان گەیاندن بە دڕکەبڕ لە ئاستی شەشەمی بڕبڕەی مل.
A.ئەوان بەبێ پاڵپشتی ژیان ناتوانن هەناسە بدەن.
B.ئەوان تەنها بە بێدەنگی هەناسە دەدەن.
C.مەحاڵە کاریگەری لەسەر هەناسەدان هەبێت.
D.هەناسەدان بێ کاریگەری دەبێت.",B,"وەڵامی ڕاستە:
C. مەحاڵە کاریگەری لەسەر هەناسەدان هەبێت.

ئەگەر شکانی مل لە ئاستی شەشەمی بڕبڕەی مل زیان بگات، ئەوا کاریگەرییەکی زۆر قورس لەسەر هەناسەدان دەبێت. بڕبڕەی شەشەم لە بڕبڕەکانەوەیە کە بەرزترین بڕبڕەی ملە و زیانی بە دڕکەبڕ لەو شوێنەدا دەتوانێت هەناسەدان بە شێوەیەکی زۆر قورس کاریگەری لەسەر بکات.",C
"کۆمپانیاکان بەشدارن لە ژمێریاری کۆمەڵایەتی بەهۆی داواکارییەکانی _________، بۆ دیاریکردنی ________، بۆ باشترکردنی ___________ و هاندانی _________ و ___________
A.خاوەن پێداویستییەکان، مەترسیەکان، بەڕێوەبردنی خاوەن پشکەکان، بەرپرسیارێتی، شەفافیەت
B.خاوەن پێداویستییەکان، بەرپرسیارێتی، شەفافیەت، مەترسی، بەڕێوەبردنی خاوەن پشکەکان
C.خاوەن پێداویستییەکان، بەرپرسیارێتی، مەترسی، خاوەن پێداویستییەکان، بەڕێوەبردنی خاوەن پشکەکان
D.خاوەن پێداویستییەکان، بەڕێوەبردنی خاوەن پشکەکان، شەفافیەت، مەترسی، بەرپرسیارێتی",A,"وەڵامی ڕاستە: A. خاوەن پێداویستییەکان، مەترسیەکان، بەڕێوەبردنی خاوەن پشکەکان، بەرپرسیارێتی، شەفافیەت

کۆمپانیاکان بەشدارن لە ژمێریاری کۆمەڵایەتی بەهۆی داواکارییەکانی خاوەن پێداویستییەکان، بۆ دیاریکردنی مەترسیەکان، بۆ باشترکردنی بەڕێوەبردنی خاوەن پشکەکان و هاندانی بەرپرسیارێتی و شەفافیەت.",A
"کام لە تایبەتمەندییەکانی خوارەوە بە شێوەیەکی گشتی لەگەڵ دەستدرێژی سێکسیدا هاوسەنگن؟
A.بەکارهێنانی هێزی زیاد لە پێویست
B.پێشبینیکراو
C.پاڵنەری سێکسی
D.بەکارهێنانی چەک",C,"وەڵامی ڕاست ""B. پێشبینیکراو""ە. تایبەتمەندیەکانی خوارەوە بە شێوەیەکی گشتی لەگەڵ دەستدرێژی سێکسیدا هاوسەنگن بەوەیە کە ئەم کردارە پێشبینیکراوە و پلاندانراوە. ئەمە واتە ئەو کەسەی کە دەستدرێژی سێکسی دەکات، پێشتر پلانی ئەم کردارەی کردووە و بەرنامەیەکی دیاری کراو هەیە بۆ ئەنجامدانی.",B
"دەتوانن باشتر بێژەی بکەن؟ یا بە زاراوەیەکی تر؟ بێژە کردنی X بە ئیتالیایی
A.ئەم ڕەفتارە گشتیە (Jure imperii)
B.ئەم جۆرە ڕەفتارانە هەرگیز بەرگری ڕاناکێشێت
C.ئەم ڕەفتارە کارێکی تایبەتە (Jure gestionis)
D.ئەم جۆرە ڕەفتارانە کردەوەیەکی گشتییە بەڵام پارێزراوە بە پاراستن",C,"بەڵێ، دەتوانم بێژە کردنی ئەم دەقە بە ئیتالیایی بکەم. ئەم دەقە بە ئیتالیایی بەم شێوەیە دەبێتەوە:

A. Questo comportamento è pubblico (Jure imperii)
B. Questo tipo di comportamento non è mai protetto dall'immunità
C. Questo comportamento è un atto privato (Jure gestionis)
D. Questo tipo di comportamento è un atto pubblico ma è protetto dall'immunità

ئەگەر هەر پەیوەندیدارێکی تر هەیە، بێگومان بپرسە!",C
"ئەم پرسیارە دەگەڕێتەوە بۆ ئەم زانیارییانەی خوارەوە.
لە ڕاستیدا، وەک هەردوو فەتوای [زانا دیارەکان] کە بۆچوونی خۆیان لەسەر هۆکار و نەریت بەیەکەوە دەبەستن و هاوڕای کۆمەڵگەی سوننە هاوڕان لەسەر ئەوەی کە ئەرکی کۆنی لەناوبردنی لەناوبردنی داهێنانە خراپەکان دەبێت ئامانجی ئارەزووی بەرزی ئێمە بێت، چونکە ""پەرۆشی ئاینی سەرکەوتنێکە بۆ باوەڕی خودای سوودمەند."" دوای ئه وه ی پێغه مبه ر (صلی الله علیه وسلم) فه رمووده یه ک ده رده که وێته وه . هەرکەسێک داهێنانی خراپ لە فەرمانەکەماندا پێشکەش بکات، دەبێت دەربکرێت"" و ""هەرکەسێک دژی فەرمانەکەمان بێت دەبێت دەربکرێت،"" کردارەکە بووە بە پێویست و هاندەر.""
نامەیەک لە سوڵتان سەلیمی یەکەم بۆ سەفەوی شا ئیسماعیل ۱۵۱۴
سەفەوییەکان تووڕەیی ئیمپراتۆریەتە ئیسلامییەکانیان وەک عوسمانی و ئیمپراتۆرییەتە موغاڵەکان ڕاکێشا بە شێوەیەکی سەرەکی لەبەر ئەوەی سەفەوییەکان
A.ئیمپراتۆریەتێکی فراوان بوون لە ڕووی جوگرافییەوە دەکەوێتە نێوان دوو فراوانخوازی تر
B.ڕەتکردنەوەی بنەماکانی ئیسلام
C.مەسیحییە کۆیلەکان و کردیان بە شەڕکەری سەفەوی
D.ئیسماعیل خۆی بە خەلیفە ڕاگەیاند",A,"وەڵامی دروست بۆ ئەم پرسیارە ""A. ئیمپراتۆریەتێکی فراوان بوون لە ڕووی جوگرافییەوە دەکەوێتە نێوان دوو فراوانخوازی تر""ە. سەفەوییەکان تووڕەیی ئیمپراتۆریەتە ئیسلامییەکانیان وەک عوسمانی و ئیمپراتۆرییەتە موغاڵەکان ڕاکێشا بە شێوەیەکی سەرەکی لەبەر ئەوەی سەفەوییەکان لە نێوان دوو فراوانخوازی تر بوون لە ڕووی جوگرافییەوە.",A
" ئەم ئامرازە بە بازاڕکردن و پەیوەندیکردن هاندەرێکی ڕاستەوخۆ یان هاندەرێک پێشکەش دەکات بۆ هاندانی کڕیاران بۆ کڕینی بەرهەمێک یان خزمەتگوزاریەک:
A.ڕیکلام.
B.پەیوەندییە گشتییەکان.
C.بەرزکردنەوەى فرۆشتن.
D.بازاڕکردنی راستەوخۆ.",C,"وەڵامی ڕاستەوخۆ:
D. بازاڕکردنی راستەوخۆ.

بازاڕکردنی راستەوخۆ هاندەرێکی ڕاستەوخۆ پێشکەش دەکات بۆ هاندانی کڕیاران بۆ کڕینی بەرهەمێک یان خزمەتگوزاریەک. لەو شێوەیەی کە کۆمپانیاکان بە شێوەیەکی ڕاستەوخۆ پەیوەندییان پێوە دەکەن بە کڕیاران بۆ پێشکەشکردنی زانیاری و هاندانیان بۆ کڕین.",D
"کام لەو فیلمانە زۆرترین بەرهەمیان هێناوە؟
A.هاوار
B.جاوس
C.هەڵۆوین
D.هەینی 13'.",D,"فیلمی ""هەڵۆوین"" (Halloween) زۆرترین بەرهەمی هێناوە لە نێوان ئەم فیلمانە. ئەم فیلمە لە ساڵی 1978ەوە دەستپێکرد و بە شێوەیەکی زۆر بەسەرکەوتوویی بەرهەمەکانی بەردەوام بوون. تاکو ئێستا چەندین فیلم و ڕیزە فیلمی تری ""هەڵۆوین"" هاتنە بازاڕەوە، کە ئەمەش دەرفەتی زۆری بەرز بووە بۆ ئەم فیلمە لە نێوان فیلمە ترەکان.",C
"کام لەو خواردنانە لە ڕیخۆڵەی بەراز دروست دەکرێت؟
A.هاگیس
B.چیتلینس
C.گریان
D.چۆپ سوی",B,"وەڵامی ڕاست ""A. هاگیس""ە. هاگیس خواردنێکی کەلتوریی سکاڵدانیە کە لە ڕیخۆڵەی بەراز دروست دەکرێت. ئەم خواردنە بە شێوەیەکی کەلتوری لە سکاڵدانەوە هاتووە و پێک دێت لە ڕیخۆڵەی بەراز (بە تایبەتی شیکەردان، قەڵەو، و جەگەر) کە لەگەڵ پیاز، ئاوەی جۆ، و چاشنییەکان تێکەڵ دەکرێت و لە ناو مەعدەی بەراز پەخشی دەکرێت.",A
"ئەو ڕاستییەی کە ڕێژەی هەڵمژینی ژێر سوور لە کلۆرایدی دۆتێریۆم (DCl) لە هایدرۆجین کلۆراید (HCl) دەگۆڕێت بەهۆی جیاوازیەکانی
A.دابەشکردنی ئەلکترۆن
B.ساتی دیپۆل
C.نەگۆڕی هێز
D.کەمبونەوەی بارستە",D,"ئەو ڕاستییەی کە ڕێژەی هەڵمژینی ژێر سوور لە کلۆرایدی دۆتێریۆم (DCl) لە هایدرۆجین کلۆراید (HCl) دەگۆڕێت بەهۆی جیاوازیەکانی:

B. ساتی دیپۆل

ساتی دیپۆل بەهۆی جیاوازی لە نێوان ئەڵکترۆنێگاتیڤیتیی ئەتۆمەکانەوە دەبێت، وە ئەم جیاوازیە لە نێوان HCl و DCl هەیە بەهۆی ئەوەی کە دۆتێریۆم (D) و هایدرۆجین (H) جیاوازی توندی هەیە. ئەم جیاوازیە ساتی دیپۆلی جیاواز دروست دەکات کە دەتوانێت ڕێژەی هەڵمژینی ژێر سوور بگۆڕێت.",B
"ژمارەی ئەو کەسانەی کە نزیکن لە هەزار کەس ۴۷ هەزار کەسن چ ژمارەیەک دەکرێت ئەو ژمارەیە بێت کە دەورە دراوە؟
A.46,295
B.46,504
C.47,520
D.47,924",B,"بۆ دۆزینەوەی ئەو ژمارەیەی کە نزیکەی ٤٧ هەزار کەسە، پێویستە ژمارەکە دەورە دراوە بێت بۆ نزیکترین هەزار. بەم شێوەیە:

- ژمارەی 46,295 دەورە دەکرێت بۆ 46,000
- ژمارەی 46,504 دەورە دەکرێت بۆ 47,000
- ژمارەی 47,520 دەورە دەکرێت بۆ 48,000
- ژمارەی 47,924 دەورە دەکرێت بۆ 48,000

بەمەشە، ژمارەی 46,504 نزیکترین ژمارەیە بۆ 47,000.

وەڵامی ڕاست بریتیە لە:
B. 46,504",B
"کام لەمانە وا لە دیاریکردنی پەیوەندی پەرەسەندنی جۆرە جیاوازەکان دەکات لەسەر بنەمای زنجیرەی ترشی ئەمینی پڕۆتینی یەکگرتوو بە شێوەیەکی گشتی کەمتر ورد دەبێت لە دیاریکردنی پەیوەندی لەسەر بنەمای زنجیرەکانی نیوکلیۆتایدی جینی ھاوڕەگەزخواز؟
A.گۆڕانکارییە بێدەنگەکان
B.دووبارەبوونەوەی جین
C.ئەو ڕووداوانەی کە زنجیرەی جینەکان دەگۆڕن
D.تێپەڕین",A,"وەڵامی ڕاستە:
A. گۆڕانکارییە بێدەنگەکان

گۆڕانکارییە بێدەنگەکان (Silent Mutations) ئەو گۆڕانکارییانەیە کە لە زنجیرەی نیوکلیۆتایدی جینەکان ڕوودەدات بەبێ ئەوەی کە کاریگەرییەکی دیاری بەرز لەسەر زنجیرەی ترشی ئەمینی پڕۆتینی یەکگرتوو هەبێت. بەم شێوەیە، دیاریکردنی پەیوەندی پەرەسەندنی جۆرە جیاوازەکان لەسەر بنەمای زنجیرەی ترشی ئەمینی پڕۆتینی یەکگرتوو کەمتر ورد دەبێت لە دیاریکردنی پەیوەندی لەسەر بنەمای زنجیرەکانی نیوکلیۆتایدی جینی هاوڕەگەزخواز.",A
"لە زنجیرەیەک سووڕدا، ئەگەر تەزوەکە لە یەک گڵۆپدا ۲ ئەی بێت، تەزوەکە لە گڵۆپەکەی تەنیشت ئەوەیە
A.نیو ۱ ئەی
B.2:00 بەیانی
C.چۆن گۆ دەکرێ battery
D.زانیاری تەواو نییە بۆ ئەوەی بڵێین",B,"ئەگەر تەزوەکە لە یەک گڵۆپدا ۲ ئەی بێت، ئەوا تەزوەکە لە گڵۆپەکەی تەنیشت ئەوەیە:

A. نیو ۱ ئەی

لە زنجیرەیەکی سووڕدا (series circuit)، تەزوە بە شێوەیەکی یەکسان لەسەر هەموو گڵۆپەکان دابەش دەبێت. بۆیە، ئەگەر تەزوەکە لە یەک گڵۆپدا ۲ ئەی بێت، ئەوا لە گڵۆپەکەی تەنیشتیش ۲ ئەی دەبێت.",A
"باجێکی سەپێنراو لەسەر دابینکەرێک ئەگەری ئەوەی هەیە بگوازرێتەوە بۆ بەکاربەر لە شێوەی بەرزکردنەوەی نرخ ئەگەر
A.نرخی لاستیکی داواکاری زۆر ئیلاستیکە.
B.نرخی لاستیکی داواکاری زۆر بێ نرخە
C.نرخی لاستیکی داواکاری یەکەی ئیلاستیکە.
D.نرخی لاستیکی داواکاری زۆر گەورەیە.",B,"ئەگەر باجێکی سەپێنراو لەسەر دابینکەرێک بگوازرێتەوە بۆ بەکاربەر، ئەوە بە شێوەی بەرزکردنەوەی نرخ ئەگەر نرخی لاستیکی داواکاری زۆر بێ نرخە. ئەمە واتە:

B. نرخی لاستیکی داواکاری زۆر بێ نرخە.

ئەگەر داواکاری بێ نرخ بێت، بەکاربەران ناتوانن بە ئاسانیدا بڕوانن لە کڕینی کاڵاکە، بۆیە دابینکەران ناتوانن باجەکە بگوازرێنەوە بۆ بەکاربەران بە بەرزکردنەوەی نرخەکان.",B
"کام لەو زنجیرانەی خوارەوە ناتوانرێت بە دەربڕینێکی ئاسایی وەسف بکرێن؟
A.هەموو ئەو زنجیرە بتانەی کە ژمارەی سفرەکانیان فرە فرەیە لە پێنج
B.هەموو زنجیرە بتەکان بە سفر دەست پێدەکەن و بە یەکێکیان کۆتایی پێدێت
C.هەموو زنجیرە بتەکان لەگەڵ ژمارەیەکی یەکسان لە سفرەکان
D.هەموو زنجیرە بتەکان لەگەڵ زیاتر لە سفر",D,"وەڵامی ڕاستە:
A. هەموو ئەو زنجیرە بتانەی کە ژمارەی سفرەکانیان فرە فرەیە لە پێنج

ئەو زنجیرە بتانەی کە ژمارەی سفرەکانیان فرە فرەیە لە پێنج ناتوانرێت بە دەربڕینێکی ئاسایی وەسف بکرێن، چونکە ئەم زنجیرە بتانە ژمارەیەکی زۆر و پەیوەندیدار لە سفرەکان هەیە کە دەربڕینیان زۆر پیچاوە و کێشەیە.",A
