Question,CorrectAnswer,GivenAnswer,Correct
"Mibange ya katikati bamonanaka lokola bato mingi _ koleka mikóló to bilenge
A.Generative
B.Neurotic
C.Ondimi yango
D.Tokoloba solo",A,D.Tokoloba solo,D
"Antonio Banderas elobeli ya bana-mboka ezali nini?
A.Espagnol
B.Russe
C.Allemand
D.Français",A,A. Espagnol,A
"Na bilei oyo wapi basalaka na misɔpɔ ya ngulu?
A.Haggis
B.Chitlins
C.Grits
D.chop suey",B,Eyano ya malamu ezali B. Chitlins. Chitlins ezali bilei basalaka na misɔpɔ ya ngulu.,B
"Monɔkɔ ya Leta ya Pays - Bas ezali nini?
A.Danois
B.Suédois
C.Allemand
D.Néerlandais",D,"Monɔkɔ ya Leta ya Pays-Bas ezali nini?

D. Néerlandais",D
"Na ekólo moko, na bikólo mosusu, nini kowelana ezali na ngámbo ya kowelana na ekólo moko?
A.Mombongo na mokili mobimba
B.Nkita ya mokili mobimba
C.Komekana na mokili mobimba
D.Globalisation",D,"D. Globalisation

Globalisation ezali kowelana na mokili mobimba, oyo ezali komema ekólo moko na bikólo mosusu na ndenge ya mombongo, nkita, komekana, mpe makambo mosusu. Yango ezali kosala ete bikólo ekóma na boyokani mingi mpe ekabolaka makambo mingi na kati ya mokili mobimba.",D
"Na 1999, filme ya Magnolia ezali nini?
A.Californie
B.Caroline ya Sudi
C.Géorgie
D.Texas",A,"Eyano ya malamu ezali A. Californie. ""Magnolia"" ezali filme ya 1999 oyo ekomamaki mpe etambwisamaki na Paul Thomas Anderson, mpe esalemaki na Los Angeles, Californie.",A
"Na circuit ya serie, soki sikoyo na mwinda moko eza 2 A, oyo ya sikoyo na mwinda pembeni na yango eza
A.Katikati, 1 A
B.2:00 AM
C.Etalaka mwinda nini ezali pene ya pile
D.Ba information ekoki te koloba",B,"Na circuit ya série, courant oyo epesamaka na ba composants nyonso ezali kaka moko. Lokola courant ezali koleka na nzela moko, courant oyo epesamaka na mwinda moko ekozala mpe courant oyo epesamaka na mwinda nyonso mosusu na circuit yango.

Soki sikoyo na mwinda moko eza 2 A, courant na mwinda pembeni na yango ekozala mpe 2 A.

Bongo eyano ya malamu ezali:
B. 2:00 AM",B
"Bato ya mombongo basalaka comptabilité sociale mpo na masengami ya _________, mpo na koyeba ________, kobongisa ___________ mpe kolendisa _________ mpe ___________
A.Bato oyo bazali na likambo yango, makama, kolandela bato oyo bazali na likama, kozongisa monɔkɔ, transparency
B.Bato oyo bazali na mosala, kozongisa monɔkɔ, transparency, makama, Stakeholder Management
C.Bato oyo bazali na mosala, kozongisa monɔkɔ, makama, bato oyo basalaka na bango, Stakeholder Management
D.Bato oyo bazali na likambo yango, Kolandela Stakeholder, Transparency, Makama, Kozongisa monɔkɔ",A,"D. Bato oyo bazali na likambo yango, Kolandela Stakeholder, Transparency, Makama, Kozongisa monɔkɔ",D
"Nkita ezali kokita makasi. Na kotalela situation oyo ya nkita, wapi na maloba oyo elandi na oyo etali politiki ya mosolo ezali solo?
A.Politiki ya kobimisa mbongo ekobebisa kaka kokita ya nkita.
B.Politiki ya koteka biloko ebakisaka mpenza mposa ya bato soki mosolo ezali kolandela mbongwana na taux ya matomba.
C.Politiki ya kontrakita eza elendiseli ebongi mpona kobimisa mbongo mpe kosalela biloko.
D.Soki mposa ya mbongo ezali mpenza kokolisa mayele ya mosolo ekoki kozala malamu mpenza.",B,"Eyano ya malamu ezali:
A. Politiki ya kobimisa mbongo ekobebisa kaka kokita ya nkita.

Ntango banki monene to gouvernement ebimisaka mbongo mingi, yango ekoki kobebisa nkita mpo na ndenge yango ekoki kokitisa motuya ya mbongo. Yango ekoki komema na inflation, oyo ezali kokita ya motuya ya mbongo na ndenge ya kosomba biloko mingi te na mbongo moko. Na yango, kobimisa mbongo mingi ekoki kosala ete nkita ekita lisusu makasi.",A
"Na bizaleli oyo elandi oyo wapi eyokani na kobebisama ya babalani?
A.Kosalela makasi koleka ndelo
B.prekomanyola
C.Mposa ya kosangisa nzoto
D.utilisée pour la monstre",C,"Eyokani na kobebisama ya babalani ezali:
B. prekomanyola

Prekomanyola ezali likambo moko ya minene oyo ekoki kobebisa libala. Ezali likambo ya kozanga bosembo na libala, oyo ekoki komema na kobebisama ya boyokani kati na babalani.",B
