Question,CorrectAnswer,GivenAnswer,Correct
"ນັກສະແດງ Antonio Banderas ພາສາພື້ນເມືອງແມ່ນຫຍັງ?
A.ພາສາສະເປນ
B.ພາສາຣັດເຊຍ
C.ພາສາເຢຍລະມັນ
D.ພາສາຝຣັ່ງ",A,A. ພາສາສະເປນ,A
"ພາສາທາງການຂອງໂຮນລັງແມ່ນຫຍັງ?
A.ພາສາເດນມາກ
B.ພາສາສະວີເດັນ
C.ພາສາເຢຍລະມັນ
D.ພາສາໂຮນລັງ",D,"ຄຳຕອບທີ່ຖືກຕ້ອງແມ່ນ:
D. ພາສາໂຮນລັງ",D
"ປະ ເທດ ໃດ ໃນ ປະ ເທດ ດັ່ງ ຕໍ່ ໄປ ນີ້ ໄດ້ ສົ່ງ CO2 ຕໍ່ ຫົວ ຄົນ ຫຼາຍ ທີ່ ສຸດ ໃນ ປີ 2017?
A.ປະເທດຍີ່ປຸ່ນ
B.ປະເທດການາດາ
C.ປະເທດຣັດເຊຍ
D.ປະເທດອີຣານ",B,ປະເທດທີ່ໄດ້ສົ່ງ CO2 ຕໍ່ຫົວຄົນຫຼາຍທີ່ສຸດໃນປີ 2017 ຄືປະເທດອີຣານ (D.ປະເທດອີຣານ).,D
"K-fold cross-validation is
A.linear ໃນ K
B.quadratic ໃນ K
C.cubic ໃນ K
D.exponential ໃນ K",A,"K-fold cross-validation is linear in K. 

This means that the computational complexity of performing K-fold cross-validation increases linearly with the number of folds, K. Specifically, if you have a dataset and you want to perform K-fold cross-validation, you will train and evaluate your model K times, each time using a different subset of the data as the validation set and the remaining data as the training set. Therefore, the total computational effort is proportional to K.

So, the correct answer is:
A. linear ໃນ K",A
"ໃນລັດໃດເປັນຮູບເງົາປີ 1999 ຂອງ Magnolia' ຊຸດ?
A.ລັດ ຄາ ລິ ຟໍ ເນຍ
B.South Carolina
C.ປະເທດຈໍເຈຍ
D.ລັດເທັກຊັສ",A,"ຮູບເງົາ ""Magnolia"" ປີ 1999 ໄດ້ຖ່າຍທຳຢູ່ລັດຄາລິຟໍເນຍ (California) ເປັນສ່ວນໃຫຍ່. ດັ່ງນັ້ນ ຄຳຕອບທີ່ຖືກຕ້ອງຄື:

A. ລັດ ຄາ ລິ ຟໍ ເນຍ",A
"ຊອກຫາ $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",B,"Let's solve the expression step by step:

\[
-\dfrac{1}{-3} \cdot \cfrac{1}{\frac{1}{-3}}
\]

First, simplify \(-\dfrac{1}{-3}\):

\[
-\dfrac{1}{-3} = \dfrac{1}{3}
\]

Next, simplify \(\cfrac{1}{\frac{1}{-3}}\):

\[
\cfrac{1}{\frac{1}{-3}} = \cfrac{1}{-3} = -3
\]

Now, multiply the two simplified parts together:

\[
\dfrac{1}{3} \cdot (-3) = \dfrac{1 \cdot (-3)}{3} = \dfrac{-3}{3} = -1
\]

So, the value of the expression is:

\[
-1
\]

Therefore, the correct answer is:

B. -1",B
"ພະລັງງານທີ່ປ່ອຍອອກມາຈາກການແຕກຂອງຟອສເຟັດທີ່ມີພະລັງງານສູງ, ATP ແລະ phosphocreatine, ສາມາດຮອງຮັບການອອກກໍາລັງກາຍສູງສຸດສໍາລັບປະມານ:
A.1-2 ວິນາທີ.
B.5-10 ວິນາທີ.
C.30-40 ວິນາທີ.
D.50-60 ວິນາທີ.",B,"ພະລັງງານທີ່ປ່ອຍອອກມາຈາກການແຕກຂອງຟອສເຟັດທີ່ມີພະລັງງານສູງ, ATP ແລະ phosphocreatine, ສາມາດຮອງຮັບການອອກກໍາລັງກາຍສູງສຸດສໍາລັບປະມານ:

B. 5-10 ວິນາທີ.",B
"ຜູ້ໃຫຍ່ໄວກາງປາກົດວ່າມີ ____ ຫຼາຍກວ່າຜູ້ໃຫຍ່ຫຼືຜູ້ໃຫຍ່ທີ່ອາຍຸຍັງນ້ອຍກວ່າ
A.Generative
B.ປະສາດ
C.ເຫັນດີ
D.ບາງ",A,"B.ປະສາດ

ຜູ້ໃຫຍ່ໄວກາງປາກົດວ່າມີປະສາດຫຼາຍກວ່າຜູ້ໃຫຍ່ຫຼືຜູ້ໃຫຍ່ທີ່ອາຍຸຍັງນ້ອຍກວ່າ.",B
"ຄໍາ ວ່າ ການ ແຂ່ງ ຂັນ ໃນ ປະ ເທດ ໃດ ທີ່ ມີ ອິດ ທິ ພົນ ຕໍ່ ການ ແຂ່ງ ຂັນ ໃນ ປະ ເທດ ອື່ນ ແມ່ນ ຫຍັງ?
A.ການຄ້າສາກົນ
B.ເສດຖະກິດທົ່ວໂລກ
C.ການແຂ່ງຂັນທົ່ວໂລກ
D.Globalisation",D,"ຄໍາຕອບທີ່ຖືກຕ້ອງແມ່ນ:
D. Globalisation

Globalisation ແມ່ນການທີ່ປະເທດຕ່າງໆໄດ້ມີການເຊື່ອມໂຍງກັນທາງເສດຖະກິດ, ວັດທະນະທຳ, ແລະການເມືອງ, ທີ່ທໍາໃຫ້ການແຂ່ງຂັນໃນປະເທດໜຶ່ງມີອິດທິພົນຕໍ່ການແຂ່ງຂັນໃນປະເທດອື່ນ.",D
"ອາຫານປະເພດໃດທີ່ເຮັດຈາກລໍາໄສ້ຫມູ?
A.haggis
B.chitlins
C.grits
D.chop suey",B,ອາຫານທີ່ເຮັດຈາກລໍາໄສ້ຫມູແມ່ນ B. chitlins. Chitlins ຫຼື chitterlings ແມ່ນອາຫານທີ່ເຮັດຈາກລໍາໄສ້ຫມູ ແລະເປັນອາຫານທີ່ມີຄວາມນິຍົມໃນບາງພື້ນທີ່ຂອງສະຫະລັດອາເມຣິກາ.,B
