Question,CorrectAnswer,GivenAnswer,Correct
"Kokia yra oficiali Nyderlandų kalba?
A.Danų
B.Švedų
C.Vokiečių
D.Olandų",D,"D. Olandų

Oficiali Nyderlandų kalba yra olandų kalba.",D
"Įmonės užsiima socialine apskaita dėl _________ reikalavimų, siekdamos nustatyti ________, pagerinti ___________ ir skatinti _________ bei ___________
A.Suinteresuotosios šalys, rizika, suinteresuotųjų šalių valdymas, atskaitomybė, skaidrumas
B.Suinteresuotosios šalys, atskaitomybė, skaidrumas, rizika, suinteresuotųjų šalių valdymas
C.Suinteresuotosios šalys, atskaitomybė, rizika, suinteresuotosios šalys, suinteresuotųjų šalių valdymas
D.Suinteresuotosios šalys, suinteresuotųjų šalių valdymas, skaidrumas, rizika, atskaitomybė",A,"Teisingas atsakymas yra:

A. Suinteresuotosios šalys, rizika, suinteresuotųjų šalių valdymas, atskaitomybė, skaidrumas",A
"Kokioje būsenoje yra 1999 m. filmo ""Magnolija"" rinkinys?
A.Kalifornijos
B.Pietų Karolina
C.Gruzija
D.Teksasas",A,"1999 m. filmo ""Magnolija"" veiksmas vyksta Kalifornijoje. Taigi teisingas atsakymas yra A. Kalifornijos.",A
" Ši rinkodaros ir komunikacijos priemonė siūlo tiesioginę paskatą arba paskatą skatinti klientus pirkti produktą / paslaugą:
A.Reklamavimas.
B.Viešieji ryšiai.
C.Pardavimų skatinimas.
D.Tiesioginė rinkodara.",C,"Teisingas atsakymas yra C. Pardavimų skatinimas.

Pardavimų skatinimas apima įvairias priemones, tokias kaip nuolaidos, kuponai, konkursai, lojalumo programos ir kitos tiesioginės paskatos, kurios skatina klientus pirkti produktą ar paslaugą. Tai yra tiesioginė priemonė, skirta padidinti pardavimus per trumpą laikotarpį.",C
"Energija, išsiskirianti skaidant didelės energijos fosfatus, ATP ir fosfokreatiną, gali išlaikyti maksimalų krūvį maždaug:
A.1-2 sekundės.
B.5-10 sekundžių.
C.30-40 sekundžių.
D.50-60 sekundžių.",B,"Energija, išsiskirianti skaidant didelės energijos fosfatus, tokius kaip ATP ir fosfokreatinas, gali išlaikyti maksimalų krūvį maždaug:

B. 5-10 sekundžių.

Šis laiko intervalas atitinka laiką, per kurį raumenys gali naudoti savo greitai prieinamus energijos šaltinius, kol reikia pradėti naudoti kitus energijos gamybos būdus, tokius kaip glikolizė ar oksidacinis fosforilinimas.",B
"Kuris iš toliau nurodytų dalykų laikui bėgant greičiausiai paskatins spartesnį ekonomikos augimą?
A.Greitesnis gamtos išteklių naudojimas.
B.Didesnis suaugusiųjų neraštingumo lygis.
C.Mažėjančios gamybos priemonių atsargos.
D.Investiciniai mokesčių kreditai.",D,"D.Investiciniai mokesčių kreditai.

Investiciniai mokesčių kreditai gali paskatinti įmones investuoti į naujas technologijas, įrangą ir infrastruktūrą. Tai gali padidinti produktyvumą, sukurti naujas darbo vietas ir skatinti inovacijas, kas ilgainiui prisideda prie spartesnio ekonomikos augimo. Kiti išvardyti variantai (A, B, C) greičiausiai turėtų neigiamą poveikį ekonomikos augimui.",D
"Dalis Marso vandens yra užšalusi dirvožemyje ir ledo kepurėse, o dalis buvo prarasta dėl Saulės vėjo nuvertėjimo, tačiau manoma, kad didžioji dalis pirminio vandens buvo prarasta dėl kito mechanizmo. Kas nutiko šiam ""prarastam"" vandeniui?
A.jį pašalino magnetinis laukas, kai jo stiprumas greitai sumažėjo
B.ultravioletinė šviesa jį suskaldė į vandenilį ir deguonį, o vandenilis buvo prarastas per šiluminį pabėgimą
C.jį suvartojo ištroškusių marsiečių civilizacija
D.Jis buvo išgarintas intensyvaus vulkanizmo laikotarpiu ir buvo prarastas į kosmosą per terminį pabėgimą",B,"B. ultravioletinė šviesa jį suskaldė į vandenilį ir deguonį, o vandenilis buvo prarastas per šiluminį pabėgimą

Šis mechanizmas yra laikomas pagrindine priežastimi, kodėl didžioji dalis Marso pirminio vandens buvo prarasta. Ultravioletinė šviesa iš Saulės suskaidė vandens molekules į vandenilį ir deguonį. Kadangi vandenilis yra labai lengvas elementas, jis lengvai pabėgo iš Marso atmosferos į kosmosą per šiluminį pabėgimą.",B
"Kuri iš šių šalių 2017 m. išmetė daugiausia CO2 vienam gyventojui?
A.Japonija
B.Kanada
C.Rusija
D.Iranas",B,"2017 m. daugiausia CO2 vienam gyventojui išmetė Kanada. Kanada yra žinoma dėl savo didelio energijos suvartojimo ir išmetamų teršalų kiekio, ypač dėl naftos smėlio gavybos ir didelio transporto sektoriaus.",B
"Neigiama liekamoji autokoreliacija nurodoma, kuri iš šių dalių?
A.Ciklinis liekanų modelis
B.Kintamasis liekanų modelis
C.Visiškas liekanų atsitiktinumas
D.Likučiai, kurie visi yra artimi nuliui",B,"Neigiama liekamoji autokoreliacija nurodoma, kuri iš šių dalių?

Atsakymas yra:
A. Ciklinis liekanų modelis

Neigiama liekamoji autokoreliacija reiškia, kad liekanos (klaidos) yra linkusios keistis kryptimi tarp gretimų laikotarpių. Tai dažnai pasireiškia cikliniu modeliu, kur teigiamos ir neigiamos liekanos keičiasi reguliariai.",A
"Ekonomika išgyvena gilų nuosmukį. Atsižvelgiant į šią ekonominę padėtį, kuris iš toliau pateiktų teiginių apie pinigų politiką yra tikslus?
A.Ekspansinė politika tik pagilintų recesiją.
B.Ekspansinė politika labai padidina visuminę paklausą, jei investicijos yra jautrios palūkanų normos pokyčiams.
C.Susitraukimo politika yra tinkamas stimulas investicijoms ir vartojimui.
D.Jei pinigų paklausa yra visiškai elastinga, ekspansinė pinigų politika gali būti gana veiksminga.",B,"Atsižvelgiant į ekonominę padėtį, kai ekonomika išgyvena gilų nuosmukį, tikslus teiginys apie pinigų politiką yra:

B. Ekspansinė politika labai padidina visuminę paklausą, jei investicijos yra jautrios palūkanų normos pokyčiams.

Ekspansinė pinigų politika, kuri apima palūkanų normų mažinimą ir pinigų pasiūlos didinimą, gali paskatinti investicijas ir vartojimą, jei ekonomikos dalyviai yra jautrūs palūkanų normos pokyčiams. Tai gali padėti padidinti visuminę paklausą ir skatinti ekonomikos atsigavimą.",B
"Kuris iš šių siaubo filmų sukėlė daugiausiai tęsinių?
A.Rėkti""
B.Žandikauliai""
C.Helovinas""
D.13 d., penktadienis""",D,"Daugiausiai tęsinių sukėlė siaubo filmas ""Helovinas"" (C). Ši franšizė, prasidėjusi 1978 metais Johno Carpenterio režisuotu filmu, turi daugybę tęsinių, perdirbinių ir atnaujinimų. ""13 d., penktadienis"" (D) taip pat turi daug tęsinių, tačiau ""Helovinas"" yra laikomas viena iš ilgiausiai gyvuojančių ir daugiausiai tęsinių turinčių siaubo filmų serijų.",C
"Atrodo, kad vidutinio amžiaus suaugusieji yra daugiau ____ nei vyresni ar jaunesni suaugusieji
A.Generacinis
B.Nervinis
C.Malonus
D.Tam tikrų",A,"Vidutinio amžiaus suaugusieji yra daugiau **C. Malonus** nei vyresni ar jaunesni suaugusieji.

Tyrimai rodo, kad vidutinio amžiaus suaugusieji dažnai pasižymi didesniu emociniu stabilumu ir gebėjimu valdyti stresą, todėl jie gali būti malonesni ir labiau empatiški.",C
"Kuris iš šių patiekalų gaminamas iš kiaulių žarnų?
A.Haggis
B.Čitlinai
C.Kruopos
D.Pjaustykite Suey",B,"B. Čitlinai (angl. Chitlins arba Chitterlings) yra patiekalas, gaminamas iš kiaulių žarnų. Tai tradicinis patiekalas kai kuriose kultūrose, ypač pietų Jungtinėse Amerikos Valstijose.",B
"Kas yra aktoriaus Antonio Banderaso gimtoji kalba?
A.Ispanų
B.Rusų
C.Vokiečių
D.Prancūzų",A,"A. Ispanų

Antonio Banderasas yra ispanų aktorius, todėl jo gimtoji kalba yra ispanų.",A
"Koks yra terminas, apibūdinantis, kokiu mastu konkurenciją vienoje šalyje veikia konkurencija kitose šalyse?
A.Tarptautinė prekyba
B.Pasaulio ekonomika
C.Pasaulinė konkurencija
D.Globalizacija",D,"Teisingas atsakymas yra C. Pasaulinė konkurencija.

Pasaulinė konkurencija apibūdina, kaip konkurencija vienoje šalyje yra veikiama konkurencijos kitose šalyse. Tai reiškia, kad įmonės ir organizacijos konkuruoja ne tik vietinėje rinkoje, bet ir tarptautinėje ar globalioje rinkoje, kurioje veikia įvairūs ekonominiai, politiniai ir socialiniai veiksniai.",C
