Question,CorrectAnswer,GivenAnswer,Correct
"नेदरलँड्सची अधिकृत भाषा कोणती?
A.डॅनिश
B.स्वीडिश
C.जर्मन
D.डच",D,"नेदरलँड्सची अधिकृत भाषा डच आहे.
तर, योग्य उत्तर आहे:
D. डच",D
"अभिनेता अँटोनियो बँडेरसची मातृभाषा कोणती आहे?
A.स्पॅनिश
B.रशियन
C.जर्मन
D.फ्रेंच",A,"अभिनेता अँटोनियो बँडेरसची मातृभाषा स्पॅनिश आहे.
तर योग्य उत्तर आहे:
A. स्पॅनिश",A
"खालीलपैकी कोणत्या देशाने 2017 मध्ये दरडोई सर्वात जास्त कार्बन डायऑक्साईड उत्सर्जित केले?
A.जपान
B.कॅनडा
C.रशिया
D.इराण",B,"2017 मध्ये दरडोई सर्वात जास्त कार्बन डायऑक्साईड उत्सर्जित करणारा देश कॅनडा होता. त्यामुळे योग्य उत्तर आहे:

B. कॅनडा",B
"प्रशंसनीय व्यक्तिमत्त्वाचा भ्रम हा एक विशिष्ट प्रकारचा प्रकार आहे
A.अपघाताचा भ्रम
B.खोटी द्विधा मनःस्थिती
C.असा प्रश् न विचारला जात आहे
D.वर्तुळाकार तर्क",A,"प्रशंसनीय व्यक्तिमत्त्वाचा भ्रम हा एक विशिष्ट प्रकारचा प्रकार आहे:
A. अपघाताचा भ्रम",A
"यापैकी कोणता पदार्थ डुकराच्या आतड्यांपासून बनविला जातो?
A.हग्गिस
B.चिटलिन
C.धैर्य
D.सूई चिरून घ्या",B,"डुकराच्या आतड्यांपासून बनविला जाणारा पदार्थ म्हणजे:
B. चिटलिन (Chitlin)

चिटलिन म्हणजे डुकराच्या आतड्यांपासून बनविलेला एक खाद्यपदार्थ आहे, जो विविध प्रकारे शिजवला जातो आणि काही संस्कृतींमध्ये लोकप्रिय आहे.",B
"सिरीज सर्किटमध्ये एका दिव्यातील करंट २ अ असेल तर त्याच्या शेजारच्या दिव्यातील करंट असतो
A.अर्धा, १ अ
B.पहाटे २.०० वाजता
C.कोणता दिवा बॅटरीच्या जवळ आहे यावर अवलंबून असते
D.सांगायला पुरेशी माहिती नाही",B,"सिरीज सर्किटमध्ये सर्व घटकांमधून जाणारा करंट समान असतो. त्यामुळे जर एका दिव्यातील करंट २ अ असेल, तर शेजारच्या दिव्यातील करंट देखील २ अ असेल. त्यामुळे योग्य उत्तर आहे:

D. सांगायला पुरेशी माहिती नाही",D
"हा प्रश्न खालील माहितीचा संदर्भ देतो.
'हुकूमशाही राजवटींची बीजे दु:ख आणि हव्यासापोटी पोसली जातात. दारिद्र्य आणि संघर्षाच्या दुष्ट मातीत ते पसरतात आणि वाढतात. चांगल्या आयुष्याची लोकांची आशा संपली की त्यांची पूर्ण वाढ होते. ती आशा आपण जिवंत ठेवली पाहिजे... घटनांच्या वेगवान हालचालींमुळे आपल्यावर मोठ्या जबाबदाऱ्या टाकण्यात आल्या आहेत. . . मला विश्वास आहे की, काँग्रेस या जबाबदाऱ्या चोखपणे पेलणार आहे.
राष्ट्राध्यक्ष हॅरी एस ट्रूमन, १९४७
वरील परिच्छेदात व्यक्त केलेले विचार अमेरिकेच्या इतिहासातील खालीलपैकी कोणते सातत्य थेट प्रतिबिंबित करतात?
A.काँग्रेस आणि अध्यक्ष यांच्यातील संबंधांबाबत वाद विवाद .
B.अस्थिर परिस्थितीत लष्करी बळाच्या वापराविषयी वादविवाद.
C.जागतिक घडामोडींमध्ये अमेरिकेच्या भूमिकेविषयी वादविवाद.
D.राजकीय पक्षांच्या योग्य भूमिकेबाबत चर्चा .",C,"वरील परिच्छेदात राष्ट्राध्यक्ष हॅरी एस ट्रूमन यांनी व्यक्त केलेले विचार जागतिक घडामोडींमध्ये अमेरिकेच्या भूमिकेविषयी वादविवाद यांचे थेट प्रतिबिंबित करतात. त्यामुळे योग्य उत्तर आहे:

C. जागतिक घडामोडींमध्ये अमेरिकेच्या भूमिकेविषयी वादविवाद.",C
"________ ओळखण्यासाठी, ___________ सुधारण्यासाठी आणि _________ आणि ___________ प्रोत्साहित करण्यासाठी _________ मागण्यांमुळे व्यवसाय सामाजिक लेखांकनात गुंतलेले असतात
A.भागधारक, जोखीम, भागधारक व्यवस्थापन, उत्तरदायित्व, पारदर्शकता
B.भागधारक, उत्तरदायित्व, पारदर्शकता, जोखीम, भागधारक व्यवस्थापन
C.भागधारक, उत्तरदायित्व, जोखीम, भागधारक, भागधारक व्यवस्थापन
D.भागधारक, भागधारक व्यवस्थापन, पारदर्शकता, जोखीम, उत्तरदायित्व",A,"________ ओळखण्यासाठी, ___________ सुधारण्यासाठी आणि _________ आणि ___________ प्रोत्साहित करण्यासाठी _________ मागण्यांमुळे व्यवसाय सामाजिक लेखांकनात गुंतलेले असतात

A. भागधारक, जोखीम, भागधारक व्यवस्थापन, उत्तरदायित्व, पारदर्शकता",A
"हा प्रश्न खालील माहितीचा संदर्भ देतो.
प्रथम आपण असे नमूद केले पाहिजे की ब्रह्मांड आकाराने गोलाकार आहे, अंशतः कारण हे रूप सांध्याची आवश्यकता नसलेले परिपूर्ण संपूर्ण आहे, सर्वांमध्ये सर्वात परिपूर्ण आहे, अंशतः कारण ते सर्वात परिपूर्ण रूप बनवते, जे सर्व काही सामावून घेण्यास आणि जतन करण्यासाठी सर्वात योग्य आहे; किंवा पुन्हा कारण विश्वाचे सर्व घटक भाग म्हणजे सूर्य, चंद्र आणि ग्रह या रूपात दिसतात; किंवा कारण प्रत्येक गोष्ट हे रूप प्राप्त करण्याचा प्रयत्न करते, जसे की पाण्याच्या थेंबांच्या बाबतीत आणि इतर द्रवपिंडांच्या बाबतीत दिसून येते जर त्यांनी स्वतःची व्याख्या करण्याचा प्रयत्न केला तर. त्यामुळे हे रूप स्वर्गीय देहांचे आहे, याबद्दल कोणालाही शंका येणार नाही. ...
त्यामुळे पृथ्वीही गोलाकार आहे, हा प्रश्नच नाही, कारण ती त्याच्या मध्यभागी सर्व बाजूंनी दाबते. पर्वतांची उंची आणि दऱ्यांच्या अवसादांमुळे परिपूर्ण वर्तुळ समजू शकत नसले तरी त्याचा पृथ्वीच्या सर्वसाधारण गोलाकार स्वरूपावर परिणाम होत नाही. ...
पृथ्वीला गोलाचे स्वरूप आहे हे आधीच दाखवून दिले आहे, त्यामुळे एखादी हालचालही या रूपाशी जुळते का, पृथ्वीचे विश्वात कोणते स्थान आहे, याचा विचार करायला हवा. ... बहुसंख्य लेखक अर्थातच हे मान्य करतात की पृथ्वी अजूनही विश्वाच्या मध्यभागी उभी आहे, आणि उलट मानणे अकल्पनीय आणि हास्यास्पद वाटते. पण या प्रकरणाचा बारकाईने विचार केला तर लक्षात येईल की, हा प्रश्न अद्याप सुटलेला नाही आणि त्यामुळे त्याकडे कोणत्याही प्रकारे हलकेपणाने पाहिले जाऊ नये. पाहिल्या गेलेल्या जागेचा प्रत्येक बदल म्हणजे निरीक्षण केलेल्या वस्तूच्या किंवा प्रेक्षकाच्या हालचालीमुळे किंवा दोघांच्याहालचालींमुळे होतो. ... आता पृथ्वीवरूनच आकाशाची परिक्रमा पाहिली जाते आणि ती आपल्या डोळ्यांसाठी निर्माण होते. म्हणून जर पृथ्वीची कोणतीही हालचाल होत नसेल तर ही हालचाल पृथ्वीबाहेरील प्रत्येक गोष्टीत झाली पाहिजे, परंतु पृथ्वीवरील सर्व काही हलण्यापेक्षा उलट दिशेने झाली पाहिजे आणि अशा प्रकारची दैनंदिन क्रांती आहे. त्यामुळे पृथ्वीचा अपवाद वगळता संपूर्ण विश्वावर, म्हणजे पृथ्वीबाहेरील प्रत्येक गोष्टीवर याचा परिणाम होताना दिसतो. मात्र, ही हालचाल आकाशापुरती विचित्र नसून पृथ्वी पश्चिमेकडून पूर्वेकडे फिरत होती, हे मान्य केले पाहिजे आणि सूर्य, चंद्र आणि तारे यांच्या स्पष्ट उगवण्या-अस्त होण्याच्या संदर्भात याचा बारकाईने विचार केला तर हीच खरी परिस्थिती असल्याचे लक्षात येईल.
निकोलस कोपरनिकस, स्वर्गीय देहांच्या क्रांती, १५४३
कोपर्निकस त्याच्या काळातील पारंपारिक, अॅरिस्टोटेलियन नैसर्गिक तत्त्ववेत्त्यांपेक्षा भिन्न होता याचा पुरावा म्हणून या परिच्छेदाचा वापर केला जाऊ शकतो कारण त्याने असे सुचवले की
A.ब्रह्मांड गोलाकार आहे
B.पृथ्वी गोलाकार आहे
C.ब्रह्मांड भूस्थिर आहे
D.पृथ्वी स्थिर नाही",D,"निकोलस कोपरनिकसच्या या परिच्छेदाचा वापर त्याच्या काळातील पारंपारिक, अॅरिस्टोटेलियन नैसर्गिक तत्त्ववेत्त्यांपेक्षा भिन्न होता याचा पुरावा म्हणून केला जाऊ शकतो कारण त्याने असे सुचवले की:

D. पृथ्वी स्थिर नाही

कोपरनिकसने पारंपारिक भूस्थिर (Geocentric) मॉडेलला आव्हान दिले आणि पृथ्वी स्वतः फिरत असल्याचे सुचवले, जे त्या काळातील अॅरिस्टोटेलियन तत्त्वज्ञानाच्या विरोधात होते.",D
"नकारात्मक अवशिष्ट ऑटोकोरिलेशन खालीलपैकी कोणत्या द्वारे सूचित केले जाते?
A.अवशिष्टांमधील एक चक्रीय नमुना
B.अवशिष्टांमध्ये एक पर्यायी पॅटर्न
C.अवशिष्टांमध्ये संपूर्ण यादृच्छिकता
D.जे सर्व शून्याच्या जवळ आहेत",B,"नकारात्मक अवशिष्ट ऑटोकोरिलेशन खालीलपैकी कोणत्या द्वारे सूचित केले जाते?

B. अवशिष्टांमध्ये एक पर्यायी पॅटर्न

नकारात्मक ऑटोकोरिलेशन म्हणजे अवशिष्टांमध्ये एक पर्यायी पॅटर्न असतो, ज्यामध्ये एक अवशिष्ट सकारात्मक असेल तर त्यानंतरचे अवशिष्ट नकारात्मक असेल, आणि असेच पुढे चालू राहते.",B
