Question,CorrectAnswer,GivenAnswer,Correct
"Hva er det offisielle språket i Nederland?
A.Dansk
B.Svensk
C.Tysk
D.Nederlandsk",D,"Det offisielle språket i Nederland er:
D. Nederlandsk",D
"I hvilken tilstand er filmen Magnolia fra 1999 satt?
A.California
B.Sør-Carolina
C.Georgia
D.Texas",A,"Filmen ""Magnolia"" fra 1999 er satt i California.",A
"Hva er skuespiller Antonio Banderas morsmål?
A.Spansk
B.Russisk
C.Tysk
D.Fransk",A,"A. Spansk

Antonio Banderas er fra Spania, og hans morsmål er spansk.",A
"Hva er begrepet for i hvilken grad konkurransen i ett land påvirkes av konkurranse i andre land?
A.Internasjonal handel
B.Global økonomi
C.Global konkurranse
D.Globalisering",D,"C. Global konkurranse

Begrepet ""global konkurranse"" refererer til i hvilken grad konkurransen i ett land påvirkes av konkurranse i andre land. Dette innebærer at bedrifter og markeder i ulike land konkurrerer med hverandre, noe som kan påvirke priser, kvalitet, innovasjon og andre faktorer i det globale markedet.",C
"K-fold kryssvalidering er
A.lineær i K
B.kvadratisk i K
C.kubikk i K
D.eksponentiell i K",A,"K-fold kryssvalidering er lineær i K, så riktig svar er:

A. lineær i K

Dette betyr at tiden det tar å utføre K-fold kryssvalidering øker lineært med antall fold (K). Hvis du for eksempel dobler antall fold, vil tiden det tar å utføre kryssvalideringen også omtrent dobles.",A
"Hvilket av følgende er mest sannsynlig å gi sterkere økonomisk vekst over tid?
A.Raskere forbruk av naturressurser.
B.Høyere voksen analfabetisme priser.
C.En fallende beholdning av kapitalvarer.
D.Investeringsskattekreditter.",D,"D. Investeringsskattekreditter.

Investeringsskattekreditter kan stimulere økonomisk vekst ved å oppmuntre bedrifter til å investere i nye maskiner, teknologi, og annen kapital. Dette kan øke produktiviteten, skape nye arbeidsplasser, og forbedre økonomisk effektivitet. De andre alternativene (raskere forbruk av naturressurser, høyere voksen analfabetisme priser, og en fallende beholdning av kapitalvarer) er mer sannsynlig å hemme økonomisk vekst over tid.",D
"I en seriekrets, hvis strømmen i en lampe er 2 A, er strømmen i lampen ved siden av den
A.omgang, 1 A
B.02:00
C.Avhenger av hvilken lampe som er nærmere batteriet
D.Ikke nok informasjon til å si",B,"I en seriekrets er strømmen den samme gjennom alle komponentene, fordi det er kun én vei for strømmen å flyte. Derfor, hvis strømmen i en lampe er 2 A, vil strømmen i lampen ved siden av den også være 2 A.

Så det riktige svaret er:

A. 2 A",A
"Bedrifter engasjerer seg i sosial regnskap på grunn av krav fra _________, for å identifisere ________, for å forbedre ___________ og for å oppmuntre til _________ og ___________
A.Interessenter, risiko, interessenthåndtering, ansvarlighet, åpenhet
B.Interessenter, ansvarlighet, åpenhet, risikoer, interessenthåndtering
C.Interessenter, ansvarlighet, risiko, interessenter, interessenthåndtering
D.Interessenter, interessenthåndtering, åpenhet, risikoer, ansvarlighet",A,"A. Interessenter, risiko, interessenthåndtering, ansvarlighet, åpenhet

Bedrifter engasjerer seg i sosial regnskap på grunn av krav fra interessenter, for å identifisere risiko, for å forbedre interessenthåndtering og for å oppmuntre til ansvarlighet og åpenhet.",A
"Negativ gjenværende autokorrelasjon indikeres av hvilket av følgende?
A.Et syklisk mønster i restene
B.Et vekslende mønster i restene
C.En fullstendig tilfeldighet i restene
D.Rester som alle er nær null",B,"Negativ gjenværende autokorrelasjon indikeres av hvilket av følgende?

B. Et vekslende mønster i restene

Negativ autokorrelasjon betyr at en positiv feil i en periode sannsynligvis vil bli fulgt av en negativ feil i den neste perioden, og omvendt. Dette resulterer i et vekslende mønster i restene.",B
"Mutasjoner som forårsaker achondroplasia utøver en effekt som kan klassifiseres som:
A.dominerende negativ.
B.gevinst-av-funksjon.
C.haploinsuffisiens.
D.tap av funksjon.",B,"Achondroplasia er en form for dvergvekst som er forårsaket av mutasjoner i FGFR3-genet (fibroblast vekstfaktor reseptor 3). Den spesifikke mutasjonen som forårsaker achondroplasia fører til en overaktiv form av FGFR3-proteinet, som hemmer vekst av beinbrusk og dermed resulterer i kortvoksthet.

Denne typen mutasjon kan klassifiseres som:

B. gevinst-av-funksjon.

Dette er fordi mutasjonen fører til en overaktiv form av FGFR3-proteinet, som har en økt funksjon sammenlignet med den normale reseptoren. Dette resulterer i en negativ effekt på beinvekst, men det er en ""gevinst"" i form av økt aktivitet av reseptoren.",B
