Question,CorrectAnswer,GivenAnswer,Correct
"Wat is de moedertaal van acteur Antonio Banderas?
A.Spaans
B.Russisch
C.Duits
D.Frans",A,"A. Spaans

Antonio Banderas is geboren in Málaga, Spanje, en zijn moedertaal is Spaans.",A
"In welke staat speelt de film Magnolia' uit 1999 zich af?
A.Californië
B.South Carolina
C.Georgië
D.Texas",A,"De film ""Magnolia"" uit 1999 speelt zich af in de staat Californië. Dus het juiste antwoord is:

A. Californië",A
"Bedrijven houden zich bezig met sociale boekhouding vanwege de vraag van _________, om ________ te identificeren, de ___________ te verbeteren en _________ en ___________ aan te moedigen
A.Stakeholders, Risico's, Stakeholdermanagement, Verantwoording, Transparantie
B.Stakeholders, Verantwoording, Transparantie, Risico's, Stakeholdermanagement
C.Stakeholders, Verantwoording, Risico's, Stakeholders, Stakeholdermanagement
D.Stakeholders, Stakeholdermanagement, Transparantie, Risico's, Verantwoordingsplicht",A,"A. Stakeholders, Risico's, Stakeholdermanagement, Verantwoording, Transparantie

Bedrijven houden zich bezig met sociale boekhouding vanwege de vraag van stakeholders, om risico's te identificeren, de stakeholdermanagement te verbeteren en verantwoording en transparantie aan te moedigen.",A
" Dit marketing- en communicatiemiddel biedt een directe aansporing of stimulans om klanten aan te moedigen een product/dienst te kopen:
A.Reclame.
B.Public relations.
C.Verkoopbevordering.
D.Direct marketing.",C,"C. Verkoopbevordering.

Verkoopbevordering (ook wel sales promotion genoemd) omvat tactieken die een directe aansporing of stimulans bieden om klanten aan te moedigen een product of dienst te kopen. Dit kan bijvoorbeeld door middel van kortingen, coupons, speciale aanbiedingen, wedstrijden, of tijdelijke prijsverlagingen. Het doel is om de verkoop op korte termijn te stimuleren en klanten aan te moedigen om direct actie te ondernemen.",C
"De energie die vrijkomt bij de afbraak van de hoogenergetische fosfaten, ATP en fosfocreatine, kan maximale inspanning ondersteunen voor ongeveer:
A.1-2 seconden.
B.5-10 seconden.
C.30-40 seconden.
D.50-60 seconden.",B,"De energie die vrijkomt bij de afbraak van de hoogenergetische fosfaten, zoals ATP en fosfocreatine, kan maximale inspanning ondersteunen voor ongeveer:

B. 5-10 seconden.

Dit komt doordat de voorraad van deze fosfaten in de spieren beperkt is en snel uitgeput raakt tijdens intense fysieke activiteit. Na deze periode moeten andere energiebronnen, zoals glycolyse en oxidatieve fosforylering, worden aangesproken om de inspanning voort te zetten.",B
"Welke van de volgende zal in de loop van de tijd waarschijnlijk leiden tot een sterkere economische groei?
A.Sneller verbruik van natuurlijke hulpbronnen.
B.Hoger analfabetisme onder volwassenen.
C.Een dalende voorraad kapitaalgoederen.
D.Belastingkredieten voor investeringen.",D,"De optie die waarschijnlijk zal leiden tot een sterkere economische groei is:

D. Belastingkredieten voor investeringen.

Belastingkredieten voor investeringen kunnen bedrijven aanmoedigen om meer te investeren in kapitaalgoederen, technologie en andere productieve middelen. Dit kan de productiviteit verhogen, innovatie stimuleren en uiteindelijk leiden tot economische groei. De andere opties (sneller verbruik van natuurlijke hulpbronnen, hoger analfabetisme onder volwassenen, en een dalende voorraad kapitaalgoederen) zouden waarschijnlijk negatieve effecten hebben op de economische groei.",D
"Als in een serieschakeling de stroom in een lamp 2 A is, is de stroom in de lamp ernaast
A.helft, 1 A
B.02:00 uur
C.Hangt af van welke lamp zich het dichtst bij de batterij bevindt
D.Niet genoeg informatie om te zeggen",B,"In een serieschakeling is de stroom door alle componenten hetzelfde, omdat er maar één pad is voor de stroom om doorheen te gaan. Dus als de stroom in een lamp 2 A is, dan is de stroom in de lamp ernaast ook 2 A.

Het juiste antwoord is dus niet A, B, C of D, maar een andere optie die aangeeft dat de stroom in de lamp ernaast ook 2 A is. Omdat die optie niet gegeven is, kunnen we concluderen dat de juiste keuze niet tussen de gegeven opties staat. 

Maar om de vraag te beantwoorden met de beschikbare opties, zou het antwoord zijn:

D. Niet genoeg informatie om te zeggen

Dit is omdat de juiste optie (dat de stroom in de lamp ernaast ook 2 A is) niet wordt aangeboden.",D
"Een tank heeft de vorm van een driehoekig prisma. Als de driehoekige basis een oppervlakte heeft van 116 vierkante voet en de tank 30 voet lang is, hoeveel water zou de tank dan bevatten als deze vol is?
A.1725 voet ^ 3
B.1740 voet ^ 3
C.3480 voet ^ 3
D.6960 voet ^ 3",C,"Om de inhoud van een driehoekig prisma te berekenen, gebruik je de formule voor het volume van een prisma:

\[ \text{Volume} = \text{Oppervlakte van de basis} \times \text{Lengte} \]

In dit geval is de oppervlakte van de driehoekige basis 116 vierkante voet en de lengte van de tank is 30 voet. Dus:

\[ \text{Volume} = 116 \, \text{ft}^2 \times 30 \, \text{ft} \]

\[ \text{Volume} = 3480 \, \text{ft}^3 \]

Dus, als de tank vol is, zou deze 3480 kubieke voet water bevatten. Het juiste antwoord is:

C. 3480 voet ^ 3",C
"Volwassenen van middelbare leeftijd lijken meer ____ te zijn dan oudere of jongere volwassenen
A.Geslachtelijk
B.Neurotisch
C.Aangenaam
D.Zeker",A,"B. Neurotisch

Onderzoek suggereert dat volwassenen van middelbare leeftijd vaak hogere niveaus van neuroticisme kunnen vertonen in vergelijking met jongere en oudere volwassenen. Neuroticisme is een persoonlijkheidskenmerk dat wordt gekenmerkt door emotionele instabiliteit, angst, en een neiging tot negatieve emoties. Dit kan te maken hebben met de unieke stressoren en verantwoordelijkheden die vaak gepaard gaan met de middelbare leeftijd, zoals carrièredruk, zorg voor opgroeiende kinderen, en zorgen over ouder wordende ouders.",B
"De spanning die in een spoel wordt geïnduceerd, wordt weergegeven als:
A.product van de inductantie en de stroom erdoorheen.
B.verhouding van de inductantie tot de stroom erdoorheen.
C.verhouding tussen de stroom erdoorheen en de inductantie.
D.product van de inductantie en de snelheid van verandering van de stroom erdoorheen.",D,"De juiste optie is:

D. product van de inductantie en de snelheid van verandering van de stroom erdoorheen.

Dit komt voort uit de wet van Faraday voor inductie, die stelt dat de geïnduceerde spanning (V) in een spoel gelijk is aan de negatieve verandering van de magnetische flux door de spoel. Voor een spoel met inductantie (L) en een stroom (I) die erdoorheen loopt, kan dit worden uitgedrukt als:

\[ V = -L \frac{dI}{dt} \]

Hierbij is \(\frac{dI}{dt}\) de snelheid van verandering van de stroom door de spoel.",D
"Wat is de term voor de mate waarin de concurrentie in het ene land wordt beïnvloed door de concurrentie in andere landen?
A.Internationale handel
B.Mondiale economie
C.Wereldwijde concurrentie
D.Globalisering",D,"De term die het beste beschrijft de mate waarin de concurrentie in het ene land wordt beïnvloed door de concurrentie in andere landen is:

C. Wereldwijde concurrentie

Wereldwijde concurrentie verwijst naar de situatie waarin bedrijven en markten in verschillende landen met elkaar concurreren. Dit kan worden beïnvloed door factoren zoals internationale handel, globalisering, en de mondiale economie, maar de term zelf richt zich specifiek op de concurrentiedynamiek tussen landen.",C
"Deze vraag heeft betrekking op de volgende informatie.
Ten eerste moeten we opmerken dat de kosmos bolvormig is, deels omdat deze vorm, omdat hij een volmaakt geheel is dat geen gewrichten nodig heeft, de meest volledige van allemaal is, deels omdat hij de meest ruime vorm vormt, die het meest geschikt is om alles te bevatten en te bewaren; of omdat alle samenstellende delen van het heelal, dat wil zeggen de zon, de maan en de planeten, in deze vorm verschijnen; Of omdat alles ernaar streeft deze vorm te bereiken, zoals blijkt uit waterdruppels en andere vloeibare lichamen als ze zichzelf proberen te definiëren. Niemand zal er dus aan twijfelen dat deze vorm tot de hemellichamen behoort. ...
Dat de aarde ook bolvormig is, staat dus buiten kijf, omdat ze van alle kanten op haar middelpunt drukt. Hoewel vanwege de hoogten van de bergen en de dalen van de valleien een volmaakte cirkel niet kan worden begrepen, heeft dit toch geen invloed op de algemene bolvormige aard van de aarde. ...
Omdat al is aangetoond dat de aarde de vorm van een bol heeft, moeten we ons afvragen of een beweging ook met deze vorm samenvalt en welke plaats de aarde in het heelal inneemt. ... De overgrote meerderheid van de auteurs is het er natuurlijk over eens dat de aarde stilstaat in het centrum van het heelal, en vindt het ondenkbaar en belachelijk om het tegenovergestelde te veronderstellen. Maar als de zaak zorgvuldig wordt afgewogen, zal men zien dat de kwestie nog niet is opgelost en daarom geenszins lichtvaardig moet worden opgevat. Elke verandering van plaats die wordt waargenomen, is te wijten aan een beweging van het waargenomen object of van de waarnemer, of aan bewegingen van beide. ... Nu is het vanaf de aarde dat de omwenteling van de hemel wordt waargenomen en voor onze ogen wordt voortgebracht. Als de aarde dus geen beweging ondergaat, moet deze beweging in alles buiten de aarde plaatsvinden, maar in de tegenovergestelde richting dan wanneer alles op de aarde bewoog, en dit is de dagelijkse omwenteling. Dit lijkt dus het hele universum te beïnvloeden, dat wil zeggen, alles buiten de aarde met als enige uitzondering de aarde zelf. Als men echter zou toegeven dat deze beweging niet specifiek was voor de hemel, maar dat de aarde van west naar oost draaide, en als dit zorgvuldig werd overwogen met betrekking tot het schijnbare opkomen en ondergaan van de zon, de maan en de sterren, zou men ontdekken dat dit de werkelijke situatie was.
Nicolas Copernicus, De omwentelingen van de hemellichamen, 1543
De passage kan worden gebruikt als bewijs dat Copernicus verschilde van de traditionele, Aristotelische natuurfilosofen van zijn tijd, omdat hij suggereerde dat
A.De kosmos is bolvormig
B.de aarde is bolvormig
C.De kosmos is geostatisch
D.de aarde staat niet stil",D,"De passage kan worden gebruikt als bewijs dat Copernicus verschilde van de traditionele, Aristotelische natuurfilosofen van zijn tijd, omdat hij suggereerde dat:

D. de aarde staat niet stil

In de passage bespreekt Copernicus de mogelijkheid dat de waargenomen bewegingen van de hemellichamen niet te wijten zijn aan de beweging van de hemel zelf, maar aan de rotatie van de aarde van west naar oost. Dit idee staat in contrast met de traditionele, geocentrische opvatting van Aristoteles en Ptolemaeus, die beweerden dat de aarde stilstaat in het centrum van het heelal en dat alle hemellichamen om de aarde draaien. Copernicus' suggestie dat de aarde beweegt, was een revolutionair concept dat uiteindelijk leidde tot de ontwikkeling van het heliocentrische model van het zonnestelsel.",D
"Het onderzoek van Garcia en Koelling met betrekking tot aangeleerde aversies stelde vast dat welke van de volgende UCS- en CS-paren het krachtigst zijn en het snelst worden geleerd?
A.het uitvoeren van een taak en het ontvangen van een voedselbeloning
B.misselijkheid en eten of drinken
C.Beweging en schok
D.Straffen en beloningen",B,"Het onderzoek van Garcia en Koelling met betrekking tot aangeleerde aversies stelde vast dat de paren van misselijkheid en eten of drinken (optie B) het krachtigst zijn en het snelst worden geleerd. Dit fenomeen staat bekend als ""smaakaversie"" of ""Garcia-effect"" en toont aan dat dieren (inclusief mensen) een sterke neiging hebben om misselijkheid te associëren met voedsel of drank die ze kort daarvoor hebben geconsumeerd. Dit type conditionering kan zelfs na slechts één enkele blootstelling optreden en is evolutionair gezien nuttig omdat het helpt om giftige stoffen te vermijden.",B
"Negatieve residuele autocorrelatie wordt aangegeven met welke van de volgende?
A.Een cyclisch patroon in de residuen
B.Een afwisselend patroon in de residuen
C.Een volledige willekeur in de residuen
D.Residuen die allemaal bijna nul zijn",B,"Negatieve residuele autocorrelatie wordt aangegeven met:

B. Een afwisselend patroon in de residuen

Negatieve autocorrelatie betekent dat positieve en negatieve fouten elkaar afwisselen, wat resulteert in een patroon waarbij de residuen om en om positief en negatief zijn. Dit kan worden geïdentificeerd door een afwisselend patroon in de residuen.",B
