Question,CorrectAnswer,GivenAnswer,Correct
"Какой язык является официальным языком Нидерландов?
A.Датский
B.Шведский
C.Немецкий
D.Нидерландский",D,"Официальным языком Нидерландов является:

D. Нидерландский",D
"Предприятия занимаются социальным учетом по требованию _________, чтобы выявить ________, улучшить ___________ и поощрить _________ и ___________
A.Заинтересованные стороны, Риски, Управление заинтересованными сторонами, Подотчетность, Прозрачность
B.Заинтересованные стороны, подотчетность, прозрачность, риски, управление заинтересованными сторонами
C.Заинтересованные стороны, подотчетность, риски, заинтересованные стороны, управление заинтересованными сторонами
D.Стейкхолдеры, Управление заинтересованными сторонами, Прозрачность, Риски, Подотчетность",A,"A. Заинтересованные стороны, Риски, Управление заинтересованными сторонами, Подотчетность, Прозрачность",A
"Какой родной язык актера Антонио Бандераса?
A.Испанский
B.Русский
C.Немецкий
D.Французский",A,Родной язык актера Антонио Бандераса — испанский. Ответ: A. Испанский.,A
"Какое из этих блюд готовят из свиных кишок?
A.хаггис
B.Хитлины
C.овсяная крупа
D.Чоп Суэй",B,"Блюдо, которое готовят из свиных кишок, называется ""хитлины"" (вариант B). Хитлины (или читлинзы) — это традиционное блюдо, популярное в южных штатах США, которое готовится из свиных кишок.",B
"Какая психологическая точка зрения была наиболее популярна на рубеже ХХ века в Западной Европе?
A.Нейронауки
B.эволюционный
C.бихевиорист
D.Психоаналитической",D,"На рубеже ХХ века в Западной Европе наиболее популярной психологической точкой зрения была психоаналитическая (D). Психоанализ, разработанный Зигмундом Фрейдом, оказал значительное влияние на психологию и культуру того времени.",D
"В каком состоянии находится действие фильма «Магнолия» 1999 года?
A.Калифорния
B.Южная Каролина
C.Грузия
D.Техас",A,"Действие фильма «Магнолия» (1999) происходит в Калифорнии, в частности в долине Сан-Фернандо. Таким образом, правильный ответ — A. Калифорния.",A
"Энергия, высвобождаемая при расщеплении высокоэнергетических фосфатов, АТФ и фосфокреатина, может выдержать максимальную нагрузку в течение примерно:
A.1-2 секунды.
B.5-10 секунд.
C.30-40 секунд.
D.50-60 секунд.",B,"Энергия, высвобождаемая при расщеплении высокоэнергетических фосфатов, таких как АТФ и фосфокреатин, может выдержать максимальную нагрузку в течение примерно 5-10 секунд. Таким образом, правильный ответ:

B. 5-10 секунд.",B
" Этот маркетинговый и коммуникационный инструмент предлагает прямое побуждение или стимул для поощрения клиентов к покупке продукта/услуги:
A.Реклама.
B.Пиар.
C.Стимулирование сбыта.
D.Прямой маркетинг.",C,"Правильный ответ: C. Стимулирование сбыта.

Стимулирование сбыта включает в себя различные тактики, такие как скидки, купоны, акции, конкурсы и другие методы, которые направлены на непосредственное побуждение клиентов к покупке продукта или услуги.",C
"Какая из перечисленных ниже стран в 2017 году выбросила больше всего CO2 на душу населения?
A.Япония
B.Канада
C.Россия
D.Иран",B,"В 2017 году Канада выбросила больше всего CO2 на душу населения среди перечисленных стран. Канаду часто выделяют за её высокие уровни выбросов на душу населения, что связано с её энергетической промышленностью и климатическими условиями, требующими значительных затрат на отопление.",B
"Какой из следующих факторов будет считаться «притягивающим» фактором для Riva при рассмотрении вопроса о переезде из Индии в Соединенные Штаты?
A.Крайняя нищета
B.Лучшая работа и более высокая заработная плата
C.Кастовая система Индии
D.Насилие в ее районе",B,"B. Лучшая работа и более высокая заработная плата

Этот фактор является «притягивающим», так как он представляет собой положительный аспект, который может привлечь Riva к переезду в Соединенные Штаты. Остальные факторы (A, C и D) являются «толкающими» факторами, которые могут побудить ее покинуть Индию.",B
